fraction	Nx_length
0.001	184797392
0.002	184797392
0.003	184797392
0.004	184797392
0.005	184797392
0.006	184797392
0.007	184797392
0.008	184797392
0.009	184797392
0.01	184797392
0.011	184797392
0.012	184797392
0.013	184797392
0.014	184797392
0.015	184797392
0.016	184797392
0.017	184797392
0.018	184797392
0.019	184797392
0.02	184797392
0.021	184797392
0.022	184797392
0.023	184797392
0.024	184797392
0.025	184797392
0.026	184797392
0.027	184797392
0.028	184797392
0.029	184797392
0.03	184797392
0.031	184797392
0.032	184797392
0.033	184797392
0.034	184797392
0.035	184797392
0.036	184797392
0.037	184797392
0.038	184797392
0.039	184797392
0.04	184797392
0.041	184797392
0.042	184797392
0.043	184797392
0.044	184797392
0.045	184797392
0.046	184797392
0.047	184797392
0.048	184797392
0.049	184797392
0.05	184797392
0.051	184797392
0.052	184797392
0.053	184797392
0.054	184797392
0.055	184797392
0.056	184797392
0.057	184797392
0.058	184797392
0.059	184797392
0.06	184797392
0.061	184797392
0.062	184797392
0.063	184797392
0.064	184797392
0.065	184797392
0.066	184797392
0.067	184797392
0.068	184797392
0.069	184797392
0.07	184797392
0.071	184797392
0.072	184797392
0.073	184797392
0.074	184797392
0.075	184797392
0.076	184797392
0.077	184797392
0.078	184797392
0.079	184797392
0.08	184797392
0.081	184797392
0.082	184797392
0.083	184797392
0.084	184797392
0.085	184797392
0.086	184797392
0.087	184797392
0.088	184797392
0.089	184797392
0.09	184797392
0.091	184797392
0.092	184797392
0.093	184797392
0.094	184797392
0.095	184797392
0.096	184797392
0.097	184797392
0.098	184797392
0.099	184797392
0.1	184797392
0.101	184797392
0.102	184797392
0.103	184797392
0.104	184797392
0.105	184797392
0.106	184797392
0.107	184797392
0.108	184797392
0.109	184797392
0.11	177645525
0.111	177645525
0.112	177645525
0.113	177645525
0.114	177645525
0.115	177645525
0.116	177645525
0.117	177645525
0.118	177645525
0.119	177645525
0.12	177645525
0.121	177645525
0.122	177645525
0.123	177645525
0.124	177645525
