fraction	Nx_length
0.001	157184000
0.002	157184000
0.003	157184000
0.004	157184000
0.005	157184000
0.006	157184000
0.007	157184000
0.008	157184000
0.009	157184000
0.01	157184000
0.011	157184000
0.012	157184000
0.013	157184000
0.014	157184000
0.015	157184000
0.016	157184000
0.017	157184000
0.018	157184000
0.019	157184000
0.02	157184000
0.021	157184000
0.022	157184000
0.023	157184000
0.024	157184000
0.025	157184000
0.026	157184000
0.027	157184000
0.028	157184000
0.029	157184000
0.03	157184000
0.031	157184000
0.032	157184000
0.033	157184000
0.034	157184000
0.035	157184000
0.036	157184000
0.037	157184000
0.038	157184000
0.039	157184000
0.04	157184000
0.041	157184000
0.042	157184000
0.043	157184000
0.044	157184000
0.045	157184000
0.046	157184000
0.047	157184000
0.048	157184000
0.049	157184000
0.05	157184000
0.051	157184000
0.052	157184000
0.053	157184000
0.054	157184000
0.055	157184000
0.056	157184000
0.057	157184000
0.058	157184000
0.059	157184000
0.06	157184000
0.061	157184000
0.062	157184000
0.063	157184000
0.064	157184000
0.065	157184000
0.066	157184000
0.067	142322000
0.068	142322000
0.069	142322000
0.07	142322000
0.071	142322000
0.072	142322000
0.073	142322000
0.074	142322000
0.075	142322000
0.076	142322000
0.077	142322000
0.078	142322000
0.079	142322000
0.08	142322000
0.081	142322000
0.082	142322000
0.083	142322000
0.084	142322000
0.085	142322000
0.086	142322000
0.087	142322000
0.088	142322000
0.089	142322000
0.09	142322000
0.091	142322000
0.092	142322000
0.093	142322000
0.094	142322000
0.095	142322000
0.096	142322000
0.097	142322000
0.098	142322000
0.099	142322000
0.1	142322000
0.101	142322000
0.102	142322000
0.103	142322000
0.104	142322000
0.105	142322000
0.106	142322000
0.107	142322000
0.108	142322000
0.109	142322000
0.11	142322000
0.111	142322000
0.112	142322000
0.113	142322000
0.114	142322000
0.115	142322000
0.116	142322000
0.117	142322000
0.118	142322000
0.119	142322000
0.12	142322000
0.121	142322000
0.122	142322000
0.123	142322000
0.124	142322000
0.125	142322000
0.126	142322000
0.127	142322000
0.128	132243000
0.129	132243000
0.13	132243000
0.131	132243000
0.132	132243000
0.133	132243000
0.134	132243000
0.135	132243000
0.136	132243000
0.137	132243000
0.138	132243000
0.139	132243000
0.14	132243000
0.141	132243000
0.142	132243000
0.143	132243000
0.144	132243000
0.145	132243000
0.146	132243000
0.147	132243000
0.148	132243000
0.149	132243000
0.15	132243000
0.151	132243000
0.152	132243000
0.153	132243000
0.154	132243000
0.155	132243000
0.156	132243000
0.157	132243000
0.158	132243000
0.159	132243000
0.16	132243000
0.161	132243000
0.162	132243000
0.163	132243000
0.164	132243000
0.165	132243000
0.166	132243000
0.167	132243000
0.168	132243000
0.169	132243000
0.17	132243000
0.171	132243000
0.172	132243000
0.173	132243000
0.174	132243000
0.175	132243000
0.176	132243000
0.177	132243000
0.178	132243000
0.179	132243000
0.18	132243000
0.181	132243000
0.182	132243000
0.183	132243000
0.184	109549062
0.185	109549062
0.186	109549062
0.187	109549062
0.188	109549062
0.189	109549062
0.19	109549062
0.191	109549062
0.192	109549062
0.193	109549062
0.194	109549062
0.195	109549062
0.196	109549062
0.197	109549062
0.198	109549062
0.199	109549062
0.2	109549062
0.201	109549062
0.202	109549062
0.203	109549062
0.204	109549062
0.205	109549062
0.206	109549062
0.207	109549062
0.208	109549062
0.209	109549062
0.21	109549062
0.211	109549062
0.212	109549062
0.213	109549062
0.214	109549062
0.215	109549062
0.216	109549062
0.217	109549062
0.218	109549062
0.219	109549062
0.22	109549062
0.221	109549062
0.222	109549062
0.223	109549062
0.224	109549062
0.225	109549062
0.226	109549062
0.227	109549062
0.228	109549062
0.229	109549062
0.23	109549062
0.231	108962771
0.232	108962771
0.233	108962771
0.234	108962771
0.235	108962771
0.236	108962771
0.237	108962771
0.238	108962771
0.239	108962771
0.24	108962771
0.241	108962771
0.242	108962771
0.243	108962771
0.244	108962771
0.245	108962771
0.246	108962771
0.247	108962771
0.248	108962771
0.249	108962771
0.25	108962771
0.251	108962771
0.252	108962771
0.253	108962771
0.254	108962771
0.255	108962771
0.256	108962771
0.257	108962771
0.258	108962771
0.259	108962771
0.26	108962771
0.261	108962771
0.262	108962771
0.263	108962771
0.264	108962771
0.265	108962771
0.266	108962771
0.267	108962771
0.268	108962771
0.269	108962771
0.27	108962771
0.271	108962771
0.272	108962771
0.273	108962771
0.274	108962771
0.275	108962771
0.276	108962771
0.277	105867150
0.278	105867150
0.279	105867150
0.28	105867150
0.281	105867150
0.282	105867150
0.283	105867150
0.284	105867150
0.285	105867150
0.286	105867150
0.287	105867150
0.288	105867150
0.289	105867150
0.29	105867150
0.291	105867150
0.292	105867150
0.293	105867150
0.294	105867150
0.295	105867150
0.296	105867150
0.297	105867150
0.298	105867150
0.299	105867150
0.3	105867150
0.301	105867150
0.302	105867150
0.303	105867150
0.304	105867150
0.305	105867150
0.306	105867150
0.307	105867150
0.308	105867150
0.309	105867150
0.31	105867150
0.311	105867150
0.312	105867150
0.313	105867150
0.314	105867150
0.315	105867150
0.316	105867150
0.317	105867150
0.318	105867150
0.319	105867150
0.32	105867150
0.321	105867150
0.322	99703643
0.323	99703643
0.324	99703643
0.325	99703643
0.326	99703643
0.327	99703643
0.328	99703643
0.329	99703643
0.33	99703643
0.331	99703643
0.332	99703643
0.333	99703643
0.334	99703643
0.335	99703643
0.336	99703643
0.337	99703643
0.338	99703643
0.339	99703643
0.34	99703643
0.341	99703643
0.342	99703643
0.343	99703643
0.344	99703643
0.345	99703643
0.346	99703643
0.347	99703643
0.348	99703643
0.349	99703643
0.35	99703643
0.351	99703643
0.352	99703643
0.353	99703643
0.354	99703643
0.355	99703643
0.356	99703643
0.357	99703643
0.358	99703643
0.359	99703643
0.36	99703643
0.361	99703643
0.362	99703643
0.363	99703643
0.364	99703643
0.365	94359084
0.366	94359084
0.367	94359084
0.368	94359084
0.369	94359084
0.37	94359084
0.371	94359084
0.372	94359084
0.373	94359084
0.374	94359084
0.375	94359084
0.376	94359084
0.377	94359084
0.378	94359084
0.379	94359084
0.38	94359084
0.381	94359084
0.382	94359084
0.383	94359084
0.384	94359084
0.385	94359084
0.386	94359084
0.387	94359084
0.388	94359084
0.389	94359084
0.39	94359084
0.391	94359084
0.392	94359084
0.393	94359084
0.394	94359084
0.395	94359084
0.396	94359084
0.397	94359084
0.398	94359084
0.399	94359084
0.4	94359084
0.401	94359084
0.402	94359084
0.403	94359084
0.404	94359084
0.405	75726226
0.406	75726226
0.407	75726226
0.408	75726226
0.409	75726226
0.41	75726226
0.411	75726226
0.412	75726226
0.413	75726226
0.414	75726226
0.415	75726226
0.416	75726226
0.417	75726226
0.418	75726226
0.419	75726226
0.42	75726226
0.421	75726226
0.422	75726226
0.423	75726226
0.424	75726226
0.425	75726226
0.426	75726226
0.427	75726226
0.428	75726226
0.429	75726226
0.43	75726226
0.431	75726226
0.432	75726226
0.433	75726226
0.434	75726226
0.435	75726226
0.436	75726226
0.437	74915069
0.438	74915069
0.439	74915069
0.44	74915069
0.441	74915069
0.442	74915069
0.443	74915069
0.444	74915069
0.445	74915069
0.446	74915069
0.447	74915069
0.448	74915069
0.449	74915069
0.45	74915069
0.451	74915069
0.452	74915069
