fraction	Nx_length
0.001	191172878
0.002	191172878
0.003	191172878
0.004	191172878
0.005	191172878
0.006	191172878
0.007	191172878
0.008	191172878
0.009	191172878
0.01	191172878
0.011	191172878
0.012	191172878
0.013	191172878
0.014	191172878
0.015	191172878
0.016	191172878
0.017	191172878
0.018	191172878
0.019	191172878
0.02	191172878
0.021	191172878
0.022	191172878
0.023	191172878
0.024	191172878
0.025	191172878
0.026	191172878
0.027	191172878
0.028	191172878
0.029	191172878
0.03	191172878
0.031	191172878
0.032	191172878
0.033	191172878
0.034	191172878
0.035	191172878
0.036	191172878
0.037	191172878
0.038	191172878
0.039	191172878
0.04	191172878
0.041	191172878
0.042	191172878
0.043	191172878
0.044	191172878
0.045	191172878
0.046	191172878
0.047	191172878
0.048	191172878
0.049	191172878
0.05	191172878
0.051	191172878
0.052	191172878
0.053	191172878
0.054	191172878
0.055	191172878
0.056	191172878
0.057	191172878
0.058	191172878
0.059	191172878
0.06	191172878
0.061	191172878
0.062	191172878
0.063	191172878
0.064	191172878
0.065	191172878
0.066	191172878
0.067	191172878
0.068	191172878
0.069	191172878
0.07	191172878
0.071	191172878
0.072	191172878
0.073	191172878
0.074	191172878
0.075	191172878
0.076	191172878
0.077	191172878
0.078	191172878
0.079	191172878
0.08	191172878
0.081	191172878
0.082	182900038
0.083	182900038
0.084	182900038
0.085	182900038
0.086	182900038
0.087	182900038
0.088	182900038
0.089	182900038
0.09	182900038
0.091	182900038
0.092	182900038
0.093	182900038
0.094	182900038
0.095	182900038
0.096	182900038
0.097	182900038
0.098	182900038
0.099	182900038
0.1	182900038
0.101	182900038
0.102	182900038
0.103	182900038
0.104	182900038
0.105	182900038
0.106	182900038
0.107	182900038
0.108	182900038
0.109	182900038
0.11	182900038
0.111	182900038
0.112	182900038
0.113	182900038
0.114	182900038
0.115	182900038
0.116	182900038
0.117	182900038
0.118	182900038
0.119	182900038
0.12	182900038
0.121	182900038
0.122	182900038
0.123	182900038
0.124	182900038
0.125	182900038
0.126	182900038
0.127	182900038
0.128	182900038
0.129	182900038
0.13	182900038
0.131	182900038
0.132	182900038
0.133	182900038
0.134	182900038
0.135	182900038
0.136	182900038
0.137	182900038
0.138	182900038
0.139	182900038
0.14	182900038
0.141	182900038
0.142	182900038
0.143	182900038
0.144	182900038
0.145	182900038
0.146	182900038
0.147	182900038
0.148	182900038
0.149	182900038
0.15	182900038
0.151	182900038
0.152	182900038
0.153	182900038
0.154	182900038
0.155	182900038
0.156	182900038
0.157	182900038
0.158	182900038
0.159	182900038
0.16	170260111
0.161	170260111
0.162	170260111
0.163	170260111
0.164	170260111
0.165	170260111
0.166	170260111
0.167	170260111
0.168	170260111
0.169	170260111
0.17	170260111
0.171	170260111
0.172	170260111
0.173	170260111
0.174	170260111
0.175	170260111
0.176	170260111
0.177	170260111
0.178	170260111
0.179	170260111
0.18	170260111
0.181	170260111
0.182	170260111
0.183	170260111
0.184	170260111
0.185	170260111
0.186	170260111
0.187	170260111
0.188	170260111
0.189	170260111
0.19	170260111
0.191	170260111
0.192	170260111
0.193	170260111
0.194	170260111
0.195	170260111
0.196	170260111
0.197	170260111
0.198	170260111
0.199	170260111
0.2	170260111
0.201	170260111
0.202	170260111
0.203	170260111
0.204	170260111
0.205	170260111
0.206	170260111
0.207	170260111
0.208	170260111
0.209	170260111
0.21	170260111
0.211	170260111
0.212	170260111
0.213	170260111
0.214	170260111
0.215	170260111
0.216	170260111
0.217	170260111
0.218	170260111
0.219	170260111
0.22	170260111
0.221	170260111
0.222	170260111
0.223	170260111
0.224	170260111
0.225	170260111
0.226	170260111
0.227	170260111
0.228	170260111
0.229	170260111
0.23	170260111
0.231	170260111
0.232	161601064
0.233	161601064
0.234	161601064
0.235	161601064
0.236	161601064
0.237	161601064
0.238	161601064
0.239	161601064
0.24	161601064
0.241	161601064
0.242	161601064
0.243	161601064
0.244	161601064
0.245	161601064
0.246	161601064
0.247	161601064
0.248	161601064
0.249	161601064
0.25	161601064
0.251	161601064
0.252	161601064
0.253	161601064
0.254	161601064
0.255	161601064
0.256	161601064
0.257	161601064
0.258	161601064
0.259	161601064
0.26	161601064
0.261	161601064
0.262	161601064
0.263	161601064
0.264	161601064
0.265	161601064
0.266	161601064
0.267	161601064
0.268	161601064
0.269	161601064
0.27	161601064
0.271	161601064
0.272	161601064
0.273	161601064
0.274	161601064
0.275	161601064
0.276	161601064
0.277	161601064
0.278	161601064
0.279	161601064
