fraction	Nx_length
0.001	78618297
0.002	78618297
0.003	78618297
0.004	78618297
0.005	78618297
0.006	78618297
0.007	78618297
0.008	78618297
0.009	78618297
0.01	78618297
0.011	78618297
0.012	78618297
0.013	78618297
0.014	78618297
0.015	78618297
0.016	78618297
0.017	78618297
0.018	78618297
0.019	78618297
0.02	78618297
0.021	78618297
0.022	78618297
0.023	78618297
0.024	78618297
0.025	78618297
0.026	78618297
0.027	78618297
0.028	78618297
0.029	52982956
0.03	52982956
0.031	52982956
0.032	52982956
0.033	52982956
0.034	52982956
0.035	52982956
0.036	52982956
0.037	52982956
0.038	52982956
0.039	52982956
0.04	52982956
0.041	52982956
0.042	52982956
0.043	52982956
0.044	52982956
0.045	52982956
0.046	52982956
0.047	52982956
0.048	52982956
0.049	47036198
0.05	47036198
0.051	47036198
0.052	47036198
0.053	47036198
0.054	47036198
0.055	47036198
0.056	47036198
0.057	47036198
0.058	47036198
0.059	47036198
0.06	47036198
0.061	47036198
0.062	47036198
0.063	47036198
0.064	47036198
0.065	47036198
0.066	38953687
0.067	38953687
0.068	38953687
0.069	38953687
0.07	38953687
0.071	38953687
0.072	38953687
0.073	38953687
0.074	38953687
0.075	38953687
0.076	38953687
0.077	38953687
0.078	38953687
0.079	38953687
0.08	32184374
0.081	32184374
0.082	32184374
0.083	32184374
0.084	32184374
0.085	32184374
0.086	32184374
0.087	32184374
0.088	32184374
0.089	32184374
0.09	32184374
0.091	32184374
0.092	31810334
0.093	31810334
0.094	31810334
0.095	31810334
0.096	31810334
0.097	31810334
0.098	31810334
0.099	31810334
0.1	31810334
0.101	31810334
0.102	31810334
0.103	29049280
0.104	29049280
0.105	29049280
0.106	29049280
0.107	29049280
0.108	29049280
0.109	29049280
0.11	29049280
0.111	29049280
0.112	29049280
0.113	29049280
0.114	28684838
0.115	28684838
0.116	28684838
0.117	28684838
0.118	28684838
0.119	28684838
0.12	28684838
0.121	28684838
0.122	28684838
0.123	28684838
0.124	27375223
0.125	27375223
0.126	27375223
0.127	27375223
0.128	27375223
0.129	27375223
0.13	27375223
0.131	27375223
0.132	27375223
0.133	27375223
0.134	27086444
0.135	27086444
0.136	27086444
0.137	27086444
0.138	27086444
0.139	27086444
0.14	27086444
0.141	27086444
0.142	27086444
0.143	27086444
0.144	25861298
0.145	25861298
0.146	25861298
0.147	25861298
0.148	25861298
0.149	25861298
0.15	25861298
0.151	25861298
0.152	25861298
0.153	25861298
0.154	25686033
0.155	25686033
0.156	25686033
0.157	25686033
0.158	25686033
0.159	25686033
0.16	25686033
0.161	25686033
0.162	25686033
0.163	25319937
0.164	25319937
0.165	25319937
0.166	25319937
0.167	25319937
0.168	25319937
0.169	25319937
0.17	25319937
0.171	25319937
0.172	24418424
0.173	24418424
0.174	24418424
0.175	24418424
0.176	24418424
0.177	24418424
0.178	24418424
0.179	24418424
0.18	24418424
0.181	24219916
0.182	24219916
0.183	24219916
0.184	24219916
0.185	24219916
0.186	24219916
0.187	24219916
0.188	24219916
0.189	24219916
0.19	23697256
0.191	23697256
0.192	23697256
0.193	23697256
0.194	23697256
0.195	23697256
0.196	23697256
0.197	23697256
0.198	23697256
0.199	23242895
0.2	23242895
0.201	23242895
0.202	23242895
0.203	23242895
0.204	23242895
0.205	23242895
0.206	23242895
0.207	22808515
0.208	22808515
0.209	22808515
0.21	22808515
0.211	22808515
0.212	22808515
0.213	22808515
0.214	22808515
0.215	22589593
0.216	22589593
0.217	22589593
0.218	22589593
0.219	22589593
0.22	22589593
0.221	22589593
0.222	22589593
0.223	22589593
0.224	22256736
0.225	22256736
0.226	22256736
0.227	22256736
0.228	22256736
0.229	22256736
0.23	22256736
0.231	22256736
0.232	22220916
0.233	22220916
0.234	22220916
0.235	22220916
0.236	22220916
0.237	22220916
0.238	22220916
0.239	22220916
0.24	22107398
0.241	22107398
0.242	22107398
0.243	22107398
0.244	22107398
0.245	22107398
0.246	22107398
0.247	22107398
0.248	21972980
0.249	21972980
0.25	21972980
0.251	21972980
0.252	21972980
0.253	21972980
0.254	21972980
0.255	21972980
0.256	21569382
0.257	21569382
0.258	21569382
0.259	21569382
0.26	21569382
0.261	21569382
0.262	21569382
0.263	21569382
0.264	20620263
0.265	20620263
0.266	20620263
0.267	20620263
0.268	20620263
0.269	20620263
0.27	20620263
0.271	20396622
0.272	20396622
0.273	20396622
0.274	20396622
0.275	20396622
0.276	20396622
0.277	20396622
0.278	20396622
0.279	19577754
0.28	19577754
0.281	19577754
0.282	19577754
0.283	19577754
0.284	19577754
0.285	19577754
0.286	18923417
0.287	18923417
0.288	18923417
0.289	18923417
0.29	18923417
0.291	18923417
0.292	18923417
0.293	18354178
0.294	18354178
0.295	18354178
0.296	18354178
0.297	18354178
0.298	18354178
0.299	18354178
0.3	18319056
0.301	18319056
0.302	18319056
0.303	18319056
0.304	18319056
0.305	18319056
0.306	17924118
0.307	17924118
0.308	17924118
0.309	17924118
0.31	17924118
0.311	17924118
0.312	17924118
0.313	17104783
0.314	17104783
0.315	17104783
0.316	17104783
0.317	17104783
0.318	17104783
0.319	17033509
0.32	17033509
0.321	17033509
0.322	17033509
0.323	17033509
0.324	17033509
0.325	16647380
0.326	16647380
0.327	16647380
0.328	16647380
0.329	16647380
0.33	16647380
0.331	16432420
0.332	16432420
0.333	16432420
0.334	16432420
0.335	16432420
0.336	16432420
0.337	16189722
0.338	16189722
0.339	16189722
0.34	16189722
0.341	16189722
0.342	16189722
0.343	16157795
0.344	16157795
0.345	16157795
0.346	16157795
0.347	16157795
0.348	16157795
0.349	15928421
0.35	15928421
0.351	15928421
0.352	15928421
0.353	15928421
0.354	15928421
0.355	15795653
0.356	15795653
0.357	15795653
0.358	15795653
0.359	15795653
0.36	15795653
0.361	15790527
0.362	15790527
0.363	15790527
0.364	15790527
0.365	15790527
0.366	15695580
0.367	15695580
0.368	15695580
0.369	15695580
0.37	15695580
0.371	15695580
0.372	15318547
0.373	15318547
0.374	15318547
0.375	15318547
0.376	15318547
0.377	15318547
0.378	15242987
0.379	15242987
0.38	15242987
0.381	15242987
0.382	15242987
0.383	14874035
0.384	14874035
0.385	14874035
0.386	14874035
0.387	14874035
0.388	14874035
0.389	14723074
0.39	14723074
0.391	14723074
0.392	14723074
0.393	14723074
0.394	14282693
0.395	14282693
0.396	14282693
0.397	14282693
0.398	14282693
0.399	14176216
0.4	14176216
0.401	14176216
0.402	14176216
0.403	14176216
0.404	14143592
0.405	14143592
0.406	14143592
0.407	14143592
0.408	14143592
0.409	14143592
0.41	14126753
0.411	14126753
0.412	14126753
0.413	14126753
0.414	14126753
0.415	13761839
0.416	13761839
0.417	13761839
0.418	13761839
0.419	13761839
0.42	13623974
0.421	13623974
0.422	13623974
0.423	13623974
0.424	13623974
0.425	13451082
0.426	13451082
0.427	13451082
0.428	13451082
0.429	13451082
0.43	13379664
0.431	13379664
0.432	13379664
0.433	13379664
0.434	13379664
0.435	13310890
0.436	13310890
0.437	13310890
0.438	13310890
0.439	12841179
0.44	12841179
0.441	12841179
0.442	12841179
0.443	12841179
0.444	12753092
0.445	12753092
0.446	12753092
0.447	12753092
0.448	12753092
0.449	12403860
0.45	12403860
0.451	12403860
0.452	12403860
0.453	12361204
0.454	12361204
0.455	12361204
0.456	12361204
0.457	12361204
0.458	12021812
0.459	12021812
0.46	12021812
0.461	12021812
0.462	11924755
0.463	11924755
0.464	11924755
0.465	11924755
0.466	11924755
0.467	11825716
0.468	11825716
0.469	11825716
0.47	11825716
0.471	11821244
0.472	11821244
0.473	11821244
0.474	11821244
0.475	11757428
0.476	11757428
0.477	11757428
0.478	11757428
0.479	11679020
0.48	11679020
0.481	11679020
0.482	11679020
0.483	11679020
0.484	11287685
0.485	11287685
0.486	11287685
0.487	11287685
0.488	10975653
0.489	10975653
0.49	10975653
0.491	10975653
0.492	10961944
0.493	10961944
0.494	10961944
0.495	10961944
0.496	10933859
0.497	10933859
0.498	10933859
0.499	10933859
0.5	10858724
0.501	10858724
0.502	10858724
0.503	10858724
0.504	10791796
0.505	10791796
0.506	10791796
0.507	10791796
0.508	10436431
0.509	10436431
0.51	10436431
0.511	10436431
0.512	10379030
0.513	10379030
0.514	10379030
0.515	10359743
0.516	10359743
0.517	10359743
0.518	10359743
0.519	10144184
0.52	10144184
0.521	10144184
0.522	10144184
0.523	10039425
0.524	10039425
0.525	10039425
0.526	10014665
0.527	10014665
0.528	10014665
0.529	10014665
0.53	9875629
0.531	9875629
0.532	9875629
0.533	9875629
0.534	9866910
0.535	9866910
0.536	9866910
0.537	9771958
0.538	9771958
0.539	9771958
0.54	9771958
0.541	9740154
0.542	9740154
0.543	9740154
0.544	9593922
0.545	9593922
0.546	9593922
0.547	9593922
0.548	9422890
0.549	9422890
0.55	9422890
0.551	9292318
0.552	9292318
0.553	9292318
0.554	9292318
0.555	9284674
0.556	9284674
0.557	9284674
0.558	8932467
0.559	8932467
0.56	8932467
0.561	8857707
0.562	8857707
0.563	8857707
0.564	8857707
0.565	8831093
0.566	8831093
0.567	8831093
0.568	8734898
0.569	8734898
0.57	8734898
0.571	8651747
0.572	8651747
0.573	8651747
0.574	8584934
0.575	8584934
0.576	8584934
0.577	8576180
0.578	8576180
0.579	8576180
0.58	8460803
0.581	8460803
0.582	8460803
0.583	8460803
0.584	8404923
0.585	8404923
0.586	8404923
0.587	8366099
0.588	8366099
0.589	8366099
0.59	8356160
0.591	8356160
0.592	8356160
0.593	8319288
0.594	8319288
0.595	8319288
0.596	8274461
0.597	8274461
0.598	8274461
0.599	8172830
0.6	8172830
0.601	8172830
0.602	7726950
0.603	7726950
0.604	7726950
0.605	7683685
0.606	7683685
0.607	7599916
0.608	7599916
0.609	7599916
0.61	7511686
0.611	7511686
0.612	7511686
0.613	7510899
0.614	7510899
0.615	7510899
0.616	7386144
0.617	7386144
0.618	7361814
0.619	7361814
0.62	7361814
0.621	7129003
0.622	7129003
0.623	7129003
0.624	7054609
0.625	7054609
0.626	7046152
0.627	7046152
0.628	7046152
0.629	6936512
0.63	6936512
0.631	6901706
0.632	6901706
0.633	6901706
0.634	6761261
0.635	6761261
0.636	6716823
0.637	6716823
0.638	6716823
0.639	6695103
0.64	6695103
0.641	6683230
0.642	6683230
0.643	6683230
0.644	6680422
0.645	6680422
0.646	6660456
0.647	6660456
0.648	6611479
0.649	6611479
0.65	6611479
0.651	6456291
0.652	6456291
0.653	6427912
0.654	6427912
0.655	6427912
0.656	6403662
0.657	6403662
0.658	6375680
0.659	6375680
0.66	6310102
0.661	6310102
0.662	6310102
0.663	6238239
0.664	6238239
0.665	6226817
0.666	6226817
0.667	6029045
0.668	6029045
0.669	6015383
0.67	6015383
0.671	6003260
0.672	6003260
0.673	6003260
0.674	5980693
0.675	5980693
0.676	5963332
0.677	5963332
0.678	5928617
0.679	5928617
0.68	5921574
0.681	5921574
0.682	5869408
0.683	5869408
0.684	5851402
0.685	5851402
0.686	5851402
0.687	5838267
0.688	5838267
0.689	5802762
0.69	5802762
0.691	5783718
0.692	5783718
0.693	5624588
0.694	5624588
0.695	5598858
0.696	5598858
0.697	5565130
0.698	5565130
0.699	5514941
0.7	5514941
0.701	5483890
0.702	5483890
0.703	5448775
0.704	5448775
0.705	5430435
0.706	5430435
0.707	5381421
0.708	5381421
0.709	5286866
0.71	5286866
0.711	5247040
0.712	5247040
0.713	5241037
0.714	5241037
0.715	5185749
0.716	5185749
0.717	5147642
0.718	5147642
0.719	4976077
0.72	4971596
0.721	4971596
0.722	4935782
0.723	4935782
0.724	4917608
0.725	4917608
0.726	4910031
0.727	4910031
0.728	4866800
0.729	4841293
0.73	4841293
0.731	4677118
0.732	4677118
0.733	4642488
0.734	4642488
0.735	4519702
0.736	4492400
0.737	4492400
0.738	4440403
0.739	4422592
0.74	4422592
0.741	4335409
0.742	4335409
0.743	4312910
0.744	4168217
0.745	4168217
0.746	4161669
0.747	4145290
0.748	4145290
0.749	4132178
0.75	4121210
0.751	4121210
0.752	4104432
0.753	4084630
0.754	4084630
0.755	4067125
0.756	4066447
0.757	4066447
0.758	4056851
0.759	4051597
0.76	4051597
0.761	4003221
0.762	3929395
0.763	3929395
0.764	3906667
0.765	3881130
0.766	3865711
0.767	3865711
0.768	3860229
0.769	3842522
0.77	3842522
0.771	3837716
0.772	3830248
0.773	3821973
0.774	3821973
0.775	3792225
0.776	3741823
0.777	3741823
0.778	3731411
0.779	3643444
0.78	3605733
0.781	3605733
0.782	3601089
0.783	3559879
0.784	3433342
0.785	3409812
0.786	3409812
0.787	3371613
0.788	3314348
0.789	3311175
0.79	3299221
0.791	3299221
0.792	3295311
0.793	3289576
0.794	3267754
0.795	3264628
0.796	3246840
0.797	3246840
0.798	3235316
0.799	3233450
0.8	3153579
0.801	3139399
0.802	3131089
0.803	3096769
0.804	3078633
0.805	3078633
0.806	3046568
0.807	3035698
0.808	3034453
0.809	3032737
0.81	3009392
0.811	2983603
0.812	2963272
0.813	2932325
0.814	2922680
0.815	2900757
0.816	2891283
0.817	2891283
0.818	2867672
0.819	2859281
0.82	2854536
0.821	2844787
0.822	2841487
0.823	2767763
0.824	2753229
0.825	2749673
0.826	2747781
0.827	2733391
0.828	2720601
0.829	2712990
0.83	2711175
0.831	2705035
0.832	2704731
0.833	2696731
0.834	2644484
0.835	2591852
0.836	2557421
0.837	2548170
0.838	2539860
0.839	2527292
0.84	2515096
0.841	2511649
0.842	2505248
0.843	2470404
0.844	2437394
0.845	2378631
0.846	2377381
0.847	2354786
0.848	2336684
0.849	2312901
0.85	2297027
0.851	2271047
0.852	2265285
0.853	2219541
0.854	2204799
0.855	2190775
0.856	2183638
0.857	2181426
0.858	2168393
0.859	2158097
0.86	2147696
0.861	2147626
0.862	2105237
0.863	2083774
0.864	2052700
0.865	2030395
0.866	1986248
0.867	1975007
0.868	1973174
0.869	1947790
0.87	1944909
0.871	1908847
0.872	1861121
0.873	1840985
0.874	1824436
0.875	1801749
0.876	1770472
0.877	1727137
0.878	1722164
0.879	1711360
0.88	1703841
0.881	1689794
0.882	1673206
0.883	1656690
0.884	1644961
0.885	1636984
0.886	1620055
0.887	1605867
0.888	1590901
0.889	1551783
0.89	1508641
0.891	1500734
0.892	1485092
0.893	1470634
0.894	1452813
0.895	1425249
0.896	1406215
0.897	1391817
0.898	1369334
0.899	1352345
0.9	1316638
0.901	1301158
0.902	1284510
0.903	1264964
0.904	1254718
0.905	1241060
0.906	1239727
0.907	1224305
0.908	1201986
0.909	1185886
0.91	1168878
0.911	1156781
0.912	1133231
0.913	1111446
0.914	1104268
0.915	1073095
0.916	1064738
0.917	1059536
0.918	1044007
0.919	1027212
0.92	996259
0.921	991423
0.922	968902
0.923	955629
0.924	938821
0.925	929830
0.926	915496
0.927	901559
0.928	892007
0.929	884805
0.93	882590
0.931	878984
0.932	859161
0.933	812102
0.934	805221
0.935	795089
0.936	779356
0.937	730544
0.938	717437
0.939	708327
0.94	697350
0.941	686751
0.942	676535
0.943	664240
0.944	638231
0.945	630217
0.946	618747
0.947	606224
0.948	578709
0.949	561253
0.95	547254
0.951	529278
0.952	509637
0.953	490027
0.954	470195
0.955	452412
0.956	433568
0.957	417949
0.958	404508
0.959	373053
0.96	328340
0.961	303619
0.962	273449
0.963	265192
0.964	249788
0.965	221570
0.966	201457
0.967	187540
0.968	173551
0.969	156936
0.97	140838
0.971	117777
0.972	108824
0.973	91886
0.974	81677
0.975	73816
0.976	65758
0.977	57735
0.978	51423
0.979	46974
0.98	41437
0.981	37474
0.982	33519
0.983	30680
0.984	27686
0.985	25298
0.986	23208
0.987	21416
0.988	19565
0.989	18266
0.99	16949
0.991	15628
0.992	14406
0.993	13248
0.994	11858
0.995	10798
0.996	9648
0.997	8419
0.998	6931
0.999	5039
1.0	503
