fraction	Nx_length
0.001	341137916
0.002	341137916
0.003	341137916
0.004	341137916
0.005	341137916
0.006	341137916
0.007	341137916
0.008	341137916
0.009	341137916
0.01	341137916
0.011	341137916
0.012	341137916
0.013	341137916
0.014	341137916
0.015	341137916
0.016	341137916
0.017	341137916
0.018	341137916
0.019	341137916
0.02	341137916
0.021	341137916
0.022	341137916
0.023	341137916
0.024	341137916
0.025	341137916
0.026	341137916
0.027	341137916
0.028	341137916
0.029	341137916
0.03	341137916
0.031	341137916
0.032	341137916
0.033	341137916
0.034	341137916
0.035	341137916
0.036	341137916
0.037	341137916
0.038	341137916
0.039	341137916
0.04	341137916
0.041	341137916
0.042	341137916
0.043	341137916
0.044	341137916
0.045	341137916
0.046	341137916
0.047	341137916
0.048	341137916
0.049	341137916
0.05	341137916
0.051	341137916
0.052	341137916
0.053	341137916
0.054	341137916
0.055	341137916
0.056	341137916
0.057	341137916
0.058	341137916
0.059	341137916
0.06	341137916
0.061	341137916
0.062	341137916
0.063	341137916
0.064	341137916
0.065	341137916
0.066	341137916
0.067	341137916
0.068	341137916
0.069	341137916
0.07	341137916
0.071	341137916
0.072	341137916
0.073	341137916
0.074	341137916
0.075	341137916
0.076	341137916
0.077	341137916
0.078	341137916
0.079	341137916
0.08	341137916
0.081	341137916
0.082	341137916
0.083	341137916
0.084	341137916
0.085	341137916
0.086	341137916
0.087	341137916
0.088	341137916
0.089	341137916
0.09	341137916
0.091	341137916
0.092	341137916
0.093	341137916
0.094	341137916
0.095	341137916
0.096	341137916
0.097	341137916
0.098	341137916
0.099	341137916
0.1	341137916
0.101	341137916
0.102	341137916
0.103	341137916
0.104	341137916
0.105	341137916
0.106	341137916
0.107	341137916
0.108	341137916
0.109	341137916
0.11	341137916
0.111	341137916
0.112	341137916
0.113	341137916
0.114	341137916
0.115	341137916
0.116	341137916
0.117	341137916
0.118	341137916
0.119	341137916
0.12	341137916
0.121	341137916
0.122	341137916
0.123	341137916
0.124	341137916
0.125	299885588
0.126	299885588
0.127	299885588
0.128	299885588
0.129	299885588
0.13	299885588
0.131	299885588
0.132	299885588
0.133	299885588
0.134	299885588
0.135	299885588
0.136	299885588
0.137	299885588
0.138	299885588
0.139	299885588
0.14	299885588
0.141	299885588
0.142	299885588
0.143	299885588
0.144	299885588
0.145	299885588
0.146	299885588
0.147	299885588
0.148	299885588
0.149	299885588
0.15	299885588
0.151	299885588
0.152	299885588
0.153	299885588
0.154	299885588
0.155	299885588
0.156	299885588
0.157	299885588
0.158	299885588
0.159	299885588
0.16	299885588
0.161	299885588
0.162	299885588
0.163	299885588
0.164	299885588
0.165	299885588
0.166	299885588
0.167	299885588
0.168	299885588
0.169	299885588
0.17	299885588
0.171	299885588
0.172	299885588
0.173	299885588
0.174	299885588
0.175	299885588
0.176	299885588
0.177	299885588
0.178	299885588
0.179	299885588
0.18	299885588
0.181	299885588
0.182	299885588
0.183	299885588
0.184	299885588
0.185	299885588
0.186	299885588
0.187	299885588
0.188	299885588
0.189	299885588
0.19	299885588
0.191	299885588
0.192	299885588
0.193	299885588
0.194	299885588
0.195	299885588
0.196	299885588
0.197	299885588
0.198	299885588
0.199	299885588
0.2	299885588
0.201	299885588
0.202	299885588
0.203	299885588
0.204	299885588
0.205	299885588
0.206	299885588
0.207	299885588
0.208	299885588
0.209	299885588
0.21	299885588
0.211	299885588
0.212	299885588
0.213	299885588
