fraction	Nx_length
0.001	141592093
0.002	141592093
0.003	141592093
0.004	141592093
0.005	141592093
0.006	141592093
0.007	141592093
0.008	141592093
0.009	141592093
0.01	141592093
0.011	141592093
0.012	141592093
0.013	141592093
0.014	141592093
0.015	141592093
0.016	141592093
0.017	141592093
0.018	141592093
0.019	141592093
0.02	141592093
0.021	141592093
0.022	141592093
0.023	141592093
0.024	141592093
0.025	141592093
0.026	141592093
0.027	141592093
0.028	141592093
0.029	141592093
0.03	141592093
0.031	141592093
0.032	141592093
0.033	141592093
0.034	141592093
0.035	141592093
0.036	141592093
0.037	141592093
0.038	141592093
0.039	141592093
0.04	141592093
0.041	141592093
0.042	141592093
0.043	141592093
0.044	141592093
0.045	141592093
0.046	141592093
0.047	141592093
0.048	141592093
0.049	141592093
0.05	141592093
0.051	141592093
0.052	141592093
0.053	141592093
0.054	141592093
0.055	141592093
0.056	141592093
0.057	141592093
0.058	141592093
0.059	141592093
0.06	141592093
0.061	141592093
0.062	141592093
0.063	141592093
0.064	141592093
0.065	141592093
0.066	141592093
0.067	141592093
0.068	141592093
0.069	141592093
0.07	141592093
0.071	141592093
0.072	141592093
0.073	141592093
0.074	141592093
0.075	141592093
0.076	141592093
0.077	141592093
0.078	141592093
0.079	141592093
0.08	141592093
0.081	141592093
0.082	141592093
0.083	106402210
0.084	106402210
0.085	106402210
0.086	106402210
0.087	106402210
0.088	106402210
0.089	106402210
0.09	106402210
0.091	106402210
0.092	106402210
0.093	106402210
0.094	106402210
0.095	106402210
0.096	106402210
0.097	106402210
0.098	106402210
0.099	106402210
0.1	106402210
0.101	106402210
0.102	106402210
0.103	106402210
0.104	106402210
0.105	106402210
0.106	106402210
0.107	106402210
0.108	106402210
0.109	106402210
0.11	106402210
0.111	106402210
0.112	106402210
0.113	106402210
0.114	106402210
0.115	106402210
0.116	106402210
0.117	106402210
0.118	106402210
0.119	106402210
0.12	106402210
0.121	106402210
0.122	106402210
0.123	106402210
0.124	106402210
0.125	106402210
0.126	106402210
0.127	106402210
0.128	106402210
0.129	106402210
0.13	106402210
0.131	106402210
0.132	106402210
0.133	106402210
0.134	106402210
0.135	106402210
0.136	106402210
0.137	106402210
0.138	106402210
0.139	106402210
0.14	106402210
0.141	106402210
0.142	106402210
0.143	106402210
0.144	106402210
0.145	106402210
0.146	103322721
0.147	103322721
0.148	103322721
0.149	103322721
0.15	103322721
0.151	103322721
0.152	103322721
0.153	103322721
0.154	103322721
0.155	103322721
0.156	103322721
0.157	103322721
0.158	103322721
0.159	103322721
0.16	103322721
0.161	103322721
0.162	103322721
0.163	103322721
0.164	103322721
0.165	103322721
0.166	103322721
0.167	103322721
0.168	103322721
0.169	103322721
0.17	103322721
0.171	103322721
0.172	103322721
0.173	103322721
0.174	103322721
0.175	103322721
0.176	103322721
0.177	103322721
0.178	103322721
0.179	103322721
0.18	103322721
0.181	103322721
0.182	103322721
0.183	103322721
0.184	103322721
0.185	103322721
0.186	103322721
0.187	103322721
0.188	103322721
0.189	103322721
0.19	103322721
0.191	103322721
0.192	103322721
0.193	103322721
0.194	103322721
0.195	103322721
0.196	103322721
0.197	103322721
0.198	103322721
0.199	103322721
0.2	103322721
0.201	103322721
0.202	103322721
0.203	103322721
0.204	103322721
0.205	103322721
0.206	101532744
0.207	101532744
0.208	101532744
0.209	101532744
0.21	101532744
0.211	101532744
0.212	101532744
0.213	101532744
0.214	101532744
0.215	101532744
0.216	101532744
0.217	101532744
0.218	101532744
0.219	101532744
0.22	101532744
0.221	101532744
0.222	101532744
0.223	101532744
0.224	101532744
0.225	101532744
0.226	101532744
0.227	101532744
0.228	101532744
0.229	101532744
0.23	101532744
0.231	101532744
0.232	101532744
0.233	101532744
0.234	101532744
0.235	101532744
0.236	101532744
0.237	101532744
0.238	101532744
0.239	101532744
0.24	101532744
0.241	101532744
0.242	101532744
0.243	101532744
0.244	101532744
0.245	101532744
0.246	101532744
0.247	101532744
0.248	101532744
0.249	101532744
0.25	101532744
0.251	101532744
0.252	101532744
0.253	101532744
0.254	101532744
0.255	101532744
0.256	101532744
0.257	101532744
0.258	101532744
0.259	101532744
0.26	101532744
0.261	101532744
0.262	101532744
0.263	101532744
0.264	101532744
0.265	101532744
0.266	101283997
0.267	101283997
0.268	101283997
0.269	101283997
0.27	101283997
0.271	101283997
0.272	101283997
0.273	101283997
0.274	101283997
0.275	101283997
0.276	101283997
0.277	101283997
0.278	101283997
0.279	101283997
0.28	101283997
0.281	101283997
