fraction	Nx_length
0.001	269273026
0.002	269273026
0.003	269273026
0.004	269273026
0.005	269273026
0.006	269273026
0.007	269273026
0.008	269273026
0.009	269273026
0.01	269273026
0.011	269273026
0.012	269273026
0.013	269273026
0.014	269273026
0.015	269273026
0.016	269273026
0.017	269273026
0.018	269273026
0.019	269273026
0.02	269273026
0.021	269273026
0.022	269273026
0.023	269273026
0.024	269273026
0.025	269273026
0.026	269273026
0.027	269273026
0.028	269273026
0.029	269273026
0.03	269273026
0.031	269273026
0.032	269273026
0.033	269273026
0.034	269273026
0.035	269273026
0.036	269273026
0.037	269273026
0.038	269273026
0.039	269273026
0.04	269273026
0.041	269273026
0.042	269273026
0.043	269273026
0.044	269273026
0.045	269273026
0.046	269273026
0.047	269273026
0.048	269273026
0.049	269273026
0.05	269273026
0.051	269273026
0.052	269273026
0.053	269273026
0.054	269273026
0.055	269273026
0.056	269273026
0.057	269273026
0.058	269273026
0.059	269273026
0.06	269273026
0.061	269273026
0.062	269273026
0.063	269273026
0.064	269273026
0.065	269273026
0.066	269273026
0.067	269273026
0.068	269273026
0.069	269273026
0.07	269273026
0.071	269273026
0.072	269273026
0.073	269273026
0.074	269273026
0.075	269273026
0.076	269273026
0.077	269273026
0.078	269273026
0.079	269273026
0.08	269273026
0.081	269273026
0.082	269273026
0.083	269273026
0.084	269273026
0.085	269273026
0.086	269273026
0.087	269273026
0.088	269273026
0.089	269273026
0.09	269273026
0.091	269273026
0.092	269273026
0.093	269273026
0.094	269273026
0.095	269273026
0.096	269273026
0.097	269273026
0.098	269273026
0.099	269273026
0.1	269273026
0.101	269273026
0.102	269273026
0.103	269273026
0.104	269273026
0.105	269273026
0.106	269273026
0.107	269273026
0.108	269273026
0.109	269273026
0.11	269273026
0.111	269273026
0.112	269273026
0.113	269273026
0.114	269273026
0.115	269273026
0.116	269273026
0.117	269273026
0.118	269273026
0.119	269273026
0.12	269273026
0.121	269273026
0.122	269273026
0.123	269273026
0.124	269273026
0.125	269273026
0.126	269273026
0.127	269273026
0.128	269273026
0.129	269273026
0.13	269273026
0.131	269273026
0.132	269273026
0.133	269273026
0.134	269273026
0.135	269273026
0.136	269273026
0.137	269273026
0.138	269273026
0.139	269273026
0.14	269273026
0.141	269273026
0.142	269273026
0.143	269273026
0.144	269273026
0.145	269273026
0.146	269273026
0.147	269273026
0.148	269273026
0.149	269273026
0.15	269273026
0.151	269273026
0.152	269273026
0.153	269273026
0.154	269273026
0.155	269273026
0.156	269273026
0.157	269273026
0.158	269273026
0.159	269273026
0.16	269273026
0.161	269273026
0.162	269273026
0.163	269273026
0.164	269273026
0.165	269273026
0.166	269273026
0.167	269273026
0.168	269273026
0.169	269273026
0.17	269273026
0.171	269273026
0.172	269273026
0.173	269273026
0.174	269273026
0.175	269273026
0.176	269273026
0.177	269273026
0.178	269273026
0.179	269273026
0.18	269273026
0.181	269273026
0.182	269273026
0.183	269273026
0.184	269273026
0.185	269273026
0.186	269273026
0.187	269273026
0.188	269273026
0.189	269273026
0.19	269273026
0.191	232573724
0.192	232573724
0.193	232573724
