fraction	Nx_length
0.001	1685655
0.002	1262918
0.003	1241314
0.004	1201884
0.005	1158388
0.006	1129823
0.007	1127372
0.008	1123867
0.009	1087410
0.01	1071248
0.011	1052943
0.012	1047841
0.013	998033
0.014	996585
0.015	983704
0.016	965090
0.017	950604
0.018	941379
0.019	911766
0.02	901489
0.021	895683
0.022	891680
0.023	882698
0.024	864616
0.025	854782
0.026	847206
0.027	842614
0.028	833753
0.029	831174
0.03	826628
0.031	819230
0.032	809461
0.033	807098
0.034	800165
0.035	797173
0.036	785500
0.037	779667
0.038	777245
0.039	776053
0.04	766997
0.041	763432
0.042	760857
0.043	756489
0.044	751426
0.045	750267
0.046	744140
0.047	740719
0.048	737525
0.049	734614
0.05	730388
0.051	727690
0.052	721045
0.053	719066
0.054	712575
0.055	705829
0.056	697975
0.057	694951
0.058	689365
0.059	685435
0.06	681865
0.061	678182
0.062	674104
0.063	671404
0.064	670328
0.065	666012
0.066	651032
0.067	645154
0.068	642220
0.069	639995
0.07	637169
0.071	633703
0.072	626063
0.073	623675
0.074	616383
0.075	615087
0.076	610088
0.077	607620
0.078	606037
0.079	602228
0.08	599242
0.081	595831
0.082	594710
0.083	591278
0.084	588764
0.085	581758
0.086	579629
0.087	578754
0.088	575604
0.089	573538
0.09	570471
0.091	566656
0.092	562920
0.093	561093
0.094	556810
0.095	554389
0.096	551310
0.097	549353
0.098	548268
0.099	546406
0.1	544226
0.101	542399
0.102	539847
0.103	537874
0.104	534661
0.105	531822
0.106	530202
0.107	527262
0.108	525919
0.109	523399
0.11	521806
0.111	520791
0.112	518652
0.113	517522
0.114	514209
0.115	512826
0.116	511274
0.117	507215
0.118	504379
0.119	502754
0.12	500595
0.121	499214
0.122	495405
0.123	494569
0.124	494050
0.125	492612
0.126	490455
0.127	487483
0.128	485639
0.129	483844
0.13	481566
0.131	480515
0.132	477671
0.133	474531
0.134	473693
0.135	472162
0.136	470169
0.137	469528
0.138	465235
0.139	462721
0.14	461333
0.141	460418
0.142	458385
0.143	455298
0.144	453010
0.145	451592
0.146	450509
0.147	449423
0.148	447392
0.149	446542
0.15	445025
0.151	442780
0.152	440490
0.153	438992
0.154	437845
0.155	435474
0.156	434438
0.157	433283
0.158	432388
0.159	431923
0.16	430993
0.161	429889
0.162	429304
0.163	428727
0.164	427073
0.165	424673
0.166	423959
0.167	420284
0.168	418198
0.169	416763
0.17	415643
0.171	413615
0.172	411562
0.173	410666
0.174	409422
0.175	408624
0.176	407321
0.177	405843
0.178	403002
0.179	400522
0.18	400016
0.181	398123
0.182	396979
0.183	396004
0.184	395782
0.185	394794
0.186	393874
0.187	392344
0.188	391519
0.189	390413
0.19	388701
0.191	387522
0.192	385989
0.193	385647
0.194	384425
0.195	382337
0.196	381969
0.197	381555
0.198	380866
0.199	379358
0.2	378914
0.201	378067
0.202	376374
0.203	375040
0.204	373650
0.205	372604
0.206	372076
0.207	371415
0.208	368632
0.209	368131
0.21	367757
0.211	366944
0.212	365486
0.213	364592
0.214	363676
0.215	362456
0.216	360861
0.217	360385
0.218	358934
0.219	357410
0.22	355965
0.221	355102
0.222	353907
0.223	352853
0.224	351803
0.225	351083
0.226	349312
0.227	347757
0.228	347172
0.229	345886
0.23	345162
0.231	342978
0.232	342497
0.233	341188
0.234	340421
