fraction	Nx_length
0.001	353551815
0.002	353551815
0.003	353551815
0.004	353551815
0.005	353551815
0.006	353551815
0.007	353551815
0.008	353551815
0.009	353551815
0.01	353551815
0.011	353551815
0.012	353551815
0.013	353551815
0.014	353551815
0.015	353551815
0.016	353551815
0.017	353551815
0.018	353551815
0.019	353551815
0.02	353551815
0.021	353551815
0.022	353551815
0.023	353551815
0.024	353551815
0.025	353551815
0.026	353551815
0.027	353551815
0.028	353551815
0.029	353551815
0.03	353551815
0.031	353551815
0.032	353551815
0.033	353551815
0.034	353551815
0.035	353551815
0.036	353551815
0.037	353551815
0.038	353551815
0.039	353551815
0.04	353551815
0.041	353551815
0.042	353551815
0.043	353551815
0.044	353551815
0.045	353551815
0.046	353551815
0.047	353551815
0.048	353551815
0.049	353551815
0.05	353551815
0.051	353551815
0.052	353551815
0.053	353551815
0.054	353551815
0.055	353551815
0.056	353551815
0.057	353551815
0.058	353551815
0.059	353551815
0.06	353551815
0.061	353551815
0.062	353551815
0.063	353551815
0.064	353551815
0.065	353551815
0.066	353551815
0.067	353551815
0.068	353551815
0.069	353551815
0.07	353551815
0.071	353551815
0.072	353551815
0.073	353551815
0.074	353551815
0.075	353551815
0.076	353551815
0.077	353551815
0.078	353551815
0.079	353551815
0.08	353551815
0.081	353551815
0.082	353551815
0.083	353551815
0.084	353551815
0.085	353551815
0.086	353551815
0.087	353551815
0.088	353551815
0.089	353551815
0.09	353551815
0.091	353551815
0.092	353551815
0.093	353551815
0.094	353551815
0.095	353551815
0.096	353551815
0.097	353551815
0.098	353551815
0.099	353551815
0.1	353551815
0.101	353551815
0.102	353551815
0.103	353551815
0.104	353551815
0.105	353551815
0.106	353551815
0.107	353551815
0.108	353551815
0.109	353551815
0.11	353551815
0.111	353551815
0.112	353551815
0.113	353551815
0.114	353551815
0.115	353551815
0.116	353551815
0.117	353551815
0.118	353551815
0.119	353551815
0.12	353551815
0.121	353551815
0.122	353551815
0.123	353551815
0.124	353551815
0.125	353551815
0.126	353551815
0.127	353551815
0.128	353551815
0.129	353551815
0.13	353551815
0.131	353551815
0.132	353551815
0.133	353551815
0.134	353551815
0.135	353551815
0.136	353551815
0.137	353551815
0.138	353551815
0.139	353551815
0.14	353551815
0.141	353551815
0.142	353551815
0.143	353551815
0.144	353551815
0.145	353551815
0.146	353551815
0.147	353551815
0.148	353551815
0.149	353551815
0.15	353551815
0.151	353551815
0.152	353551815
0.153	353551815
0.154	353551815
0.155	353551815
0.156	353551815
0.157	353551815
0.158	353551815
0.159	353551815
0.16	353551815
0.161	353551815
0.162	353551815
0.163	353551815
0.164	353551815
0.165	353551815
0.166	353551815
0.167	353551815
0.168	353551815
0.169	353551815
0.17	353551815
0.171	353551815
0.172	353551815
0.173	353551815
0.174	353551815
0.175	353551815
0.176	353551815
0.177	353551815
0.178	353551815
0.179	353551815
0.18	353551815
0.181	353551815
0.182	353551815
0.183	353551815
0.184	353551815
0.185	353551815
0.186	353551815
0.187	353551815
0.188	353551815
0.189	353551815
0.19	353551815
0.191	353551815
0.192	353551815
0.193	353551815
0.194	353551815
0.195	353551815
0.196	353551815
0.197	353551815
0.198	353551815
0.199	353551815
0.2	353551815
0.201	353551815
0.202	353551815
0.203	353551815
0.204	353551815
0.205	353551815
0.206	353551815
0.207	353551815
0.208	353551815
0.209	353551815
0.21	353551815
0.211	353551815
0.212	353551815
0.213	353551815
0.214	353551815
0.215	353551815
0.216	353551815
0.217	353551815
0.218	353551815
0.219	353551815
0.22	353551815
0.221	353551815
0.222	353551815
0.223	353551815
0.224	353551815
0.225	353551815
0.226	353551815
0.227	353551815
0.228	353551815
0.229	353551815
0.23	353551815
0.231	353551815
0.232	353551815
0.233	353551815
0.234	353551815
0.235	353551815
0.236	284653716
0.237	284653716
0.238	284653716
0.239	284653716
0.24	284653716
0.241	284653716
0.242	284653716
0.243	284653716
0.244	284653716
0.245	284653716
0.246	284653716
0.247	284653716
0.248	284653716
0.249	284653716
0.25	284653716
0.251	284653716
0.252	284653716
0.253	284653716
0.254	284653716
0.255	284653716
0.256	284653716
0.257	284653716
0.258	284653716
0.259	284653716
0.26	284653716
0.261	284653716
0.262	284653716
0.263	284653716
0.264	284653716
0.265	284653716
0.266	284653716
0.267	284653716
0.268	284653716
0.269	284653716
0.27	284653716
0.271	284653716
0.272	284653716
0.273	284653716
0.274	284653716
0.275	284653716
0.276	284653716
0.277	284653716
0.278	284653716
0.279	284653716
0.28	284653716
0.281	284653716
0.282	284653716
0.283	284653716
0.284	284653716
0.285	284653716
0.286	284653716
0.287	284653716
0.288	284653716
0.289	284653716
0.29	284653716
0.291	284653716
0.292	284653716
0.293	284653716
0.294	284653716
0.295	284653716
0.296	284653716
0.297	284653716
0.298	284653716
0.299	284653716
0.3	284653716
0.301	284653716
0.302	284653716
0.303	284653716
0.304	284653716
0.305	284653716
0.306	284653716
0.307	284653716
0.308	284653716
0.309	284653716
0.31	284653716
0.311	284653716
0.312	284653716
0.313	284653716
0.314	284653716
0.315	284653716
0.316	284653716
0.317	284653716
0.318	284653716
0.319	284653716
0.32	284653716
0.321	284653716
0.322	284653716
0.323	284653716
0.324	284653716
0.325	284653716
0.326	284653716
0.327	284653716
0.328	284653716
0.329	284653716
0.33	284653716
0.331	284653716
0.332	284653716
0.333	284653716
0.334	284653716
0.335	284653716
0.336	284653716
0.337	284653716
0.338	284653716
0.339	284653716
0.34	284653716
0.341	284653716
0.342	284653716
0.343	284653716
0.344	284653716
0.345	284653716
0.346	284653716
0.347	284653716
0.348	284653716
0.349	284653716
0.35	284653716
0.351	284653716
0.352	284653716
0.353	284653716
0.354	284653716
0.355	284653716
0.356	284653716
0.357	284653716
0.358	284653716
0.359	284653716
0.36	284653716
0.361	284653716
0.362	284653716
0.363	284653716
0.364	284653716
0.365	284653716
0.366	284653716
0.367	284653716
0.368	284653716
0.369	284653716
0.37	284653716
0.371	284653716
0.372	284653716
0.373	284653716
0.374	284653716
0.375	284653716
0.376	284653716
0.377	284653716
0.378	284653716
0.379	284653716
0.38	284653716
0.381	284653716
0.382	284653716
0.383	284653716
0.384	284653716
0.385	284653716
0.386	284653716
0.387	284653716
0.388	284653716
0.389	284653716
0.39	284653716
0.391	284653716
0.392	284653716
0.393	284653716
