fraction	Nx_length
0.001	321148149
0.002	321148149
0.003	321148149
0.004	321148149
0.005	321148149
0.006	321148149
0.007	321148149
0.008	321148149
0.009	321148149
0.01	321148149
0.011	321148149
0.012	321148149
0.013	321148149
0.014	321148149
0.015	321148149
0.016	321148149
0.017	321148149
0.018	321148149
0.019	321148149
0.02	321148149
0.021	321148149
0.022	321148149
0.023	321148149
0.024	321148149
0.025	321148149
0.026	321148149
0.027	321148149
0.028	321148149
0.029	321148149
0.03	321148149
0.031	321148149
0.032	321148149
0.033	321148149
0.034	321148149
0.035	321148149
0.036	321148149
0.037	321148149
0.038	321148149
0.039	321148149
0.04	321148149
0.041	321148149
0.042	321148149
0.043	321148149
0.044	321148149
0.045	321148149
0.046	321148149
0.047	321148149
0.048	321148149
0.049	321148149
0.05	321148149
0.051	321148149
0.052	321148149
0.053	321148149
0.054	321148149
0.055	321148149
0.056	321148149
0.057	321148149
0.058	321148149
0.059	321148149
0.06	321148149
0.061	321148149
0.062	321148149
0.063	321148149
0.064	321148149
0.065	321148149
0.066	321148149
0.067	321148149
0.068	321148149
0.069	321148149
0.07	321148149
0.071	321148149
0.072	321148149
0.073	321148149
0.074	321148149
0.075	321148149
0.076	321148149
0.077	321148149
0.078	321148149
0.079	321148149
0.08	321148149
0.081	321148149
0.082	321148149
0.083	321148149
0.084	321148149
0.085	321148149
0.086	321148149
0.087	321148149
0.088	321148149
0.089	321148149
0.09	321148149
0.091	321148149
0.092	321148149
0.093	321148149
0.094	321148149
0.095	321148149
0.096	321148149
0.097	321148149
0.098	321148149
0.099	321148149
0.1	321148149
0.101	321148149
0.102	321148149
0.103	321148149
0.104	321148149
0.105	321148149
0.106	321148149
0.107	321148149
0.108	321148149
0.109	321148149
0.11	321148149
0.111	321148149
0.112	321148149
0.113	321148149
0.114	321148149
0.115	321148149
0.116	321148149
0.117	321148149
0.118	321148149
0.119	321148149
0.12	321148149
0.121	321148149
0.122	321148149
0.123	321148149
0.124	321148149
0.125	321148149
0.126	321148149
0.127	321148149
0.128	321148149
0.129	321148149
0.13	321148149
0.131	301678324
0.132	301678324
0.133	301678324
0.134	301678324
0.135	301678324
0.136	301678324
0.137	301678324
0.138	301678324
0.139	301678324
0.14	301678324
0.141	301678324
0.142	301678324
0.143	301678324
0.144	301678324
0.145	301678324
0.146	301678324
0.147	301678324
0.148	301678324
0.149	301678324
0.15	301678324
0.151	301678324
0.152	301678324
0.153	301678324
0.154	301678324
0.155	301678324
0.156	301678324
0.157	301678324
0.158	301678324
0.159	301678324
0.16	301678324
0.161	301678324
0.162	301678324
0.163	301678324
0.164	301678324
0.165	301678324
0.166	301678324
0.167	301678324
0.168	301678324
0.169	301678324
0.17	301678324
0.171	301678324
0.172	301678324
0.173	301678324
0.174	301678324
0.175	301678324
0.176	301678324
0.177	301678324
0.178	301678324
0.179	301678324
0.18	301678324
0.181	301678324
0.182	301678324
0.183	301678324
0.184	301678324
0.185	301678324
0.186	301678324
0.187	301678324
0.188	301678324
0.189	301678324
0.19	301678324
0.191	301678324
0.192	301678324
0.193	301678324
0.194	301678324
0.195	301678324
0.196	301678324
0.197	301678324
0.198	301678324
0.199	301678324
0.2	301678324
0.201	301678324
0.202	301678324
0.203	301678324
0.204	301678324
0.205	301678324
0.206	301678324
0.207	301678324
0.208	301678324
0.209	301678324
0.21	301678324
0.211	301678324
0.212	301678324
0.213	301678324
0.214	301678324
0.215	301678324
0.216	301678324
0.217	301678324
0.218	301678324
0.219	301678324
0.22	301678324
0.221	301678324
0.222	301678324
0.223	301678324
0.224	301678324
0.225	301678324
0.226	301678324
0.227	301678324
0.228	301678324
0.229	301678324
0.23	301678324
0.231	301678324
0.232	301678324
0.233	301678324
0.234	301678324
0.235	301678324
0.236	301678324
0.237	301678324
0.238	301678324
0.239	301678324
0.24	301678324
0.241	301678324
0.242	301678324
0.243	301678324
0.244	301678324
0.245	301678324
0.246	301678324
0.247	301678324
0.248	301678324
0.249	301678324
0.25	301678324
0.251	301678324
0.252	301678324
0.253	180898586
0.254	180898586
0.255	180898586
0.256	180898586
0.257	180898586
0.258	180898586
0.259	180898586
0.26	180898586
0.261	180898586
0.262	180898586
0.263	180898586
0.264	180898586
0.265	180898586
0.266	180898586
0.267	180898586
0.268	180898586
0.269	180898586
0.27	180898586
0.271	180898586
0.272	180898586
0.273	180898586
0.274	180898586
0.275	180898586
0.276	180898586
0.277	180898586
0.278	180898586
0.279	180898586
0.28	180898586
0.281	180898586
0.282	180898586
0.283	180898586
0.284	180898586
0.285	180898586
0.286	180898586
0.287	180898586
0.288	180898586
0.289	180898586
0.29	180898586
0.291	180898586
0.292	180898586
0.293	180898586
0.294	180898586
0.295	180898586
0.296	180898586
0.297	180898586
0.298	180898586
0.299	180898586
0.3	180898586
0.301	180898586
0.302	180898586
0.303	180898586
0.304	180898586
0.305	180898586
0.306	180898586
0.307	180898586
0.308	180898586
0.309	180898586
0.31	180898586
0.311	180898586
0.312	180898586
0.313	180898586
0.314	180898586
0.315	180898586
0.316	180898586
0.317	180898586
0.318	180898586
0.319	180898586
0.32	180898586
0.321	180898586
0.322	180898586
0.323	180898586
0.324	180898586
0.325	180898586
0.326	177157119
0.327	177157119
0.328	177157119
0.329	177157119
0.33	177157119
0.331	177157119
0.332	177157119
0.333	177157119
0.334	177157119
0.335	177157119
0.336	177157119
0.337	177157119
0.338	177157119
0.339	177157119
0.34	177157119
0.341	177157119
0.342	177157119
0.343	177157119
0.344	177157119
0.345	177157119
0.346	177157119
0.347	177157119
0.348	177157119
0.349	177157119
0.35	177157119
0.351	177157119
0.352	177157119
0.353	177157119
0.354	177157119
0.355	177157119
0.356	177157119
0.357	177157119
0.358	177157119
0.359	177157119
0.36	177157119
0.361	177157119
0.362	177157119
0.363	177157119
0.364	177157119
0.365	177157119
0.366	177157119
0.367	177157119
0.368	177157119
0.369	177157119
0.37	177157119
0.371	177157119
0.372	177157119
0.373	177157119
0.374	177157119
0.375	177157119
0.376	177157119
0.377	177157119
0.378	177157119
0.379	177157119
0.38	177157119
0.381	177157119
0.382	177157119
0.383	177157119
0.384	177157119
0.385	177157119
0.386	177157119
0.387	177157119
0.388	177157119
0.389	177157119
0.39	177157119
0.391	177157119
0.392	177157119
0.393	177157119
0.394	177157119
0.395	177157119
0.396	177157119
0.397	177157119
0.398	165831548
0.399	165831548
0.4	165831548
0.401	165831548
0.402	165831548
0.403	165831548
0.404	165831548
0.405	165831548
0.406	165831548
0.407	165831548
0.408	165831548
0.409	165831548
0.41	165831548
0.411	165831548
0.412	165831548
0.413	165831548
0.414	165831548
0.415	165831548
0.416	165831548
0.417	165831548
0.418	165831548
0.419	165831548
0.42	165831548
0.421	165831548
0.422	165831548
0.423	165831548
0.424	165831548
0.425	165831548
0.426	165831548
0.427	165831548
0.428	165831548
0.429	165831548
0.43	165831548
0.431	165831548
