fraction	Nx_length
0.001	53393834
0.002	53393834
0.003	53393834
0.004	53393834
0.005	53393834
0.006	53393834
0.007	53393834
0.008	53393834
0.009	53393834
0.01	53393834
0.011	53393834
0.012	53393834
0.013	53393834
0.014	53393834
0.015	53393834
0.016	53393834
0.017	53393834
0.018	53393834
0.019	53393834
0.02	53393834
0.021	45850104
0.022	45850104
0.023	45850104
0.024	45850104
0.025	45850104
0.026	45850104
0.027	45850104
0.028	45850104
0.029	45850104
0.03	45850104
0.031	45850104
0.032	45850104
0.033	45850104
0.034	45850104
0.035	45850104
0.036	45850104
0.037	45850104
0.038	44795930
0.039	44795930
0.04	44795930
0.041	44795930
0.042	44795930
0.043	44795930
0.044	44795930
0.045	44795930
0.046	44795930
0.047	44795930
0.048	44795930
0.049	44795930
0.05	44795930
0.051	44795930
0.052	44795930
0.053	44795930
0.054	44795930
0.055	39303841
0.056	39303841
0.057	39303841
0.058	39303841
0.059	39303841
0.06	39303841
0.061	39303841
0.062	39303841
0.063	39303841
0.064	39303841
0.065	39303841
0.066	39303841
0.067	39303841
0.068	39303841
0.069	39303841
0.07	39236268
0.071	39236268
0.072	39236268
0.073	39236268
0.074	39236268
0.075	39236268
0.076	39236268
0.077	39236268
0.078	39236268
0.079	39236268
0.08	39236268
0.081	39236268
0.082	39236268
0.083	39236268
0.084	39236268
0.085	38589576
0.086	38589576
0.087	38589576
0.088	38589576
0.089	38589576
0.09	38589576
0.091	38589576
0.092	38589576
0.093	38589576
0.094	38589576
0.095	38589576
0.096	38589576
0.097	38589576
0.098	38589576
0.099	38589576
0.1	36576080
0.101	36576080
0.102	36576080
0.103	36576080
0.104	36576080
0.105	36576080
0.106	36576080
0.107	36576080
0.108	36576080
0.109	36576080
0.11	36576080
0.111	36576080
0.112	36576080
0.113	36576080
0.114	36104524
0.115	36104524
0.116	36104524
0.117	36104524
0.118	36104524
0.119	36104524
0.12	36104524
0.121	36104524
0.122	36104524
0.123	36104524
0.124	36104524
0.125	36104524
0.126	36104524
0.127	35801157
0.128	35801157
0.129	35801157
0.13	35801157
0.131	35801157
0.132	35801157
0.133	35801157
0.134	35801157
0.135	35801157
0.136	35801157
0.137	35801157
0.138	35801157
0.139	35801157
0.14	35801157
0.141	35242649
0.142	35242649
0.143	35242649
0.144	35242649
0.145	35242649
0.146	35242649
0.147	35242649
0.148	35242649
0.149	35242649
0.15	35242649
0.151	35242649
0.152	35242649
0.153	35242649
0.154	35089383
0.155	35089383
0.156	35089383
0.157	35089383
0.158	35089383
0.159	35089383
0.16	35089383
0.161	35089383
0.162	35089383
0.163	35089383
0.164	35089383
0.165	35089383
0.166	35089383
0.167	35089383
0.168	33585821
0.169	33585821
0.17	33585821
0.171	33585821
0.172	33585821
0.173	33585821
0.174	33585821
0.175	33585821
0.176	33585821
0.177	33585821
0.178	33585821
0.179	33585821
0.18	33037232
0.181	33037232
0.182	33037232
0.183	33037232
0.184	33037232
0.185	33037232
0.186	33037232
0.187	33037232
0.188	33037232
0.189	33037232
0.19	33037232
0.191	33037232
0.192	33037232
0.193	32024705
0.194	32024705
0.195	32024705
0.196	32024705
0.197	32024705
0.198	32024705
0.199	32024705
0.2	32024705
0.201	32024705
0.202	32024705
0.203	32024705
0.204	32024705
0.205	29391615
0.206	29391615
0.207	29391615
0.208	29391615
0.209	29391615
0.21	29391615
0.211	29391615
0.212	29391615
0.213	29391615
0.214	29391615
0.215	29391615
0.216	27452871
0.217	27452871
0.218	27452871
0.219	27452871
0.22	27452871
0.221	27452871
0.222	27452871
0.223	27452871
0.224	27452871
0.225	27452871
0.226	27452871
0.227	26361547
0.228	26361547
0.229	26361547
0.23	26361547
0.231	26361547
0.232	26361547
0.233	26361547
0.234	26361547
0.235	26361547
0.236	26361547
0.237	26022098
0.238	26022098
0.239	26022098
0.24	26022098
0.241	26022098
0.242	26022098
0.243	26022098
0.244	26022098
0.245	26022098
0.246	26022098
0.247	25993571
0.248	25993571
0.249	25993571
0.25	25993571
0.251	25993571
0.252	25993571
0.253	25993571
0.254	25993571
0.255	25993571
0.256	25805806
0.257	25805806
0.258	25805806
0.259	25805806
0.26	25805806
0.261	25805806
0.262	25805806
0.263	25805806
0.264	25805806
0.265	25805806
0.266	25095897
0.267	25095897
0.268	25095897
0.269	25095897
0.27	25095897
0.271	25095897
0.272	25095897
0.273	25095897
0.274	25095897
0.275	25095897
0.276	25048509
0.277	25048509
0.278	25048509
0.279	25048509
0.28	25048509
0.281	25048509
0.282	25048509
0.283	25048509
0.284	25048509
0.285	24703684
0.286	24703684
0.287	24703684
0.288	24703684
0.289	24703684
0.29	24703684
0.291	24703684
0.292	24703684
0.293	24703684
0.294	24703684
0.295	24335229
0.296	24335229
0.297	24335229
0.298	24335229
0.299	24335229
0.3	24335229
0.301	24335229
0.302	24335229
0.303	24335229
0.304	23637569
0.305	23637569
0.306	23637569
0.307	23637569
0.308	23637569
0.309	23637569
0.31	23637569
0.311	23637569
0.312	23637569
0.313	23002198
0.314	23002198
0.315	23002198
0.316	23002198
0.317	23002198
0.318	23002198
0.319	23002198
0.32	23002198
0.321	23002198
0.322	22780752
0.323	22780752
0.324	22780752
0.325	22780752
0.326	22780752
0.327	22780752
0.328	22780752
0.329	22780752
0.33	22690031
0.331	22690031
0.332	22690031
0.333	22690031
0.334	22690031
0.335	22690031
0.336	22690031
0.337	22690031
0.338	22690031
0.339	22689354
0.34	22689354
0.341	22689354
0.342	22689354
0.343	22689354
0.344	22689354
0.345	22689354
0.346	22689354
0.347	22271463
0.348	22271463
0.349	22271463
0.35	22271463
0.351	22271463
0.352	22271463
0.353	22271463
0.354	22271463
0.355	22271463
0.356	21910363
0.357	21910363
0.358	21910363
0.359	21910363
0.36	21910363
0.361	21910363
0.362	21910363
0.363	21910363
0.364	21850086
0.365	21850086
0.366	21850086
0.367	21850086
0.368	21850086
0.369	21850086
0.37	21850086
0.371	21850086
0.372	21850086
0.373	20671309
0.374	20671309
0.375	20671309
0.376	20671309
0.377	20671309
0.378	20671309
0.379	20671309
0.38	20588783
0.381	20588783
0.382	20588783
0.383	20588783
0.384	20588783
0.385	20588783
0.386	20588783
0.387	20588783
0.388	19929368
0.389	19929368
0.39	19929368
0.391	19929368
0.392	19929368
0.393	19929368
0.394	19929368
0.395	19929368
0.396	19911117
0.397	19911117
0.398	19911117
0.399	19911117
0.4	19911117
0.401	19911117
0.402	19911117
0.403	19699175
0.404	19699175
0.405	19699175
0.406	19699175
0.407	19699175
0.408	19699175
0.409	19699175
0.41	19699175
0.411	19376772
0.412	19376772
0.413	19376772
0.414	19376772
0.415	19376772
0.416	19376772
0.417	19376772
0.418	18435163
0.419	18435163
0.42	18435163
0.421	18435163
0.422	18435163
0.423	18435163
0.424	18435163
0.425	18008662
0.426	18008662
0.427	18008662
0.428	18008662
0.429	18008662
0.43	18008662
0.431	18008662
0.432	17655099
0.433	17655099
0.434	17655099
0.435	17655099
0.436	17655099
0.437	17655099
0.438	17655099
0.439	17609341
0.44	17609341
0.441	17609341
0.442	17609341
0.443	17609341
0.444	17609341
0.445	17380944
0.446	17380944
0.447	17380944
0.448	17380944
0.449	17380944
0.45	17380944
0.451	17380944
0.452	16646333
0.453	16646333
0.454	16646333
0.455	16646333
0.456	16646333
0.457	16646333
0.458	16081005
0.459	16081005
0.46	16081005
0.461	16081005
0.462	16081005
0.463	16081005
0.464	15729563
0.465	15729563
0.466	15729563
0.467	15729563
0.468	15729563
0.469	15729563
0.47	15372385
0.471	15372385
0.472	15372385
0.473	15372385
0.474	15372385
0.475	15372385
0.476	15128817
0.477	15128817
0.478	15128817
0.479	15128817
0.48	15128817
0.481	15128817
0.482	14938436
0.483	14938436
0.484	14938436
0.485	14938436
0.486	14938436
0.487	14938436
0.488	14851639
0.489	14851639
0.49	14851639
0.491	14851639
0.492	14851639
0.493	14791495
0.494	14791495
0.495	14791495
0.496	14791495
0.497	14791495
0.498	14791495
0.499	14376057
0.5	14376057
0.501	14376057
0.502	14376057
0.503	14376057
0.504	14103151
0.505	14103151
0.506	14103151
0.507	14103151
0.508	14103151
0.509	14103151
0.51	13467570
0.511	13467570
0.512	13467570
0.513	13467570
0.514	13467570
0.515	13255596
0.516	13255596
0.517	13255596
0.518	13255596
0.519	13255596
0.52	13245520
0.521	13245520
0.522	13245520
0.523	13245520
0.524	13245520
0.525	12988502
0.526	12988502
0.527	12988502
0.528	12988502
0.529	12988502
0.53	12390218
0.531	12390218
0.532	12390218
0.533	12390218
0.534	12390218
0.535	11982411
0.536	11982411
0.537	11982411
0.538	11982411
0.539	11707027
0.54	11707027
0.541	11707027
0.542	11707027
0.543	11707027
0.544	11592171
0.545	11592171
0.546	11592171
0.547	11592171
0.548	11303961
0.549	11303961
0.55	11303961
0.551	11303961
0.552	11218576
0.553	11218576
0.554	11218576
0.555	11218576
0.556	11218576
0.557	10718455
0.558	10718455
0.559	10718455
0.56	10718455
0.561	10706770
0.562	10706770
0.563	10706770
0.564	10706770
0.565	10296582
0.566	10296582
0.567	10296582
0.568	10296582
0.569	10144705
0.57	10144705
0.571	10144705
0.572	10131159
0.573	10131159
0.574	10131159
0.575	10131159
0.576	10117237
0.577	10117237
0.578	10117237
0.579	10117237
0.58	10026077
0.581	10026077
0.582	10026077
0.583	10026077
0.584	10024842
0.585	10024842
0.586	10024842
0.587	10024842
0.588	9706152
0.589	9706152
0.59	9706152
0.591	9016905
0.592	9016905
0.593	9016905
0.594	9016905
0.595	8783073
0.596	8783073
0.597	8783073
0.598	8639662
0.599	8639662
0.6	8639662
0.601	8140731
0.602	8140731
0.603	8140731
0.604	8140731
0.605	7929828
0.606	7929828
0.607	7929828
0.608	7524946
0.609	7524946
0.61	7320369
0.611	7320369
0.612	7320369
0.613	7220986
0.614	7220986
0.615	7220986
0.616	7181450
0.617	7181450
0.618	7181450
0.619	7057678
0.62	7057678
0.621	7034048
0.622	7034048
0.623	7034048
0.624	6987322
0.625	6987322
0.626	6987322
0.627	6778096
0.628	6778096
0.629	6714631
0.63	6714631
0.631	6714631
0.632	6603497
0.633	6603497
0.634	6532721
0.635	6532721
0.636	6532721
0.637	6475914
0.638	6475914
0.639	6135834
0.64	6135834
0.641	6135834
0.642	5991568
0.643	5991568
0.644	5820681
0.645	5820681
0.646	5782112
0.647	5782112
0.648	5711491
0.649	5711491
0.65	5694967
0.651	5694967
0.652	5694967
0.653	5690436
0.654	5690436
0.655	5545974
0.656	5545974
0.657	5410882
0.658	5410882
0.659	5365961
0.66	5365961
0.661	5358795
0.662	5358795
0.663	5315401
0.664	5315401
0.665	5248875
0.666	5248875
0.667	5239355
0.668	5239355
0.669	5193790
0.67	5193790
0.671	5180323
0.672	5180323
0.673	5097785
0.674	5097785
0.675	5080437
0.676	5080437
0.677	4959199
0.678	4959199
0.679	4938414
0.68	4938414
0.681	4919165
0.682	4899277
0.683	4899277
0.684	4893586
0.685	4893586
0.686	4705003
0.687	4705003
0.688	4695280
0.689	4695280
0.69	4673488
0.691	4650720
0.692	4650720
0.693	4628466
0.694	4628466
0.695	4571015
0.696	4571015
0.697	4549007
0.698	4344229
0.699	4344229
0.7	4301204
0.701	4301204
0.702	4295079
0.703	4273476
