fraction	Nx_length
0.001	76085241
0.002	76085241
0.003	76085241
0.004	76085241
0.005	76085241
0.006	76085241
0.007	76085241
0.008	76085241
0.009	76085241
0.01	76085241
0.011	76085241
0.012	76085241
0.013	76085241
0.014	76085241
0.015	76085241
0.016	76085241
0.017	76085241
0.018	76085241
0.019	76085241
0.02	76085241
0.021	76085241
0.022	76085241
0.023	76085241
0.024	76085241
0.025	76085241
0.026	76085241
0.027	76085241
0.028	76085241
0.029	76085241
0.03	76085241
0.031	76085241
0.032	76085241
0.033	76085241
0.034	76085241
0.035	76085241
0.036	76085241
0.037	76085241
0.038	76085241
0.039	76085241
0.04	76085241
0.041	76085241
0.042	76085241
0.043	76085241
0.044	76085241
0.045	76085241
0.046	76085241
0.047	76085241
0.048	76085241
0.049	76085241
0.05	76085241
0.051	76085241
0.052	76085241
0.053	76085241
0.054	76085241
0.055	59327946
0.056	59327946
0.057	59327946
0.058	59327946
0.059	59327946
0.06	59327946
0.061	59327946
0.062	59327946
0.063	59327946
0.064	59327946
0.065	59327946
0.066	59327946
0.067	59327946
0.068	59327946
0.069	59327946
0.07	59327946
0.071	59327946
0.072	59327946
0.073	59327946
0.074	59327946
0.075	59327946
0.076	59327946
0.077	59327946
0.078	59327946
0.079	59327946
0.08	59327946
0.081	59327946
0.082	59327946
0.083	59327946
0.084	59327946
0.085	59327946
0.086	59327946
0.087	59327946
0.088	59327946
0.089	59327946
0.09	59327946
0.091	59327946
0.092	59327946
0.093	59327946
0.094	59327946
0.095	59327946
0.096	59327946
0.097	55356786
0.098	55356786
0.099	55356786
0.1	55356786
0.101	55356786
0.102	55356786
0.103	55356786
0.104	55356786
0.105	55356786
0.106	55356786
0.107	55356786
0.108	55356786
0.109	55356786
0.11	55356786
0.111	55356786
0.112	55356786
0.113	55356786
0.114	55356786
0.115	55356786
0.116	55356786
0.117	55356786
0.118	55356786
0.119	55356786
0.12	55356786
0.121	55356786
0.122	55356786
0.123	55356786
0.124	55356786
0.125	55356786
0.126	55356786
0.127	55356786
0.128	55356786
0.129	55356786
0.13	55356786
0.131	55356786
0.132	55356786
0.133	55356786
0.134	55356786
0.135	55356786
0.136	55356786
0.137	50108601
0.138	50108601
0.139	50108601
0.14	50108601
0.141	50108601
0.142	50108601
0.143	50108601
0.144	50108601
0.145	50108601
0.146	50108601
0.147	50108601
0.148	50108601
0.149	50108601
0.15	50108601
0.151	50108601
0.152	50108601
0.153	50108601
0.154	50108601
0.155	50108601
0.156	50108601
0.157	50108601
0.158	50108601
0.159	50108601
0.16	50108601
0.161	50108601
0.162	50108601
0.163	50108601
0.164	50108601
0.165	50108601
0.166	50108601
0.167	50108601
0.168	50108601
0.169	50108601
0.17	50108601
0.171	50108601
0.172	50108601
0.173	46029692
0.174	46029692
0.175	46029692
0.176	46029692
0.177	46029692
0.178	46029692
0.179	46029692
0.18	46029692
0.181	46029692
0.182	46029692
0.183	46029692
0.184	46029692
0.185	46029692
0.186	46029692
0.187	46029692
0.188	46029692
0.189	46029692
0.19	46029692
0.191	46029692
0.192	46029692
0.193	46029692
0.194	46029692
0.195	46029692
0.196	46029692
0.197	46029692
0.198	46029692
0.199	46029692
0.2	46029692
0.201	46029692
0.202	46029692
0.203	46029692
0.204	46029692
0.205	46029692
0.206	41678545
0.207	41678545
0.208	41678545
0.209	41678545
0.21	41678545
0.211	41678545
0.212	41678545
0.213	41678545
0.214	41678545
0.215	41678545
0.216	41678545
0.217	41678545
0.218	41678545
0.219	41678545
0.22	41678545
0.221	41678545
0.222	41678545
0.223	41678545
0.224	41678545
0.225	41678545
0.226	41678545
0.227	41678545
0.228	41678545
0.229	41678545
0.23	41678545
0.231	41678545
0.232	41678545
0.233	41678545
0.234	41678545
0.235	41678545
0.236	41455941
0.237	41455941
0.238	41455941
0.239	41455941
0.24	41455941
0.241	41455941
0.242	41455941
0.243	41455941
0.244	41455941
0.245	41455941
0.246	41455941
0.247	41455941
0.248	41455941
0.249	41455941
0.25	41455941
0.251	41455941
0.252	41455941
0.253	41455941
0.254	41455941
0.255	41455941
0.256	41455941
0.257	41455941
0.258	41455941
0.259	41455941
0.26	41455941
0.261	41455941
0.262	41455941
0.263	41455941
0.264	41455941
0.265	38093014
0.266	38093014
0.267	38093014
0.268	38093014
0.269	38093014
0.27	38093014
0.271	38093014
0.272	38093014
0.273	38093014
0.274	38093014
0.275	38093014
0.276	38093014
0.277	38093014
0.278	38093014
0.279	38093014
0.28	38093014
0.281	38093014
0.282	38093014
0.283	38093014
0.284	38093014
0.285	38093014
0.286	38093014
0.287	38093014
0.288	38093014
0.289	38093014
0.29	38093014
0.291	38093014
0.292	34713065
0.293	34713065
0.294	34713065
0.295	34713065
0.296	34713065
0.297	34713065
0.298	34713065
0.299	34713065
0.3	34713065
0.301	34713065
0.302	34713065
0.303	34713065
0.304	34713065
0.305	34713065
0.306	34713065
0.307	34713065
0.308	34713065
0.309	34713065
0.31	34713065
0.311	34713065
0.312	34713065
0.313	34713065
0.314	34713065
0.315	34713065
0.316	34713065
0.317	33985038
0.318	33985038
0.319	33985038
0.32	33985038
0.321	33985038
0.322	33985038
0.323	33985038
0.324	33985038
0.325	33985038
0.326	33985038
0.327	33985038
0.328	33985038
0.329	33985038
0.33	33985038
0.331	33985038
0.332	33985038
0.333	33985038
0.334	33985038
0.335	33985038
0.336	33985038
0.337	33985038
0.338	33985038
0.339	33985038
0.34	33985038
0.341	33985038
0.342	33752357
0.343	33752357
0.344	33752357
0.345	33752357
0.346	33752357
0.347	33752357
0.348	33752357
0.349	33752357
0.35	33752357
0.351	33752357
0.352	33752357
0.353	33752357
0.354	33752357
0.355	33752357
0.356	33752357
0.357	33752357
0.358	33752357
0.359	33752357
0.36	33752357
0.361	33752357
0.362	33752357
0.363	33752357
0.364	33752357
0.365	33752357
0.366	33026094
0.367	33026094
0.368	33026094
0.369	33026094
0.37	33026094
0.371	33026094
0.372	33026094
0.373	33026094
0.374	33026094
0.375	33026094
0.376	33026094
0.377	33026094
0.378	33026094
0.379	33026094
0.38	33026094
0.381	33026094
0.382	33026094
0.383	33026094
0.384	33026094
0.385	33026094
0.386	33026094
0.387	33026094
0.388	33026094
0.389	31824479
0.39	31824479
0.391	31824479
0.392	31824479
0.393	31824479
0.394	31824479
0.395	31824479
0.396	31824479
0.397	31824479
0.398	31824479
0.399	31824479
0.4	31824479
0.401	31824479
0.402	31824479
0.403	31824479
0.404	31824479
0.405	31824479
0.406	31824479
0.407	31824479
0.408	31824479
0.409	31824479
0.41	31824479
0.411	31824479
0.412	31094663
0.413	31094663
0.414	31094663
0.415	31094663
0.416	31094663
0.417	31094663
0.418	31094663
0.419	31094663
0.42	31094663
0.421	31094663
0.422	31094663
0.423	31094663
0.424	31094663
0.425	31094663
0.426	31094663
0.427	31094663
0.428	31094663
0.429	31094663
0.43	31094663
0.431	31094663
0.432	31094663
0.433	31094663
0.434	30825624
0.435	30825624
0.436	30825624
0.437	30825624
0.438	30825624
0.439	30825624
0.44	30825624
0.441	30825624
0.442	30825624
0.443	30825624
0.444	30825624
0.445	30825624
0.446	30825624
0.447	30825624
0.448	30825624
0.449	30825624
0.45	30825624
0.451	30825624
0.452	30825624
0.453	30825624
0.454	30825624
0.455	30825624
0.456	28595402
0.457	28595402
0.458	28595402
0.459	28595402
0.46	28595402
0.461	28595402
0.462	28595402
0.463	28595402
0.464	28595402
0.465	28595402
0.466	28595402
0.467	28595402
0.468	28595402
0.469	28595402
0.47	28595402
0.471	28595402
0.472	28595402
0.473	28595402
0.474	28595402
0.475	28595402
0.476	28595402
0.477	28419137
0.478	28419137
0.479	28419137
0.48	28419137
0.481	28419137
0.482	28419137
0.483	28419137
0.484	28419137
0.485	28419137
0.486	28419137
0.487	28419137
0.488	28419137
0.489	28419137
0.49	28419137
0.491	28419137
0.492	28419137
0.493	28419137
0.494	28419137
0.495	28419137
0.496	28419137
0.497	27396532
0.498	27396532
0.499	27396532
0.5	27396532
0.501	27396532
0.502	27396532
0.503	27396532
0.504	27396532
0.505	27396532
0.506	27396532
0.507	27396532
0.508	27396532
0.509	27396532
0.51	27396532
0.511	27396532
0.512	27396532
0.513	27396532
0.514	27396532
