fraction	Nx_length
0.001	156353921
0.002	156353921
0.003	156353921
0.004	156353921
0.005	156353921
0.006	156353921
0.007	156353921
0.008	156353921
0.009	156353921
0.01	156353921
0.011	156353921
0.012	156353921
0.013	156353921
0.014	156353921
0.015	156353921
0.016	156353921
0.017	156353921
0.018	156353921
0.019	156353921
0.02	156353921
0.021	156353921
0.022	156353921
0.023	156353921
0.024	156353921
0.025	156353921
0.026	156353921
0.027	156353921
0.028	156353921
0.029	156353921
0.03	156353921
0.031	156353921
0.032	156353921
0.033	156353921
0.034	156353921
0.035	156353921
0.036	156353921
0.037	156353921
0.038	156353921
0.039	156353921
0.04	156353921
0.041	156353921
0.042	156353921
0.043	156353921
0.044	156353921
0.045	156353921
0.046	156353921
0.047	156353921
0.048	156353921
0.049	156353921
0.05	156353921
0.051	156353921
0.052	156353921
0.053	156353921
0.054	156353921
0.055	156353921
0.056	156353921
0.057	156353921
0.058	156353921
0.059	156353921
0.06	156353921
0.061	156353921
0.062	156353921
0.063	156353921
0.064	156353921
0.065	156353921
0.066	156353921
0.067	156353921
0.068	156353921
0.069	156353921
0.07	156353921
0.071	156353921
0.072	156353921
0.073	114004702
0.074	114004702
0.075	114004702
0.076	114004702
0.077	114004702
0.078	114004702
0.079	114004702
0.08	114004702
0.081	114004702
0.082	114004702
0.083	114004702
0.084	114004702
0.085	114004702
0.086	114004702
0.087	114004702
0.088	114004702
0.089	114004702
0.09	114004702
0.091	114004702
0.092	114004702
0.093	114004702
0.094	114004702
0.095	114004702
0.096	114004702
0.097	114004702
0.098	114004702
0.099	114004702
0.1	114004702
0.101	114004702
0.102	114004702
0.103	114004702
0.104	114004702
0.105	114004702
0.106	114004702
0.107	114004702
0.108	114004702
0.109	114004702
0.11	114004702
0.111	114004702
0.112	114004702
0.113	114004702
0.114	114004702
0.115	114004702
0.116	114004702
0.117	114004702
0.118	114004702
0.119	114004702
0.12	114004702
0.121	114004702
0.122	114004702
0.123	114004702
0.124	114004702
0.125	92042198
0.126	92042198
0.127	92042198
0.128	92042198
0.129	92042198
0.13	92042198
0.131	92042198
0.132	92042198
0.133	92042198
0.134	92042198
0.135	92042198
0.136	92042198
0.137	92042198
0.138	92042198
0.139	92042198
0.14	92042198
0.141	92042198
0.142	92042198
0.143	92042198
0.144	92042198
0.145	92042198
0.146	92042198
0.147	92042198
0.148	92042198
0.149	92042198
0.15	92042198
0.151	92042198
0.152	92042198
0.153	92042198
0.154	92042198
0.155	92042198
0.156	92042198
0.157	92042198
0.158	92042198
0.159	92042198
0.16	92042198
0.161	92042198
0.162	92042198
0.163	92042198
0.164	92042198
0.165	92042198
0.166	92042198
0.167	92042198
0.168	88061774
0.169	88061774
0.17	88061774
0.171	88061774
0.172	88061774
0.173	88061774
0.174	88061774
0.175	88061774
0.176	88061774
0.177	88061774
0.178	88061774
0.179	88061774
0.18	88061774
0.181	88061774
0.182	88061774
0.183	88061774
0.184	88061774
0.185	88061774
0.186	88061774
0.187	88061774
0.188	88061774
0.189	88061774
0.19	88061774
0.191	88061774
0.192	88061774
0.193	88061774
0.194	88061774
0.195	88061774
0.196	88061774
0.197	88061774
0.198	88061774
0.199	88061774
0.2	88061774
0.201	88061774
0.202	88061774
0.203	88061774
0.204	88061774
0.205	88061774
0.206	88061774
0.207	88061774
0.208	87330874
0.209	87330874
0.21	87330874
0.211	87330874
0.212	87330874
0.213	87330874
0.214	87330874
0.215	87330874
0.216	87330874
0.217	87330874
0.218	87330874
0.219	87330874
0.22	87330874
0.221	87330874
0.222	87330874
0.223	87330874
0.224	87330874
0.225	87330874
0.226	87330874
0.227	87330874
0.228	87330874
0.229	87330874
0.23	87330874
0.231	87330874
0.232	87330874
0.233	87330874
0.234	87330874
0.235	87330874
0.236	87330874
0.237	87330874
0.238	87330874
0.239	87330874
0.24	87330874
0.241	87330874
0.242	87330874
0.243	87330874
0.244	87330874
0.245	87330874
