fraction	Nx_length
0.001	65472633
0.002	65472633
0.003	65472633
0.004	65472633
0.005	65472633
0.006	65472633
0.007	65472633
0.008	65472633
0.009	65472633
0.01	65472633
0.011	65472633
0.012	65472633
0.013	65472633
0.014	65472633
0.015	65472633
0.016	65472633
0.017	65472633
0.018	65472633
0.019	65472633
0.02	65472633
0.021	65472633
0.022	65472633
0.023	65472633
0.024	65472633
0.025	65472633
0.026	65472633
0.027	65472633
0.028	65472633
0.029	65472633
0.03	65472633
0.031	65472633
0.032	65472633
0.033	63789403
0.034	63789403
0.035	63789403
0.036	63789403
0.037	63789403
0.038	63789403
0.039	63789403
0.04	63789403
0.041	63789403
0.042	63789403
0.043	63789403
0.044	63789403
0.045	63789403
0.046	63789403
0.047	63789403
0.048	63789403
0.049	63789403
0.05	63789403
0.051	63789403
0.052	63789403
0.053	63789403
0.054	63789403
0.055	63789403
0.056	63789403
0.057	63789403
0.058	63789403
0.059	63789403
0.06	63789403
0.061	63789403
0.062	63789403
0.063	63789403
0.064	63789403
0.065	54179139
0.066	54179139
0.067	54179139
0.068	54179139
0.069	54179139
0.07	54179139
0.071	54179139
0.072	54179139
0.073	54179139
0.074	54179139
0.075	54179139
0.076	54179139
0.077	54179139
0.078	54179139
0.079	54179139
0.08	54179139
0.081	54179139
0.082	54179139
0.083	54179139
0.084	54179139
0.085	54179139
0.086	54179139
0.087	54179139
0.088	54179139
0.089	54179139
0.09	54179139
0.091	54179139
0.092	53444092
0.093	53444092
0.094	53444092
0.095	53444092
0.096	53444092
0.097	53444092
0.098	53444092
0.099	53444092
0.1	53444092
0.101	53444092
0.102	53444092
0.103	53444092
0.104	53444092
0.105	53444092
0.106	53444092
0.107	53444092
0.108	53444092
0.109	53444092
0.11	53444092
0.111	53444092
0.112	53444092
0.113	53444092
0.114	53444092
0.115	53444092
0.116	53444092
0.117	53444092
0.118	52393785
0.119	52393785
0.12	52393785
0.121	52393785
0.122	52393785
0.123	52393785
0.124	52393785
0.125	52393785
0.126	52393785
0.127	52393785
0.128	52393785
0.129	52393785
0.13	52393785
0.131	52393785
0.132	52393785
0.133	52393785
0.134	52393785
0.135	52393785
0.136	52393785
0.137	52393785
0.138	52393785
0.139	52393785
0.14	52393785
0.141	52393785
0.142	52393785
0.143	52393785
0.144	39399358
0.145	39399358
0.146	39399358
0.147	39399358
0.148	39399358
0.149	39399358
0.15	39399358
0.151	39399358
0.152	39399358
0.153	39399358
0.154	39399358
0.155	39399358
0.156	39399358
0.157	39399358
0.158	39399358
0.159	39399358
0.16	39399358
0.161	39399358
0.162	39399358
0.163	39399358
0.164	37786033
0.165	37786033
0.166	37786033
0.167	37786033
0.168	37786033
0.169	37786033
0.17	37786033
0.171	37786033
0.172	37786033
0.173	37786033
0.174	37786033
0.175	37786033
0.176	37786033
0.177	37786033
0.178	37786033
0.179	37786033
0.18	37786033
0.181	37786033
0.182	37786033
0.183	36303140
0.184	36303140
0.185	36303140
0.186	36303140
0.187	36303140
0.188	36303140
0.189	36303140
0.19	36303140
0.191	36303140
0.192	36303140
0.193	36303140
0.194	36303140
0.195	36303140
0.196	36303140
0.197	36303140
0.198	36303140
0.199	36303140
0.2	36303140
0.201	36243054
0.202	36243054
0.203	36243054
0.204	36243054
0.205	36243054
0.206	36243054
0.207	36243054
0.208	36243054
0.209	36243054
0.21	36243054
0.211	36243054
0.212	36243054
0.213	36243054
0.214	36243054
0.215	36243054
0.216	36243054
0.217	36243054
0.218	36243054
0.219	34047196
0.22	34047196
0.221	34047196
0.222	34047196
0.223	34047196
0.224	34047196
0.225	34047196
0.226	34047196
0.227	34047196
0.228	34047196
0.229	34047196
0.23	34047196
0.231	34047196
0.232	34047196
0.233	34047196
0.234	34047196
0.235	34047196
0.236	31989274
0.237	31989274
0.238	31989274
0.239	31989274
0.24	31989274
0.241	31989274
0.242	31989274
0.243	31989274
0.244	31989274
0.245	31989274
0.246	31989274
0.247	31989274
0.248	31989274
0.249	31989274
0.25	31989274
0.251	31989274
0.252	31238759
0.253	31238759
0.254	31238759
0.255	31238759
0.256	31238759
0.257	31238759
0.258	31238759
0.259	31238759
0.26	31238759
0.261	31238759
0.262	31238759
0.263	31238759
0.264	31238759
0.265	31238759
0.266	31238759
0.267	28375888
0.268	28375888
0.269	28375888
0.27	28375888
0.271	28375888
0.272	28375888
0.273	28375888
0.274	28375888
0.275	28375888
0.276	28375888
0.277	28375888
0.278	28375888
0.279	28375888
0.28	28375888
0.281	28022156
0.282	28022156
0.283	28022156
0.284	28022156
0.285	28022156
0.286	28022156
0.287	28022156
0.288	28022156
0.289	28022156
0.29	28022156
0.291	28022156
0.292	28022156
0.293	28022156
0.294	28022156
0.295	24989560
0.296	24989560
0.297	24989560
0.298	24989560
0.299	24989560
0.3	24989560
0.301	24989560
0.302	24989560
0.303	24989560
0.304	24989560
0.305	24989560
0.306	24989560
0.307	24989560
0.308	24946270
0.309	24946270
0.31	24946270
0.311	24946270
0.312	24946270
0.313	24946270
0.314	24946270
0.315	24946270
0.316	24946270
0.317	24946270
0.318	24946270
0.319	24946270
0.32	23300002
0.321	23300002
0.322	23300002
0.323	23300002
0.324	23300002
0.325	23300002
0.326	23300002
0.327	23300002
0.328	23300002
0.329	23300002
0.33	23300002
0.331	23300002
0.332	23236673
0.333	23236673
0.334	23236673
0.335	23236673
0.336	23236673
0.337	23236673
0.338	23236673
0.339	23236673
0.34	23236673
0.341	23236673
0.342	23236673
0.343	22870919
0.344	22870919
0.345	22870919
0.346	22870919
0.347	22870919
0.348	22870919
0.349	22870919
0.35	22870919
0.351	22870919
0.352	22870919
0.353	22870919
0.354	22870919
0.355	22515145
0.356	22515145
0.357	22515145
0.358	22515145
0.359	22515145
0.36	22515145
0.361	22515145
0.362	22515145
0.363	22515145
0.364	22515145
0.365	22515145
0.366	22319439
0.367	22319439
0.368	22319439
0.369	22319439
0.37	22319439
0.371	22319439
0.372	22319439
0.373	22319439
0.374	22319439
0.375	22319439
0.376	22319439
0.377	21181562
0.378	21181562
0.379	21181562
0.38	21181562
0.381	21181562
0.382	21181562
0.383	21181562
0.384	21181562
0.385	21181562
0.386	21181562
0.387	21181562
0.388	21091273
0.389	21091273
0.39	21091273
0.391	21091273
0.392	21091273
0.393	21091273
0.394	21091273
0.395	21091273
0.396	21091273
0.397	21091273
0.398	21059348
0.399	21059348
0.4	21059348
0.401	21059348
0.402	21059348
0.403	21059348
0.404	21059348
0.405	21059348
0.406	21059348
0.407	21059348
0.408	20405257
0.409	20405257
0.41	20405257
0.411	20405257
0.412	20405257
0.413	20405257
0.414	20405257
0.415	20405257
0.416	20405257
0.417	20405257
0.418	20405257
0.419	20168637
0.42	20168637
0.421	20168637
0.422	20168637
0.423	20168637
0.424	20168637
0.425	20168637
0.426	20168637
0.427	20168637
0.428	20168637
0.429	19840731
0.43	19840731
0.431	19840731
0.432	19840731
0.433	19840731
0.434	19840731
0.435	19840731
0.436	19840731
0.437	19840731
0.438	19840731
0.439	19774958
0.44	19774958
0.441	19774958
0.442	19774958
0.443	19774958
0.444	19774958
0.445	19774958
0.446	19774958
0.447	19774958
0.448	19510215
0.449	19510215
0.45	19510215
0.451	19510215
0.452	19510215
0.453	19510215
0.454	19510215
0.455	19510215
0.456	19510215
0.457	19510215
0.458	19018749
0.459	19018749
0.46	19018749
0.461	19018749
0.462	19018749
0.463	19018749
0.464	19018749
0.465	19018749
0.466	19018749
0.467	19018749
0.468	18945232
0.469	18945232
0.47	18945232
0.471	18945232
0.472	18945232
0.473	18945232
0.474	18945232
0.475	18945232
0.476	18945232
0.477	18431184
0.478	18431184
0.479	18431184
0.48	18431184
0.481	18431184
0.482	18431184
0.483	18431184
0.484	18431184
0.485	18431184
0.486	17918926
0.487	17918926
0.488	17918926
0.489	17918926
0.49	17918926
0.491	17918926
0.492	17918926
0.493	17918926
0.494	17918926
0.495	17836126
0.496	17836126
0.497	17836126
0.498	17836126
0.499	17836126
0.5	17836126
0.501	17836126
0.502	17836126
0.503	17836126
0.504	17470302
0.505	17470302
0.506	17470302
0.507	17470302
0.508	17470302
0.509	17470302
0.51	17470302
0.511	17470302
0.512	17470302
0.513	17404060
0.514	17404060
0.515	17404060
0.516	17404060
0.517	17404060
0.518	17404060
0.519	17404060
0.52	17404060
0.521	17309719
0.522	17309719
0.523	17309719
0.524	17309719
0.525	17309719
0.526	17309719
0.527	17309719
0.528	17309719
0.529	17309719
0.53	17082121
0.531	17082121
0.532	17082121
0.533	17082121
0.534	17082121
0.535	17082121
0.536	17082121
0.537	17082121
0.538	16671601
0.539	16671601
0.54	16671601
0.541	16671601
0.542	16671601
0.543	16671601
0.544	16671601
0.545	16671601
0.546	16671601
0.547	15826033
0.548	15826033
0.549	15826033
0.55	15826033
0.551	15826033
0.552	15826033
0.553	15826033
0.554	15826033
0.555	15387521
0.556	15387521
0.557	15387521
0.558	15387521
0.559	15387521
0.56	15387521
0.561	15387521
0.562	15096927
0.563	15096927
0.564	15096927
0.565	15096927
0.566	15096927
0.567	15096927
0.568	15096927
0.569	15096927
0.57	14968395
0.571	14968395
0.572	14968395
0.573	14968395
0.574	14968395
0.575	14968395
0.576	14968395
0.577	14701876
0.578	14701876
0.579	14701876
0.58	14701876
0.581	14701876
0.582	14701876
0.583	14701876
0.584	14046184
0.585	14046184
0.586	14046184
0.587	14046184
0.588	14046184
0.589	14046184
0.59	14046184
0.591	13441186
0.592	13441186
0.593	13441186
0.594	13441186
0.595	13441186
0.596	13441186
0.597	13441186
0.598	13188839
0.599	13188839
0.6	13188839
0.601	13188839
0.602	13188839
0.603	13188839
0.604	13188839
0.605	13157041
0.606	13157041
0.607	13157041
0.608	13157041
0.609	13157041
0.61	13157041
0.611	12592620
0.612	12592620
0.613	12592620
0.614	12592620
0.615	12592620
0.616	12592620
0.617	12592620
0.618	12411143
0.619	12411143
0.62	12411143
0.621	12411143
0.622	12411143
0.623	12411143
0.624	12169336
0.625	12169336
0.626	12169336
0.627	12169336
0.628	12169336
0.629	12169336
0.63	12097857
0.631	12097857
0.632	12097857
0.633	12097857
0.634	12097857
0.635	12097857
0.636	11772887
0.637	11772887
0.638	11772887
0.639	11772887
0.64	11772887
0.641	11772887
0.642	11577287
0.643	11577287
0.644	11577287
0.645	11577287
0.646	11577287
0.647	11572217
0.648	11572217
0.649	11572217
0.65	11572217
0.651	11572217
0.652	11572217
0.653	11288914
0.654	11288914
0.655	11288914
0.656	11288914
0.657	11288914
0.658	11288914
0.659	10808413
0.66	10808413
0.661	10808413
0.662	10808413
0.663	10808413
0.664	10767027
0.665	10767027
0.666	10767027
0.667	10767027
0.668	10767027
0.669	10730467
0.67	10730467
0.671	10730467
0.672	10730467
0.673	10730467
0.674	10730467
0.675	10634446
0.676	10634446
0.677	10634446
0.678	10634446
0.679	10634446
0.68	10524625
0.681	10524625
0.682	10524625
0.683	10524625
0.684	10524625
0.685	10387234
0.686	10387234
0.687	10387234
0.688	10387234
0.689	10387234
0.69	10341812
0.691	10341812
0.692	10341812
0.693	10341812
0.694	10341812
0.695	10341812
0.696	10199491
0.697	10199491
0.698	10199491
0.699	10199491
0.7	10199491
0.701	9658528
0.702	9658528
0.703	9658528
0.704	9658528
0.705	9658528
0.706	8846287
0.707	8846287
0.708	8846287
0.709	8846287
0.71	8728373
0.711	8728373
0.712	8728373
0.713	8728373
0.714	8600537
0.715	8600537
0.716	8600537
0.717	8600537
