fraction	Nx_length
0.001	86310107
0.002	86310107
0.003	86310107
0.004	86310107
0.005	86310107
0.006	86310107
0.007	86310107
0.008	86310107
0.009	86310107
0.01	86310107
0.011	86310107
0.012	86310107
0.013	86310107
0.014	86310107
0.015	86310107
0.016	86310107
0.017	86310107
0.018	86310107
0.019	86310107
0.02	86310107
0.021	86310107
0.022	86310107
0.023	86310107
0.024	86310107
0.025	86310107
0.026	86310107
0.027	86310107
0.028	86310107
0.029	86310107
0.03	86310107
0.031	86310107
0.032	86310107
0.033	86310107
0.034	86310107
0.035	86310107
0.036	86310107
0.037	86310107
0.038	86310107
0.039	86310107
0.04	86310107
0.041	86310107
0.042	86310107
0.043	86310107
0.044	86310107
0.045	86310107
0.046	86310107
0.047	59296979
0.048	59296979
0.049	59296979
0.05	59296979
0.051	59296979
0.052	59296979
0.053	59296979
0.054	59296979
0.055	59296979
0.056	59296979
0.057	59296979
0.058	59296979
0.059	59296979
0.06	59296979
0.061	59296979
0.062	59296979
0.063	59296979
0.064	59296979
0.065	59296979
0.066	59296979
0.067	59296979
0.068	59296979
0.069	59296979
0.07	59296979
0.071	59296979
0.072	59296979
0.073	59296979
0.074	59296979
0.075	59296979
0.076	59296979
0.077	59296979
0.078	54699800
0.079	54699800
0.08	54699800
0.081	54699800
0.082	54699800
0.083	54699800
0.084	54699800
0.085	54699800
0.086	54699800
0.087	54699800
0.088	54699800
0.089	54699800
0.09	54699800
0.091	54699800
0.092	54699800
0.093	54699800
0.094	54699800
0.095	54699800
0.096	54699800
0.097	54699800
0.098	54699800
0.099	54699800
0.1	54699800
0.101	54699800
0.102	54699800
0.103	54699800
0.104	54699800
0.105	54699800
0.106	54699800
0.107	54699800
0.108	51331220
0.109	51331220
0.11	51331220
0.111	51331220
0.112	51331220
0.113	51331220
0.114	51331220
0.115	51331220
0.116	51331220
0.117	51331220
0.118	51331220
0.119	51331220
0.12	51331220
0.121	51331220
0.122	51331220
0.123	51331220
0.124	51331220
0.125	51331220
0.126	51331220
0.127	51331220
0.128	51331220
0.129	51331220
0.13	51331220
0.131	51331220
0.132	51331220
0.133	51331220
0.134	51331220
0.135	49254164
0.136	49254164
0.137	49254164
0.138	49254164
0.139	49254164
0.14	49254164
0.141	49254164
0.142	49254164
0.143	49254164
0.144	49254164
0.145	49254164
0.146	49254164
0.147	49254164
0.148	49254164
0.149	49254164
0.15	49254164
0.151	49254164
0.152	49254164
0.153	49254164
0.154	49254164
0.155	49254164
0.156	49254164
0.157	49254164
0.158	49254164
0.159	49254164
0.16	49254164
0.161	46383143
0.162	46383143
0.163	46383143
0.164	46383143
0.165	46383143
0.166	46383143
0.167	46383143
0.168	46383143
0.169	46383143
0.17	46383143
0.171	46383143
0.172	46383143
0.173	46383143
0.174	46383143
0.175	46383143
0.176	46383143
0.177	46383143
0.178	46383143
0.179	46383143
0.18	46383143
0.181	46383143
0.182	46383143
0.183	46383143
0.184	46383143
0.185	46383143
0.186	45852486
0.187	45852486
0.188	45852486
0.189	45852486
0.19	45852486
0.191	45852486
0.192	45852486
0.193	45852486
0.194	45852486
0.195	45852486
0.196	45852486
0.197	45852486
0.198	45852486
0.199	45852486
0.2	45852486
0.201	45852486
0.202	45852486
0.203	45852486
0.204	45852486
0.205	45852486
0.206	45852486
0.207	45852486
0.208	45852486
0.209	45852486
0.21	45852486
0.211	45669311
0.212	45669311
0.213	45669311
0.214	45669311
0.215	45669311
0.216	45669311
0.217	45669311
0.218	45669311
0.219	45669311
0.22	45669311
0.221	45669311
0.222	45669311
0.223	45669311
0.224	45669311
0.225	45669311
0.226	45669311
0.227	45669311
0.228	45669311
0.229	45669311
0.23	45669311
0.231	45669311
0.232	45669311
0.233	45669311
0.234	45669311
0.235	41020847
0.236	41020847
0.237	41020847
0.238	41020847
0.239	41020847
0.24	41020847
0.241	41020847
0.242	41020847
0.243	41020847
0.244	41020847
0.245	41020847
0.246	41020847
0.247	41020847
0.248	41020847
0.249	41020847
0.25	41020847
0.251	41020847
0.252	41020847
0.253	41020847
0.254	41020847
0.255	41020847
0.256	41020847
0.257	40044924
0.258	40044924
0.259	40044924
0.26	40044924
0.261	40044924
0.262	40044924
0.263	40044924
0.264	40044924
0.265	40044924
0.266	40044924
0.267	40044924
0.268	40044924
0.269	40044924
0.27	40044924
0.271	40044924
0.272	40044924
0.273	40044924
0.274	40044924
0.275	40044924
0.276	40044924
0.277	40044924
0.278	38899010
0.279	38899010
0.28	38899010
0.281	38899010
0.282	38899010
0.283	38899010
0.284	38899010
0.285	38899010
0.286	38899010
0.287	38899010
0.288	38899010
0.289	38899010
0.29	38899010
0.291	38899010
0.292	38899010
0.293	38899010
0.294	38899010
0.295	38899010
0.296	38899010
0.297	38899010
0.298	38899010
0.299	37313568
0.3	37313568
0.301	37313568
0.302	37313568
0.303	37313568
0.304	37313568
0.305	37313568
0.306	37313568
0.307	37313568
0.308	37313568
0.309	37313568
0.31	37313568
0.311	37313568
0.312	37313568
0.313	37313568
0.314	37313568
0.315	37313568
0.316	37313568
0.317	37313568
0.318	37313568
0.319	36681727
0.32	36681727
0.321	36681727
0.322	36681727
0.323	36681727
0.324	36681727
0.325	36681727
0.326	36681727
0.327	36681727
0.328	36681727
0.329	36681727
0.33	36681727
0.331	36681727
0.332	36681727
0.333	36681727
0.334	36681727
0.335	36681727
0.336	36681727
0.337	36681727
0.338	36681727
0.339	36607604
0.34	36607604
0.341	36607604
0.342	36607604
0.343	36607604
0.344	36607604
0.345	36607604
0.346	36607604
0.347	36607604
0.348	36607604
0.349	36607604
0.35	36607604
0.351	36607604
0.352	36607604
0.353	36607604
0.354	36607604
0.355	36607604
0.356	36607604
0.357	36607604
0.358	34038345
0.359	34038345
0.36	34038345
0.361	34038345
0.362	34038345
0.363	34038345
0.364	34038345
0.365	34038345
0.366	34038345
0.367	34038345
0.368	34038345
0.369	34038345
0.37	34038345
0.371	34038345
0.372	34038345
0.373	34038345
0.374	34038345
0.375	34038345
0.376	34038345
0.377	31990519
0.378	31990519
0.379	31990519
0.38	31990519
0.381	31990519
0.382	31990519
0.383	31990519
0.384	31990519
0.385	31990519
0.386	31990519
0.387	31990519
0.388	31990519
0.389	31990519
0.39	31990519
0.391	31990519
0.392	31990519
0.393	31990519
0.394	30179168
0.395	30179168
0.396	30179168
0.397	30179168
0.398	30179168
0.399	30179168
0.4	30179168
0.401	30179168
0.402	30179168
0.403	30179168
0.404	30179168
0.405	30179168
0.406	30179168
0.407	30179168
0.408	30179168
0.409	30179168
0.41	30003465
0.411	30003465
0.412	30003465
0.413	30003465
0.414	30003465
0.415	30003465
0.416	30003465
0.417	30003465
0.418	30003465
0.419	30003465
0.42	30003465
0.421	30003465
0.422	30003465
0.423	30003465
0.424	30003465
0.425	30003465
0.426	29992118
0.427	29992118
0.428	29992118
0.429	29992118
0.43	29992118
0.431	29992118
0.432	29992118
0.433	29992118
0.434	29992118
0.435	29992118
0.436	29992118
0.437	29992118
0.438	29992118
0.439	29992118
0.44	29992118
0.441	29992118
0.442	26352332
0.443	26352332
0.444	26352332
0.445	26352332
0.446	26352332
0.447	26352332
0.448	26352332
0.449	26352332
0.45	26352332
0.451	26352332
0.452	26352332
0.453	26352332
0.454	26352332
0.455	26352332
0.456	25092701
0.457	25092701
0.458	25092701
0.459	25092701
0.46	25092701
0.461	25092701
0.462	25092701
0.463	25092701
0.464	25092701
0.465	25092701
0.466	25092701
0.467	25092701
0.468	25092701
0.469	24956965
0.47	24956965
0.471	24956965
0.472	24956965
0.473	24956965
0.474	24956965
0.475	24956965
0.476	24956965
