fraction	Nx_length
0.001	92096198
0.002	92096198
0.003	92096198
0.004	92096198
0.005	92096198
0.006	92096198
0.007	92096198
0.008	92096198
0.009	92096198
0.01	92096198
0.011	92096198
0.012	92096198
0.013	92096198
0.014	92096198
0.015	92096198
0.016	92096198
0.017	92096198
0.018	92096198
0.019	92096198
0.02	92096198
0.021	92096198
0.022	92096198
0.023	92096198
0.024	92096198
0.025	92096198
0.026	92096198
0.027	92096198
0.028	92096198
0.029	92096198
0.03	92096198
0.031	92096198
0.032	92096198
0.033	92096198
0.034	92096198
0.035	92096198
0.036	92096198
0.037	92096198
0.038	92096198
0.039	92096198
0.04	92096198
0.041	92096198
0.042	92096198
0.043	92096198
0.044	92096198
0.045	92096198
0.046	92096198
0.047	92096198
0.048	92096198
0.049	92096198
0.05	92096198
0.051	92096198
0.052	92096198
0.053	92096198
0.054	92096198
0.055	92096198
0.056	92096198
0.057	92096198
0.058	92096198
0.059	92096198
0.06	92096198
0.061	92096198
0.062	92096198
0.063	92096198
0.064	92096198
0.065	61293634
0.066	61293634
0.067	61293634
0.068	61293634
0.069	61293634
0.07	61293634
0.071	61293634
0.072	61293634
0.073	61293634
0.074	61293634
0.075	61293634
0.076	61293634
0.077	61293634
0.078	61293634
0.079	61293634
0.08	61293634
0.081	61293634
0.082	61293634
0.083	61293634
0.084	61293634
0.085	61293634
0.086	61293634
0.087	61293634
0.088	61293634
0.089	61293634
0.09	61293634
0.091	61293634
0.092	61293634
0.093	61293634
0.094	61293634
0.095	61293634
0.096	61293634
0.097	61293634
0.098	61293634
0.099	61293634
0.1	61293634
0.101	61293634
0.102	61293634
0.103	61293634
0.104	61293634
0.105	61293634
0.106	61293634
0.107	61293634
0.108	61013518
0.109	61013518
0.11	61013518
0.111	61013518
0.112	61013518
0.113	61013518
0.114	61013518
0.115	61013518
0.116	61013518
0.117	61013518
0.118	61013518
0.119	61013518
0.12	61013518
0.121	61013518
0.122	61013518
0.123	61013518
0.124	61013518
0.125	61013518
0.126	61013518
0.127	61013518
0.128	61013518
0.129	61013518
0.13	61013518
0.131	61013518
0.132	61013518
0.133	61013518
0.134	61013518
0.135	61013518
0.136	61013518
0.137	61013518
0.138	61013518
0.139	61013518
0.14	61013518
0.141	61013518
0.142	61013518
0.143	61013518
0.144	61013518
0.145	61013518
0.146	61013518
0.147	61013518
0.148	61013518
0.149	61013518
0.15	60344089
0.151	60344089
0.152	60344089
0.153	60344089
0.154	60344089
0.155	60344089
0.156	60344089
0.157	60344089
0.158	60344089
0.159	60344089
0.16	60344089
0.161	60344089
0.162	60344089
0.163	60344089
0.164	60344089
0.165	60344089
0.166	60344089
0.167	60344089
0.168	60344089
0.169	60344089
0.17	60344089
0.171	60344089
0.172	60344089
0.173	60344089
0.174	60344089
0.175	60344089
0.176	60344089
0.177	60344089
0.178	60344089
0.179	60344089
0.18	60344089
0.181	60344089
0.182	60344089
0.183	60344089
0.184	60344089
0.185	60344089
0.186	60344089
0.187	60344089
0.188	60344089
0.189	60344089
0.19	60344089
0.191	60344089
0.192	60344089
0.193	60061261
0.194	60061261
0.195	60061261
0.196	60061261
0.197	60061261
0.198	60061261
0.199	60061261
0.2	60061261
0.201	60061261
0.202	60061261
0.203	60061261
0.204	60061261
0.205	60061261
0.206	60061261
0.207	60061261
0.208	60061261
0.209	60061261
0.21	60061261
0.211	60061261
0.212	60061261
0.213	60061261
0.214	60061261
0.215	60061261
0.216	60061261
0.217	60061261
0.218	60061261
0.219	60061261
0.22	60061261
0.221	60061261
0.222	60061261
0.223	60061261
0.224	60061261
0.225	60061261
0.226	60061261
0.227	60061261
0.228	60061261
0.229	60061261
0.23	60061261
0.231	60061261
0.232	60061261
0.233	60061261
0.234	60061261
0.235	52940420
0.236	52940420
0.237	52940420
0.238	52940420
0.239	52940420
0.24	52940420
0.241	52940420
0.242	52940420
0.243	52940420
0.244	52940420
0.245	52940420
0.246	52940420
0.247	52940420
0.248	52940420
0.249	52940420
0.25	52940420
0.251	52940420
0.252	52940420
0.253	52940420
0.254	52940420
0.255	52940420
0.256	52940420
0.257	52940420
0.258	52940420
0.259	52940420
0.26	52940420
0.261	52940420
0.262	52940420
0.263	52940420
0.264	52940420
0.265	52940420
0.266	52940420
0.267	52940420
0.268	52940420
0.269	52940420
0.27	52940420
0.271	52940420
0.272	48559074
0.273	48559074
0.274	48559074
0.275	48559074
0.276	48559074
0.277	48559074
0.278	48559074
0.279	48559074
0.28	48559074
0.281	48559074
0.282	48559074
0.283	48559074
0.284	48559074
0.285	48559074
0.286	48559074
0.287	48559074
0.288	48559074
0.289	48559074
0.29	48559074
0.291	48559074
0.292	48559074
0.293	48559074
0.294	48559074
0.295	48559074
0.296	48559074
0.297	48559074
0.298	48559074
0.299	48559074
0.3	48559074
0.301	48559074
0.302	48559074
0.303	48559074
0.304	48559074
0.305	42405909
0.306	42405909
0.307	42405909
0.308	42405909
0.309	42405909
0.31	42405909
0.311	42405909
0.312	42405909
0.313	42405909
0.314	42405909
0.315	42405909
0.316	42405909
0.317	42405909
0.318	42405909
0.319	42405909
0.32	42405909
0.321	42405909
0.322	42405909
0.323	42405909
0.324	42405909
0.325	42405909
0.326	42405909
0.327	42405909
0.328	42405909
0.329	42405909
0.33	42405909
0.331	42405909
0.332	42405909
0.333	42405909
0.334	42405909
0.335	41622838
0.336	41622838
0.337	41622838
0.338	41622838
0.339	41622838
0.34	41622838
0.341	41622838
0.342	41622838
0.343	41622838
0.344	41622838
0.345	41622838
0.346	41622838
0.347	41622838
0.348	41622838
0.349	41622838
0.35	41622838
0.351	41622838
0.352	41622838
0.353	41622838
0.354	41622838
0.355	41622838
0.356	41622838
0.357	41622838
0.358	41622838
0.359	41622838
0.36	41622838
0.361	41622838
0.362	41622838
0.363	41622838
0.364	40548860
0.365	40548860
0.366	40548860
0.367	40548860
0.368	40548860
0.369	40548860
0.37	40548860
0.371	40548860
0.372	40548860
0.373	40548860
0.374	40548860
0.375	40548860
0.376	40548860
0.377	40548860
0.378	40548860
0.379	40548860
0.38	40548860
0.381	40548860
0.382	40548860
0.383	40548860
0.384	40548860
0.385	40548860
0.386	40548860
0.387	40548860
0.388	40548860
0.389	40548860
0.39	40548860
0.391	40548860
0.392	40548860
0.393	37331029
0.394	37331029
0.395	37331029
0.396	37331029
0.397	37331029
0.398	37331029
0.399	37331029
0.4	37331029
0.401	37331029
0.402	37331029
0.403	37331029
0.404	37331029
0.405	37331029
0.406	37331029
0.407	37331029
0.408	37331029
0.409	37331029
0.41	37331029
0.411	37331029
0.412	37331029
0.413	37331029
0.414	37331029
0.415	37331029
0.416	37331029
0.417	37331029
0.418	37331029
0.419	36423084
0.42	36423084
0.421	36423084
0.422	36423084
0.423	36423084
0.424	36423084
0.425	36423084
0.426	36423084
0.427	36423084
0.428	36423084
0.429	36423084
0.43	36423084
0.431	36423084
0.432	36423084
0.433	36423084
0.434	36423084
0.435	36423084
0.436	36423084
0.437	36423084
0.438	36423084
0.439	36423084
0.44	36423084
0.441	36423084
0.442	36423084
0.443	36423084
0.444	33358360
0.445	33358360
0.446	33358360
0.447	33358360
0.448	33358360
0.449	33358360
0.45	33358360
0.451	33358360
0.452	33358360
0.453	33358360
0.454	33358360
0.455	33358360
0.456	33358360
0.457	33358360
0.458	33358360
0.459	33358360
0.46	33358360
0.461	33358360
0.462	33358360
0.463	33358360
0.464	33358360
0.465	33358360
0.466	33358360
0.467	29126788
0.468	29126788
0.469	29126788
0.47	29126788
0.471	29126788
0.472	29126788
0.473	29126788
0.474	29126788
0.475	29126788
0.476	29126788
0.477	29126788
0.478	29126788
0.479	29126788
0.48	29126788
0.481	29126788
0.482	29126788
0.483	29126788
0.484	29126788
0.485	29126788
0.486	29126788
0.487	29126788
0.488	27224046
0.489	27224046
0.49	27224046
0.491	27224046
0.492	27224046
0.493	27224046
0.494	27224046
0.495	27224046
0.496	27224046
0.497	27224046
0.498	27224046
0.499	27224046
0.5	27224046
0.501	27224046
0.502	27224046
0.503	27224046
0.504	27224046
0.505	27224046
0.506	27224046
0.507	23531406
0.508	23531406
0.509	23531406
0.51	23531406
0.511	23531406
0.512	23531406
0.513	23531406
0.514	23531406
0.515	23531406
0.516	23531406
0.517	23531406
0.518	23531406
0.519	23531406
0.52	23531406
0.521	23531406
0.522	23531406
0.523	21646268
0.524	21646268
0.525	21646268
0.526	21646268
0.527	21646268
0.528	21646268
0.529	21646268
0.53	21646268
0.531	21646268
0.532	21646268
0.533	21646268
0.534	21646268
0.535	21646268
0.536	21646268
0.537	21646268
0.538	20644350
0.539	20644350
0.54	20644350
0.541	20644350
0.542	20644350
0.543	20644350
0.544	20644350
0.545	20644350
0.546	20644350
0.547	20644350
0.548	20644350
0.549	20644350
0.55	20644350
0.551	20644350
0.552	20644350
0.553	19027830
0.554	19027830
0.555	19027830
0.556	19027830
0.557	19027830
0.558	19027830
0.559	19027830
0.56	19027830
0.561	19027830
0.562	19027830
0.563	19027830
0.564	19027830
0.565	19027830
0.566	17571893
0.567	17571893
0.568	17571893
0.569	17571893
0.57	17571893
0.571	17571893
0.572	17571893
0.573	17571893
0.574	17571893
0.575	17571893
0.576	17571893
0.577	17571893
0.578	17315813
0.579	17315813
0.58	17315813
0.581	17315813
0.582	17315813
0.583	17315813
0.584	17315813
0.585	17315813
0.586	17315813
0.587	17315813
0.588	17315813
0.589	17315813
0.59	16805315
0.591	16805315
0.592	16805315
0.593	16805315
0.594	16805315
0.595	16805315
0.596	16805315
0.597	16805315
0.598	16805315
0.599	16805315
0.6	16805315
0.601	16805315
0.602	16736852
0.603	16736852
0.604	16736852
0.605	16736852
0.606	16736852
0.607	16736852
0.608	16736852
0.609	16736852
0.61	16736852
0.611	16736852
0.612	16736852
0.613	16736852
0.614	15856845
0.615	15856845
0.616	15856845
0.617	15856845
0.618	15856845
0.619	15856845
0.62	15856845
0.621	15856845
0.622	15856845
0.623	15856845
0.624	15856845
0.625	13863287
0.626	13863287
0.627	13863287
0.628	13863287
0.629	13863287
0.63	13863287
0.631	13863287
0.632	13863287
0.633	13863287
0.634	13863287
0.635	13282224
0.636	13282224
0.637	13282224
0.638	13282224
0.639	13282224
0.64	13282224
0.641	13282224
0.642	13282224
0.643	13282224
0.644	12635701
0.645	12635701
0.646	12635701
0.647	12635701
0.648	12635701
0.649	12635701
0.65	12635701
0.651	12635701
0.652	12635701
0.653	12452010
0.654	12452010
0.655	12452010
0.656	12452010
0.657	12452010
0.658	12452010
0.659	12452010
0.66	12452010
