fraction	Nx_length
0.001	257299283
0.002	257299283
0.003	257299283
0.004	257299283
0.005	257299283
0.006	257299283
0.007	257299283
0.008	257299283
0.009	257299283
0.01	257299283
0.011	257299283
0.012	257299283
0.013	257299283
0.014	257299283
0.015	257299283
0.016	257299283
0.017	257299283
0.018	257299283
0.019	257299283
0.02	257299283
0.021	257299283
0.022	257299283
0.023	257299283
0.024	257299283
0.025	257299283
0.026	257299283
0.027	257299283
0.028	257299283
0.029	257299283
0.03	257299283
0.031	257299283
0.032	257299283
0.033	257299283
0.034	257299283
0.035	257299283
0.036	257299283
0.037	257299283
0.038	257299283
0.039	257299283
0.04	257299283
0.041	257299283
0.042	257299283
0.043	257299283
0.044	257299283
0.045	257299283
0.046	257299283
0.047	257299283
0.048	257299283
0.049	257299283
0.05	257299283
0.051	257299283
0.052	257299283
0.053	257299283
0.054	257299283
0.055	257299283
0.056	257299283
0.057	257299283
0.058	257299283
0.059	257299283
0.06	257299283
0.061	257299283
0.062	257299283
0.063	257299283
0.064	257299283
0.065	257299283
0.066	257299283
0.067	257299283
0.068	257299283
0.069	257299283
0.07	257299283
0.071	257299283
0.072	257299283
0.073	257299283
0.074	257299283
0.075	257299283
0.076	257299283
0.077	257299283
0.078	257299283
0.079	257299283
0.08	257299283
0.081	257299283
0.082	257299283
0.083	257299283
0.084	257299283
0.085	257299283
0.086	257299283
0.087	257299283
0.088	257299283
0.089	257299283
0.09	257299283
0.091	257299283
0.092	257299283
0.093	257299283
0.094	257299283
0.095	257299283
0.096	257299283
0.097	257299283
0.098	257299283
0.099	257299283
0.1	257299283
0.101	257299283
0.102	257299283
0.103	257299283
0.104	257299283
0.105	257299283
0.106	257299283
0.107	257299283
0.108	257299283
0.109	217884253
0.11	217884253
0.111	217884253
0.112	217884253
0.113	217884253
0.114	217884253
0.115	217884253
0.116	217884253
0.117	217884253
0.118	217884253
0.119	217884253
0.12	217884253
0.121	217884253
0.122	217884253
0.123	217884253
0.124	217884253
0.125	217884253
0.126	217884253
0.127	217884253
0.128	217884253
0.129	217884253
0.13	217884253
0.131	217884253
0.132	217884253
0.133	217884253
0.134	217884253
0.135	217884253
0.136	217884253
0.137	217884253
0.138	217884253
0.139	217884253
0.14	217884253
0.141	217884253
0.142	217884253
0.143	217884253
0.144	217884253
0.145	217884253
0.146	217884253
0.147	217884253
0.148	217884253
0.149	217884253
0.15	217884253
0.151	217884253
0.152	217884253
0.153	217884253
0.154	217884253
0.155	217884253
0.156	217884253
0.157	217884253
0.158	217884253
0.159	217884253
0.16	217884253
0.161	217884253
0.162	217884253
0.163	217884253
0.164	217884253
0.165	217884253
0.166	217884253
0.167	217884253
0.168	217884253
0.169	217884253
0.17	217884253
0.171	217884253
0.172	217884253
0.173	217884253
0.174	217884253
0.175	217884253
0.176	217884253
0.177	217884253
0.178	217884253
0.179	217884253
0.18	217884253
0.181	217884253
0.182	217884253
0.183	217884253
0.184	217884253
0.185	217884253
0.186	217884253
0.187	217884253
0.188	217884253
0.189	217884253
0.19	217884253
0.191	217884253
0.192	217884253
0.193	217884253
0.194	217884253
0.195	217884253
0.196	217884253
0.197	217884253
0.198	217884253
0.199	217884253
0.2	217884253
0.201	193189341
0.202	193189341
0.203	193189341
0.204	193189341
0.205	193189341
0.206	193189341
0.207	193189341
0.208	193189341
0.209	193189341
0.21	193189341
0.211	193189341
0.212	193189341
0.213	193189341
0.214	193189341
0.215	193189341
0.216	193189341
0.217	193189341
0.218	193189341
0.219	193189341
0.22	193189341
0.221	193189341
0.222	193189341
0.223	193189341
0.224	193189341
0.225	193189341
0.226	193189341
0.227	193189341
0.228	193189341
0.229	193189341
0.23	193189341
0.231	193189341
0.232	193189341
0.233	193189341
0.234	193189341
0.235	193189341
0.236	193189341
0.237	193189341
0.238	193189341
0.239	193189341
0.24	193189341
0.241	193189341
0.242	193189341
0.243	193189341
0.244	193189341
0.245	193189341
0.246	193189341
0.247	193189341
0.248	193189341
0.249	193189341
0.25	193189341
0.251	193189341
0.252	193189341
0.253	193189341
0.254	193189341
0.255	193189341
0.256	193189341
0.257	193189341
0.258	193189341
0.259	193189341
0.26	193189341
0.261	193189341
