fraction	Nx_length
0.001	506857186
0.002	506857186
0.003	506857186
0.004	506857186
0.005	506857186
0.006	506857186
0.007	506857186
0.008	506857186
0.009	506857186
0.01	506857186
0.011	506857186
0.012	506857186
0.013	506857186
0.014	506857186
0.015	506857186
0.016	506857186
0.017	506857186
0.018	506857186
0.019	506857186
0.02	506857186
0.021	506857186
0.022	506857186
0.023	506857186
0.024	506857186
0.025	506857186
0.026	506857186
0.027	506857186
0.028	506857186
0.029	506857186
0.03	506857186
0.031	506857186
0.032	506857186
0.033	506857186
0.034	506857186
0.035	506857186
0.036	506857186
0.037	506857186
0.038	506857186
0.039	506857186
0.04	506857186
0.041	506857186
0.042	506857186
0.043	506857186
0.044	506857186
0.045	506857186
0.046	506857186
0.047	506857186
0.048	506857186
0.049	506857186
0.05	506857186
0.051	506857186
0.052	506857186
0.053	506857186
0.054	506857186
0.055	506857186
0.056	506857186
0.057	506857186
0.058	506857186
0.059	506857186
0.06	506857186
0.061	506857186
0.062	506857186
0.063	506857186
0.064	506857186
0.065	506857186
0.066	506857186
0.067	506857186
0.068	506857186
0.069	506857186
0.07	506857186
0.071	506857186
0.072	506857186
0.073	506857186
0.074	506857186
0.075	506857186
0.076	506857186
0.077	506857186
0.078	506857186
0.079	506857186
0.08	506857186
0.081	506857186
0.082	506857186
0.083	506857186
0.084	506857186
0.085	506857186
0.086	506857186
0.087	506857186
0.088	506857186
0.089	506857186
0.09	506857186
0.091	506857186
0.092	506857186
0.093	506857186
0.094	506857186
0.095	506857186
0.096	506857186
0.097	506857186
0.098	506857186
0.099	506857186
0.1	506857186
0.101	506857186
0.102	506857186
0.103	506857186
0.104	506857186
0.105	506857186
0.106	506857186
0.107	506857186
0.108	506857186
0.109	506857186
0.11	506857186
0.111	506857186
0.112	506857186
0.113	506857186
0.114	506857186
0.115	506857186
0.116	506857186
0.117	506857186
0.118	506857186
0.119	506857186
0.12	506857186
0.121	506857186
0.122	506857186
0.123	506857186
0.124	506857186
0.125	506857186
0.126	506857186
0.127	506857186
0.128	506857186
0.129	506857186
0.13	506857186
0.131	506857186
0.132	506857186
0.133	506857186
0.134	506857186
0.135	506857186
0.136	506857186
0.137	506857186
0.138	506857186
