fraction	Nx_length
0.001	89245928
0.002	89245928
0.003	89245928
0.004	89245928
0.005	89245928
0.006	89245928
0.007	89245928
0.008	89245928
0.009	89245928
0.01	89245928
0.011	89245928
0.012	89245928
0.013	89245928
0.014	89245928
0.015	89245928
0.016	89245928
0.017	89245928
0.018	89245928
0.019	89245928
0.02	89245928
0.021	89245928
0.022	89245928
0.023	89245928
0.024	89245928
0.025	89245928
0.026	89245928
0.027	89245928
0.028	89245928
0.029	89245928
0.03	89245928
0.031	89245928
0.032	89245928
0.033	89245928
0.034	89245928
0.035	89245928
0.036	89245928
0.037	89245928
0.038	89245928
0.039	89245928
0.04	89245928
0.041	89245928
0.042	89245928
0.043	89245928
0.044	89245928
0.045	89245928
0.046	89245928
0.047	89245928
0.048	89245928
0.049	89245928
0.05	76719698
0.051	76719698
0.052	76719698
0.053	76719698
0.054	76719698
0.055	76719698
0.056	76719698
0.057	76719698
0.058	76719698
0.059	76719698
0.06	76719698
0.061	76719698
0.062	76719698
0.063	76719698
0.064	76719698
0.065	76719698
0.066	76719698
0.067	76719698
0.068	76719698
0.069	76719698
0.07	76719698
0.071	76719698
0.072	76719698
0.073	76719698
0.074	76719698
0.075	76719698
0.076	76719698
0.077	76719698
0.078	76719698
0.079	76719698
0.08	76719698
0.081	76719698
0.082	76719698
0.083	76719698
0.084	76719698
0.085	76719698
0.086	76719698
0.087	76719698
0.088	76719698
0.089	76719698
0.09	76719698
0.091	76719698
0.092	76602229
0.093	76602229
0.094	76602229
0.095	76602229
0.096	76602229
0.097	76602229
0.098	76602229
0.099	76602229
0.1	76602229
0.101	76602229
0.102	76602229
0.103	76602229
0.104	76602229
0.105	76602229
0.106	76602229
0.107	76602229
0.108	76602229
0.109	76602229
0.11	76602229
0.111	76602229
0.112	76602229
0.113	76602229
0.114	76602229
0.115	76602229
0.116	76602229
0.117	76602229
0.118	76602229
0.119	76602229
0.12	76602229
0.121	76602229
0.122	76602229
0.123	76602229
0.124	76602229
0.125	76602229
0.126	76602229
0.127	76602229
0.128	76602229
0.129	76602229
0.13	76602229
0.131	76602229
0.132	76602229
0.133	76602229
0.134	71120385
0.135	71120385
0.136	71120385
0.137	71120385
0.138	71120385
0.139	71120385
0.14	71120385
0.141	71120385
0.142	71120385
0.143	71120385
0.144	71120385
0.145	71120385
0.146	71120385
0.147	71120385
0.148	71120385
0.149	71120385
0.15	71120385
0.151	71120385
0.152	71120385
0.153	71120385
0.154	71120385
0.155	71120385
0.156	71120385
0.157	71120385
0.158	71120385
0.159	71120385
0.16	71120385
0.161	71120385
0.162	71120385
0.163	71120385
0.164	71120385
0.165	71120385
0.166	71120385
0.167	71120385
0.168	71120385
0.169	71120385
0.17	71120385
0.171	71120385
0.172	71120385
0.173	55483576
0.174	55483576
0.175	55483576
0.176	55483576
0.177	55483576
0.178	55483576
0.179	55483576
0.18	55483576
0.181	55483576
0.182	55483576
0.183	55483576
0.184	55483576
0.185	55483576
0.186	55483576
0.187	55483576
0.188	55483576
0.189	55483576
0.19	55483576
0.191	55483576
0.192	55483576
0.193	55483576
0.194	55483576
0.195	55483576
0.196	55483576
0.197	55483576
0.198	55483576
0.199	55483576
