fraction	Nx_length
0.001	93373818
0.002	93373818
0.003	93373818
0.004	93373818
0.005	93373818
0.006	93373818
0.007	93373818
0.008	93373818
0.009	93373818
0.01	93373818
0.011	93373818
0.012	93373818
0.013	93373818
0.014	93373818
0.015	93373818
0.016	93373818
0.017	93373818
0.018	93373818
0.019	93373818
0.02	93373818
0.021	93373818
0.022	93373818
0.023	93373818
0.024	93373818
0.025	93373818
0.026	93373818
0.027	93373818
0.028	93373818
0.029	93373818
0.03	93373818
0.031	93373818
0.032	93373818
0.033	93373818
0.034	93373818
0.035	93373818
0.036	93373818
0.037	93373818
0.038	93373818
0.039	93373818
0.04	93373818
0.041	93373818
0.042	93373818
0.043	93373818
0.044	93373818
0.045	93373818
0.046	93373818
0.047	93373818
0.048	93373818
0.049	93373818
0.05	93373818
0.051	93373818
0.052	92877721
0.053	92877721
0.054	92877721
0.055	92877721
0.056	92877721
0.057	92877721
0.058	92877721
0.059	92877721
0.06	92877721
0.061	92877721
0.062	92877721
0.063	92877721
0.064	92877721
0.065	92877721
0.066	92877721
0.067	92877721
0.068	92877721
0.069	92877721
0.07	92877721
0.071	92877721
0.072	92877721
0.073	92877721
0.074	92877721
0.075	92877721
0.076	92877721
0.077	92877721
0.078	92877721
0.079	92877721
0.08	92877721
0.081	92877721
0.082	92877721
0.083	92877721
0.084	92877721
0.085	92877721
0.086	92877721
0.087	92877721
0.088	92877721
0.089	92877721
0.09	92877721
0.091	92877721
0.092	92877721
0.093	92877721
0.094	92877721
0.095	92877721
0.096	92877721
0.097	92877721
0.098	92877721
0.099	92877721
0.1	92877721
0.101	92877721
0.102	92877721
0.103	70280494
0.104	70280494
0.105	70280494
0.106	70280494
0.107	70280494
0.108	70280494
0.109	70280494
0.11	70280494
0.111	70280494
0.112	70280494
0.113	70280494
0.114	70280494
0.115	70280494
0.116	70280494
0.117	70280494
0.118	70280494
0.119	70280494
0.12	70280494
0.121	70280494
0.122	70280494
0.123	70280494
0.124	70280494
0.125	70280494
0.126	70280494
0.127	70280494
0.128	70280494
0.129	70280494
0.13	70280494
0.131	70280494
0.132	70280494
0.133	70280494
0.134	70280494
0.135	70280494
0.136	70280494
0.137	70280494
0.138	70280494
0.139	70280494
0.14	70280494
0.141	70280494
0.142	67619393
0.143	67619393
0.144	67619393
0.145	67619393
0.146	67619393
0.147	67619393
0.148	67619393
0.149	67619393
0.15	67619393
0.151	67619393
0.152	67619393
0.153	67619393
0.154	67619393
0.155	67619393
0.156	67619393
0.157	67619393
0.158	67619393
0.159	67619393
0.16	67619393
0.161	67619393
0.162	67619393
0.163	67619393
0.164	67619393
0.165	67619393
0.166	67619393
0.167	67619393
0.168	67619393
0.169	67619393
0.17	67619393
0.171	67619393
0.172	67619393
0.173	67619393
0.174	67619393
0.175	67619393
0.176	67619393
0.177	67619393
0.178	67619393
0.179	67195619
0.18	67195619
0.181	67195619
0.182	67195619
0.183	67195619
0.184	67195619
0.185	67195619
0.186	67195619
0.187	67195619
0.188	67195619
0.189	67195619
0.19	67195619
0.191	67195619
0.192	67195619
0.193	67195619
0.194	67195619
0.195	67195619
0.196	67195619
0.197	67195619
0.198	67195619
0.199	67195619
0.2	67195619
0.201	67195619
0.202	67195619
0.203	67195619
0.204	67195619
0.205	67195619
