fraction	Nx_length
0.001	5500978
0.002	5500978
0.003	5500978
0.004	5310590
0.005	5310590
0.006	5310590
0.007	5310590
0.008	4853537
0.009	4853537
0.01	4853537
0.011	4707131
0.012	4707131
0.013	4707131
0.014	4684093
0.015	4684093
0.016	4684093
0.017	4569005
0.018	4569005
0.019	4569005
0.02	4449106
0.021	4449106
0.022	4449106
0.023	4301586
0.024	4301586
0.025	4301586
0.026	4254004
0.027	4254004
0.028	4254004
0.029	4109676
0.03	4109676
0.031	4052174
0.032	4052174
0.033	4052174
0.034	4050191
0.035	4050191
0.036	4050191
0.037	4006913
0.038	4006913
0.039	3810732
0.04	3810732
0.041	3810732
0.042	3764440
0.043	3764440
0.044	3743071
0.045	3743071
0.046	3743071
0.047	3677609
0.048	3677609
0.049	3657032
0.05	3657032
0.051	3587802
0.052	3587802
0.053	3587802
0.054	3516503
0.055	3516503
0.056	3446651
0.057	3446651
0.058	3246186
0.059	3246186
0.06	3246186
0.061	3241393
0.062	3241393
0.063	3203448
0.064	3203448
0.065	3200305
0.066	3200305
0.067	3034784
0.068	3034784
0.069	3032166
0.07	3032166
0.071	2962246
0.072	2962246
0.073	2936215
0.074	2936215
0.075	2860607
0.076	2860607
0.077	2850995
0.078	2850995
0.079	2842678
0.08	2812701
0.081	2812701
0.082	2780650
0.083	2780650
0.084	2760928
0.085	2760928
0.086	2757828
0.087	2757828
0.088	2677377
0.089	2668528
0.09	2668528
0.091	2601850
0.092	2601850
0.093	2593222
0.094	2593222
0.095	2578222
0.096	2497579
0.097	2497579
0.098	2464395
0.099	2464395
0.1	2448241
0.101	2442318
0.102	2442318
0.103	2435464
0.104	2419770
0.105	2419770
0.106	2415846
0.107	2415846
0.108	2385045
0.109	2335693
0.11	2335693
0.111	2330420
0.112	2328275
0.113	2328275
0.114	2306802
0.115	2304124
0.116	2304124
0.117	2301570
0.118	2273728
0.119	2273728
0.12	2270616
0.121	2265941
0.122	2265941
0.123	2265351
0.124	2261158
0.125	2261158
0.126	2258087
0.127	2253277
0.128	2253277
0.129	2242349
0.13	2211522
0.131	2211522
0.132	2207989
0.133	2204891
0.134	2204891
0.135	2194447
0.136	2189786
0.137	2189720
0.138	2189720
0.139	2175509
0.14	2175195
0.141	2175195
0.142	2166892
0.143	2159049
0.144	2159049
0.145	2157412
0.146	2156013
0.147	2148085
0.148	2148085
0.149	2124825
0.15	2121548
0.151	2121548
0.152	2119766
0.153	2110768
0.154	2105862
0.155	2105862
0.156	2104818
0.157	2101366
0.158	2101366
0.159	2073366
0.16	2049143
0.161	2041002
0.162	2041002
0.163	2030868
0.164	2028534
0.165	2013186
0.166	2013186
0.167	2001935
0.168	1998378
0.169	1987283
0.17	1987283
0.171	1984352
0.172	1967875
0.173	1965565
0.174	1949626
0.175	1949626
0.176	1935986
0.177	1935438
0.178	1926713
0.179	1926713
0.18	1922346
0.181	1917727
0.182	1908985
0.183	1903291
0.184	1903291
0.185	1894787
0.186	1892355
0.187	1885686
0.188	1879823
0.189	1879823
0.19	1874758
0.191	1871799
0.192	1871667
0.193	1867775
0.194	1848506
0.195	1848506
0.196	1844101
0.197	1842589
0.198	1819636
0.199	1818711
0.2	1810771
0.201	1810771
0.202	1809175
0.203	1804890
0.204	1798872
0.205	1788068
0.206	1781987
0.207	1781987
0.208	1776964
0.209	1776007
0.21	1772518
0.211	1759725
0.212	1758845
0.213	1753158
0.214	1753158
0.215	1751518
0.216	1750552
