fraction	Nx_length
0.001	364233724
0.002	364233724
0.003	364233724
0.004	364233724
0.005	364233724
0.006	364233724
0.007	364233724
0.008	364233724
0.009	364233724
0.01	364233724
0.011	364233724
0.012	364233724
0.013	364233724
0.014	364233724
0.015	364233724
0.016	364233724
0.017	364233724
0.018	364233724
0.019	364233724
0.02	364233724
0.021	364233724
0.022	364233724
0.023	364233724
0.024	364233724
0.025	364233724
0.026	364233724
0.027	364233724
0.028	364233724
0.029	364233724
0.03	364233724
0.031	364233724
0.032	364233724
0.033	364233724
0.034	364233724
0.035	364233724
0.036	364233724
0.037	364233724
0.038	364233724
0.039	364233724
0.04	364233724
0.041	364233724
0.042	364233724
0.043	364233724
0.044	364233724
0.045	364233724
0.046	364233724
0.047	364233724
0.048	364233724
0.049	364233724
0.05	364233724
0.051	364233724
0.052	364233724
0.053	364233724
0.054	364233724
0.055	364233724
0.056	364233724
0.057	364233724
0.058	364233724
0.059	364233724
0.06	364233724
0.061	364233724
0.062	364233724
0.063	364233724
0.064	364233724
0.065	364233724
0.066	364233724
0.067	364233724
0.068	364233724
0.069	364233724
0.07	364233724
0.071	364233724
0.072	364233724
0.073	364233724
0.074	364233724
0.075	364233724
0.076	364233724
0.077	364233724
0.078	364233724
0.079	364233724
0.08	364233724
0.081	364233724
0.082	364233724
0.083	364233724
0.084	364233724
0.085	364233724
0.086	364233724
0.087	364233724
0.088	364233724
0.089	364233724
0.09	364233724
0.091	364233724
0.092	364233724
0.093	364233724
0.094	364233724
0.095	364233724
0.096	364233724
0.097	364233724
0.098	364233724
0.099	364233724
0.1	364233724
0.101	364233724
0.102	364233724
0.103	364233724
0.104	364233724
0.105	364233724
0.106	364233724
0.107	364233724
0.108	364233724
0.109	364233724
0.11	364233724
0.111	364233724
0.112	364233724
0.113	364233724
0.114	364233724
0.115	364233724
0.116	364233724
0.117	364233724
0.118	364233724
0.119	364233724
0.12	364233724
0.121	364233724
0.122	364233724
0.123	364233724
0.124	364233724
0.125	364233724
0.126	364233724
0.127	364233724
0.128	364233724
0.129	364233724
0.13	364233724
0.131	364233724
0.132	364233724
0.133	364233724
0.134	364233724
0.135	364233724
0.136	364233724
0.137	364233724
0.138	364233724
0.139	364233724
0.14	364233724
0.141	364233724
0.142	364233724
0.143	364233724
0.144	364233724
0.145	364233724
0.146	364233724
0.147	364233724
0.148	364233724
0.149	364233724
0.15	364233724
0.151	364233724
0.152	364233724
0.153	364233724
0.154	364233724
0.155	364233724
0.156	364233724
0.157	364233724
0.158	364233724
0.159	364233724
0.16	364233724
0.161	364233724
0.162	364233724
0.163	364233724
0.164	364233724
0.165	364233724
0.166	364233724
0.167	364233724
0.168	364233724
0.169	364233724
0.17	364233724
0.171	364233724
0.172	364233724
0.173	364233724
0.174	364233724
0.175	364233724
0.176	364233724
0.177	364233724
0.178	364233724
0.179	364233724
0.18	364233724
0.181	364233724
0.182	364233724
0.183	364233724
0.184	364233724
0.185	364233724
0.186	364233724
0.187	364233724
0.188	364233724
0.189	364233724
0.19	305135452
0.191	305135452
0.192	305135452
0.193	305135452
0.194	305135452
0.195	305135452
0.196	305135452
0.197	305135452
0.198	305135452
0.199	305135452
0.2	305135452
0.201	305135452
0.202	305135452
0.203	305135452
0.204	305135452
0.205	305135452
0.206	305135452
0.207	305135452
0.208	305135452
0.209	305135452
0.21	305135452
0.211	305135452
0.212	305135452
0.213	305135452
0.214	305135452
0.215	305135452
0.216	305135452
0.217	305135452
0.218	305135452
