fraction	Nx_length
0.001	37272740
0.002	37272740
0.003	37272740
0.004	37272740
0.005	37272740
0.006	37272740
0.007	37272740
0.008	37272740
0.009	37272740
0.01	37272740
0.011	37272740
0.012	37272740
0.013	37272740
0.014	37272740
0.015	37272740
0.016	37272740
0.017	37272740
0.018	37272740
0.019	37272740
0.02	27520941
0.021	27520941
0.022	27520941
0.023	27520941
0.024	27520941
0.025	27520941
0.026	27520941
0.027	27520941
0.028	27520941
0.029	27520941
0.03	27520941
0.031	27520941
0.032	27520941
0.033	27520941
0.034	27520941
0.035	22122182
0.036	22122182
0.037	22122182
0.038	22122182
0.039	22122182
0.04	22122182
0.041	22122182
0.042	22122182
0.043	22122182
0.044	22122182
0.045	22122182
0.046	22122182
0.047	21760446
0.048	21760446
0.049	21760446
0.05	21760446
0.051	21760446
0.052	21760446
0.053	21760446
0.054	21760446
0.055	21760446
0.056	21760446
0.057	21760446
0.058	21760446
0.059	21687559
0.06	21687559
0.061	21687559
0.062	21687559
0.063	21687559
0.064	21687559
0.065	21687559
0.066	21687559
0.067	21687559
0.068	21687559
0.069	21687559
0.07	20145040
0.071	20145040
0.072	20145040
0.073	20145040
0.074	20145040
0.075	20145040
0.076	20145040
0.077	20145040
0.078	20145040
0.079	20145040
0.08	20145040
0.081	19543432
0.082	19543432
0.083	19543432
0.084	19543432
0.085	19543432
0.086	19543432
0.087	19543432
0.088	19543432
0.089	19543432
0.09	19543432
0.091	19543432
0.092	18959473
0.093	18959473
0.094	18959473
0.095	18959473
0.096	18959473
0.097	18959473
0.098	18959473
0.099	18959473
0.1	18959473
0.101	18959473
0.102	18607107
0.103	18607107
0.104	18607107
0.105	18607107
0.106	18607107
0.107	18607107
0.108	18607107
0.109	18607107
0.11	18607107
0.111	18607107
0.112	18242446
0.113	18242446
0.114	18242446
0.115	18242446
0.116	18242446
0.117	18242446
0.118	18242446
0.119	18242446
0.12	18242446
0.121	16997542
0.122	16997542
0.123	16997542
0.124	16997542
0.125	16997542
0.126	16997542
0.127	16997542
0.128	16997542
0.129	16997542
0.13	16997542
0.131	14569390
0.132	14569390
0.133	14569390
0.134	14569390
0.135	14569390
0.136	14569390
0.137	14569390
0.138	14376546
0.139	14376546
0.14	14376546
0.141	14376546
0.142	14376546
0.143	14376546
0.144	14376546
0.145	14376546
0.146	14346295
0.147	14346295
0.148	14346295
0.149	14346295
0.15	14346295
0.151	14346295
0.152	14346295
0.153	14346295
0.154	13311909
0.155	13311909
0.156	13311909
0.157	13311909
0.158	13311909
0.159	13311909
0.16	13311909
0.161	13228607
0.162	13228607
0.163	13228607
0.164	13228607
0.165	13228607
0.166	13228607
0.167	13228607
0.168	12778723
0.169	12778723
0.17	12778723
0.171	12778723
