fraction	Nx_length
0.001	182905424
0.002	182905424
0.003	182905424
0.004	182905424
0.005	182905424
0.006	182905424
0.007	182905424
0.008	182905424
0.009	182905424
0.01	182905424
0.011	182905424
0.012	182905424
0.013	182905424
0.014	182905424
0.015	182905424
0.016	182905424
0.017	182905424
0.018	182905424
0.019	182905424
0.02	182905424
0.021	182905424
0.022	182905424
0.023	182905424
0.024	182905424
0.025	182905424
0.026	182905424
0.027	182905424
0.028	182905424
0.029	182905424
0.03	182905424
0.031	182905424
0.032	182905424
0.033	182905424
0.034	182905424
0.035	182905424
0.036	182905424
0.037	182905424
0.038	182905424
0.039	182905424
0.04	182905424
0.041	182905424
0.042	182905424
0.043	182905424
0.044	182905424
0.045	182905424
0.046	182905424
0.047	182905424
0.048	182905424
0.049	182905424
0.05	182905424
0.051	182905424
0.052	182905424
0.053	182905424
0.054	182905424
0.055	182905424
0.056	182905424
0.057	182905424
0.058	182905424
0.059	182905424
0.06	182905424
0.061	182905424
0.062	182905424
0.063	182905424
0.064	182905424
0.065	182905424
0.066	182905424
0.067	182905424
0.068	182905424
0.069	182905424
0.07	182905424
0.071	182905424
0.072	182905424
0.073	182905424
0.074	182905424
0.075	182905424
0.076	182905424
0.077	182905424
0.078	182905424
0.079	182905424
0.08	182905424
0.081	182905424
0.082	182905424
0.083	182905424
0.084	182905424
0.085	182905424
0.086	182905424
0.087	182905424
0.088	182905424
0.089	182905424
0.09	182905424
0.091	182905424
0.092	182905424
0.093	182905424
0.094	182905424
0.095	182905424
0.096	182905424
0.097	182905424
0.098	182905424
0.099	182905424
0.1	182905424
0.101	181794102
0.102	181794102
0.103	181794102
0.104	181794102
0.105	181794102
0.106	181794102
0.107	181794102
0.108	181794102
0.109	181794102
0.11	181794102
0.111	181794102
0.112	181794102
0.113	181794102
0.114	181794102
0.115	181794102
0.116	181794102
0.117	181794102
0.118	181794102
0.119	181794102
0.12	181794102
0.121	181794102
0.122	181794102
0.123	181794102
0.124	181794102
0.125	181794102
0.126	181794102
0.127	181794102
0.128	181794102
0.129	181794102
0.13	181794102
0.131	181794102
0.132	181794102
0.133	181794102
0.134	181794102
0.135	181794102
0.136	181794102
0.137	181794102
0.138	181794102
0.139	181794102
0.14	181794102
0.141	181794102
0.142	181794102
0.143	181794102
0.144	181794102
0.145	181794102
0.146	181794102
0.147	181794102
0.148	181794102
0.149	181794102
0.15	181794102
0.151	181794102
0.152	181794102
0.153	181794102
0.154	181794102
0.155	181794102
0.156	181794102
0.157	181794102
0.158	181794102
0.159	181794102
0.16	181794102
0.161	181794102
0.162	181794102
0.163	181794102
0.164	181794102
0.165	181794102
0.166	181794102
0.167	181794102
0.168	181794102
0.169	181794102
0.17	181794102
0.171	181794102
0.172	181794102
0.173	181794102
0.174	181794102
0.175	181794102
0.176	181794102
0.177	181794102
0.178	181794102
0.179	181794102
0.18	181794102
0.181	181794102
0.182	181794102
0.183	181794102
0.184	181794102
0.185	181794102
0.186	181794102
0.187	181794102
0.188	181794102
0.189	181794102
0.19	181794102
0.191	181794102
0.192	181794102
0.193	181794102
0.194	181794102
0.195	181794102
0.196	181794102
0.197	181794102
0.198	181794102
0.199	181794102
0.2	146644812
0.201	146644812
0.202	146644812
0.203	146644812
0.204	146644812
0.205	146644812
0.206	146644812
0.207	146644812
0.208	146644812
0.209	146644812
0.21	146644812
0.211	146644812
0.212	146644812
0.213	146644812
0.214	146644812
0.215	146644812
0.216	146644812
0.217	146644812
0.218	146644812
0.219	146644812
0.22	146644812
0.221	146644812
0.222	146644812
0.223	146644812
0.224	146644812
0.225	146644812
0.226	146644812
0.227	146644812
0.228	146644812
0.229	146644812
0.23	146644812
0.231	146644812
0.232	146644812
0.233	146644812
0.234	146644812
0.235	146644812
0.236	146644812
0.237	146644812
0.238	146644812
0.239	146644812
0.24	146644812
0.241	146644812
0.242	146644812
0.243	146644812
0.244	146644812
0.245	146644812
0.246	146644812
0.247	146644812
0.248	146644812
0.249	146644812
0.25	146644812
0.251	146644812
0.252	146644812
0.253	146644812
0.254	146644812
0.255	146644812
0.256	146644812
0.257	146644812
0.258	146644812
0.259	146644812
0.26	146644812
0.261	146644812
0.262	146644812
0.263	146644812
0.264	146644812
0.265	146644812
0.266	146644812
0.267	146644812
0.268	146644812
0.269	146644812
0.27	146644812
0.271	146644812
0.272	146644812
0.273	146644812
0.274	146644812
0.275	146644812
0.276	146644812
0.277	146644812
0.278	146644812
0.279	146644812
0.28	113052375
0.281	113052375
0.282	113052375
0.283	113052375
0.284	113052375
0.285	113052375
0.286	113052375
0.287	113052375
0.288	113052375
0.289	113052375
0.29	113052375
0.291	113052375
0.292	113052375
0.293	113052375
0.294	113052375
0.295	113052375
0.296	113052375
0.297	113052375
0.298	113052375
0.299	113052375
0.3	113052375
0.301	113052375
0.302	113052375
0.303	113052375
0.304	113052375
0.305	113052375
0.306	113052375
0.307	113052375
0.308	113052375
0.309	113052375
0.31	113052375
0.311	113052375
0.312	113052375
0.313	113052375
0.314	113052375
0.315	113052375
0.316	113052375
0.317	113052375
0.318	113052375
0.319	113052375
0.32	113052375
0.321	113052375
0.322	113052375
0.323	113052375
0.324	113052375
0.325	113052375
0.326	113052375
0.327	113052375
0.328	113052375
0.329	113052375
0.33	113052375
0.331	113052375
0.332	113052375
0.333	113052375
0.334	113052375
0.335	113052375
0.336	113052375
0.337	113052375
0.338	113052375
0.339	113052375
0.34	113052375
0.341	113052375
0.342	95316110
0.343	95316110
0.344	95316110
0.345	95316110
0.346	95316110
0.347	95316110
0.348	95316110
0.349	95316110
0.35	95316110
0.351	95316110
0.352	95316110
0.353	95316110
0.354	95316110
0.355	95316110
0.356	95316110
0.357	95316110
0.358	95316110
0.359	95316110
0.36	95316110
0.361	95316110
0.362	95316110
0.363	95316110
0.364	95316110
0.365	95316110
0.366	95316110
0.367	95316110
0.368	95316110
0.369	95316110
0.37	95316110
0.371	95316110
0.372	95316110
0.373	95316110
0.374	95316110
0.375	95316110
0.376	95316110
0.377	95316110
0.378	95316110
0.379	95316110
0.38	95316110
0.381	95316110
0.382	95316110
0.383	95316110
0.384	95316110
0.385	95316110
0.386	95316110
0.387	95316110
0.388	95316110
0.389	95316110
0.39	95316110
0.391	95316110
0.392	95316110
0.393	95316110
0.394	81342415
0.395	81342415
0.396	81342415
0.397	81342415
0.398	81342415
0.399	81342415
0.4	81342415
0.401	81342415
0.402	81342415
0.403	81342415
0.404	81342415
0.405	81342415
0.406	81342415
0.407	81342415
0.408	81342415
0.409	81342415
0.41	81342415
0.411	81342415
0.412	81342415
0.413	81342415
0.414	81342415
0.415	81342415
0.416	81342415
0.417	81342415
0.418	81342415
0.419	81342415
0.42	81342415
0.421	81342415
0.422	81342415
0.423	81342415
0.424	81342415
0.425	81342415
0.426	81342415
0.427	81342415
0.428	81342415
0.429	81342415
0.43	81342415
0.431	81342415
0.432	81342415
0.433	81342415
0.434	81342415
0.435	81342415
0.436	81342415
0.437	81342415
0.438	75247876
0.439	75247876
0.44	75247876
0.441	75247876
0.442	75247876
0.443	75247876
0.444	75247876
0.445	75247876
0.446	75247876
0.447	75247876
0.448	75247876
0.449	75247876
0.45	75247876
0.451	75247876
0.452	75247876
0.453	75247876
0.454	75247876
0.455	75247876
0.456	75247876
0.457	75247876
0.458	75247876
0.459	75247876
0.46	75247876
0.461	75247876
0.462	75247876
0.463	75247876
0.464	75247876
0.465	75247876
0.466	75247876
0.467	75247876
0.468	75247876
0.469	75247876
0.47	75247876
0.471	75247876
0.472	75247876
0.473	75247876
0.474	75247876
0.475	75247876
0.476	75247876
0.477	75247876
0.478	75247876
0.479	75247876
0.48	72486006
0.481	72486006
0.482	72486006
0.483	72486006
0.484	72486006
0.485	72486006
0.486	72486006
0.487	72486006
0.488	72486006
0.489	72486006
0.49	72486006
0.491	72486006
0.492	72486006
0.493	72486006
0.494	72486006
0.495	72486006
0.496	72486006
0.497	72486006
0.498	72486006
0.499	72486006
0.5	72486006
0.501	72486006
0.502	72486006
0.503	72486006
0.504	72486006
0.505	72486006
0.506	72486006
0.507	72486006
0.508	72486006
0.509	72486006
0.51	72486006
0.511	72486006
0.512	72486006
0.513	72486006
0.514	72486006
0.515	72486006
0.516	72486006
0.517	72486006
0.518	72486006
0.519	61664429
0.52	61664429
0.521	61664429
0.522	61664429
0.523	61664429
0.524	61664429
0.525	61664429
0.526	61664429
0.527	61664429
0.528	61664429
0.529	61664429
0.53	61664429
0.531	61664429
0.532	61664429
0.533	61664429
0.534	61664429
0.535	61664429
0.536	61664429
0.537	61664429
0.538	61664429
0.539	61664429
0.54	61664429
0.541	61664429
0.542	61664429
0.543	61664429
0.544	61664429
0.545	61664429
0.546	61664429
0.547	61664429
0.548	61664429
0.549	61664429
0.55	61664429
0.551	61664429
0.552	61664429
0.553	58299732
0.554	58299732
0.555	58299732
0.556	58299732
0.557	58299732
0.558	58299732
0.559	58299732
0.56	58299732
0.561	58299732
0.562	58299732
0.563	58299732
0.564	58299732
0.565	58299732
0.566	58299732
0.567	58299732
0.568	58299732
0.569	58299732
0.57	58299732
0.571	58299732
0.572	58299732
0.573	58299732
0.574	58299732
0.575	58299732
0.576	58299732
0.577	58299732
0.578	58299732
0.579	58299732
0.58	58299732
0.581	58299732
0.582	58299732
0.583	58299732
0.584	58299732
0.585	57992602
0.586	57992602
0.587	57992602
0.588	57992602
0.589	57992602
0.59	57992602
0.591	57992602
0.592	57992602
0.593	57992602
0.594	57992602
0.595	57992602
0.596	57992602
0.597	57992602
0.598	57992602
0.599	57992602
0.6	57992602
0.601	57992602
0.602	57992602
0.603	57992602
0.604	57992602
0.605	57992602
0.606	57992602
0.607	57992602
0.608	57992602
0.609	57992602
0.61	57992602
0.611	57992602
0.612	57992602
0.613	57992602
0.614	57992602
0.615	57992602
0.616	57992602
0.617	36321250
0.618	36321250
0.619	36321250
0.62	36321250
0.621	36321250
0.622	36321250
0.623	36321250
0.624	36321250
0.625	36321250
0.626	36321250
0.627	36321250
0.628	36321250
0.629	36321250
0.63	36321250
0.631	36321250
0.632	36321250
0.633	36321250
0.634	36321250
0.635	36321250
0.636	32080087
0.637	32080087
0.638	32080087
0.639	32080087
0.64	32080087
0.641	32080087
0.642	32080087
0.643	32080087
0.644	32080087
0.645	32080087
0.646	32080087
0.647	32080087
0.648	32080087
0.649	32080087
0.65	32080087
0.651	32080087
0.652	32080087
0.653	32080087
0.654	22902055
0.655	22902055
0.656	22902055
0.657	22902055
0.658	22902055
0.659	22902055
0.66	22902055
0.661	22902055
0.662	22902055
0.663	22902055
0.664	22902055
0.665	22902055
0.666	17413410
0.667	17413410
0.668	17413410
0.669	17413410
0.67	17413410
0.671	17413410
0.672	17413410
0.673	17413410
0.674	17413410
0.675	17413410
0.676	13976961
0.677	13976961
0.678	13976961
0.679	13976961
0.68	13976961
0.681	13976961
0.682	13976961
0.683	13976961
0.684	11322338
0.685	11322338
0.686	11322338
0.687	11322338
0.688	11322338
0.689	11322338
0.69	10427280
0.691	10427280
0.692	10427280
0.693	10427280
0.694	10427280
0.695	10427280
0.696	9903694
0.697	9903694
0.698	9903694
0.699	9903694
0.7	9903694
0.701	8833326
0.702	8833326
0.703	8833326
0.704	8833326
0.705	8833326
0.706	8800993
0.707	8800993
0.708	8800993
0.709	8800993
0.71	8800993
0.711	8702647
0.712	8702647
0.713	8702647
0.714	8702647
0.715	8527552
0.716	8527552
0.717	8527552
0.718	8527552
0.719	8527552
0.72	7377865
0.721	7377865
0.722	7377865
0.723	7377865
0.724	6617290
0.725	6617290
0.726	6617290
0.727	6617290
0.728	6538431
0.729	6538431
0.73	6538431
0.731	6127749
0.732	6127749
0.733	6127749
0.734	6127749
0.735	6105066
0.736	6105066
0.737	6105066
0.738	5929407
0.739	5929407
0.74	5929407
0.741	5925762
0.742	5925762
0.743	5925762
0.744	5845522
0.745	5845522
0.746	5845522
0.747	5845522
0.748	5824485
0.749	5824485
0.75	5824485
0.751	5819881
0.752	5819881
0.753	5819881
0.754	5475876
0.755	5475876
0.756	5475876
0.757	5388962
0.758	5388962
0.759	5388962
0.76	4765354
0.761	4765354
0.762	4765354
0.763	4681306
