fraction	Nx_length
0.001	359319279
0.002	359319279
0.003	359319279
0.004	359319279
0.005	359319279
0.006	359319279
0.007	359319279
0.008	359319279
0.009	359319279
0.01	359319279
0.011	359319279
0.012	359319279
0.013	359319279
0.014	359319279
0.015	359319279
0.016	359319279
0.017	359319279
0.018	359319279
0.019	359319279
0.02	359319279
0.021	359319279
0.022	359319279
0.023	359319279
0.024	359319279
0.025	359319279
0.026	359319279
0.027	359319279
0.028	359319279
0.029	359319279
0.03	359319279
0.031	359319279
0.032	359319279
0.033	359319279
0.034	359319279
0.035	359319279
0.036	359319279
0.037	359319279
0.038	359319279
0.039	359319279
0.04	359319279
0.041	359319279
0.042	359319279
0.043	359319279
0.044	359319279
0.045	359319279
0.046	359319279
0.047	359319279
0.048	359319279
0.049	359319279
0.05	359319279
0.051	359319279
0.052	359319279
0.053	359319279
0.054	359319279
0.055	359319279
0.056	359319279
0.057	359319279
0.058	359319279
0.059	359319279
0.06	359319279
0.061	359319279
0.062	359319279
0.063	359319279
0.064	359319279
0.065	359319279
0.066	359319279
0.067	359319279
0.068	359319279
0.069	359319279
0.07	359319279
0.071	359319279
0.072	359319279
0.073	359319279
0.074	359319279
0.075	359319279
0.076	359319279
0.077	359319279
0.078	359319279
0.079	359319279
0.08	359319279
0.081	359319279
0.082	359319279
0.083	359319279
0.084	359319279
0.085	359319279
0.086	359319279
0.087	359319279
0.088	359319279
0.089	359319279
0.09	359319279
0.091	359319279
0.092	359319279
0.093	359319279
0.094	359319279
0.095	359319279
0.096	359319279
0.097	359319279
0.098	359319279
0.099	359319279
0.1	359319279
0.101	359319279
0.102	359319279
0.103	359319279
0.104	359319279
0.105	359319279
0.106	359319279
0.107	359319279
0.108	359319279
0.109	359319279
0.11	359319279
0.111	359319279
0.112	359319279
0.113	359319279
0.114	359319279
0.115	359319279
0.116	359319279
0.117	359319279
0.118	359319279
0.119	359319279
0.12	359319279
0.121	359319279
0.122	359319279
0.123	359319279
0.124	359319279
0.125	359319279
0.126	359319279
0.127	359319279
0.128	359319279
0.129	359319279
0.13	359319279
0.131	359319279
0.132	359319279
0.133	359319279
0.134	359319279
0.135	359319279
0.136	359319279
0.137	359319279
0.138	359319279
0.139	359319279
0.14	359319279
0.141	359319279
0.142	359319279
0.143	359319279
0.144	359319279
0.145	359319279
0.146	359319279
0.147	359319279
0.148	359319279
0.149	359319279
0.15	359319279
0.151	359319279
0.152	359319279
0.153	359319279
0.154	359319279
0.155	359319279
0.156	359319279
0.157	359319279
0.158	359319279
0.159	359319279
0.16	359319279
0.161	359319279
0.162	359319279
0.163	359319279
0.164	359319279
0.165	359319279
0.166	359319279
0.167	359319279
0.168	359319279
0.169	359319279
