fraction	Nx_length
0.001	57724353
0.002	57724353
0.003	57724353
0.004	57724353
0.005	57724353
0.006	57724353
0.007	57724353
0.008	57724353
0.009	57724353
0.01	57724353
0.011	57724353
0.012	57724353
0.013	57724353
0.014	57724353
0.015	57724353
0.016	57724353
0.017	57724353
0.018	57724353
0.019	57724353
0.02	57724353
0.021	57724353
0.022	57724353
0.023	57724353
0.024	57724353
0.025	57724353
0.026	57724353
0.027	57724353
0.028	57724353
0.029	57724353
0.03	57724353
0.031	57724353
0.032	57724353
0.033	57724353
0.034	57724353
0.035	57724353
0.036	57724353
0.037	57724353
0.038	46282703
0.039	46282703
0.04	46282703
0.041	46282703
0.042	46282703
0.043	46282703
0.044	46282703
0.045	46282703
0.046	46282703
0.047	46282703
0.048	46282703
0.049	46282703
0.05	46282703
0.051	46282703
0.052	46282703
0.053	46282703
0.054	46282703
0.055	46282703
0.056	46282703
0.057	46282703
0.058	46282703
0.059	46282703
0.06	46282703
0.061	46282703
0.062	46282703
0.063	46282703
0.064	46282703
0.065	46282703
0.066	46282703
0.067	44028766
0.068	44028766
0.069	44028766
0.07	44028766
0.071	44028766
0.072	44028766
0.073	44028766
0.074	44028766
0.075	44028766
0.076	44028766
0.077	44028766
0.078	44028766
0.079	44028766
0.08	44028766
0.081	44028766
0.082	44028766
0.083	44028766
0.084	44028766
0.085	44028766
0.086	44028766
0.087	44028766
0.088	44028766
0.089	44028766
0.09	44028766
0.091	44028766
0.092	44028766
0.093	44028766
0.094	44028766
0.095	34349628
0.096	34349628
0.097	34349628
0.098	34349628
0.099	34349628
0.1	34349628
0.101	34349628
0.102	34349628
0.103	34349628
0.104	34349628
0.105	34349628
0.106	34349628
0.107	34349628
0.108	34349628
0.109	34349628
0.11	34349628
0.111	34349628
0.112	34349628
0.113	34349628
0.114	34349628
0.115	34349628
0.116	34349628
0.117	34028581
0.118	34028581
0.119	34028581
0.12	34028581
0.121	34028581
0.122	34028581
0.123	34028581
0.124	34028581
0.125	34028581
0.126	34028581
0.127	34028581
0.128	34028581
0.129	34028581
0.13	34028581
0.131	34028581
0.132	34028581
0.133	34028581
0.134	34028581
0.135	34028581
0.136	34028581
0.137	34028581
0.138	34028581
0.139	31737824
0.14	31737824
0.141	31737824
0.142	31737824
0.143	31737824
0.144	31737824
0.145	31737824
0.146	31737824
0.147	31737824
0.148	31737824
0.149	31737824
0.15	31737824
0.151	31737824
0.152	31737824
0.153	31737824
0.154	31737824
0.155	31737824
0.156	31737824
0.157	31737824
0.158	31737824
0.159	31737824
0.16	29049066
0.161	29049066
0.162	29049066
0.163	29049066
0.164	29049066
0.165	29049066
0.166	29049066
0.167	29049066
0.168	29049066
0.169	29049066
0.17	29049066
0.171	29049066
0.172	29049066
0.173	29049066
0.174	29049066
0.175	29049066
0.176	29049066
0.177	29049066
0.178	29010209
0.179	29010209
0.18	29010209
0.181	29010209
0.182	29010209
0.183	29010209
0.184	29010209
0.185	29010209
0.186	29010209
0.187	29010209
0.188	29010209
0.189	29010209
0.19	29010209
0.191	29010209
0.192	29010209
0.193	29010209
0.194	29010209
0.195	29010209
0.196	29010209
0.197	28786077
0.198	28786077
0.199	28786077
0.2	28786077
0.201	28786077
0.202	28786077
0.203	28786077
0.204	28786077
0.205	28786077
0.206	28786077
0.207	28786077
0.208	28786077
0.209	28786077
0.21	28786077
0.211	28786077
0.212	28786077
0.213	28786077
0.214	28786077
0.215	27922428
0.216	27922428
0.217	27922428
0.218	27922428
0.219	27922428
0.22	27922428
0.221	27922428
0.222	27922428
0.223	27922428
0.224	27922428
0.225	27922428
0.226	27922428
0.227	27922428
0.228	27922428
0.229	27922428
0.23	27922428
0.231	27922428
0.232	27922428
0.233	27270918
0.234	27270918
0.235	27270918
0.236	27270918
0.237	27270918
0.238	27270918
0.239	27270918
0.24	27270918
0.241	27270918
0.242	27270918
0.243	27270918
0.244	27270918
0.245	27270918
0.246	27270918
0.247	27270918
0.248	27270918
0.249	27270918
0.25	27270918
0.251	24656623
0.252	24656623
0.253	24656623
0.254	24656623
0.255	24656623
0.256	24656623
0.257	24656623
0.258	24656623
0.259	24656623
0.26	24656623
0.261	24656623
0.262	24656623
0.263	24656623
0.264	24656623
0.265	24656623
0.266	23349826
0.267	23349826
0.268	23349826
0.269	23349826
0.27	23349826
0.271	23349826
0.272	23349826
0.273	23349826
0.274	23349826
0.275	23349826
0.276	23349826
0.277	23349826
0.278	23349826
0.279	23349826
0.28	23349826
0.281	23294136
0.282	23294136
0.283	23294136
0.284	23294136
0.285	23294136
0.286	23294136
0.287	23294136
0.288	23294136
0.289	23294136
0.29	23294136
0.291	23294136
0.292	23294136
0.293	23294136
0.294	23294136
0.295	23294136
0.296	23279659
0.297	23279659
0.298	23279659
0.299	23279659
0.3	23279659
0.301	23279659
0.302	23279659
0.303	23279659
0.304	23279659
0.305	23279659
0.306	23279659
0.307	23279659
0.308	23279659
0.309	23279659
0.31	23279659
0.311	22360361
0.312	22360361
0.313	22360361
0.314	22360361
0.315	22360361
0.316	22360361
0.317	22360361
0.318	22360361
0.319	22360361
0.32	22360361
0.321	22360361
0.322	22360361
0.323	22360361
0.324	22360361
0.325	22360361
0.326	20027902
0.327	20027902
0.328	20027902
0.329	20027902
0.33	20027902
0.331	20027902
0.332	20027902
0.333	20027902
0.334	20027902
0.335	20027902
0.336	20027902
0.337	20027902
0.338	20027902
0.339	19270988
0.34	19270988
0.341	19270988
0.342	19270988
0.343	19270988
0.344	19270988
0.345	19270988
0.346	19270988
0.347	19270988
0.348	19270988
0.349	19270988
0.35	19270988
0.351	18212816
0.352	18212816
0.353	18212816
0.354	18212816
0.355	18212816
0.356	18212816
0.357	18212816
0.358	18212816
0.359	18212816
0.36	18212816
0.361	18212816
0.362	18212816
0.363	17749115
0.364	17749115
0.365	17749115
0.366	17749115
0.367	17749115
0.368	17749115
0.369	17749115
0.37	17749115
0.371	17749115
0.372	17749115
0.373	17749115
0.374	17281774
0.375	17281774
0.376	17281774
0.377	17281774
0.378	17281774
0.379	17281774
0.38	17281774
0.381	17281774
0.382	17281774
0.383	17281774
0.384	17281774
0.385	17058849
0.386	17058849
0.387	17058849
0.388	17058849
0.389	17058849
0.39	17058849
0.391	17058849
0.392	17058849
0.393	17058849
0.394	17058849
0.395	17058849
0.396	16886787
0.397	16886787
0.398	16886787
0.399	16886787
0.4	16886787
0.401	16886787
0.402	16886787
0.403	16886787
0.404	16886787
0.405	16886787
0.406	16886787
0.407	16879344
0.408	16879344
0.409	16879344
0.41	16879344
0.411	16879344
0.412	16879344
0.413	16879344
0.414	16879344
0.415	16879344
0.416	16879344
0.417	16879344
0.418	16447299
0.419	16447299
0.42	16447299
0.421	16447299
0.422	16447299
0.423	16447299
0.424	16447299
0.425	16447299
0.426	16447299
0.427	16447299
0.428	15231417
0.429	15231417
0.43	15231417
0.431	15231417
0.432	15231417
0.433	15231417
0.434	15231417
0.435	15231417
0.436	15231417
0.437	15231417
0.438	14454718
0.439	14454718
0.44	14454718
0.441	14454718
0.442	14454718
0.443	14454718
0.444	14454718
0.445	14454718
0.446	14454718
0.447	14425089
0.448	14425089
0.449	14425089
0.45	14425089
0.451	14425089
0.452	14425089
0.453	14425089
0.454	14425089
0.455	14425089
0.456	14137348
0.457	14137348
0.458	14137348
0.459	14137348
0.46	14137348
0.461	14137348
0.462	14137348
0.463	14137348
0.464	14137348
0.465	13664481
0.466	13664481
0.467	13664481
0.468	13664481
0.469	13664481
0.47	13664481
0.471	13664481
0.472	13664481
0.473	13664481
0.474	13467840
0.475	13467840
0.476	13467840
0.477	13467840
0.478	13467840
0.479	13467840
0.48	13467840
0.481	13467840
0.482	13467840
0.483	13121542
0.484	13121542
0.485	13121542
0.486	13121542
0.487	13121542
0.488	13121542
0.489	13121542
0.49	13121542
0.491	12561253
0.492	12561253
0.493	12561253
0.494	12561253
0.495	12561253
0.496	12561253
0.497	12561253
0.498	12561253
0.499	12532727
0.5	12532727
0.501	12532727
0.502	12532727
0.503	12532727
0.504	12532727
0.505	12532727
0.506	12532727
0.507	11253030
0.508	11253030
0.509	11253030
0.51	11253030
0.511	11253030
0.512	11253030
0.513	11253030
0.514	11253030
0.515	11033183
0.516	11033183
0.517	11033183
0.518	11033183
0.519	11033183
0.52	11033183
0.521	11033183
0.522	10855753
0.523	10855753
0.524	10855753
0.525	10855753
0.526	10855753
0.527	10855753
0.528	10855753
0.529	10676847
0.53	10676847
0.531	10676847
0.532	10676847
0.533	10676847
0.534	10676847
0.535	10535760
0.536	10535760
0.537	10535760
0.538	10535760
0.539	10535760
0.54	10535760
0.541	10535760
0.542	10068008
0.543	10068008
0.544	10068008
0.545	10068008
0.546	10068008
0.547	10068008
0.548	10068008
0.549	9619529
0.55	9619529
0.551	9619529
0.552	9619529
0.553	9619529
0.554	9619529
0.555	8851142
0.556	8851142
0.557	8851142
0.558	8851142
0.559	8851142
0.56	8851142
0.561	8629951
0.562	8629951
0.563	8629951
0.564	8629951
0.565	8629951
0.566	8510864
0.567	8510864
0.568	8510864
0.569	8510864
0.57	8510864
0.571	8510864
0.572	8388954
0.573	8388954
0.574	8388954
0.575	8388954
0.576	8388954
0.577	8091994
0.578	8091994
0.579	8091994
0.58	8091994
0.581	8091994
0.582	7627624
0.583	7627624
0.584	7627624
0.585	7627624
0.586	7627624
0.587	7421988
0.588	7421988
0.589	7421988
0.59	7421988
0.591	7421988
0.592	7323150
0.593	7323150
0.594	7323150
0.595	7323150
0.596	7085503
0.597	7085503
0.598	7085503
0.599	7085503
0.6	7085503
0.601	6919143
0.602	6919143
0.603	6919143
0.604	6919143
0.605	6750912
0.606	6750912
0.607	6750912
0.608	6750912
0.609	6750912
0.61	6719633
0.611	6719633
0.612	6719633
0.613	6719633
0.614	6692828
0.615	6692828
0.616	6692828
0.617	6692828
0.618	6662550
0.619	6662550
0.62	6662550
0.621	6662550
0.622	6662550
0.623	6637658
0.624	6637658
0.625	6637658
0.626	6637658
0.627	6223062
0.628	6223062
0.629	6223062
0.63	6223062
0.631	6198314
0.632	6198314
0.633	6198314
0.634	6198314
0.635	6023012
0.636	6023012
0.637	6023012
0.638	6023012
0.639	5923849
0.64	5923849
0.641	5923849
0.642	5923849
0.643	5775245
0.644	5775245
0.645	5775245
0.646	5730300
0.647	5730300
0.648	5730300
0.649	5730300
0.65	5704421
0.651	5704421
0.652	5704421
0.653	5704421
0.654	5606738
0.655	5606738
0.656	5606738
0.657	5386400
0.658	5386400
0.659	5386400
0.66	5386400
0.661	5323234
0.662	5323234
0.663	5323234
0.664	5140752
0.665	5140752
0.666	5140752
0.667	5117551
0.668	5117551
0.669	5117551
0.67	5117551
0.671	4661422
0.672	4661422
0.673	4661422
0.674	4421297
0.675	4421297
0.676	4313529
0.677	4313529
0.678	4313529
0.679	4276756
0.68	4276756
0.681	4276756
0.682	4164464
0.683	4164464
0.684	4164464
0.685	4146450
0.686	4146450
0.687	4066597
0.688	4066597
0.689	4066597
0.69	4049456
0.691	4049456
0.692	4031234
0.693	4031234
0.694	4031234
0.695	3962532
0.696	3962532
0.697	3962532
0.698	3929361
0.699	3929361
0.7	3898352
0.701	3898352
0.702	3898352
0.703	3839361
0.704	3839361
0.705	3792733
0.706	3792733
0.707	3656645
0.708	3656645
0.709	3656645
0.71	3365924
0.711	3365924
0.712	3360180
0.713	3360180
0.714	3142033
0.715	3142033
0.716	3140236
0.717	3140236
0.718	2991340
0.719	2991340
0.72	2911055
0.721	2911055
0.722	2802175
0.723	2802175
0.724	2760633
0.725	2760633
0.726	2693207
0.727	2681522
0.728	2681522
0.729	2597002
0.73	2597002
0.731	2577586
0.732	2576596
0.733	2576596
0.734	2512143
0.735	2512143
0.736	2504900
0.737	2486336
0.738	2486336
0.739	2482307
0.74	2444053
0.741	2444053
0.742	2425312
0.743	2269932
0.744	2269932
0.745	2144647
0.746	2123846
0.747	2123846
0.748	1980340
0.749	1961873
0.75	1950112
0.751	1870967
0.752	1870967
0.753	1851842
0.754	1845982
0.755	1767924
0.756	1759201
0.757	1722669
0.758	1708816
0.759	1621464
0.76	1621464
0.761	1611291
0.762	1593779
0.763	1560005
0.764	1535439
0.765	1524234
0.766	1510668
0.767	1477298
0.768	1451437
0.769	1443793
0.77	1421988
0.771	1421923
0.772	1419704
0.773	1416521
0.774	1410845
0.775	1395911
0.776	1394007
0.777	1373987
0.778	1367283
0.779	1353206
0.78	1317298
0.781	1314977
0.782	1309232
0.783	1279314
0.784	1266609
0.785	1263444
0.786	1262145
0.787	1251012
0.788	1233255
0.789	1229327
0.79	1223598
0.791	1205324
0.792	1201259
0.793	1185642
0.794	1184706
0.795	1168698
0.796	1162947
0.797	1146270
0.798	1146147
0.799	1143500
0.8	1116671
0.801	1107162
0.802	1095432
0.803	1082680
0.804	1081747
0.805	1075539
0.806	1061613
0.807	1050261
0.808	1048851
0.809	1039203
0.81	1036324
0.811	1021392
0.812	1018176
0.813	1006451
0.814	1003495
0.815	990008
0.816	971043
0.817	965844
0.818	958719
0.819	956944
0.82	945324
0.821	933781
0.822	931748
0.823	929025
0.824	925401
