fraction	Nx_length
0.001	169053634
0.002	169053634
0.003	169053634
0.004	169053634
0.005	169053634
0.006	169053634
0.007	169053634
0.008	169053634
0.009	169053634
0.01	169053634
0.011	169053634
0.012	169053634
0.013	169053634
0.014	169053634
0.015	169053634
0.016	169053634
0.017	169053634
0.018	169053634
0.019	169053634
0.02	169053634
0.021	169053634
0.022	169053634
0.023	169053634
0.024	169053634
0.025	169053634
0.026	169053634
0.027	169053634
0.028	169053634
0.029	169053634
0.03	169053634
0.031	169053634
0.032	169053634
0.033	169053634
0.034	169053634
0.035	169053634
0.036	169053634
0.037	169053634
0.038	169053634
0.039	169053634
0.04	169053634
0.041	169053634
0.042	169053634
0.043	169053634
0.044	169053634
0.045	169053634
0.046	169053634
0.047	169053634
0.048	169053634
0.049	169053634
0.05	169053634
0.051	169053634
0.052	169053634
0.053	169053634
0.054	169053634
0.055	169053634
0.056	169053634
0.057	169053634
0.058	169053634
0.059	169053634
0.06	169053634
0.061	169053634
0.062	169053634
0.063	169053634
0.064	169053634
0.065	169053634
0.066	169053634
0.067	169053634
0.068	169053634
0.069	169053634
0.07	169053634
0.071	169053634
0.072	169053634
0.073	169053634
0.074	169053634
0.075	169053634
0.076	169053634
0.077	169053634
0.078	169053634
0.079	169053634
0.08	169053634
0.081	169053634
0.082	169053634
0.083	169053634
0.084	169053634
0.085	169053634
0.086	169053634
0.087	169053634
0.088	169053634
0.089	169053634
0.09	169053634
0.091	169053634
0.092	169053634
0.093	169053634
0.094	169053634
0.095	169053634
0.096	169053634
0.097	169053634
0.098	169053634
0.099	169053634
0.1	169053634
0.101	169053634
0.102	169053634
0.103	166222925
0.104	166222925
0.105	166222925
0.106	166222925
0.107	166222925
0.108	166222925
0.109	166222925
0.11	166222925
0.111	166222925
0.112	166222925
0.113	166222925
0.114	166222925
0.115	166222925
0.116	166222925
0.117	166222925
0.118	166222925
0.119	166222925
0.12	166222925
0.121	166222925
0.122	166222925
0.123	166222925
0.124	166222925
0.125	166222925
0.126	166222925
0.127	166222925
0.128	166222925
0.129	166222925
0.13	166222925
0.131	166222925
0.132	166222925
0.133	166222925
0.134	166222925
0.135	166222925
0.136	166222925
0.137	166222925
0.138	166222925
0.139	166222925
0.14	166222925
0.141	166222925
0.142	166222925
0.143	166222925
0.144	166222925
0.145	166222925
0.146	166222925
0.147	166222925
0.148	166222925
0.149	166222925
0.15	166222925
0.151	166222925
0.152	166222925
0.153	166222925
0.154	166222925
0.155	166222925
0.156	166222925
0.157	166222925
0.158	166222925
0.159	166222925
0.16	166222925
0.161	166222925
0.162	166222925
0.163	166222925
0.164	166222925
0.165	166222925
0.166	166222925
0.167	166222925
0.168	166222925
0.169	166222925
0.17	166222925
0.171	166222925
0.172	166222925
0.173	166222925
0.174	166222925
0.175	166222925
0.176	166222925
0.177	166222925
0.178	166222925
0.179	166222925
0.18	166222925
0.181	166222925
0.182	166222925
0.183	166222925
0.184	166222925
0.185	166222925
0.186	166222925
0.187	166222925
0.188	166222925
0.189	166222925
0.19	166222925
0.191	166222925
0.192	166222925
0.193	166222925
0.194	166222925
0.195	166222925
0.196	166222925
0.197	166222925
0.198	166222925
0.199	166222925
0.2	166222925
0.201	166222925
0.202	166222925
0.203	159061889
0.204	159061889
0.205	159061889
0.206	159061889
0.207	159061889
0.208	159061889
0.209	159061889
0.21	159061889
0.211	159061889
0.212	159061889
0.213	159061889
0.214	159061889
0.215	159061889
0.216	159061889
0.217	159061889
0.218	159061889
0.219	159061889
0.22	159061889
0.221	159061889
0.222	159061889
0.223	159061889
0.224	159061889
0.225	159061889
0.226	159061889
0.227	159061889
0.228	159061889
0.229	159061889
0.23	159061889
0.231	159061889
0.232	159061889
0.233	159061889
0.234	159061889
0.235	159061889
0.236	159061889
0.237	159061889
0.238	159061889
0.239	159061889
0.24	159061889
0.241	159061889
0.242	159061889
0.243	159061889
0.244	159061889
0.245	159061889
0.246	159061889
0.247	159061889
0.248	159061889
0.249	159061889
0.25	159061889
0.251	159061889
0.252	159061889
0.253	159061889
0.254	159061889
0.255	159061889
0.256	159061889
0.257	159061889
0.258	159061889
0.259	159061889
0.26	159061889
0.261	159061889
0.262	159061889
0.263	159061889
0.264	159061889
0.265	159061889
0.266	159061889
0.267	159061889
0.268	159061889
0.269	159061889
0.27	159061889
0.271	159061889
0.272	159061889
0.273	159061889
0.274	159061889
0.275	159061889
0.276	159061889
0.277	159061889
0.278	159061889
0.279	159061889
0.28	159061889
0.281	159061889
0.282	159061889
0.283	159061889
0.284	159061889
0.285	159061889
0.286	159061889
0.287	159061889
0.288	159061889
0.289	159061889
0.29	159061889
0.291	159061889
0.292	159061889
0.293	159061889
0.294	159061889
0.295	159061889
0.296	159061889
0.297	159061889
0.298	159061889
0.299	159061889
0.3	126703201
0.301	126703201
0.302	126703201
0.303	126703201
0.304	126703201
0.305	126703201
0.306	126703201
0.307	126703201
0.308	126703201
0.309	126703201
0.31	126703201
0.311	126703201
0.312	126703201
0.313	126703201
0.314	126703201
0.315	126703201
0.316	126703201
0.317	126703201
0.318	126703201
0.319	126703201
0.32	126703201
0.321	126703201
0.322	126703201
0.323	126703201
0.324	126703201
0.325	126703201
0.326	126703201
0.327	126703201
0.328	126703201
0.329	126703201
0.33	126703201
0.331	126703201
0.332	126703201
0.333	126703201
0.334	126703201
0.335	126703201
0.336	126703201
0.337	126703201
0.338	126703201
0.339	126703201
0.34	126703201
0.341	126703201
0.342	126703201
0.343	126703201
0.344	126703201
0.345	126703201
0.346	126703201
0.347	126703201
0.348	126703201
0.349	126703201
0.35	126703201
0.351	126703201
0.352	126703201
0.353	126703201
0.354	126703201
0.355	126703201
0.356	126703201
0.357	126703201
0.358	126703201
0.359	126703201
0.36	126703201
0.361	126703201
0.362	126703201
0.363	126703201
0.364	126703201
0.365	126703201
0.366	126703201
0.367	126703201
0.368	126703201
0.369	126703201
0.37	126703201
0.371	126703201
0.372	126703201
0.373	126703201
0.374	126703201
0.375	126703201
0.376	124403077
0.377	124403077
0.378	124403077
0.379	124403077
0.38	124403077
