fraction	Nx_length
0.001	299172356
0.002	299172356
0.003	299172356
0.004	299172356
0.005	299172356
0.006	299172356
0.007	299172356
0.008	299172356
0.009	299172356
0.01	299172356
0.011	299172356
0.012	299172356
0.013	299172356
0.014	299172356
0.015	299172356
0.016	299172356
0.017	299172356
0.018	299172356
0.019	299172356
0.02	299172356
0.021	299172356
0.022	299172356
0.023	299172356
0.024	299172356
0.025	299172356
0.026	299172356
0.027	299172356
0.028	299172356
0.029	299172356
0.03	299172356
0.031	299172356
0.032	299172356
0.033	299172356
0.034	299172356
0.035	299172356
0.036	299172356
0.037	299172356
0.038	299172356
0.039	299172356
0.04	299172356
0.041	299172356
0.042	299172356
0.043	299172356
0.044	299172356
0.045	299172356
0.046	299172356
0.047	299172356
0.048	299172356
0.049	299172356
0.05	299172356
0.051	299172356
0.052	299172356
0.053	299172356
0.054	299172356
0.055	299172356
0.056	299172356
0.057	299172356
0.058	299172356
0.059	299172356
0.06	299172356
0.061	299172356
0.062	299172356
0.063	299172356
0.064	299172356
0.065	299172356
0.066	299172356
0.067	299172356
0.068	299172356
0.069	299172356
0.07	299172356
0.071	299172356
0.072	299172356
0.073	299172356
0.074	299172356
0.075	299172356
0.076	299172356
0.077	299172356
0.078	299172356
0.079	299172356
0.08	299172356
0.081	299172356
0.082	299172356
0.083	299172356
0.084	299172356
0.085	299172356
0.086	299172356
0.087	299172356
0.088	299172356
0.089	299172356
0.09	299172356
0.091	299172356
0.092	299172356
0.093	299172356
0.094	299172356
0.095	299172356
0.096	299172356
0.097	299172356
0.098	299172356
0.099	299172356
0.1	299172356
0.101	299172356
0.102	299172356
0.103	299172356
0.104	299172356
0.105	299172356
0.106	299172356
0.107	299172356
0.108	299172356
0.109	299172356
0.11	299172356
0.111	299172356
0.112	299172356
0.113	299172356
0.114	299172356
0.115	299172356
0.116	299172356
0.117	299172356
0.118	299172356
0.119	299172356
0.12	299172356
0.121	299172356
0.122	299172356
0.123	299172356
0.124	299172356
0.125	299172356
0.126	299172356
0.127	299172356
0.128	299172356
0.129	299172356
0.13	299172356
0.131	299172356
0.132	299172356
0.133	299172356
0.134	299172356
0.135	299172356
0.136	299172356
0.137	299172356
0.138	299172356
0.139	299172356
0.14	299172356
0.141	299172356
0.142	299172356
0.143	299172356
0.144	299172356
0.145	299172356
0.146	299172356
0.147	299172356
0.148	299172356
0.149	299172356
0.15	299172356
0.151	299172356
0.152	299172356
0.153	299172356
0.154	299172356
0.155	299172356
0.156	299172356
0.157	299172356
0.158	299172356
0.159	299172356
0.16	299172356
0.161	299172356
0.162	299172356
0.163	299172356
0.164	299172356
0.165	299172356
0.166	299172356
0.167	299172356
0.168	299172356
0.169	299172356
0.17	299172356
0.171	299172356
0.172	299172356
0.173	299172356
0.174	299172356
0.175	299172356
0.176	299172356
0.177	299172356
0.178	299172356
0.179	299172356
0.18	299172356
0.181	299172356
0.182	299172356
0.183	299172356
0.184	299172356
0.185	299172356
0.186	299172356
0.187	299172356
0.188	299172356
0.189	299172356
0.19	299172356
0.191	299172356
0.192	299172356
0.193	299172356
0.194	299172356
0.195	299172356
0.196	299172356
0.197	299172356
0.198	299172356
0.199	299172356
0.2	299172356
0.201	299172356
0.202	299172356
0.203	299172356
0.204	299172356
0.205	299172356
0.206	299172356
0.207	299172356
0.208	299172356
0.209	299172356
0.21	299172356
0.211	299172356
0.212	299172356
0.213	299172356
0.214	299172356
0.215	255164795
0.216	255164795
0.217	255164795
0.218	255164795
0.219	255164795
0.22	255164795
0.221	255164795
0.222	255164795
0.223	255164795
0.224	255164795
0.225	255164795
0.226	255164795
0.227	255164795
0.228	255164795
0.229	255164795
0.23	255164795
0.231	255164795
0.232	255164795
0.233	255164795
0.234	255164795
0.235	255164795
0.236	255164795
0.237	255164795
0.238	255164795
0.239	255164795
0.24	255164795
0.241	255164795
0.242	255164795
0.243	255164795
