fraction	Nx_length
0.001	147551601
0.002	147551601
0.003	147551601
0.004	147551601
0.005	147551601
0.006	147551601
0.007	147551601
0.008	147551601
0.009	147551601
0.01	147551601
0.011	147551601
0.012	147551601
0.013	147551601
0.014	147551601
0.015	147551601
0.016	147551601
0.017	147551601
0.018	147551601
0.019	147551601
0.02	147551601
0.021	147551601
0.022	147551601
0.023	147551601
0.024	147551601
0.025	147551601
0.026	147551601
0.027	147551601
0.028	147551601
0.029	147551601
0.03	147551601
0.031	147551601
0.032	147551601
0.033	147551601
0.034	147551601
0.035	147551601
0.036	147551601
0.037	147551601
0.038	147551601
0.039	147551601
0.04	147551601
0.041	147551601
0.042	147551601
0.043	147551601
0.044	147551601
0.045	147551601
0.046	147551601
0.047	147551601
0.048	147551601
0.049	147551601
0.05	147551601
0.051	147551601
0.052	147551601
0.053	147551601
0.054	147551601
0.055	147551601
0.056	147551601
0.057	147551601
0.058	147551601
0.059	147551601
0.06	147551601
0.061	147551601
0.062	147551601
0.063	147551601
0.064	147551601
0.065	147551601
0.066	147551601
0.067	147551601
0.068	147551601
0.069	147551601
0.07	147551601
0.071	147551601
0.072	147551601
0.073	147551601
0.074	147551601
0.075	147551601
0.076	147551601
0.077	147551601
0.078	147551601
0.079	147551601
0.08	147551601
0.081	147551601
0.082	147551601
0.083	147551601
0.084	147551601
0.085	147551601
0.086	147551601
0.087	147551601
0.088	147551601
0.089	147551601
0.09	147551601
0.091	147551601
0.092	147551601
0.093	147551601
0.094	147551601
0.095	114918290
0.096	114918290
0.097	114918290
0.098	114918290
0.099	114918290
0.1	114918290
0.101	114918290
0.102	114918290
0.103	114918290
0.104	114918290
0.105	114918290
0.106	114918290
0.107	114918290
0.108	114918290
0.109	114918290
0.11	114918290
0.111	114918290
0.112	114918290
0.113	114918290
0.114	114918290
0.115	114918290
0.116	114918290
0.117	114918290
0.118	114918290
0.119	114918290
0.12	114918290
0.121	114918290
0.122	114918290
0.123	114918290
0.124	114918290
0.125	114918290
0.126	114918290
0.127	114918290
0.128	114918290
0.129	114918290
0.13	114918290
0.131	114918290
0.132	114918290
0.133	114918290
0.134	114918290
0.135	114918290
0.136	114918290
0.137	114918290
0.138	114918290
0.139	114918290
0.14	114918290
0.141	114918290
0.142	114918290
0.143	114918290
0.144	114918290
0.145	114918290
0.146	114918290
0.147	114918290
0.148	114918290
0.149	114918290
0.15	114918290
0.151	114918290
0.152	114918290
0.153	114918290
0.154	114918290
0.155	114918290
0.156	114918290
0.157	114918290
0.158	114918290
0.159	114918290
0.16	114918290
0.161	114918290
0.162	114918290
0.163	114918290
0.164	114918290
0.165	114918290
0.166	114918290
0.167	114918290
0.168	108794513
0.169	108794513
0.17	108794513
0.171	108794513
0.172	108794513
0.173	108794513
0.174	108794513
0.175	108794513
0.176	108794513
0.177	108794513
0.178	108794513
0.179	108794513
0.18	108794513
0.181	108794513
0.182	108794513
0.183	108794513
0.184	108794513
0.185	108794513
0.186	108794513
0.187	108794513
0.188	108794513
0.189	108794513
0.19	108794513
0.191	108794513
0.192	108794513
0.193	108794513
0.194	108794513
0.195	108794513
0.196	108794513
