fraction	Nx_length
0.001	1871432
0.002	1777170
0.003	1777170
0.004	1679756
0.005	1573576
0.006	1449478
0.007	1449478
0.008	1358954
0.009	1345283
0.01	1318261
0.011	1305833
0.012	1288793
0.013	1276649
0.014	1276649
0.015	1268072
0.016	1257683
0.017	1205293
0.018	1189994
0.019	1186397
0.02	1184137
0.021	1176095
0.022	1158327
0.023	1146605
0.024	1145018
0.025	1128935
0.026	1115518
0.027	1113265
0.028	1092611
0.029	1088163
0.03	1088108
0.031	1083303
0.032	1058623
0.033	1054949
0.034	1049003
0.035	1030457
0.036	1018435
0.037	1009409
0.038	998364
0.039	982244
0.04	971760
0.041	969733
0.042	961773
0.043	957134
0.044	940939
0.045	939939
0.046	932954
0.047	930215
0.048	923012
0.049	918693
0.05	917858
0.051	917007
0.052	899071
0.053	882230
0.054	881619
0.055	871339
0.056	867253
0.057	862567
0.058	858730
0.059	855909
0.06	855602
0.061	847366
0.062	846514
0.063	846304
0.064	843501
0.065	843184
0.066	837344
0.067	835369
0.068	830706
0.069	825677
0.07	824031
0.071	823291
0.072	812563
0.073	812522
0.074	806014
0.075	804933
0.076	799473
0.077	798324
0.078	789566
0.079	788860
0.08	786862
0.081	779028
0.082	778117
0.083	775857
0.084	773976
0.085	769669
0.086	766686
0.087	761326
0.088	760364
0.089	759473
0.09	756488
0.091	753678
0.092	744056
0.093	743845
0.094	741882
0.095	741662
0.096	739814
0.097	738568
0.098	735510
0.099	733099
0.1	731309
0.101	726159
0.102	725277
0.103	721404
0.104	715762
0.105	714946
0.106	714075
0.107	711596
0.108	708792
0.109	706783
0.11	706762
0.111	705456
0.112	699139
0.113	698920
0.114	698072
0.115	695525
0.116	695209
0.117	693501
0.118	692134
0.119	691941
0.12	688890
0.121	686693
0.122	686664
0.123	681228
0.124	676681
0.125	676623
0.126	675032
0.127	668285
0.128	664593
0.129	664477
0.13	663124
0.131	656817
0.132	651944
0.133	647108
0.134	645067
0.135	643543
0.136	642252
0.137	640791
0.138	637687
0.139	636170
0.14	634667
0.141	633217
0.142	629125
0.143	628013
0.144	624155
0.145	623635
0.146	618132
0.147	615795
0.148	612071
0.149	610400
0.15	609839
0.151	608648
0.152	607888
0.153	606712
0.154	606359
0.155	603890
0.156	603323
0.157	598804
0.158	598755
0.159	596887
0.16	595924
0.161	594624
0.162	593901
0.163	592750
0.164	592329
0.165	590223
0.166	586587
0.167	583831
0.168	582824
0.169	581049
0.17	578395
0.171	576796
0.172	575960
0.173	575286
0.174	574234
0.175	571671
0.176	570089
0.177	569608
0.178	568871
0.179	567467
0.18	565950
0.181	562966
0.182	560344
0.183	559162
0.184	557819
0.185	557631
0.186	556565
0.187	555971
0.188	553953
0.189	553857
0.19	553062
0.191	551380
0.192	550980
0.193	550618
0.194	549372
0.195	546783
0.196	545453
0.197	541395
0.198	540985
0.199	540824
0.2	540726
0.201	539545
0.202	537781
0.203	536767
0.204	535063
0.205	534275
0.206	530731
0.207	529537
0.208	526858
0.209	526331
0.21	523852
0.211	521471
0.212	520597
0.213	519674
0.214	518946
0.215	518351
0.216	517311
0.217	514886
0.218	510788
0.219	509883
0.22	509647
0.221	509046
0.222	503572
0.223	502943
0.224	502413
0.225	500887
0.226	500606
0.227	498905
0.228	498155
0.229	496104
0.23	494656
0.231	494074
0.232	493854
0.233	492086
0.234	490977
0.235	489389
0.236	487800
0.237	487470
0.238	486946
0.239	485709
0.24	484897
0.241	484513
0.242	484347
0.243	483683
0.244	480630
0.245	478978
0.246	478157
0.247	472909
0.248	472727
0.249	471217
0.25	471042
0.251	470063
0.252	469188
0.253	466672
0.254	464409
0.255	462978
0.256	461990
0.257	461700
0.258	459629
0.259	458364
0.26	457784
0.261	457117
0.262	456633
0.263	453673
0.264	452919
0.265	452092
0.266	450900
0.267	450608
0.268	449373
0.269	448920
0.27	448722
0.271	447795
0.272	447485
0.273	446913
0.274	445282
0.275	445067
0.276	443845
0.277	443084
0.278	441629
0.279	440894
0.28	439065
0.281	438826
0.282	437812
0.283	436167
0.284	434158
0.285	432660
0.286	432019
0.287	430673
0.288	430241
0.289	429080
0.29	427343
