fraction	Nx_length
0.001	138250328
0.002	138250328
0.003	138250328
0.004	138250328
0.005	138250328
0.006	138250328
0.007	138250328
0.008	138250328
0.009	138250328
0.01	138250328
0.011	138250328
0.012	138250328
0.013	138250328
0.014	138250328
0.015	138250328
0.016	138250328
0.017	138250328
0.018	138250328
0.019	138250328
0.02	138250328
0.021	138250328
0.022	138250328
0.023	138250328
0.024	138250328
0.025	138250328
0.026	138250328
0.027	138250328
0.028	138250328
0.029	138250328
0.03	138250328
0.031	138250328
0.032	138250328
0.033	138250328
0.034	138250328
0.035	138250328
0.036	138250328
0.037	138250328
0.038	138250328
0.039	138250328
0.04	138250328
0.041	138250328
0.042	138250328
0.043	138250328
0.044	138250328
0.045	138250328
0.046	138250328
0.047	138250328
0.048	138250328
0.049	138250328
0.05	138250328
0.051	138250328
0.052	138250328
0.053	138250328
0.054	138250328
0.055	138250328
0.056	138250328
0.057	138250328
0.058	138250328
0.059	138250328
0.06	138250328
0.061	138250328
0.062	138250328
0.063	138250328
0.064	138250328
0.065	138250328
0.066	138250328
0.067	138250328
0.068	138250328
0.069	138250328
0.07	138250328
0.071	138250328
0.072	138250328
0.073	138250328
0.074	138250328
0.075	138250328
0.076	138250328
0.077	138250328
0.078	138250328
0.079	138250328
0.08	138250328
0.081	138250328
0.082	138250328
0.083	138250328
0.084	138250328
0.085	138250328
0.086	138250328
0.087	138250328
0.088	138250328
0.089	138250328
0.09	138250328
0.091	138250328
0.092	138250328
0.093	138250328
0.094	138250328
0.095	138250328
0.096	138250328
0.097	138250328
0.098	138250328
0.099	138250328
0.1	111300708
0.101	111300708
0.102	111300708
0.103	111300708
0.104	111300708
0.105	111300708
0.106	111300708
0.107	111300708
0.108	111300708
0.109	111300708
0.11	111300708
0.111	111300708
0.112	111300708
0.113	111300708
0.114	111300708
0.115	111300708
0.116	111300708
0.117	111300708
0.118	111300708
0.119	111300708
0.12	111300708
0.121	111300708
0.122	111300708
0.123	111300708
0.124	111300708
0.125	111300708
0.126	111300708
0.127	111300708
0.128	111300708
0.129	111300708
0.13	111300708
0.131	111300708
0.132	111300708
0.133	111300708
0.134	111300708
0.135	111300708
0.136	111300708
0.137	111300708
0.138	111300708
0.139	111300708
0.14	111300708
0.141	111300708
0.142	111300708
0.143	111300708
0.144	111300708
0.145	111300708
0.146	111300708
0.147	111300708
0.148	111300708
0.149	111300708
0.15	111300708
0.151	111300708
0.152	111300708
0.153	111300708
0.154	111300708
0.155	111300708
0.156	111300708
0.157	111300708
0.158	111300708
0.159	111300708
0.16	111300708
0.161	111300708
0.162	111300708
0.163	111300708
0.164	111300708
0.165	111300708
0.166	111300708
0.167	111300708
0.168	111300708
0.169	111300708
0.17	111300708
0.171	111300708
0.172	111300708
0.173	111300708
0.174	111300708
0.175	111300708
0.176	111300708
0.177	111300708
0.178	111300708
0.179	111300708
0.18	104579189
0.181	104579189
0.182	104579189
0.183	104579189
0.184	104579189
0.185	104579189
0.186	104579189
0.187	104579189
0.188	104579189
0.189	104579189
0.19	104579189
0.191	104579189
0.192	104579189
0.193	104579189
0.194	104579189
0.195	104579189
0.196	104579189
0.197	104579189
0.198	104579189
0.199	104579189
0.2	104579189
0.201	104579189
0.202	104579189
0.203	104579189
0.204	104579189
0.205	104579189
0.206	104579189
0.207	104579189
0.208	104579189
0.209	104579189
0.21	104579189
0.211	104579189
0.212	104579189
0.213	104579189
0.214	104579189
0.215	104579189
0.216	104579189
0.217	104579189
0.218	104579189
0.219	104579189
0.22	104579189
0.221	104579189
0.222	104579189
0.223	104579189
0.224	104579189
0.225	104579189
0.226	104579189
0.227	104579189
0.228	104579189
0.229	104579189
0.23	104579189
0.231	104579189
0.232	104579189
0.233	104579189
0.234	104579189
0.235	104579189
0.236	104579189
0.237	104579189
0.238	104579189
0.239	104579189
0.24	104579189
0.241	104579189
0.242	104579189
0.243	104579189
0.244	104579189
0.245	104579189
0.246	104579189
0.247	104579189
0.248	104579189
0.249	104579189
0.25	104579189
0.251	104579189
0.252	104579189
0.253	104579189
0.254	104579189
0.255	100184079
0.256	100184079
0.257	100184079
0.258	100184079
0.259	100184079
0.26	100184079
0.261	100184079
0.262	100184079
0.263	100184079
0.264	100184079
0.265	100184079
0.266	100184079
0.267	100184079
0.268	100184079
0.269	100184079
0.27	100184079
0.271	100184079
0.272	100184079
0.273	100184079
0.274	100184079
0.275	100184079
0.276	100184079
0.277	100184079
0.278	100184079
0.279	100184079
0.28	100184079
0.281	100184079
0.282	100184079
0.283	100184079
0.284	100184079
0.285	100184079
0.286	100184079
0.287	100184079
0.288	100184079
0.289	100184079
0.29	100184079
0.291	100184079
0.292	100184079
0.293	100184079
0.294	100184079
0.295	100184079
0.296	100184079
0.297	100184079
0.298	100184079
0.299	100184079
0.3	100184079
0.301	100184079
0.302	100184079
0.303	100184079
0.304	100184079
0.305	100184079
0.306	100184079
0.307	100184079
0.308	100184079
0.309	100184079
0.31	100184079
0.311	100184079
0.312	100184079
0.313	100184079
0.314	100184079
0.315	100184079
0.316	100184079
0.317	100184079
0.318	100184079
0.319	100184079
0.32	100184079
0.321	100184079
0.322	100184079
0.323	100184079
0.324	100184079
0.325	100184079
0.326	100184079
0.327	68258601
0.328	68258601
0.329	68258601
0.33	68258601
0.331	68258601
0.332	68258601
0.333	68258601
0.334	68258601
0.335	68258601
0.336	68258601
0.337	68258601
0.338	68258601
0.339	68258601
0.34	68258601
0.341	68258601
0.342	68258601
0.343	68258601
0.344	68258601
0.345	68258601
0.346	68258601
0.347	68258601
0.348	68258601
0.349	68258601
0.35	68258601
0.351	68258601
0.352	68258601
0.353	68258601
0.354	68258601
0.355	68258601
0.356	68258601
0.357	68258601
0.358	68258601
0.359	68258601
0.36	68258601
0.361	68258601
0.362	68258601
0.363	68258601
0.364	68258601
0.365	68258601
0.366	68258601
0.367	68258601
0.368	68258601
0.369	68258601
0.37	68258601
0.371	68258601
0.372	68258601
0.373	68258601
0.374	68258601
0.375	68258601
0.376	44269207
0.377	44269207
0.378	44269207
0.379	44269207
0.38	44269207
0.381	44269207
0.382	44269207
0.383	44269207
0.384	44269207
0.385	44269207
0.386	44269207
0.387	44269207
0.388	44269207
0.389	44269207
0.39	44269207
0.391	44269207
0.392	44269207
0.393	44269207
0.394	44269207
0.395	44269207
0.396	44269207
0.397	44269207
0.398	44269207
0.399	44269207
0.4	44269207
0.401	44269207
0.402	44269207
0.403	44269207
0.404	44269207
0.405	44269207
0.406	44269207
0.407	44269207
0.408	12821535
0.409	12821535
0.41	12821535
0.411	12821535
0.412	12821535
0.413	12821535
0.414	12821535
0.415	12821535
0.416	12821535
0.417	11066963
0.418	11066963
0.419	11066963
0.42	11066963
0.421	11066963
0.422	11066963
0.423	11066963
0.424	11066963
0.425	9831238
0.426	9831238
0.427	9831238
0.428	9831238
0.429	9831238
0.43	9831238
0.431	9831238
0.432	9722646
0.433	9722646
0.434	9722646
0.435	9722646
0.436	9722646
0.437	9722646
0.438	9722646
0.439	7408610
0.44	7408610
0.441	7408610
0.442	7408610
0.443	7408610
0.444	7068447
0.445	7068447
0.446	7068447
0.447	7068447
0.448	7068447
0.449	5980330
0.45	5980330
0.451	5980330
0.452	5980330
0.453	5980330
0.454	4291734
0.455	4291734
0.456	4291734
0.457	3370558
0.458	3370558
0.459	2464099
0.46	2464099
0.461	96605
0.462	78258
0.463	69541
0.464	64208
0.465	60416
0.466	57154
0.467	55077
0.468	53118
0.469	52039
0.47	50619
0.471	49071
0.472	47860
0.473	46745
0.474	45670
0.475	44577
0.476	43523
0.477	42842
0.478	42023
0.479	41257
0.48	40607
0.481	40038
0.482	39247
0.483	38729
0.484	38188
0.485	37827
0.486	37295
0.487	36728
0.488	36290
0.489	35981
0.49	35556
0.491	35186
0.492	34897
0.493	34573
0.494	34215
0.495	33913
0.496	33520
0.497	33245
0.498	32979
