fraction	Nx_length
0.001	76993
0.002	65017
0.003	57541
0.004	54113
0.005	51435
0.006	49433
0.007	46668
0.008	45611
0.009	44124
0.01	42573
0.011	41664
0.012	40434
0.013	39559
0.014	38807
0.015	38086
0.016	37490
0.017	36896
0.018	36307
0.019	35679
0.02	35177
0.021	34743
0.022	34193
0.023	33822
0.024	33386
0.025	33073
0.026	32787
0.027	32442
0.028	32025
0.029	31764
0.03	31453
0.031	31132
0.032	30808
0.033	30449
0.034	30153
0.035	29855
0.036	29649
0.037	29442
0.038	29218
0.039	28986
0.04	28716
0.041	28468
0.042	28255
0.043	28041
0.044	27859
0.045	27679
0.046	27505
0.047	27300
0.048	27157
0.049	26915
0.05	26756
0.051	26573
0.052	26420
0.053	26251
0.054	26133
0.055	25962
0.056	25802
0.057	25653
0.058	25539
0.059	25386
0.06	25221
0.061	25064
0.062	24918
0.063	24813
0.064	24670
0.065	24552
0.066	24438
0.067	24278
0.068	24165
0.069	24046
0.07	23936
0.071	23854
0.072	23734
0.073	23590
0.074	23493
0.075	23346
0.076	23216
0.077	23088
0.078	22974
0.079	22853
0.08	22752
0.081	22661
0.082	22556
0.083	22444
0.084	22359
0.085	22242
0.086	22149
0.087	22033
0.088	21926
0.089	21832
0.09	21747
0.091	21658
0.092	21584
0.093	21517
0.094	21430
0.095	21346
0.096	21267
0.097	21178
0.098	21093
0.099	21012
0.1	20915
0.101	20827
0.102	20710
0.103	20623
0.104	20537
0.105	20459
0.106	20381
0.107	20299
0.108	20229
0.109	20162
0.11	20079
0.111	20005
0.112	19927
0.113	19858
0.114	19787
0.115	19720
0.116	19671
0.117	19600
0.118	19540
0.119	19466
0.12	19406
0.121	19352
0.122	19277
0.123	19217
0.124	19140
0.125	19077
0.126	19020
0.127	18955
0.128	18880
0.129	18810
0.13	18739
0.131	18676
0.132	18618
0.133	18556
0.134	18496
0.135	18440
0.136	18390
0.137	18321
0.138	18258
0.139	18206
0.14	18150
0.141	18086
0.142	18035
0.143	17984
0.144	17925
0.145	17880
0.146	17815
0.147	17765
0.148	17707
0.149	17653
0.15	17593
0.151	17540
0.152	17490
0.153	17443
0.154	17403
0.155	17354
0.156	17296
0.157	17245
0.158	17196
0.159	17150
0.16	17101
0.161	17056
0.162	17007
0.163	16943
0.164	16907
0.165	16864
0.166	16817
0.167	16770
0.168	16728
0.169	16674
0.17	16624
0.171	16579
0.172	16524
0.173	16461
0.174	16409
0.175	16357
0.176	16310
0.177	16258
0.178	16217
0.179	16174
0.18	16122
0.181	16070
0.182	16016
0.183	15979
0.184	15922
0.185	15877
0.186	15829
0.187	15781
0.188	15732
0.189	15678
0.19	15630
0.191	15582
0.192	15543
0.193	15499
0.194	15457
0.195	15412
0.196	15375
0.197	15335
0.198	15300
0.199	15261
0.2	15213
0.201	15168
0.202	15118
0.203	15074
0.204	15036
0.205	15001
0.206	14967
0.207	14926
0.208	14891
0.209	14855
0.21	14815
0.211	14775
0.212	14736
0.213	14702
0.214	14669
0.215	14627
0.216	14592
0.217	14554
0.218	14517
0.219	14477
0.22	14445
0.221	14405
0.222	14367
0.223	14327
0.224	14288
0.225	14252
0.226	14223
0.227	14188
0.228	14151
0.229	14115
0.23	14085
0.231	14048
0.232	14011
0.233	13983
0.234	13954
0.235	13917
0.236	13878
0.237	13840
0.238	13803
0.239	13766
0.24	13724
0.241	13694
0.242	13655
0.243	13621
0.244	13588
0.245	13552
0.246	13519
0.247	13483
0.248	13444
0.249	13413
0.25	13375
0.251	13338
0.252	13301
0.253	13269
0.254	13232
0.255	13204
0.256	13169
0.257	13136
0.258	13105
0.259	13072
0.26	13046
0.261	13013
0.262	12986
0.263	12950
0.264	12919
0.265	12886
0.266	12851
0.267	12818
0.268	12787
0.269	12755
0.27	12724
0.271	12694
0.272	12664
0.273	12637
0.274	12603
0.275	12572
0.276	12545
0.277	12517
0.278	12487
0.279	12456
0.28	12427
0.281	12397
0.282	12366
0.283	12340
0.284	12312
0.285	12287
0.286	12259
0.287	12228
0.288	12204
0.289	12176
0.29	12144
0.291	12113
0.292	12083
0.293	12053
0.294	12026
0.295	11999
0.296	11970
0.297	11941
0.298	11910
0.299	11882
0.3	11851
0.301	11823
0.302	11796
0.303	11765
0.304	11735
0.305	11710
0.306	11679
0.307	11653
0.308	11627
0.309	11605
0.31	11572
0.311	11543
0.312	11515
0.313	11489
0.314	11465
0.315	11440
0.316	11411
0.317	11384
0.318	11358
0.319	11333
0.32	11307
0.321	11277
0.322	11251
0.323	11226
0.324	11201
0.325	11172
0.326	11146
0.327	11121
0.328	11094
0.329	11065
0.33	11040
0.331	11011
0.332	10982
0.333	10956
0.334	10932
0.335	10910
0.336	10887
0.337	10861
0.338	10838
0.339	10813
0.34	10789
0.341	10767
0.342	10742
0.343	10717
0.344	10693
0.345	10669
0.346	10646
0.347	10623
0.348	10599
0.349	10572
0.35	10548
0.351	10524
0.352	10497
0.353	10471
0.354	10446
0.355	10421
0.356	10397
0.357	10377
0.358	10356
0.359	10332
0.36	10307
0.361	10283
0.362	10256
