fraction	Nx_length
0.001	332840770
0.002	332840770
0.003	332840770
0.004	332840770
0.005	332840770
0.006	332840770
0.007	332840770
0.008	332840770
0.009	332840770
0.01	332840770
0.011	332840770
0.012	332840770
0.013	332840770
0.014	332840770
0.015	332840770
0.016	332840770
0.017	332840770
0.018	332840770
0.019	332840770
0.02	332840770
0.021	332840770
0.022	332840770
0.023	332840770
0.024	332840770
0.025	332840770
0.026	332840770
0.027	332840770
0.028	332840770
0.029	332840770
0.03	332840770
0.031	332840770
0.032	332840770
0.033	332840770
0.034	332840770
0.035	332840770
0.036	332840770
0.037	332840770
0.038	332840770
0.039	332840770
0.04	332840770
0.041	332840770
0.042	332840770
0.043	332840770
0.044	332840770
0.045	332840770
0.046	332840770
0.047	332840770
0.048	332840770
0.049	332840770
0.05	332840770
0.051	332840770
0.052	332840770
0.053	332840770
0.054	332840770
0.055	332840770
0.056	332840770
0.057	332840770
0.058	332840770
0.059	332840770
0.06	332840770
0.061	332840770
0.062	332840770
0.063	332840770
0.064	332840770
0.065	332840770
0.066	332840770
0.067	332840770
0.068	332840770
0.069	332840770
0.07	332840770
0.071	332840770
0.072	332840770
0.073	332840770
0.074	332840770
0.075	332840770
0.076	332840770
0.077	332840770
0.078	332840770
0.079	332840770
0.08	332840770
0.081	332840770
0.082	332840770
0.083	332840770
0.084	332840770
0.085	332840770
0.086	332840770
0.087	332840770
0.088	332840770
0.089	332840770
0.09	332840770
0.091	332840770
0.092	332840770
0.093	332840770
0.094	332840770
0.095	332840770
0.096	332840770
0.097	332840770
0.098	332840770
0.099	332840770
0.1	332840770
0.101	332840770
0.102	332840770
0.103	332840770
0.104	332840770
0.105	332840770
0.106	332840770
0.107	332840770
0.108	332840770
0.109	332840770
0.11	332840770
0.111	332840770
0.112	332840770
0.113	332840770
0.114	332840770
0.115	332840770
0.116	332840770
0.117	332840770
0.118	332840770
0.119	332840770
0.12	332840770
0.121	332840770
0.122	332840770
0.123	332840770
0.124	332840770
0.125	332840770
0.126	332840770
0.127	332840770
0.128	332840770
0.129	332840770
0.13	332840770
0.131	332840770
0.132	332840770
0.133	332840770
0.134	332840770
0.135	332840770
0.136	332840770
0.137	332840770
0.138	332840770
0.139	332840770
0.14	332840770
0.141	332840770
0.142	332840770
0.143	332840770
0.144	332840770
0.145	332840770
0.146	332840770
0.147	332840770
0.148	332840770
0.149	332840770
0.15	332840770
0.151	332840770
0.152	332840770
0.153	332840770
0.154	332840770
0.155	332840770
0.156	332840770
0.157	332840770
0.158	332840770
0.159	332840770
0.16	332840770
0.161	332840770
0.162	332840770
0.163	332840770
0.164	332840770
0.165	332840770
0.166	332840770
0.167	332840770
0.168	332840770
0.169	332840770
0.17	332840770
0.171	332840770
0.172	332840770
0.173	332840770
0.174	332840770
0.175	332840770
0.176	332840770
0.177	332840770
0.178	332840770
0.179	332840770
0.18	332840770
0.181	332840770
0.182	332840770
0.183	332840770
0.184	332840770
0.185	332840770
0.186	332840770
0.187	332840770
0.188	332840770
0.189	332840770
0.19	332840770
0.191	332840770
0.192	332840770
0.193	332840770
0.194	332840770
0.195	332840770
0.196	332840770
0.197	332840770
0.198	332840770
0.199	332840770
0.2	332840770
0.201	332840770
0.202	332840770
