fraction	Nx_length
0.001	32785356
0.002	32785356
0.003	32785356
0.004	32785356
0.005	32785356
0.006	32785356
0.007	32785356
0.008	32785356
0.009	32785356
0.01	32785356
0.011	32785356
0.012	32785356
0.013	32785356
0.014	32785356
0.015	32785356
0.016	32785356
0.017	32785356
0.018	32785356
0.019	32785356
0.02	32785356
0.021	32785356
0.022	32047428
0.023	32047428
0.024	32047428
0.025	32047428
0.026	32047428
0.027	32047428
0.028	32047428
0.029	32047428
0.03	32047428
0.031	32047428
0.032	32047428
0.033	32047428
0.034	32047428
0.035	32047428
0.036	32047428
0.037	32047428
0.038	32047428
0.039	32047428
0.04	32047428
0.041	32047428
0.042	32047428
0.043	30085629
0.044	30085629
0.045	30085629
0.046	30085629
0.047	30085629
0.048	30085629
0.049	30085629
0.05	30085629
0.051	30085629
0.052	30085629
0.053	30085629
0.054	30085629
0.055	30085629
0.056	30085629
0.057	30085629
0.058	30085629
0.059	30085629
0.06	30085629
0.061	30085629
0.062	29294797
0.063	29294797
0.064	29294797
0.065	29294797
0.066	29294797
0.067	29294797
0.068	29294797
0.069	29294797
0.07	29294797
0.071	29294797
0.072	29294797
0.073	29294797
0.074	29294797
0.075	29294797
0.076	29294797
0.077	29294797
0.078	29294797
0.079	29294797
0.08	29294797
0.081	29193857
0.082	29193857
0.083	29193857
0.084	29193857
0.085	29193857
0.086	29193857
0.087	29193857
0.088	29193857
0.089	29193857
0.09	29193857
0.091	29193857
0.092	29193857
0.093	29193857
0.094	29193857
0.095	29193857
0.096	29193857
0.097	29193857
0.098	29193857
0.099	29193857
0.1	29193857
0.101	28683459
0.102	28683459
0.103	28683459
0.104	28683459
0.105	28683459
0.106	28683459
0.107	28683459
0.108	28683459
0.109	28683459
0.11	28683459
0.111	28683459
0.112	28683459
0.113	28683459
0.114	28683459
0.115	28683459
0.116	28683459
0.117	28683459
0.118	28683459
0.119	28444801
0.12	28444801
0.121	28444801
0.122	28444801
0.123	28444801
0.124	28444801
0.125	28444801
0.126	28444801
0.127	28444801
0.128	28444801
0.129	28444801
0.13	28444801
0.131	28444801
0.132	28444801
0.133	28444801
0.134	28444801
0.135	28444801
0.136	28444801
0.137	28444801
0.138	28145528
0.139	28145528
0.14	28145528
0.141	28145528
0.142	28145528
0.143	28145528
0.144	28145528
0.145	28145528
0.146	28145528
0.147	28145528
0.148	28145528
0.149	28145528
0.15	28145528
0.151	28145528
0.152	28145528
0.153	28145528
0.154	28145528
0.155	28145528
0.156	27825253
0.157	27825253
0.158	27825253
0.159	27825253
0.16	27825253
0.161	27825253
0.162	27825253
0.163	27825253
0.164	27825253
0.165	27825253
0.166	27825253
0.167	27825253
0.168	27825253
0.169	27825253
0.17	27825253
0.171	27825253
0.172	27825253
0.173	27825253
0.174	25992037
0.175	25992037
0.176	25992037
0.177	25992037
0.178	25992037
0.179	25992037
0.18	25992037
0.181	25992037
0.182	25992037
0.183	25992037
0.184	25992037
0.185	25992037
0.186	25992037
0.187	25992037
0.188	25992037
0.189	25992037
0.19	25992037
0.191	25936491
0.192	25936491
0.193	25936491
0.194	25936491
0.195	25936491
0.196	25936491
0.197	25936491
0.198	25936491
0.199	25936491
0.2	25936491
0.201	25936491
0.202	25936491
0.203	25936491
0.204	25936491
0.205	25936491
0.206	25936491
0.207	25936491
0.208	23220271
0.209	23220271
0.21	23220271
0.211	23220271
0.212	23220271
0.213	23220271
0.214	23220271
0.215	23220271
0.216	23220271
0.217	23220271
0.218	23220271
0.219	23220271
0.22	23220271
0.221	23220271
0.222	23220271
0.223	22944052
0.224	22944052
0.225	22944052
0.226	22944052
0.227	22944052
0.228	22944052
0.229	22944052
0.23	22944052
0.231	22944052
0.232	22944052
0.233	22944052
0.234	22944052
0.235	22944052
0.236	22944052
0.237	22944052
0.238	21139177
0.239	21139177
0.24	21139177
0.241	21139177
0.242	21139177
0.243	21139177
0.244	21139177
0.245	21139177
0.246	21139177
0.247	21139177
0.248	21139177
0.249	21139177
0.25	21139177
0.251	21139177
0.252	18083729
0.253	18083729
0.254	18083729
0.255	18083729
0.256	18083729
0.257	18083729
0.258	18083729
0.259	18083729
0.26	18083729
0.261	18083729
0.262	18083729
0.263	18083729
0.264	17792618
0.265	17792618
0.266	17792618
0.267	17792618
0.268	17792618
0.269	17792618
0.27	17792618
0.271	17792618
0.272	17792618
0.273	17792618
0.274	17792618
0.275	16791152
0.276	16791152
0.277	16791152
0.278	16791152
0.279	16791152
0.28	16791152
0.281	16791152
0.282	16791152
0.283	16791152
0.284	16791152
0.285	16791152
0.286	16416750
0.287	16416750
0.288	16416750
0.289	16416750
0.29	16416750
0.291	16416750
0.292	16416750
0.293	16416750
0.294	16416750
0.295	16416750
0.296	16416750
0.297	16295826
0.298	16295826
0.299	16295826
0.3	16295826
0.301	16295826
0.302	16295826
0.303	16295826
0.304	16295826
0.305	16295826
0.306	16295826
0.307	16295826
0.308	16149915
0.309	16149915
0.31	16149915
0.311	16149915
0.312	16149915
0.313	16149915
0.314	16149915
0.315	16149915
0.316	16149915
0.317	16149915
0.318	15897722
0.319	15897722
0.32	15897722
0.321	15897722
0.322	15897722
0.323	15897722
0.324	15897722
0.325	15897722
0.326	15897722
0.327	15897722
0.328	15897722
0.329	15865859
0.33	15865859
0.331	15865859
0.332	15865859
0.333	15865859
0.334	15865859
0.335	15865859
0.336	15865859
0.337	15865859
0.338	15865859
0.339	15809515
0.34	15809515
0.341	15809515
0.342	15809515
0.343	15809515
0.344	15809515
0.345	15809515
0.346	15809515
0.347	15809515
0.348	15809515
0.349	14818996
0.35	14818996
0.351	14818996
0.352	14818996
0.353	14818996
0.354	14818996
0.355	14818996
0.356	14818996
0.357	14818996
0.358	14818996
0.359	14325716
0.36	14325716
0.361	14325716
0.362	14325716
0.363	14325716
0.364	14325716
0.365	14325716
0.366	14325716
0.367	14325716
0.368	13557270
0.369	13557270
0.37	13557270
0.371	13557270
0.372	13557270
0.373	13557270
0.374	13557270
0.375	13557270
0.376	13557270
0.377	12905048
0.378	12905048
0.379	12905048
0.38	12905048
0.381	12905048
0.382	12905048
0.383	12905048
0.384	12905048
0.385	12460701
0.386	12460701
0.387	12460701
0.388	12460701
0.389	12460701
0.39	12460701
0.391	12460701
0.392	12460701
0.393	12460701
0.394	12175925
0.395	12175925
0.396	12175925
0.397	12175925
0.398	12175925
0.399	12175925
0.4	12175925
0.401	12175925
0.402	12057765
0.403	12057765
0.404	12057765
0.405	12057765
0.406	12057765
0.407	12057765
0.408	12057765
0.409	11306053
0.41	11306053
0.411	11306053
0.412	11306053
0.413	11306053
0.414	11306053
0.415	11306053
0.416	11306053
0.417	11144567
0.418	11144567
0.419	11144567
0.42	11144567
0.421	11144567
0.422	11144567
0.423	11144567
0.424	10960498
0.425	10960498
0.426	10960498
0.427	10960498
0.428	10960498
0.429	10960498
0.43	10960498
0.431	10826421
0.432	10826421
0.433	10826421
0.434	10826421
0.435	10826421
0.436	10826421
0.437	10826421
0.438	10814798
0.439	10814798
0.44	10814798
0.441	10814798
0.442	10814798
0.443	10814798
0.444	10814798
0.445	10663628
0.446	10663628
0.447	10663628
0.448	10663628
0.449	10663628
0.45	10663628
0.451	10663628
0.452	10583411
0.453	10583411
0.454	10583411
0.455	10583411
0.456	10583411
0.457	10583411
0.458	10583411
0.459	10308202
0.46	10308202
0.461	10308202
0.462	10308202
0.463	10308202
0.464	10308202
0.465	10308202
0.466	10279328
0.467	10279328
0.468	10279328
0.469	10279328
0.47	10279328
0.471	10279328
0.472	10279328
0.473	10033881
0.474	10033881
0.475	10033881
0.476	10033881
0.477	10033881
0.478	10033881
0.479	10005044
