fraction	Nx_length
0.001	340821447
0.002	340821447
0.003	340821447
0.004	340821447
0.005	340821447
0.006	340821447
0.007	340821447
0.008	340821447
0.009	340821447
0.01	340821447
0.011	340821447
0.012	340821447
0.013	340821447
0.014	340821447
0.015	340821447
0.016	340821447
0.017	340821447
0.018	340821447
0.019	340821447
0.02	340821447
0.021	340821447
0.022	340821447
0.023	340821447
0.024	340821447
0.025	340821447
0.026	340821447
0.027	340821447
0.028	340821447
0.029	340821447
0.03	340821447
0.031	340821447
0.032	340821447
0.033	340821447
0.034	340821447
0.035	340821447
0.036	340821447
0.037	340821447
0.038	340821447
0.039	340821447
0.04	340821447
0.041	340821447
0.042	340821447
0.043	340821447
0.044	340821447
0.045	340821447
0.046	340821447
0.047	340821447
0.048	340821447
0.049	340821447
0.05	340821447
0.051	340821447
0.052	340821447
0.053	340821447
0.054	340821447
0.055	340821447
0.056	340821447
0.057	340821447
0.058	340821447
0.059	340821447
0.06	340821447
0.061	340821447
0.062	340821447
0.063	340821447
0.064	340821447
0.065	340821447
0.066	340821447
0.067	340821447
0.068	340821447
0.069	340821447
0.07	340821447
0.071	340821447
0.072	340821447
0.073	340821447
0.074	340821447
0.075	340821447
0.076	340821447
0.077	340821447
0.078	340821447
0.079	340821447
0.08	340821447
0.081	340821447
0.082	340821447
0.083	340821447
0.084	340821447
0.085	340821447
0.086	340821447
0.087	340821447
0.088	340821447
0.089	340821447
0.09	340821447
0.091	340821447
0.092	340821447
0.093	340821447
0.094	340821447
0.095	340821447
0.096	340821447
0.097	340821447
0.098	340821447
0.099	340821447
0.1	340821447
0.101	340821447
0.102	340821447
0.103	340821447
0.104	340821447
0.105	340821447
0.106	340821447
0.107	340821447
0.108	340821447
0.109	340821447
0.11	340821447
0.111	340821447
0.112	340821447
0.113	340821447
0.114	340821447
0.115	340821447
0.116	340821447
0.117	340821447
0.118	340821447
0.119	340821447
0.12	340821447
0.121	340821447
0.122	340821447
0.123	340821447
0.124	340821447
0.125	340821447
0.126	340821447
0.127	340821447
0.128	340821447
0.129	340821447
0.13	340821447
0.131	340821447
0.132	340821447
0.133	340821447
0.134	340821447
0.135	340821447
0.136	340821447
0.137	340821447
0.138	340821447
0.139	340821447
0.14	340821447
0.141	340821447
0.142	340821447
0.143	340821447
0.144	340821447
0.145	340821447
0.146	340821447
0.147	340821447
0.148	340821447
0.149	340821447
0.15	340821447
0.151	340821447
0.152	340821447
0.153	340821447
0.154	340821447
0.155	340821447
0.156	340821447
0.157	340821447
0.158	340821447
0.159	340821447
0.16	340821447
0.161	340821447
0.162	340821447
0.163	340821447
0.164	340821447
0.165	340821447
0.166	340821447
0.167	340821447
0.168	340821447
0.169	340821447
0.17	340821447
0.171	340821447
0.172	340821447
0.173	340821447
0.174	340821447
0.175	340821447
0.176	340821447
0.177	340821447
0.178	340821447
0.179	340821447
0.18	340821447
0.181	340821447
0.182	340821447
0.183	340821447
0.184	340821447
0.185	340821447
0.186	340821447
0.187	340821447
0.188	340821447
0.189	340821447
0.19	340821447
0.191	340821447
0.192	340821447
0.193	340821447
0.194	340821447
0.195	340821447
0.196	340821447
0.197	340821447
0.198	340821447
0.199	340821447
0.2	340821447
0.201	340821447
0.202	340821447
0.203	340821447
0.204	340821447
0.205	340821447
0.206	340821447
0.207	340821447
0.208	340821447
0.209	340821447
0.21	340821447
0.211	340821447
0.212	340821447
0.213	340821447
0.214	340821447
0.215	340821447
0.216	340821447
0.217	340821447
0.218	340821447
0.219	340821447
0.22	340821447
0.221	340821447
0.222	340821447
0.223	268285772
0.224	268285772
0.225	268285772
0.226	268285772
0.227	268285772
0.228	268285772
0.229	268285772
0.23	268285772
0.231	268285772
0.232	268285772
0.233	268285772
0.234	268285772
0.235	268285772
0.236	268285772
0.237	268285772
0.238	268285772
0.239	268285772
0.24	268285772
0.241	268285772
0.242	268285772
0.243	268285772
0.244	268285772
0.245	268285772
0.246	268285772
0.247	268285772
0.248	268285772
0.249	268285772
0.25	268285772
0.251	268285772
0.252	268285772
