fraction	Nx_length
0.001	8892322
0.002	8892322
0.003	8892322
0.004	8892322
0.005	8892322
0.006	7898847
0.007	7898847
0.008	7898847
0.009	7898847
0.01	7898847
0.011	7604234
0.012	7604234
0.013	7604234
0.014	7604234
0.015	7604234
0.016	6302988
0.017	6302988
0.018	6302988
0.019	6302988
0.02	6098633
0.021	6098633
0.022	6098633
0.023	6098633
0.024	6097812
0.025	6097812
0.026	6097812
0.027	6097812
0.028	5973668
0.029	5973668
0.03	5973668
0.031	5973668
0.032	5969743
0.033	5969743
0.034	5969743
0.035	5969743
0.036	5890368
0.037	5890368
0.038	5890368
0.039	5890368
0.04	5788164
0.041	5788164
0.042	5788164
0.043	5788164
0.044	5771809
0.045	5771809
0.046	5771809
0.047	5762057
0.048	5762057
0.049	5762057
0.05	5762057
0.051	5635734
0.052	5635734
0.053	5635734
0.054	5635734
0.055	5605530
0.056	5605530
0.057	5605530
0.058	5592895
0.059	5592895
0.06	5592895
0.061	5592895
0.062	5354569
0.063	5354569
0.064	5354569
0.065	5315376
0.066	5315376
0.067	5315376
0.068	5315376
0.069	5204581
0.07	5204581
0.071	5204581
0.072	5204515
0.073	5204515
0.074	5204515
0.075	5204515
0.076	5196636
0.077	5196636
0.078	5196636
0.079	5150000
0.08	5150000
0.081	5150000
0.082	5122573
0.083	5122573
0.084	5122573
0.085	5122573
0.086	5075000
0.087	5075000
0.088	5075000
0.089	5068308
0.09	5068308
0.091	5068308
0.092	5025000
0.093	5025000
0.094	5025000
0.095	5010627
0.096	5010627
0.097	5010627
0.098	5010627
0.099	4994697
0.1	4994697
0.101	4994697
0.102	4942341
0.103	4942341
0.104	4942341
0.105	4840627
0.106	4840627
0.107	4840627
0.108	4840596
0.109	4840596
0.11	4840596
0.111	4827961
0.112	4827961
0.113	4827961
0.114	4824082
0.115	4824082
0.116	4824082
0.117	4824082
0.118	4691179
0.119	4691179
0.12	4691179
0.121	4662544
0.122	4662544
0.123	4662544
0.124	4590873
0.125	4590873
0.126	4590873
0.127	4582846
0.128	4582846
0.129	4582846
0.13	4469204
0.131	4469204
0.132	4442909
0.133	4442909
0.134	4442909
0.135	4388362
0.136	4388362
0.137	4388362
0.138	4345814
0.139	4345814
0.14	4345814
0.141	4345561
0.142	4345561
0.143	4345561
0.144	4335913
0.145	4335913
0.146	4335913
0.147	4248503
0.148	4248503
0.149	4246191
0.15	4246191
0.151	4246191
0.152	4239605
0.153	4239605
0.154	4239605
0.155	4219959
0.156	4219959
0.157	4219959
0.158	4165000
0.159	4165000
0.16	4147786
0.161	4147786
0.162	4147786
0.163	4090639
0.164	4090639
0.165	4090639
0.166	4055501
0.167	4055501
0.168	4010044
0.169	4010044
0.17	4010044
0.171	3977666
0.172	3977666
0.173	3940974
0.174	3940974
0.175	3940974
0.176	3860812
0.177	3860812
0.178	3856997
0.179	3856997
0.18	3856997
0.181	3836564
0.182	3836564
0.183	3762153
0.184	3762153
0.185	3762153
0.186	3741305
0.187	3741305
0.188	3717545
0.189	3717545
0.19	3717545
0.191	3716331
0.192	3716331
0.193	3705163
0.194	3705163
0.195	3692408
0.196	3692408
0.197	3692408
0.198	3669482
0.199	3669482
0.2	3663516
0.201	3663516
0.202	3663516
0.203	3660563
0.204	3660563
0.205	3655389
0.206	3655389
0.207	3634838
0.208	3634838
0.209	3634838
0.21	3634488
0.211	3634488
0.212	3633845
0.213	3633845
0.214	3545239
0.215	3545239
0.216	3545239
0.217	3501019
0.218	3501019
0.219	3481105
0.22	3481105
0.221	3466248
0.222	3466248
0.223	3459722
0.224	3459722
0.225	3459722
0.226	3449156
0.227	3449156
0.228	3428585
0.229	3428585
0.23	3421208
0.231	3421208
0.232	3411871
0.233	3411871
0.234	3411871
0.235	3372247
0.236	3372247
0.237	3371325
0.238	3371325
0.239	3299485
0.24	3299485
0.241	3289626
0.242	3289626
0.243	3289369
0.244	3289369
0.245	3266352
0.246	3266352
0.247	3262168
0.248	3262168
0.249	3262168
0.25	3258147
0.251	3258147
0.252	3241654
0.253	3241654
0.254	3239926
0.255	3239926
0.256	3204618
0.257	3204618
0.258	3198088
0.259	3198088
0.26	3195453
0.261	3195453
0.262	3165418
0.263	3165418
0.264	3159290
0.265	3159290
0.266	3154007
0.267	3154007
0.268	3151258
0.269	3151258
0.27	3133333
0.271	3133333
0.272	3098371
0.273	3098371
0.274	3070312
0.275	3070312
0.276	3064788
0.277	3064788
0.278	3053380
0.279	3053380
0.28	3039012
0.281	3039012
0.282	3013960
0.283	3013960
0.284	2968817
0.285	2968817
0.286	2968021
0.287	2968021
0.288	2938117
0.289	2938117
0.29	2916288
0.291	2916288
0.292	2906143
0.293	2906143
0.294	2905822
0.295	2905822
0.296	2904296
0.297	2872269
0.298	2872269
0.299	2850720
0.3	2850720
0.301	2848779
0.302	2848779
0.303	2811252
0.304	2811252
0.305	2809417
0.306	2809417
0.307	2800000
0.308	2799994
0.309	2799994
0.31	2791292
0.311	2791292
0.312	2777320
0.313	2777320
0.314	2767255
0.315	2767255
0.316	2762528
0.317	2753552
0.318	2753552
0.319	2753016
0.32	2753016
0.321	2739808
0.322	2739808
0.323	2716794
0.324	2716794
0.325	2712839
