fraction	Nx_length
0.001	240931457
0.002	240931457
0.003	240931457
0.004	240931457
0.005	240931457
0.006	240931457
0.007	240931457
0.008	240931457
0.009	240931457
0.01	240931457
0.011	240931457
0.012	240931457
0.013	240931457
0.014	240931457
0.015	240931457
0.016	240931457
0.017	240931457
0.018	240931457
0.019	240931457
0.02	240931457
0.021	240931457
0.022	240931457
0.023	240931457
0.024	240931457
0.025	240931457
0.026	240931457
0.027	240931457
0.028	240931457
0.029	240931457
0.03	240931457
0.031	240931457
0.032	240931457
0.033	240931457
0.034	240931457
0.035	240931457
0.036	240931457
0.037	240931457
0.038	240931457
0.039	240931457
0.04	240931457
0.041	240931457
0.042	240931457
0.043	240931457
0.044	240931457
0.045	240931457
0.046	240931457
0.047	240931457
0.048	240931457
0.049	240931457
0.05	240931457
0.051	240931457
0.052	240931457
0.053	240931457
0.054	240931457
0.055	240931457
0.056	240931457
0.057	240931457
0.058	240931457
0.059	240931457
0.06	240931457
0.061	240931457
0.062	240931457
0.063	240931457
0.064	240931457
0.065	240931457
0.066	240931457
0.067	240931457
0.068	240931457
0.069	240931457
0.07	240931457
0.071	240931457
0.072	240931457
0.073	240931457
0.074	240931457
0.075	240931457
0.076	240931457
0.077	240931457
0.078	240931457
0.079	240931457
0.08	240931457
0.081	240931457
0.082	240931457
0.083	240931457
0.084	240931457
0.085	240931457
0.086	240931457
0.087	240931457
0.088	240931457
0.089	240931457
0.09	240931457
0.091	240931457
0.092	240931457
0.093	240931457
0.094	240931457
0.095	240931457
0.096	240931457
0.097	240931457
0.098	240931457
0.099	240931457
0.1	240931457
0.101	240931457
0.102	240931457
0.103	240931457
0.104	240931457
0.105	240931457
0.106	240931457
0.107	240931457
0.108	240931457
0.109	240931457
0.11	240931457
0.111	240931457
0.112	240931457
0.113	240931457
0.114	240931457
0.115	240931457
0.116	240931457
0.117	240931457
0.118	240931457
0.119	240931457
0.12	240931457
0.121	240931457
0.122	240931457
0.123	240931457
0.124	240931457
0.125	240931457
0.126	240931457
0.127	240931457
0.128	240931457
0.129	240931457
0.13	240931457
0.131	240931457
0.132	240931457
0.133	240931457
0.134	240931457
0.135	240931457
0.136	240931457
0.137	240931457
0.138	208403844
0.139	208403844
0.14	208403844
0.141	208403844
0.142	208403844
0.143	208403844
0.144	208403844
0.145	208403844
0.146	208403844
0.147	208403844
0.148	208403844
0.149	208403844
0.15	208403844
0.151	208403844
0.152	208403844
0.153	208403844
0.154	208403844
0.155	208403844
0.156	208403844
0.157	208403844
0.158	208403844
0.159	208403844
0.16	208403844
0.161	208403844
0.162	208403844
0.163	208403844
0.164	208403844
0.165	208403844
0.166	208403844
0.167	208403844
0.168	208403844
0.169	208403844
0.17	208403844
0.171	208403844
0.172	208403844
0.173	208403844
0.174	208403844
0.175	208403844
0.176	208403844
0.177	208403844
0.178	208403844
0.179	208403844
0.18	208403844
0.181	208403844
0.182	208403844
0.183	208403844
0.184	208403844
0.185	208403844
0.186	208403844
0.187	208403844
0.188	208403844
0.189	208403844
0.19	208403844
0.191	208403844
0.192	208403844
0.193	208403844
0.194	208403844
0.195	208403844
0.196	208403844
0.197	208403844
0.198	208403844
0.199	208403844
0.2	208403844
0.201	208403844
0.202	208403844
0.203	208403844
0.204	208403844
0.205	208403844
0.206	208403844
0.207	208403844
0.208	208403844
0.209	208403844
0.21	208403844
0.211	208403844
0.212	208403844
0.213	208403844
0.214	208403844
0.215	208403844
0.216	208403844
0.217	208403844
0.218	208403844
0.219	208403844
0.22	208403844
0.221	208403844
0.222	208403844
0.223	208403844
0.224	208403844
0.225	208403844
0.226	208403844
0.227	208403844
0.228	208403844
0.229	208403844
0.23	208403844
0.231	208403844
0.232	208403844
0.233	208403844
0.234	208403844
0.235	208403844
0.236	208403844
0.237	208403844
0.238	208403844
0.239	208403844
0.24	208403844
0.241	208403844
0.242	208403844
0.243	208403844
0.244	208403844
0.245	208403844
0.246	208403844
0.247	208403844
0.248	208403844
0.249	208403844
0.25	208403844
0.251	208403844
0.252	208403844
0.253	208403844
0.254	208403844
0.255	208403844
0.256	208403844
0.257	202650425
0.258	202650425
0.259	202650425
0.26	202650425
0.261	202650425
0.262	202650425
0.263	202650425
0.264	202650425
0.265	202650425
0.266	202650425
0.267	202650425
0.268	202650425
0.269	202650425
0.27	202650425
0.271	202650425
0.272	202650425
0.273	202650425
0.274	202650425
0.275	202650425
0.276	202650425
0.277	202650425
0.278	202650425
0.279	202650425
0.28	202650425
0.281	202650425
0.282	202650425
0.283	202650425
0.284	202650425
0.285	202650425
0.286	202650425
0.287	202650425
0.288	202650425
0.289	202650425
0.29	202650425
0.291	202650425
0.292	202650425
0.293	202650425
0.294	202650425
0.295	202650425
0.296	202650425
0.297	202650425
0.298	202650425
0.299	202650425
0.3	202650425
0.301	202650425
0.302	202650425
0.303	202650425
0.304	202650425
0.305	202650425
0.306	202650425
0.307	202650425
0.308	202650425
0.309	202650425
0.31	202650425
0.311	202650425
0.312	202650425
0.313	202650425
0.314	202650425
0.315	202650425
0.316	202650425
0.317	202650425
0.318	202650425
0.319	202650425
0.32	202650425
0.321	202650425
0.322	202650425
0.323	202650425
0.324	202650425
0.325	202650425
0.326	202650425
0.327	202650425
0.328	202650425
0.329	202650425
0.33	202650425
0.331	202650425
0.332	202650425
0.333	202650425
0.334	202650425
0.335	202650425
0.336	202650425
0.337	202650425
0.338	202650425
0.339	202650425
0.34	202650425
0.341	202650425
0.342	202650425
0.343	202650425
0.344	202650425
0.345	202650425
0.346	202650425
0.347	202650425
0.348	202650425
0.349	202650425
0.35	202650425
0.351	202650425
0.352	202650425
0.353	202650425
0.354	202650425
0.355	202650425
0.356	202650425
0.357	202650425
0.358	202650425
0.359	202650425
0.36	202650425
0.361	202650425
0.362	202650425
0.363	202650425
0.364	202650425
0.365	202650425
0.366	202650425
0.367	202650425
0.368	202650425
0.369	202650425
0.37	202650425
0.371	202650425
0.372	196997442
0.373	196997442
0.374	196997442
0.375	196997442
0.376	196997442
0.377	196997442
0.378	196997442
0.379	196997442
0.38	196997442
0.381	196997442
0.382	196997442
0.383	196997442
0.384	196997442
0.385	196997442
0.386	196997442
0.387	196997442
0.388	196997442
0.389	196997442
0.39	196997442
0.391	196997442
0.392	196997442
0.393	196997442
0.394	196997442
0.395	196997442
0.396	196997442
0.397	196997442
0.398	196997442
0.399	196997442
0.4	196997442
0.401	196997442
0.402	196997442
0.403	196997442
0.404	196997442
0.405	196997442
0.406	196997442
0.407	196997442
0.408	196997442
0.409	196997442
0.41	196997442
0.411	196997442
0.412	196997442
0.413	196997442
0.414	196997442
0.415	196997442
0.416	196997442
0.417	196997442
0.418	196997442
0.419	196997442
0.42	196997442
0.421	196997442
0.422	196997442
0.423	196997442
0.424	196997442
0.425	196997442
0.426	196997442
0.427	196997442
0.428	196997442
0.429	196997442
0.43	196997442
0.431	196997442
0.432	196997442
0.433	196997442
0.434	196997442
0.435	196997442
0.436	196997442
0.437	196997442
0.438	196997442
0.439	196997442
0.44	196997442
0.441	196997442
0.442	196997442
0.443	196997442
0.444	196997442
0.445	196997442
0.446	196997442
0.447	196997442
0.448	196997442
0.449	196997442
0.45	196997442
0.451	196997442
0.452	196997442
0.453	196997442
0.454	196997442
0.455	196997442
0.456	196997442
0.457	196997442
0.458	196997442
0.459	196997442
0.46	196997442
