fraction	Nx_length
0.001	358276425
0.002	358276425
0.003	358276425
0.004	358276425
0.005	358276425
0.006	358276425
0.007	358276425
0.008	358276425
0.009	358276425
0.01	358276425
0.011	358276425
0.012	358276425
0.013	358276425
0.014	358276425
0.015	358276425
0.016	358276425
0.017	358276425
0.018	358276425
0.019	358276425
0.02	358276425
0.021	358276425
0.022	358276425
0.023	358276425
0.024	358276425
0.025	358276425
0.026	358276425
0.027	358276425
0.028	358276425
0.029	358276425
0.03	358276425
0.031	358276425
0.032	358276425
0.033	358276425
0.034	358276425
0.035	358276425
0.036	358276425
0.037	358276425
0.038	358276425
0.039	358276425
0.04	358276425
0.041	358276425
0.042	358276425
0.043	358276425
0.044	358276425
0.045	358276425
0.046	358276425
0.047	358276425
0.048	358276425
0.049	358276425
0.05	358276425
0.051	358276425
0.052	358276425
0.053	358276425
0.054	358276425
0.055	358276425
0.056	358276425
0.057	358276425
0.058	358276425
0.059	358276425
0.06	358276425
0.061	358276425
0.062	358276425
0.063	358276425
0.064	358276425
0.065	358276425
0.066	358276425
0.067	358276425
0.068	358276425
0.069	358276425
0.07	358276425
0.071	358276425
0.072	358276425
0.073	358276425
0.074	358276425
0.075	358276425
0.076	358276425
0.077	358276425
0.078	358276425
0.079	358276425
0.08	358276425
0.081	358276425
0.082	358276425
0.083	358276425
0.084	358276425
0.085	358276425
0.086	358276425
0.087	358276425
0.088	358276425
0.089	358276425
0.09	358276425
0.091	358276425
0.092	358276425
0.093	358276425
0.094	358276425
0.095	358276425
0.096	358276425
0.097	358276425
0.098	358276425
0.099	358276425
0.1	358276425
0.101	358276425
0.102	358276425
0.103	358276425
0.104	358276425
0.105	358276425
0.106	358276425
0.107	358276425
0.108	358276425
0.109	358276425
0.11	358276425
0.111	358276425
0.112	358276425
0.113	358276425
0.114	358276425
0.115	358276425
0.116	358276425
0.117	358276425
0.118	358276425
0.119	358276425
0.12	358276425
0.121	358276425
0.122	358276425
0.123	358276425
0.124	358276425
0.125	358276425
0.126	358276425
0.127	358276425
0.128	358276425
0.129	358276425
0.13	358276425
0.131	358276425
0.132	358276425
0.133	358276425
0.134	358276425
0.135	358276425
0.136	358276425
0.137	358276425
0.138	358276425
0.139	358276425
0.14	358276425
0.141	358276425
0.142	358276425
0.143	358276425
0.144	358276425
0.145	358276425
0.146	358276425
0.147	358276425
0.148	358276425
0.149	358276425
0.15	358276425
0.151	358276425
0.152	358276425
0.153	358276425
0.154	358276425
0.155	358276425
0.156	358276425
0.157	358276425
0.158	358276425
0.159	358276425
0.16	358276425
0.161	358276425
0.162	358276425
0.163	358276425
0.164	358276425
0.165	358276425
0.166	358276425
0.167	358276425
0.168	358276425
0.169	358276425
0.17	358276425
0.171	358276425
0.172	358276425
0.173	358276425
0.174	358276425
0.175	358276425
0.176	358276425
0.177	358276425
0.178	358276425
0.179	358276425
0.18	358276425
0.181	358276425
0.182	358276425
0.183	358276425
0.184	358276425
0.185	358276425
0.186	358276425
0.187	358276425
0.188	358276425
0.189	358276425
0.19	358276425
0.191	358276425
0.192	358276425
0.193	358276425
0.194	358276425
0.195	358276425
0.196	358276425
0.197	358276425
0.198	358276425
0.199	358276425
0.2	358276425
0.201	358276425
0.202	358276425
0.203	358276425
0.204	358276425
0.205	313455771
0.206	313455771
0.207	313455771
0.208	313455771
0.209	313455771
0.21	313455771
0.211	313455771
0.212	313455771
0.213	313455771
0.214	313455771
0.215	313455771
0.216	313455771
0.217	313455771
0.218	313455771
0.219	313455771
0.22	313455771
0.221	313455771
0.222	313455771
0.223	313455771
0.224	313455771
0.225	313455771
0.226	313455771
0.227	313455771
0.228	313455771
0.229	313455771
0.23	313455771
0.231	313455771
0.232	313455771
0.233	313455771
0.234	313455771
0.235	313455771
