fraction	Nx_length
0.001	224407
0.002	200861
0.003	187675
0.004	177793
0.005	170663
0.006	166663
0.007	161630
0.008	159628
0.009	154159
0.01	151605
0.011	149584
0.012	148163
0.013	146467
0.014	143584
0.015	140531
0.016	138173
0.017	136432
0.018	134666
0.019	133065
0.02	131905
0.021	130883
0.022	129313
0.023	127032
0.024	126031
0.025	125019
0.026	123794
0.027	123032
0.028	122057
0.029	121132
0.03	120041
0.031	119065
0.032	117904
0.033	117292
0.034	116242
0.035	115404
0.036	114641
0.037	113865
0.038	112935
0.039	112332
0.04	111812
0.041	111177
0.042	110332
0.043	109653
0.044	108582
0.045	107978
0.046	107492
0.047	106750
0.048	106079
0.049	105329
0.05	104838
0.051	104314
0.052	103358
0.053	102815
0.054	101956
0.055	101254
0.056	100564
0.057	100105
0.058	99395
0.059	98973
0.06	98484
0.061	98114
0.062	97619
0.063	97233
0.064	96767
0.065	96302
0.066	95585
0.067	95171
0.068	94692
0.069	94329
0.07	93799
0.071	93339
0.072	92924
0.073	92578
0.074	92097
0.075	91730
0.076	91224
0.077	90700
0.078	90333
0.079	90087
0.08	89664
0.081	89231
0.082	88697
0.083	88245
0.084	87935
0.085	87559
0.086	87139
0.087	86743
0.088	86480
0.089	86143
0.09	85851
0.091	85488
0.092	85099
0.093	84700
0.094	84408
0.095	84009
0.096	83618
0.097	83148
0.098	82953
0.099	82661
0.1	82325
0.101	82010
0.102	81770
0.103	81460
0.104	81214
0.105	80942
0.106	80638
0.107	80481
0.108	80151
0.109	79900
0.11	79555
0.111	79286
0.112	79062
0.113	78859
0.114	78542
0.115	78340
0.116	78156
0.117	77938
0.118	77655
0.119	77406
0.12	77130
0.121	76911
0.122	76543
0.123	76287
0.124	76142
0.125	75894
0.126	75633
0.127	75293
0.128	75113
0.129	74826
0.13	74526
0.131	74367
0.132	74159
0.133	73961
0.134	73775
0.135	73520
0.136	73332
0.137	73012
0.138	72831
0.139	72529
0.14	72309
0.141	72143
0.142	71841
0.143	71633
0.144	71376
0.145	71054
0.146	70919
0.147	70762
0.148	70464
0.149	70307
0.15	70103
0.151	69885
0.152	69696
0.153	69403
0.154	69200
0.155	69045
0.156	68917
0.157	68716
0.158	68468
0.159	68334
0.16	68246
0.161	68121
0.162	67904
0.163	67710
0.164	67557
0.165	67351
0.166	67219
0.167	67068
0.168	66826
0.169	66552
0.17	66418
0.171	66202
0.172	66052
0.173	65859
0.174	65662
0.175	65508
0.176	65295
0.177	65111
0.178	64940
0.179	64811
0.18	64627
0.181	64433
0.182	64272
0.183	64104
0.184	63929
0.185	63742
0.186	63602
0.187	63469
0.188	63322
0.189	63144
0.19	62988
0.191	62844
0.192	62638
0.193	62532
0.194	62408
0.195	62235
0.196	62047
0.197	61907
0.198	61740
0.199	61541
0.2	61397
0.201	61272
0.202	61118
0.203	60965
0.204	60832
0.205	60696
0.206	60551
0.207	60410
0.208	60235
0.209	60078
0.21	59971
0.211	59825
0.212	59733
0.213	59593
0.214	59463
0.215	59348
0.216	59213
0.217	59064
0.218	58902
0.219	58762
0.22	58611
0.221	58509
0.222	58397
0.223	58314
0.224	58189
0.225	58056
0.226	57877
0.227	57718
0.228	57573
0.229	57419
0.23	57304
0.231	57154
0.232	56989
0.233	56827
0.234	56699
