fraction	Nx_length
0.001	1881636
0.002	1831577
0.003	1741340
0.004	1574634
0.005	1534662
0.006	1534662
0.007	1509837
0.008	1488457
0.009	1436036
0.01	1414685
0.011	1410605
0.012	1400020
0.013	1392337
0.014	1373579
0.015	1352478
0.016	1333873
0.017	1312484
0.018	1280117
0.019	1270877
0.02	1244944
0.021	1239691
0.022	1238243
0.023	1237173
0.024	1227006
0.025	1206844
0.026	1195303
0.027	1182042
0.028	1158585
0.029	1148470
0.03	1135819
0.031	1121264
0.032	1114386
0.033	1101832
0.034	1091971
0.035	1090130
0.036	1088098
0.037	1083731
0.038	1082202
0.039	1080128
0.04	1075708
0.041	1074416
0.042	1066832
0.043	1048478
0.044	1045317
0.045	1042960
0.046	1036809
0.047	1031471
0.048	1026260
0.049	1017921
0.05	1014279
0.051	1011925
0.052	1008866
0.053	1007210
0.054	1002707
0.055	1000924
0.056	998382
0.057	998038
0.058	992621
0.059	992271
0.06	972627
0.061	971426
0.062	969991
0.063	957547
0.064	954691
0.065	951339
0.066	945822
0.067	943860
0.068	942920
0.069	939864
0.07	937276
0.071	926263
0.072	924093
0.073	922292
0.074	918420
0.075	917852
0.076	912735
0.077	911893
0.078	905421
0.079	904755
0.08	903699
0.081	903212
0.082	895748
0.083	890440
0.084	890217
0.085	883541
0.086	882216
0.087	875493
0.088	867218
0.089	867141
0.09	865766
0.091	865030
0.092	861858
0.093	853786
0.094	853137
0.095	850225
0.096	848075
0.097	846981
0.098	843289
0.099	841455
0.1	840943
0.101	837244
0.102	834137
0.103	832360
0.104	832223
0.105	828560
0.106	826371
0.107	826229
0.108	822118
0.109	819136
0.11	817843
0.111	813917
0.112	812074
0.113	810046
0.114	808472
0.115	807505
0.116	805187
0.117	802980
0.118	801387
0.119	800335
0.12	798980
0.121	795803
0.122	795566
0.123	794720
0.124	791883
0.125	791162
0.126	786329
0.127	785417
0.128	784163
0.129	781581
0.13	781378
0.131	780266
0.132	778299
0.133	777002
0.134	776303
0.135	775562
0.136	774547
0.137	771967
0.138	770927
0.139	767316
0.14	767182
0.141	763046
0.142	761495
0.143	760233
0.144	758334
0.145	758096
0.146	755537
0.147	755472
0.148	754550
0.149	752550
0.15	751225
0.151	748841
0.152	747279
0.153	745812
0.154	744589
0.155	741827
0.156	741234
0.157	740721
0.158	739742
0.159	737344
0.16	735904
0.161	735067
0.162	732479
0.163	729075
0.164	727410
0.165	725088
0.166	724780
0.167	723088
0.168	721946
0.169	720666
0.17	718316
0.171	717666
0.172	716440
0.173	715450
0.174	711764
0.175	711055
0.176	708955
0.177	706224
0.178	704878
0.179	702525
0.18	700818
0.181	699895
0.182	699423
0.183	698579
0.184	697415
0.185	696527
0.186	694205
0.187	691766
0.188	690229
0.189	686941
0.19	686506
0.191	684218
0.192	683536
0.193	680489
0.194	677976
0.195	673804
0.196	669174
0.197	667295
0.198	665939
0.199	663093
0.2	662592
0.201	661759
0.202	659834
0.203	658664
0.204	657889
0.205	656153
0.206	655965
0.207	654924
0.208	653341
0.209	652302
0.21	650429
0.211	650168
0.212	649036
0.213	648497
0.214	647754
0.215	645300
0.216	643996
0.217	643671
0.218	642752
0.219	639384
0.22	634615
0.221	633062
0.222	631180
0.223	630937
0.224	628958
0.225	627498
0.226	625594
0.227	624926
0.228	621389
0.229	620593
0.23	619608
0.231	618769
0.232	617549
0.233	617460
0.234	615380
0.235	614950
0.236	614085
0.237	612878
0.238	611559
0.239	611250
0.24	610060
0.241	606814
0.242	606230
0.243	605297
0.244	600935
0.245	599167
0.246	596333
0.247	595598
0.248	594297
0.249	592308
0.25	590175
0.251	589000
0.252	584504
0.253	583941
0.254	583139
0.255	582635
0.256	581185
0.257	579964
0.258	579337
0.259	576298
0.26	575330
0.261	574587
0.262	574352
0.263	574113
0.264	573641
0.265	572540
0.266	571800
0.267	570381
0.268	569484
0.269	567850
0.27	564955
0.271	564703
0.272	563468
0.273	562146
0.274	561230
0.275	559522
0.276	557500
0.277	554891
0.278	554099
0.279	552040
0.28	551033
0.281	547392
0.282	546343
0.283	545455
0.284	544128
0.285	541698
0.286	540507
0.287	539832
0.288	538967
0.289	537738
0.29	537314
0.291	537168
0.292	536838
0.293	535545
0.294	533934
0.295	531558
0.296	530062
0.297	529602
0.298	528879
0.299	528334
0.3	526044
0.301	525304
0.302	524663
0.303	523594
0.304	522609
0.305	521824
0.306	520961
0.307	519611
0.308	519394
0.309	518260
0.31	516163
0.311	515524
0.312	514322
0.313	512819
0.314	511664
0.315	510641
0.316	510294
0.317	508193
0.318	508000
0.319	507762
0.32	507390
0.321	506825
0.322	504978
0.323	504564
0.324	502853
0.325	501945
0.326	500766
0.327	498943
0.328	498733
0.329	498138
0.33	497172
0.331	496501
0.332	495064
0.333	493901
0.334	493021
0.335	492264
0.336	491374
0.337	490526
0.338	489565
0.339	487913
0.34	486727
0.341	486146
0.342	484095
0.343	482978
0.344	481656
0.345	479644
0.346	479297
0.347	478561
0.348	477337
0.349	476540
0.35	475384
0.351	474478
0.352	473834
0.353	472649
0.354	472257
0.355	471161
0.356	469483
0.357	468596
0.358	466893
0.359	465078
0.36	464197
0.361	463473
0.362	462554
0.363	462449
0.364	461927
0.365	460430
0.366	459926
0.367	457515
0.368	456316
0.369	455484
0.37	454321
0.371	453461
0.372	452890
0.373	452571
0.374	450888
0.375	450161
0.376	448320
0.377	447808
0.378	447094
0.379	445956
0.38	445571
0.381	443543
0.382	441655
0.383	440913
0.384	439842
0.385	438654
0.386	437335
0.387	436373
0.388	435490
0.389	434485
0.39	434064
0.391	433569
0.392	433351
0.393	431672
0.394	429833
0.395	428209
0.396	427840
0.397	426772
0.398	425181
0.399	424663
0.4	424403
0.401	423748
0.402	423054
0.403	420897
0.404	418736
0.405	417371
0.406	416309
0.407	415413
0.408	414516
0.409	414317
0.41	413096
0.411	411753
0.412	411383
0.413	410728
0.414	410124
0.415	408787
0.416	408403
0.417	406758
0.418	406147
0.419	405715
0.42	405244
0.421	404089
0.422	403738
0.423	402862
0.424	401188
0.425	400536
0.426	400325
0.427	398809
0.428	397953
0.429	397479
0.43	396282
0.431	395462
0.432	394857
0.433	393729
0.434	391709
0.435	391222
0.436	390600
0.437	389298
0.438	388779
0.439	388438
0.44	386892
0.441	385485
0.442	384762
0.443	384269
0.444	383606
0.445	383014
0.446	382132
0.447	380919
0.448	380506
0.449	379657
0.45	379152
0.451	378651
0.452	377714
0.453	376315
0.454	376005
0.455	374707
0.456	374171
0.457	373451
0.458	372134
0.459	370656
0.46	370207
0.461	369564
0.462	369402
0.463	369276
0.464	368761
0.465	367788
0.466	366997
0.467	366135
0.468	364675
0.469	363691
0.47	363169
0.471	362750
0.472	362344
0.473	362159
0.474	361291
0.475	360590
0.476	359903
0.477	359329
0.478	357728
0.479	357467
0.48	356885
0.481	355651
0.482	354827
0.483	353659
0.484	352712
0.485	351562
0.486	350799
0.487	350098
0.488	348936
0.489	348705
0.49	348154
0.491	347156
0.492	345703
0.493	345255
0.494	344439
0.495	343404
0.496	342881
0.497	342105
0.498	341515
0.499	340845
0.5	340243
0.501	339048
0.502	338292
0.503	337083
0.504	336594
0.505	336384
0.506	335515
0.507	335103
0.508	333992
0.509	333068
0.51	332500
0.511	332160
0.512	331605
0.513	331256
0.514	330664
0.515	330191
0.516	329468
0.517	328935
0.518	327843
0.519	327392
0.52	327085
0.521	326300
0.522	325333
0.523	324727
0.524	324370
0.525	323788
0.526	323188
0.527	322478
0.528	322313
0.529	321557
0.53	321029
0.531	320456
0.532	320056
0.533	319081
0.534	318627
0.535	318036
0.536	316968
0.537	316416
0.538	315352
0.539	315078
0.54	313878
0.541	313096
0.542	312309
0.543	311135
0.544	310699
0.545	310198
0.546	309266
0.547	308505
0.548	307302
0.549	306631
0.55	305200
0.551	304735
0.552	304177
0.553	303380
0.554	302815
0.555	301954
0.556	301762
0.557	301389
0.558	300726
0.559	300195
0.56	299819
0.561	299478
0.562	298783
0.563	297923
0.564	297607
0.565	296552
0.566	296087
0.567	295447
0.568	294875
0.569	293470
0.57	293335
0.571	292874
0.572	291187
0.573	290793
0.574	290119
0.575	289789
0.576	289071
0.577	288335
0.578	288206
0.579	287093
0.58	286113
0.581	285090
0.582	284575
0.583	283911
0.584	283061
0.585	282691
0.586	282203
0.587	281806
0.588	281664
0.589	281024
0.59	280106
0.591	279682
0.592	278996
0.593	278648
0.594	277947
0.595	276945
0.596	276514
0.597	276158
0.598	275404
0.599	274725
0.6	273729
0.601	273076
0.602	272478
0.603	271557
0.604	270040
0.605	269194
0.606	268356
0.607	267671
0.608	266500
0.609	265835
0.61	265186
0.611	264409
0.612	264273
0.613	263624
0.614	262605
0.615	261707
0.616	261277
0.617	260970
0.618	259966
0.619	259103
0.62	257913
0.621	256563
0.622	255518
0.623	255209
0.624	254331
0.625	253854
0.626	253050
0.627	252566
0.628	251801
0.629	251249
0.63	250664
0.631	249869
0.632	249493
0.633	249293
0.634	248572
0.635	247736
0.636	247458
0.637	247034
0.638	246458
0.639	245739
0.64	245039
0.641	244861
0.642	244205
0.643	243929
0.644	242829
0.645	242417
0.646	241749
0.647	241135
0.648	240766
0.649	240260
0.65	239573
0.651	239209
0.652	238777
0.653	237686
0.654	237332
0.655	236391
0.656	235900
0.657	235661
0.658	234985
0.659	234231
0.66	233367
0.661	232790
0.662	231794
0.663	231316
0.664	230650
0.665	229891
0.666	229065
0.667	228607
0.668	228197
0.669	227861
0.67	227442
0.671	226621
0.672	226181
0.673	225564
0.674	225106
0.675	224489
0.676	224228
0.677	223215
0.678	222588
0.679	222164
0.68	221473
0.681	221076
0.682	220639
0.683	220094
0.684	219746
0.685	218924
0.686	218404
0.687	217623
0.688	217339
0.689	216779
0.69	216014
0.691	215662
0.692	214992
0.693	214594
0.694	213811
0.695	213205
0.696	212657
0.697	211812
0.698	211198
0.699	210700
0.7	209959
0.701	209161
0.702	208838
0.703	208439
0.704	207841
0.705	206759
0.706	206103
0.707	205497
0.708	204743
0.709	203808
0.71	203109
0.711	202538
0.712	202082
0.713	201868
0.714	201430
0.715	201060
0.716	200749
0.717	199925
0.718	199367
0.719	198845
0.72	198444
0.721	197859
0.722	197314
0.723	196916
0.724	196427
0.725	195724
0.726	195228
0.727	194447
0.728	193967
0.729	193287
0.73	192709
0.731	192062
0.732	191079
0.733	190775
0.734	189962
0.735	188955
0.736	188369
0.737	187785
0.738	187357
0.739	186531
0.74	185970
0.741	185305
0.742	184615
0.743	183763
0.744	182755
0.745	182188
0.746	181705
0.747	180793
0.748	180497
0.749	180182
0.75	179624
0.751	178742
0.752	177868
0.753	176768
0.754	176274
0.755	175621
0.756	175220
0.757	174540
0.758	174242
0.759	173895
0.76	173411
0.761	172215
0.762	171578
0.763	170977
0.764	170545
0.765	169133
0.766	168323
0.767	167633
0.768	167056
0.769	166532
0.77	166039
0.771	165301
0.772	164906
0.773	164274
0.774	163843
0.775	163428
0.776	163040
0.777	162584
0.778	162263
0.779	161563
0.78	161054
0.781	160354
0.782	159890
0.783	159122
0.784	158567
0.785	157836
0.786	157159
0.787	156724
0.788	156236
0.789	155673
0.79	155083
0.791	154604
0.792	153901
0.793	153418
0.794	153087
0.795	152255
0.796	151697
0.797	151298
0.798	150984
0.799	150624
0.8	150152
0.801	149998
0.802	149334
0.803	148834
0.804	147610
0.805	147050
0.806	146258
0.807	145723
0.808	145147
0.809	144780
0.81	144356
0.811	143983
0.812	143271
0.813	142833
0.814	142210
0.815	141650
0.816	140839
0.817	140461
0.818	140185
0.819	139525
0.82	138737
0.821	138212
0.822	137525
0.823	137212
0.824	136961
0.825	136446
0.826	135688
0.827	135124
0.828	134750
0.829	134414
0.83	133924
0.831	133167
0.832	132718
