fraction	Nx_length
0.001	2879675
0.002	2879675
0.003	1921351
0.004	1831577
0.005	1741340
0.006	1717130
0.007	1717130
0.008	1685677
0.009	1587674
0.01	1574634
0.011	1534662
0.012	1509837
0.013	1488457
0.014	1436036
0.015	1433501
0.016	1419814
0.017	1414884
0.018	1414685
0.019	1410605
0.02	1407040
0.021	1403857
0.022	1400020
0.023	1392337
0.024	1373579
0.025	1352478
0.026	1344206
0.027	1335133
0.028	1333873
0.029	1329419
0.03	1282809
0.031	1280117
0.032	1277475
0.033	1262580
0.034	1253798
0.035	1244944
0.036	1239691
0.037	1238243
0.038	1227006
0.039	1219739
0.04	1206844
0.041	1195735
0.042	1195303
0.043	1182042
0.044	1172759
0.045	1148470
0.046	1140727
0.047	1135819
0.048	1123924
0.049	1114386
0.05	1106352
0.051	1101832
0.052	1091971
0.053	1088098
0.054	1085671
0.055	1083731
0.056	1080128
0.057	1078164
0.058	1075708
0.059	1072875
0.06	1066832
0.061	1062393
0.062	1045317
0.063	1042960
0.064	1037764
0.065	1031471
0.066	1026260
0.067	1025247
0.068	1014279
0.069	1013216
0.07	1011925
0.071	1008866
0.072	1008133
0.073	1002707
0.074	1000924
0.075	998382
0.076	996273
0.077	994029
0.078	992271
0.079	990842
0.08	978916
0.081	976628
0.082	972038
0.083	969991
0.084	968444
0.085	967602
0.086	957547
0.087	954961
0.088	953265
0.089	952578
0.09	951339
0.091	943946
0.092	943944
0.093	940219
0.094	926263
0.095	924093
0.096	922303
0.097	922292
0.098	917887
0.099	917852
0.1	913664
0.101	912735
0.102	903806
0.103	903699
0.104	898115
0.105	896057
0.106	895748
0.107	892417
0.108	890454
0.109	890217
0.11	885809
0.111	884309
0.112	882216
0.113	875493
0.114	867218
0.115	866920
0.116	866788
0.117	865030
0.118	862050
0.119	861858
0.12	857953
0.121	853786
0.122	850225
0.123	848075
0.124	845831
0.125	843289
0.126	841455
0.127	839318
0.128	838354
0.129	837244
0.13	834137
0.131	834106
0.132	830629
0.133	827458
0.134	827436
0.135	826229
0.136	819136
0.137	817843
0.138	813962
0.139	810475
0.14	808472
0.141	805187
0.142	804539
0.143	801387
0.144	799014
0.145	795911
0.146	795803
0.147	795566
0.148	791883
0.149	791162
0.15	786329
0.151	786132
0.152	784163
0.153	781987
0.154	781574
0.155	780871
0.156	779287
0.157	778710
0.158	777850
0.159	776303
0.16	775562
0.161	773624
0.162	771967
0.163	770927
0.164	768235
0.165	767182
0.166	764407
0.167	761495
0.168	758334
0.169	758334
0.17	756979
0.171	755537
0.172	754881
0.173	754123
0.174	752550
0.175	750942
0.176	748841
0.177	747134
0.178	746543
0.179	744589
0.18	741827
0.181	741234
0.182	740550
0.183	740011
0.184	739742
0.185	738229
0.186	737344
0.187	735904
0.188	735067
0.189	732479
0.19	732177
0.191	729075
0.192	727410
0.193	725025
0.194	724625
0.195	721975
0.196	721698
0.197	720666
0.198	717972
0.199	716448
0.2	715820
0.201	714587
0.202	711664
0.203	708955
0.204	706224
0.205	702562
0.206	700826
0.207	700640
0.208	699538
0.209	698974
0.21	698579
0.211	698215
0.212	695502
0.213	693604
0.214	691076
