fraction	Nx_length
0.001	50921790
0.002	50921790
0.003	50921790
0.004	50921790
0.005	50921790
0.006	50921790
0.007	50921790
0.008	50921790
0.009	50921790
0.01	50921790
0.011	50921790
0.012	50921790
0.013	50921790
0.014	50921790
0.015	50921790
0.016	50921790
0.017	50921790
0.018	50921790
0.019	50921790
0.02	50921790
0.021	50921790
0.022	50921790
0.023	50921790
0.024	50921790
0.025	50921790
0.026	50921790
0.027	50921790
0.028	50921790
0.029	50921790
0.03	50921790
0.031	40034181
0.032	40034181
0.033	40034181
0.034	40034181
0.035	40034181
0.036	40034181
0.037	40034181
0.038	40034181
0.039	40034181
0.04	40034181
0.041	40034181
0.042	40034181
0.043	40034181
0.044	40034181
0.045	40034181
0.046	40034181
0.047	40034181
0.048	40034181
0.049	40034181
0.05	40034181
0.051	40034181
0.052	40034181
0.053	40034181
0.054	40034181
0.055	30806214
0.056	30806214
0.057	30806214
0.058	30806214
0.059	30806214
0.06	30806214
0.061	30806214
0.062	30806214
0.063	30806214
0.064	30806214
0.065	30806214
0.066	30806214
0.067	30806214
0.068	30806214
0.069	30806214
0.07	30806214
0.071	30806214
0.072	30806214
0.073	30806214
0.074	28679914
0.075	28679914
0.076	28679914
0.077	28679914
0.078	28679914
0.079	28679914
0.08	28679914
0.081	28679914
0.082	28679914
0.083	28679914
0.084	28679914
0.085	28679914
0.086	28679914
0.087	28679914
0.088	28679914
0.089	28679914
0.09	28679914
0.091	24012570
0.092	24012570
0.093	24012570
0.094	24012570
0.095	24012570
0.096	24012570
0.097	24012570
0.098	24012570
0.099	24012570
0.1	24012570
0.101	24012570
0.102	24012570
0.103	24012570
0.104	24012570
0.105	23806512
0.106	23806512
0.107	23806512
0.108	23806512
0.109	23806512
0.11	23806512
0.111	23806512
0.112	23806512
0.113	23806512
0.114	23806512
0.115	23806512
0.116	23806512
0.117	23806512
0.118	23806512
0.119	23806512
0.12	22323911
0.121	22323911
0.122	22323911
0.123	22323911
0.124	22323911
0.125	22323911
0.126	22323911
0.127	22323911
0.128	22323911
0.129	22323911
0.13	22323911
0.131	22323911
0.132	22323911
0.133	21976144
0.134	21976144
0.135	21976144
0.136	21976144
0.137	21976144
0.138	21976144
0.139	21976144
0.14	21976144
0.141	21976144
0.142	21976144
0.143	21976144
0.144	21976144
0.145	21976144
0.146	21564604
0.147	21564604
0.148	21564604
0.149	21564604
0.15	21564604
0.151	21564604
0.152	21564604
0.153	21564604
0.154	21564604
0.155	21564604
0.156	21564604
0.157	21564604
0.158	21564604
0.159	20172602
0.16	20172602
0.161	20172602
0.162	20172602
0.163	20172602
0.164	20172602
0.165	20172602
0.166	20172602
0.167	20172602
0.168	20172602
0.169	20172602
0.17	20172602
0.171	19489215
0.172	19489215
0.173	19489215
0.174	19489215
0.175	19489215
0.176	19489215
0.177	19489215
0.178	19489215
0.179	19489215
0.18	19489215
0.181	19489215
0.182	19489215
0.183	19286290
0.184	19286290
