fraction	Nx_length
0.001	471483
0.002	444416
0.003	410563
0.004	381360
0.005	362985
0.006	353431
0.007	343595
0.008	334256
0.009	329826
0.01	320883
0.011	313688
0.012	308077
0.013	306887
0.014	294388
0.015	289601
0.016	285628
0.017	279879
0.018	274002
0.019	272623
0.02	268926
0.021	265328
0.022	263322
0.023	261270
0.024	258148
0.025	256308
0.026	252579
0.027	250689
0.028	249141
0.029	246910
0.03	243893
0.031	241856
0.032	238342
0.033	236595
0.034	235505
0.035	233468
0.036	230809
0.037	229524
0.038	228965
0.039	227080
0.04	225368
0.041	223172
0.042	221000
0.043	219259
0.044	217195
0.045	215856
0.046	214358
0.047	211934
0.048	211065
0.049	209277
0.05	208425
0.051	206829
0.052	205514
0.053	204385
0.054	203878
0.055	203426
0.056	202727
0.057	201291
0.058	200320
0.059	199164
0.06	197778
0.061	197203
0.062	195692
0.063	193874
0.064	193375
0.065	191816
0.066	190419
0.067	189360
0.068	188503
0.069	187362
0.07	185225
0.071	184652
0.072	183706
0.073	182794
0.074	181711
0.075	180953
0.076	180042
0.077	178591
0.078	177503
0.079	176737
0.08	175959
0.081	175057
0.082	174516
0.083	173712
0.084	173413
0.085	172201
0.086	170805
0.087	170009
0.088	169448
0.089	168479
0.09	168049
0.091	167527
0.092	166859
0.093	165742
0.094	164890
0.095	164285
0.096	163700
0.097	162959
0.098	162493
0.099	161458
0.1	160388
0.101	159680
0.102	158712
0.103	158023
0.104	157223
0.105	156849
0.106	156483
0.107	155993
0.108	155466
0.109	154730
0.11	153885
0.111	153261
0.112	152713
0.113	152113
0.114	151670
0.115	150800
0.116	150298
0.117	149806
0.118	149201
0.119	148710
0.12	148385
0.121	147829
0.122	147078
0.123	146584
0.124	146300
0.125	145395
0.126	144852
0.127	144255
0.128	143754
0.129	143275
0.13	142758
0.131	142290
0.132	141768
0.133	141385
0.134	140884
0.135	140289
0.136	139749
0.137	139089
0.138	138742
0.139	138382
0.14	137921
0.141	137516
0.142	137104
0.143	136586
0.144	135803
0.145	135112
0.146	134337
0.147	134012
0.148	133342
0.149	132890
0.15	132520
0.151	132148
0.152	131632
0.153	130905
0.154	130387
0.155	129846
0.156	129546
0.157	129103
0.158	128753
0.159	128310
0.16	127700
0.161	127397
0.162	127053
0.163	126646
0.164	126121
0.165	125723
0.166	125339
0.167	125136
0.168	124810
0.169	124544
0.17	124214
0.171	123829
0.172	123520
0.173	122986
0.174	122577
0.175	122293
0.176	121862
0.177	121448
0.178	120954
0.179	120635
0.18	120227
0.181	119972
0.182	119453
0.183	118932
0.184	118702
0.185	118531
0.186	118279
0.187	117883
0.188	117486
0.189	117177
0.19	116851
0.191	116413
0.192	115970
0.193	115620
0.194	115289
0.195	115007
0.196	114457
0.197	114077
0.198	113650
0.199	113274
0.2	112982
0.201	112534
0.202	112294
0.203	112061
0.204	111746
0.205	111399
0.206	111072
0.207	110631
0.208	110167
0.209	109776
0.21	109398
0.211	108999
0.212	108538
0.213	108286
0.214	108000
0.215	107663
0.216	107332
0.217	107130
0.218	106852
0.219	106680
0.22	106399
0.221	106042
0.222	105847
0.223	105509
0.224	105183
0.225	104669
0.226	104376
0.227	104065
0.228	103683
0.229	103353
0.23	103073
0.231	102776
0.232	102306
0.233	102054
0.234	101775
0.235	101564
0.236	101367
0.237	101078
0.238	100775
