fraction	Nx_length
0.001	55112079
0.002	55112079
0.003	55112079
0.004	55112079
0.005	55112079
0.006	55112079
0.007	55112079
0.008	55112079
0.009	55112079
0.01	55112079
0.011	55112079
0.012	55112079
0.013	55112079
0.014	55112079
0.015	55112079
0.016	55112079
0.017	55112079
0.018	55112079
0.019	55112079
0.02	55112079
0.021	55112079
0.022	55112079
0.023	55112079
0.024	55112079
0.025	55112079
0.026	55112079
0.027	55112079
0.028	55112079
0.029	55112079
0.03	55112079
0.031	55112079
0.032	55112079
0.033	55112079
0.034	55112079
0.035	52943102
0.036	52943102
0.037	52943102
0.038	52943102
0.039	52943102
0.04	52943102
0.041	52943102
0.042	52943102
0.043	52943102
0.044	52943102
0.045	52943102
0.046	52943102
0.047	52943102
0.048	52943102
0.049	52943102
0.05	52943102
0.051	52943102
0.052	52943102
0.053	52943102
0.054	52943102
0.055	52943102
0.056	52943102
0.057	52943102
0.058	52943102
0.059	52943102
0.06	52943102
0.061	52943102
0.062	52943102
0.063	52943102
0.064	52943102
0.065	52943102
0.066	52943102
0.067	52943102
0.068	43900931
0.069	43900931
0.07	43900931
0.071	43900931
0.072	43900931
0.073	43900931
0.074	43900931
0.075	43900931
0.076	43900931
0.077	43900931
0.078	43900931
0.079	43900931
0.08	43900931
0.081	43900931
0.082	43900931
0.083	43900931
0.084	43900931
0.085	43900931
0.086	43900931
0.087	43900931
0.088	43900931
0.089	43900931
0.09	43900931
0.091	43900931
0.092	43900931
0.093	43900931
0.094	43900931
0.095	43900931
0.096	43082357
0.097	43082357
0.098	43082357
0.099	43082357
0.1	43082357
0.101	43082357
0.102	43082357
0.103	43082357
0.104	43082357
0.105	43082357
0.106	43082357
0.107	43082357
0.108	43082357
0.109	43082357
0.11	43082357
0.111	43082357
0.112	43082357
0.113	43082357
0.114	43082357
0.115	43082357
0.116	43082357
0.117	43082357
0.118	43082357
0.119	43082357
0.12	43082357
0.121	43082357
0.122	43082357
0.123	42455757
0.124	42455757
0.125	42455757
0.126	42455757
0.127	42455757
0.128	42455757
0.129	42455757
0.13	42455757
0.131	42455757
0.132	42455757
0.133	42455757
0.134	42455757
0.135	42455757
0.136	42455757
0.137	42455757
0.138	42455757
0.139	42455757
0.14	42455757
0.141	42455757
0.142	42455757
0.143	42455757
0.144	42455757
0.145	42455757
0.146	42455757
0.147	42455757
0.148	42455757
0.149	42455757
0.15	36356418
0.151	36356418
0.152	36356418
0.153	36356418
0.154	36356418
0.155	36356418
0.156	36356418
0.157	36356418
0.158	36356418
0.159	36356418
0.16	36356418
0.161	36356418
0.162	36356418
0.163	36356418
0.164	36356418
0.165	36356418
0.166	36356418
0.167	36356418
0.168	36356418
0.169	36356418
0.17	36356418
0.171	36356418
0.172	36356418
0.173	34020476
0.174	34020476
0.175	34020476
0.176	34020476
0.177	34020476
0.178	34020476
0.179	34020476
0.18	34020476
0.181	34020476
0.182	34020476
0.183	34020476
0.184	34020476
0.185	34020476
0.186	34020476
0.187	34020476
