fraction	Nx_length
0.001	5513039
0.002	5513039
0.003	5234638
0.004	5234638
0.005	5234638
0.006	4676263
0.007	4676263
0.008	4676263
0.009	4603246
0.01	4603246
0.011	4382095
0.012	4382095
0.013	4134292
0.014	4134292
0.015	3886520
0.016	3886520
0.017	3615560
0.018	3615560
0.019	3599034
0.02	3599034
0.021	3528674
0.022	3528674
0.023	3522062
0.024	3522062
0.025	3316560
0.026	3316560
0.027	3252740
0.028	3246829
0.029	3246829
0.03	3239359
0.031	3239359
0.032	3124508
0.033	3094639
0.034	3094639
0.035	3051712
0.036	3051712
0.037	3049483
0.038	3025979
0.039	3025979
0.04	2972186
0.041	2971607
0.042	2971607
0.043	2871412
0.044	2811233
0.045	2811233
0.046	2725076
0.047	2699437
0.048	2699437
0.049	2663780
0.05	2641899
0.051	2624723
0.052	2624723
0.053	2616899
0.054	2567383
0.055	2567383
0.056	2561208
0.057	2525305
0.058	2520723
0.059	2520723
0.06	2456132
0.061	2448304
0.062	2420159
0.063	2414315
0.064	2414315
0.065	2369435
0.066	2368074
0.067	2358133
0.068	2356362
0.069	2356362
0.07	2355373
0.071	2337440
0.072	2331485
0.073	2311523
0.074	2308062
0.075	2308062
0.076	2276177
0.077	2225329
0.078	2224621
0.079	2217020
0.08	2209551
0.081	2209551
0.082	2207437
0.083	2198424
0.084	2197481
0.085	2184833
0.086	2179025
0.087	2160457
0.088	2158974
0.089	2158974
0.09	2157950
0.091	2153477
0.092	2140026
0.093	2139835
0.094	2135498
0.095	2131179
0.096	2124315
0.097	2119237
0.098	2114097
0.099	2114097
0.1	2111844
0.101	2103476
0.102	2076010
0.103	2064036
0.104	2056684
0.105	2054729
0.106	2040625
0.107	2028411
0.108	2024930
0.109	2021957
0.11	2000193
0.111	1997860
0.112	1986748
0.113	1981102
0.114	1981102
0.115	1968529
0.116	1964422
0.117	1963442
0.118	1960239
0.119	1946283
0.12	1940778
0.121	1937694
0.122	1936090
0.123	1932111
0.124	1930144
0.125	1923524
0.126	1915433
0.127	1906458
0.128	1894494
0.129	1883295
0.13	1880569
0.131	1879979
0.132	1872492
0.133	1870826
0.134	1853366
0.135	1853000
0.136	1852543
0.137	1839661
0.138	1832383
0.139	1831047
0.14	1821506
0.141	1818924
0.142	1809273
0.143	1802112
0.144	1801631
0.145	1797169
0.146	1773114
0.147	1768365
0.148	1766392
0.149	1761352
0.15	1760255
0.151	1753296
0.152	1733263
0.153	1718327
0.154	1711026
0.155	1704026
0.156	1694597
0.157	1687759
0.158	1687109
0.159	1685785
0.16	1681134
0.161	1678304
0.162	1672525
0.163	1670664
0.164	1670045
0.165	1662971
0.166	1662499
0.167	1646208
0.168	1642232
0.169	1631856
0.17	1628858
0.171	1613704
0.172	1613480
0.173	1612444
0.174	1610285
0.175	1584605
0.176	1581181
0.177	1572860
0.178	1566361
0.179	1564548
0.18	1562862
0.181	1556984
0.182	1556575
0.183	1554769
0.184	1551350
0.185	1540032
0.186	1538417
0.187	1534563
0.188	1529961
0.189	1529459
0.19	1525113
0.191	1515699
0.192	1509947
0.193	1499192
0.194	1496430
0.195	1494378
0.196	1492829
0.197	1485337
0.198	1481934
0.199	1473473
0.2	1468964
0.201	1467858
0.202	1462896
0.203	1460133
0.204	1458032
0.205	1451864
0.206	1447705
0.207	1447310
0.208	1439493
0.209	1438760
0.21	1437221
0.211	1430390
0.212	1428415
0.213	1412157
0.214	1410069
0.215	1406282
0.216	1406212
0.217	1404040
0.218	1399690
0.219	1398754
0.22	1394480
0.221	1392260
0.222	1390898
0.223	1385803
0.224	1385726
0.225	1382605
0.226	1381481
0.227	1376680
0.228	1376530
0.229	1369942
0.23	1367407
0.231	1367041
0.232	1357053
0.233	1356365
0.234	1356086
0.235	1350665
0.236	1350450
0.237	1344173
0.238	1343532
0.239	1341672
0.24	1337152
0.241	1336969
0.242	1331819
0.243	1326974
0.244	1326341
0.245	1321945
0.246	1321381
0.247	1310426
0.248	1310136
0.249	1307043
0.25	1300449
0.251	1290983
0.252	1285670
0.253	1279946
0.254	1277187
0.255	1276729
0.256	1275214
0.257	1273285
0.258	1272709
0.259	1266496
0.26	1265119
0.261	1261024
0.262	1259675
0.263	1256623
0.264	1255783
0.265	1249819
0.266	1249814
0.267	1246444
0.268	1245876
0.269	1245471
0.27	1241221
0.271	1238701
0.272	1237181
0.273	1236644
0.274	1232529
0.275	1231639
0.276	1227237
0.277	1225712
0.278	1222355
0.279	1219057
0.28	1214807
0.281	1212766
0.282	1210918
0.283	1208207
0.284	1206461
0.285	1203290
0.286	1201974
0.287	1200793
0.288	1198851
0.289	1196284
0.29	1193670
0.291	1190037
0.292	1189716
0.293	1187336
0.294	1186968
0.295	1180501
0.296	1177496
0.297	1176002
0.298	1173058
0.299	1171005
0.3	1169625
0.301	1165937
0.302	1165441
0.303	1160845
0.304	1158017
0.305	1156732
0.306	1151870
0.307	1151199
0.308	1150698
0.309	1144057
0.31	1141804
0.311	1140722
0.312	1137998
0.313	1134600
0.314	1133826
0.315	1130880
0.316	1127276
0.317	1123925
0.318	1121624
0.319	1119296
0.32	1118347
