fraction	Nx_length
0.001	135807177
0.002	135807177
0.003	135807177
0.004	135807177
0.005	135807177
0.006	135807177
0.007	135807177
0.008	135807177
0.009	135807177
0.01	135807177
0.011	135807177
0.012	135807177
0.013	135807177
0.014	135807177
0.015	135807177
0.016	135807177
0.017	135807177
0.018	135807177
0.019	135807177
0.02	135807177
0.021	135807177
0.022	135807177
0.023	135807177
0.024	135807177
0.025	135807177
0.026	135807177
0.027	135807177
0.028	135807177
0.029	135807177
0.03	135807177
0.031	135807177
0.032	135807177
0.033	135807177
0.034	135807177
0.035	135807177
0.036	135807177
0.037	135807177
0.038	135807177
0.039	135807177
0.04	135807177
0.041	135807177
0.042	135807177
0.043	135807177
0.044	135807177
0.045	135807177
0.046	135807177
0.047	135807177
0.048	135807177
0.049	135807177
0.05	135807177
0.051	135807177
0.052	135807177
0.053	135807177
0.054	135807177
0.055	135807177
0.056	135807177
0.057	135807177
0.058	135807177
0.059	135807177
0.06	135807177
0.061	135807177
0.062	135807177
0.063	135807177
0.064	135807177
0.065	135807177
0.066	135807177
0.067	135807177
0.068	135807177
0.069	135807177
0.07	135807177
0.071	135807177
0.072	135807177
0.073	135807177
0.074	135807177
0.075	135807177
0.076	135807177
0.077	135807177
0.078	96645428
0.079	96645428
0.08	96645428
0.081	96645428
0.082	96645428
0.083	96645428
0.084	96645428
0.085	96645428
0.086	96645428
0.087	96645428
0.088	96645428
0.089	96645428
0.09	96645428
0.091	96645428
0.092	96645428
0.093	96645428
0.094	96645428
0.095	96645428
0.096	96645428
0.097	96645428
0.098	96645428
0.099	96645428
0.1	96645428
0.101	96645428
0.102	96645428
0.103	96645428
0.104	96645428
0.105	96645428
0.106	96645428
0.107	96645428
0.108	96645428
0.109	96645428
0.11	96645428
0.111	96645428
0.112	96645428
0.113	96645428
0.114	96645428
0.115	96645428
0.116	96645428
0.117	96645428
0.118	96645428
0.119	96645428
0.12	96645428
0.121	96645428
0.122	96645428
0.123	96645428
0.124	96645428
0.125	96645428
0.126	96645428
0.127	96645428
0.128	96645428
0.129	96645428
0.13	96645428
0.131	96645428
0.132	96645428
0.133	93759773
0.134	93759773
0.135	93759773
0.136	93759773
0.137	93759773
0.138	93759773
0.139	93759773
0.14	93759773
0.141	93759773
0.142	93759773
0.143	93759773
0.144	93759773
0.145	93759773
0.146	93759773
0.147	93759773
0.148	93759773
0.149	93759773
0.15	93759773
0.151	93759773
0.152	93759773
0.153	93759773
0.154	93759773
0.155	93759773
0.156	93759773
0.157	93759773
0.158	93759773
0.159	93759773
0.16	93759773
0.161	93759773
0.162	93759773
0.163	93759773
0.164	93759773
0.165	93759773
0.166	93759773
0.167	93759773
0.168	93759773
0.169	93759773
0.17	93759773
0.171	93759773
0.172	93759773
0.173	93759773
0.174	93759773
0.175	93759773
0.176	93759773
0.177	93759773
0.178	93759773
0.179	93759773
0.18	93759773
0.181	93759773
0.182	93759773
0.183	93759773
0.184	93759773
0.185	93759773
0.186	93759773
0.187	83000573
0.188	83000573
0.189	83000573
0.19	83000573
0.191	83000573
0.192	83000573
0.193	83000573
0.194	83000573
0.195	83000573
0.196	83000573
0.197	83000573
0.198	83000573
0.199	83000573
0.2	83000573
0.201	83000573
0.202	83000573
0.203	83000573
0.204	83000573
0.205	83000573
0.206	83000573
0.207	83000573
0.208	83000573
0.209	83000573
0.21	83000573
0.211	83000573
0.212	83000573
0.213	83000573
0.214	83000573
0.215	83000573
0.216	83000573
0.217	83000573
0.218	83000573
0.219	83000573
0.22	83000573
0.221	83000573
0.222	83000573
0.223	83000573
0.224	83000573
0.225	83000573
0.226	83000573
0.227	83000573
0.228	83000573
0.229	83000573
0.23	83000573
0.231	83000573
0.232	83000573
0.233	83000573
0.234	71401527
0.235	71401527
0.236	71401527
0.237	71401527
0.238	71401527
0.239	71401527
0.24	71401527
0.241	71401527
0.242	71401527
0.243	71401527
0.244	71401527
0.245	71401527
0.246	71401527
0.247	71401527
0.248	71401527
0.249	71401527
0.25	71401527
0.251	71401527
0.252	71401527
0.253	71401527
0.254	71401527
0.255	71401527
0.256	71401527
0.257	71401527
0.258	71401527
0.259	71401527
0.26	71401527
0.261	71401527
0.262	71401527
0.263	71401527
0.264	71401527
0.265	71401527
0.266	71401527
0.267	71401527
0.268	71401527
0.269	71401527
0.27	71401527
0.271	71401527
0.272	71401527
0.273	71401527
0.274	71401527
0.275	69560862
0.276	69560862
0.277	69560862
0.278	69560862
0.279	69560862
0.28	69560862
0.281	69560862
0.282	69560862
0.283	69560862
0.284	69560862
0.285	69560862
0.286	69560862
0.287	69560862
0.288	69560862
0.289	69560862
0.29	69560862
0.291	69560862
0.292	69560862
0.293	69560862
0.294	69560862
0.295	69560862
0.296	69560862
0.297	69560862
0.298	69560862
0.299	69560862
0.3	69560862
0.301	69560862
0.302	69560862
0.303	69560862
0.304	69560862
0.305	69560862
0.306	69560862
0.307	69560862
0.308	69560862
0.309	69560862
0.31	69560862
0.311	69560862
0.312	69560862
0.313	69560862
0.314	66651365
0.315	66651365
0.316	66651365
0.317	66651365
0.318	66651365
0.319	66651365
0.32	66651365
0.321	66651365
0.322	66651365
0.323	66651365
0.324	66651365
0.325	66651365
0.326	66651365
0.327	66651365
0.328	66651365
0.329	66651365
0.33	66651365
0.331	66651365
0.332	66651365
0.333	66651365
0.334	66651365
0.335	66651365
0.336	66651365
0.337	66651365
0.338	66651365
0.339	66651365
0.34	66651365
0.341	66651365
0.342	66651365
0.343	66651365
0.344	66651365
0.345	66651365
0.346	66651365
0.347	66651365
0.348	66651365
0.349	66651365
0.35	66651365
0.351	66651365
0.352	66651365
0.353	54734835
0.354	54734835
0.355	54734835
0.356	54734835
0.357	54734835
0.358	54734835
0.359	54734835
0.36	54734835
0.361	54734835
0.362	54734835
0.363	54734835
0.364	54734835
0.365	54734835
0.366	54734835
0.367	54734835
0.368	54734835
0.369	54734835
0.37	54734835
0.371	54734835
0.372	54734835
0.373	54734835
0.374	54734835
0.375	54734835
0.376	54734835
0.377	54734835
0.378	54734835
0.379	54734835
0.38	54734835
0.381	54734835
0.382	54734835
0.383	54734835
0.384	52732799
0.385	52732799
0.386	52732799
0.387	52732799
0.388	52732799
0.389	52732799
0.39	52732799
0.391	52732799
0.392	52732799
0.393	52732799
0.394	52732799
0.395	52732799
0.396	52732799
0.397	52732799
0.398	52732799
0.399	52732799
0.4	52732799
0.401	52732799
0.402	52732799
0.403	52732799
0.404	52732799
0.405	52732799
0.406	52732799
0.407	52732799
0.408	52732799
0.409	52732799
0.41	52732799
0.411	52732799
0.412	52732799
0.413	52732799
0.414	43631782
0.415	43631782
0.416	43631782
0.417	43631782
0.418	43631782
0.419	43631782
0.42	43631782
0.421	43631782
0.422	43631782
0.423	43631782
0.424	43631782
0.425	43631782
0.426	43631782
0.427	43631782
0.428	43631782
0.429	43631782
0.43	43631782
0.431	43631782
0.432	43631782
0.433	43631782
0.434	43631782
0.435	43631782
0.436	43631782
0.437	43631782
0.438	43631782
0.439	40237341
0.44	40237341
0.441	40237341
0.442	40237341
0.443	40237341
0.444	40237341
0.445	40237341
0.446	40237341
0.447	40237341
0.448	40237341
0.449	40237341
0.45	40237341
0.451	40237341
0.452	40237341
0.453	40237341
0.454	40237341
0.455	40237341
0.456	40237341
0.457	40237341
0.458	40237341
0.459	40237341
0.46	40237341
0.461	40237341
0.462	36523422
0.463	36523422
0.464	36523422
0.465	36523422
0.466	36523422
0.467	36523422
0.468	36523422
0.469	36523422
0.47	36523422
0.471	36523422
0.472	36523422
0.473	36523422
0.474	36523422
0.475	36523422
0.476	36523422
0.477	36523422
0.478	36523422
0.479	36523422
0.48	36523422
0.481	36523422
0.482	36523422
0.483	32743049
0.484	32743049
0.485	32743049
0.486	32743049
0.487	32743049
0.488	32743049
0.489	32743049
0.49	32743049
0.491	32743049
0.492	32743049
0.493	32743049
0.494	32743049
0.495	32743049
0.496	32743049
0.497	32743049
0.498	32743049
0.499	32743049
0.5	32743049
0.501	32613785
0.502	32613785
0.503	32613785
0.504	32613785
0.505	32613785
0.506	32613785
0.507	32613785
0.508	32613785
0.509	32613785
0.51	32613785
0.511	32613785
0.512	32613785
0.513	32613785
0.514	32613785
0.515	32613785
0.516	32613785
0.517	32613785
0.518	32613785
0.519	32613785
0.52	31989818
0.521	31989818
0.522	31989818
0.523	31989818
0.524	31989818
0.525	31989818
0.526	31989818
0.527	31989818
0.528	31989818
0.529	31989818
0.53	31989818
0.531	31989818
0.532	31989818
0.533	31989818
0.534	31989818
0.535	31989818
0.536	31989818
0.537	31989818
0.538	31450474
0.539	31450474
0.54	31450474
0.541	31450474
0.542	31450474
0.543	31450474
0.544	31450474
0.545	31450474
0.546	31450474
0.547	31450474
0.548	31450474
0.549	31450474
0.55	31450474
0.551	31450474
0.552	31450474
0.553	31450474
0.554	31450474
0.555	31450474
0.556	30635706
0.557	30635706
0.558	30635706
0.559	30635706
0.56	30635706
0.561	30635706
0.562	30635706
0.563	30635706
0.564	30635706
0.565	30635706
0.566	30635706
0.567	30635706
0.568	30635706
0.569	30635706
0.57	30635706
0.571	30635706
0.572	30635706
