fraction	Nx_length
0.001	163972450
0.002	163972450
0.003	163972450
0.004	163972450
0.005	163972450
0.006	163972450
0.007	163972450
0.008	163972450
0.009	163972450
0.01	163972450
0.011	163972450
0.012	163972450
0.013	163972450
0.014	163972450
0.015	163972450
0.016	163972450
0.017	163972450
0.018	163972450
0.019	163972450
0.02	163972450
0.021	163972450
0.022	163972450
0.023	163972450
0.024	163972450
0.025	163972450
0.026	163972450
0.027	163972450
0.028	163972450
0.029	163972450
0.03	163972450
0.031	163972450
0.032	163972450
0.033	163972450
0.034	163972450
0.035	163972450
0.036	163972450
0.037	163972450
0.038	163972450
0.039	163972450
0.04	163972450
0.041	163972450
0.042	163972450
0.043	163972450
0.044	163972450
0.045	163972450
0.046	163972450
0.047	163972450
0.048	163972450
0.049	163972450
0.05	163972450
0.051	163972450
0.052	163972450
0.053	163972450
0.054	163972450
0.055	163972450
0.056	163972450
0.057	163972450
0.058	163972450
0.059	163972450
0.06	163972450
0.061	163972450
0.062	163972450
0.063	163972450
0.064	163972450
0.065	163972450
0.066	163972450
0.067	163972450
0.068	163972450
0.069	163972450
0.07	163972450
0.071	163972450
0.072	163972450
0.073	163972450
0.074	163972450
0.075	163972450
0.076	163972450
0.077	163972450
0.078	163972450
0.079	163972450
0.08	163972450
0.081	163972450
0.082	163972450
0.083	163972450
0.084	163972450
0.085	163972450
0.086	163972450
0.087	163972450
0.088	163972450
0.089	163972450
0.09	163972450
0.091	103638001
0.092	103638001
0.093	103638001
0.094	103638001
0.095	103638001
0.096	103638001
0.097	103638001
0.098	103638001
0.099	103638001
0.1	103638001
0.101	103638001
0.102	103638001
0.103	103638001
0.104	103638001
0.105	103638001
0.106	103638001
0.107	103638001
0.108	103638001
0.109	103638001
0.11	103638001
0.111	103638001
0.112	103638001
0.113	103638001
0.114	103638001
0.115	103638001
0.116	103638001
0.117	103638001
0.118	103638001
0.119	103638001
0.12	103638001
0.121	103638001
0.122	103638001
0.123	103638001
0.124	103638001
0.125	103638001
0.126	103638001
0.127	103638001
0.128	103638001
0.129	103638001
0.13	103638001
0.131	103638001
0.132	103638001
0.133	103638001
0.134	103638001
0.135	103638001
0.136	103638001
0.137	103638001
0.138	103638001
0.139	103638001
0.14	103638001
0.141	103638001
0.142	103638001
0.143	103638001
0.144	103638001
0.145	103638001
0.146	103638001
0.147	103638001
0.148	103638001
0.149	96403811
0.15	96403811
0.151	96403811
0.152	96403811
0.153	96403811
0.154	96403811
0.155	96403811
0.156	96403811
0.157	96403811
0.158	96403811
0.159	96403811
0.16	96403811
0.161	96403811
0.162	96403811
0.163	96403811
0.164	96403811
0.165	96403811
0.166	96403811
0.167	96403811
0.168	96403811
0.169	96403811
0.17	96403811
0.171	96403811
0.172	96403811
0.173	96403811
0.174	96403811
0.175	96403811
0.176	96403811
0.177	96403811
0.178	96403811
0.179	96403811
0.18	96403811
0.181	96403811
0.182	96403811
0.183	96403811
0.184	96403811
0.185	96403811
0.186	96403811
0.187	96403811
0.188	96403811
0.189	96403811
0.19	96403811
0.191	96403811
0.192	96403811
0.193	96403811
0.194	96403811
0.195	96403811
0.196	96403811
0.197	96403811
0.198	96403811
0.199	96403811
0.2	96403811
0.201	96403811
0.202	92389851
0.203	92389851
0.204	92389851
0.205	92389851
0.206	92389851
0.207	92389851
0.208	92389851
0.209	92389851
0.21	92389851
0.211	92389851
0.212	92389851
0.213	92389851
0.214	92389851
0.215	92389851
0.216	92389851
0.217	92389851
0.218	92389851
0.219	92389851
0.22	92389851
0.221	92389851
0.222	92389851
0.223	92389851
0.224	92389851
0.225	92389851
0.226	92389851
0.227	92389851
0.228	92389851
0.229	92389851
0.23	92389851
0.231	92389851
0.232	92389851
0.233	92389851
0.234	92389851
0.235	92389851
0.236	92389851
0.237	92389851
0.238	92389851
0.239	92389851
0.24	92389851
0.241	92389851
0.242	92389851
0.243	92389851
0.244	92389851
0.245	92389851
0.246	92389851
0.247	92389851
0.248	92389851
0.249	92389851
0.25	92389851
0.251	92389851
0.252	92389851
0.253	87859724
0.254	87859724
0.255	87859724
0.256	87859724
0.257	87859724
0.258	87859724
0.259	87859724
0.26	87859724
0.261	87859724
0.262	87859724
0.263	87859724
0.264	87859724
0.265	87859724
0.266	87859724
0.267	87859724
0.268	87859724
0.269	87859724
0.27	87859724
0.271	87859724
0.272	87859724
0.273	87859724
0.274	87859724
0.275	87859724
0.276	87859724
0.277	87859724
0.278	87859724
0.279	87859724
0.28	87859724
0.281	87859724
0.282	87859724
0.283	87859724
0.284	87859724
0.285	87859724
0.286	87859724
0.287	87859724
0.288	87859724
0.289	87859724
0.29	87859724
0.291	87859724
0.292	87859724
0.293	87859724
0.294	87859724
0.295	87859724
0.296	87859724
0.297	87859724
0.298	87859724
0.299	87859724
0.3	87859724
0.301	87859724
0.302	84229702
0.303	84229702
0.304	84229702
0.305	84229702
0.306	84229702
0.307	84229702
0.308	84229702
0.309	84229702
0.31	84229702
0.311	84229702
0.312	84229702
0.313	84229702
0.314	84229702
0.315	84229702
0.316	84229702
0.317	84229702
0.318	84229702
0.319	84229702
0.32	84229702
0.321	84229702
0.322	84229702
0.323	84229702
0.324	84229702
0.325	84229702
0.326	84229702
0.327	84229702
0.328	84229702
0.329	84229702
0.33	84229702
0.331	84229702
0.332	84229702
0.333	84229702
0.334	84229702
0.335	84229702
0.336	84229702
0.337	84229702
0.338	84229702
0.339	84229702
0.34	84229702
0.341	84229702
0.342	84229702
0.343	84229702
0.344	84229702
0.345	84229702
0.346	84229702
0.347	84229702
0.348	84153074
0.349	84153074
0.35	84153074
0.351	84153074
0.352	84153074
0.353	84153074
0.354	84153074
0.355	84153074
0.356	84153074
0.357	84153074
0.358	84153074
0.359	84153074
0.36	84153074
0.361	84153074
0.362	84153074
0.363	84153074
0.364	84153074
0.365	84153074
0.366	84153074
0.367	84153074
0.368	84153074
0.369	84153074
0.37	84153074
0.371	84153074
0.372	84153074
0.373	84153074
0.374	84153074
0.375	84153074
0.376	84153074
0.377	84153074
0.378	84153074
0.379	84153074
0.38	84153074
0.381	84153074
0.382	84153074
0.383	84153074
0.384	84153074
0.385	84153074
0.386	84153074
0.387	84153074
0.388	84153074
0.389	84153074
0.39	84153074
0.391	84153074
0.392	84153074
0.393	84153074
0.394	84153074
0.395	61903722
0.396	61903722
0.397	61903722
0.398	61903722
0.399	61903722
0.4	61903722
0.401	61903722
0.402	61903722
0.403	61903722
0.404	61903722
0.405	61903722
0.406	61903722
0.407	61903722
0.408	61903722
0.409	61903722
0.41	61903722
0.411	61903722
0.412	61903722
0.413	61903722
0.414	61903722
0.415	61903722
0.416	61903722
0.417	61903722
0.418	61903722
0.419	61903722
0.42	61903722
0.421	61903722
0.422	61903722
0.423	61903722
0.424	61903722
0.425	61903722
0.426	61903722
0.427	61903722
0.428	61903722
0.429	60518096
0.43	60518096
0.431	60518096
0.432	60518096
0.433	60518096
0.434	60518096
0.435	60518096
0.436	60518096
0.437	60518096
0.438	60518096
0.439	60518096
0.44	60518096
0.441	60518096
0.442	60518096
0.443	60518096
0.444	60518096
0.445	60518096
0.446	60518096
0.447	60518096
0.448	60518096
0.449	60518096
0.45	60518096
0.451	60518096
0.452	60518096
0.453	60518096
0.454	60518096
0.455	60518096
0.456	60518096
0.457	60518096
0.458	60518096
0.459	60518096
0.46	60518096
0.461	60518096
0.462	60518096
0.463	55959941
0.464	55959941
0.465	55959941
0.466	55959941
0.467	55959941
0.468	55959941
0.469	55959941
0.47	55959941
0.471	55959941
0.472	55959941
0.473	55959941
0.474	55959941
0.475	55959941
0.476	55959941
0.477	55959941
0.478	55959941
0.479	55959941
0.48	55959941
0.481	55959941
0.482	55959941
0.483	55959941
0.484	55959941
0.485	55959941
0.486	55959941
0.487	55959941
0.488	55959941
0.489	55959941
0.49	55959941
0.491	55959941
0.492	55959941
0.493	55959941
0.494	54718507
0.495	54718507
0.496	54718507
0.497	54718507
0.498	54718507
0.499	54718507
0.5	54718507
0.501	54718507
0.502	54718507
0.503	54718507
0.504	54718507
0.505	54718507
0.506	54718507
0.507	54718507
0.508	54718507
0.509	54718507
0.51	54718507
0.511	54718507
0.512	54718507
0.513	54718507
0.514	54718507
0.515	54718507
0.516	54718507
0.517	54718507
0.518	54718507
0.519	54718507
0.52	54718507
0.521	54718507
