fraction	Nx_length
0.001	368519627
0.002	368519627
0.003	368519627
0.004	368519627
0.005	368519627
0.006	368519627
0.007	368519627
0.008	368519627
0.009	368519627
0.01	368519627
0.011	368519627
0.012	368519627
0.013	368519627
0.014	368519627
0.015	368519627
0.016	368519627
0.017	368519627
0.018	368519627
0.019	368519627
0.02	368519627
0.021	368519627
0.022	368519627
0.023	368519627
0.024	368519627
0.025	368519627
0.026	368519627
0.027	368519627
0.028	368519627
0.029	368519627
0.03	368519627
0.031	368519627
0.032	368519627
0.033	368519627
0.034	368519627
0.035	368519627
0.036	368519627
0.037	368519627
0.038	368519627
0.039	368519627
0.04	368519627
0.041	368519627
0.042	368519627
0.043	368519627
0.044	368519627
0.045	368519627
0.046	368519627
0.047	368519627
0.048	368519627
0.049	368519627
0.05	368519627
0.051	368519627
0.052	368519627
0.053	368519627
0.054	368519627
0.055	368519627
0.056	368519627
0.057	368519627
0.058	368519627
0.059	368519627
0.06	368519627
0.061	368519627
0.062	368519627
0.063	368519627
0.064	368519627
0.065	368519627
0.066	368519627
0.067	368519627
0.068	368519627
0.069	368519627
0.07	368519627
0.071	368519627
0.072	368519627
0.073	368519627
0.074	368519627
0.075	368519627
0.076	368519627
0.077	368519627
0.078	368519627
0.079	368519627
0.08	368519627
0.081	368519627
0.082	368519627
0.083	368519627
0.084	368519627
0.085	368519627
0.086	368519627
0.087	368519627
0.088	368519627
0.089	368519627
0.09	368519627
0.091	368519627
0.092	368519627
0.093	368519627
0.094	368519627
0.095	368519627
0.096	368519627
0.097	368519627
0.098	368519627
0.099	368519627
0.1	368519627
0.101	368519627
0.102	368519627
0.103	368519627
0.104	368519627
0.105	368519627
0.106	368519627
0.107	368519627
0.108	368519627
0.109	368519627
0.11	368519627
0.111	368519627
0.112	368519627
0.113	368519627
0.114	368519627
0.115	368519627
0.116	368519627
0.117	368519627
0.118	368519627
0.119	368519627
0.12	368519627
0.121	368519627
0.122	368519627
0.123	368519627
0.124	368519627
0.125	368519627
0.126	368519627
0.127	368519627
0.128	368519627
0.129	368519627
0.13	368519627
0.131	368519627
0.132	368519627
0.133	368519627
0.134	368519627
0.135	368519627
0.136	368519627
0.137	368519627
0.138	368519627
0.139	368519627
0.14	368519627
0.141	368519627
0.142	368519627
0.143	368519627
0.144	368519627
0.145	368519627
0.146	368519627
0.147	368519627
0.148	368519627
0.149	368519627
0.15	368519627
0.151	368519627
0.152	368519627
0.153	368519627
0.154	368519627
0.155	368519627
0.156	368519627
0.157	368519627
0.158	368519627
0.159	368519627
0.16	368519627
0.161	368519627
0.162	368519627
0.163	368519627
0.164	368519627
0.165	368519627
0.166	368519627
0.167	368519627
0.168	368519627
0.169	368519627
0.17	368519627
0.171	368519627
0.172	368519627
0.173	368519627
0.174	368519627
0.175	368519627
0.176	368519627
0.177	368519627
0.178	368519627
0.179	368519627
0.18	368519627
0.181	368519627
0.182	368519627
0.183	368519627
0.184	368519627
0.185	368519627
0.186	368519627
0.187	368519627
0.188	368519627
0.189	368519627
0.19	368519627
0.191	368519627
0.192	368519627
0.193	368519627
0.194	368519627
0.195	368519627
0.196	368519627
0.197	368519627
0.198	368519627
0.199	368519627
0.2	368519627
0.201	368519627
0.202	368519627
0.203	368519627
0.204	303450727
0.205	303450727
0.206	303450727
0.207	303450727
0.208	303450727
0.209	303450727
0.21	303450727
0.211	303450727
0.212	303450727
0.213	303450727
0.214	303450727
0.215	303450727
0.216	303450727
0.217	303450727
0.218	303450727
0.219	303450727
0.22	303450727
0.221	303450727
0.222	303450727
0.223	303450727
0.224	303450727
0.225	303450727
0.226	303450727
0.227	303450727
0.228	303450727
0.229	303450727
0.23	303450727
0.231	303450727
0.232	303450727
0.233	303450727
0.234	303450727
0.235	303450727
0.236	303450727
0.237	303450727
0.238	303450727
0.239	303450727
0.24	303450727
0.241	303450727
0.242	303450727
0.243	303450727
0.244	303450727
0.245	303450727
0.246	303450727
0.247	303450727
0.248	303450727
0.249	303450727
0.25	303450727
0.251	303450727
0.252	303450727
0.253	303450727
0.254	303450727
0.255	303450727
0.256	303450727
0.257	303450727
0.258	303450727
0.259	303450727
0.26	303450727
0.261	303450727
0.262	303450727
0.263	303450727
0.264	303450727
0.265	303450727
0.266	303450727
0.267	303450727
0.268	303450727
0.269	303450727
0.27	303450727
0.271	303450727
0.272	303450727
0.273	303450727
0.274	303450727
0.275	303450727
0.276	303450727
0.277	303450727
0.278	303450727
0.279	303450727
0.28	303450727
0.281	303450727
0.282	303450727
0.283	303450727
0.284	303450727
0.285	303450727
0.286	303450727
0.287	303450727
0.288	303450727
0.289	303450727
0.29	303450727
0.291	303450727
0.292	303450727
0.293	303450727
0.294	303450727
0.295	303450727
0.296	303450727
0.297	303450727
0.298	303450727
0.299	303450727
0.3	303450727
0.301	303450727
0.302	303450727
0.303	303450727
0.304	303450727
0.305	303450727
0.306	303450727
0.307	303450727
0.308	303450727
0.309	303450727
0.31	303450727
0.311	303450727
0.312	303450727
0.313	303450727
0.314	303450727
0.315	303450727
0.316	303450727
0.317	303450727
0.318	303450727
0.319	303450727
0.32	303450727
0.321	303450727
0.322	303450727
0.323	303450727
0.324	303450727
0.325	303450727
0.326	303450727
0.327	303450727
0.328	303450727
0.329	303450727
0.33	303450727
0.331	303450727
0.332	303450727
0.333	303450727
0.334	303450727
0.335	303450727
0.336	303450727
0.337	303450727
0.338	303450727
0.339	303450727
0.34	303450727
0.341	303450727
0.342	303450727
0.343	303450727
0.344	303450727
0.345	303450727
0.346	303450727
0.347	303450727
0.348	303450727
0.349	303450727
0.35	303450727
0.351	303450727
0.352	303450727
0.353	303450727
0.354	303450727
0.355	303450727
0.356	303450727
0.357	303450727
0.358	303450727
0.359	303450727
0.36	303450727
0.361	303450727
0.362	303450727
0.363	303450727
0.364	303450727
0.365	303450727
