fraction	Nx_length
0.001	115894616
0.002	115894616
0.003	115894616
0.004	115894616
0.005	115894616
0.006	115894616
0.007	115894616
0.008	115894616
0.009	115894616
0.01	115894616
0.011	115894616
0.012	115894616
0.013	115894616
0.014	115894616
0.015	115894616
0.016	115894616
0.017	115894616
0.018	115894616
0.019	115894616
0.02	115894616
0.021	115894616
0.022	115894616
0.023	115894616
0.024	115894616
0.025	115894616
0.026	115894616
0.027	115894616
0.028	115894616
0.029	115894616
0.03	115894616
0.031	115894616
0.032	115894616
0.033	115894616
0.034	115894616
0.035	115894616
0.036	115894616
0.037	115894616
0.038	115894616
0.039	115894616
0.04	115894616
0.041	115894616
0.042	115894616
0.043	115894616
0.044	115894616
0.045	115894616
0.046	115894616
0.047	115894616
0.048	115894616
0.049	115894616
0.05	115894616
0.051	115894616
0.052	115894616
0.053	115894616
0.054	115894616
0.055	115894616
0.056	115894616
0.057	115894616
0.058	115894616
0.059	115894616
0.06	115894616
0.061	115894616
0.062	115894616
0.063	115894616
0.064	115894616
0.065	115894616
0.066	115894616
0.067	112587242
0.068	112587242
0.069	112587242
0.07	112587242
0.071	112587242
0.072	112587242
0.073	112587242
0.074	112587242
0.075	112587242
0.076	112587242
0.077	112587242
0.078	112587242
0.079	112587242
0.08	112587242
0.081	112587242
0.082	112587242
0.083	112587242
0.084	112587242
0.085	112587242
0.086	112587242
0.087	112587242
0.088	112587242
0.089	112587242
0.09	112587242
0.091	112587242
0.092	112587242
0.093	112587242
0.094	112587242
0.095	112587242
0.096	112587242
0.097	112587242
0.098	112587242
0.099	112587242
0.1	112587242
0.101	112587242
0.102	112587242
0.103	112587242
0.104	112587242
0.105	112587242
0.106	112587242
0.107	112587242
0.108	112587242
0.109	112587242
0.11	112587242
0.111	112587242
0.112	112587242
0.113	112587242
0.114	112587242
0.115	112587242
0.116	112587242
0.117	112587242
0.118	112587242
0.119	112587242
0.12	112587242
0.121	112587242
0.122	112587242
0.123	112587242
0.124	112587242
0.125	112587242
0.126	112587242
0.127	112587242
0.128	112587242
0.129	112587242
0.13	112587242
0.131	112587242
0.132	103077000
0.133	103077000
0.134	103077000
0.135	103077000
0.136	103077000
0.137	103077000
0.138	103077000
0.139	103077000
0.14	103077000
0.141	103077000
0.142	103077000
0.143	103077000
0.144	103077000
0.145	103077000
0.146	103077000
0.147	103077000
0.148	103077000
0.149	103077000
0.15	103077000
0.151	103077000
0.152	103077000
0.153	103077000
0.154	103077000
0.155	103077000
0.156	103077000
0.157	103077000
0.158	103077000
0.159	103077000
0.16	103077000
0.161	103077000
0.162	103077000
0.163	103077000
0.164	103077000
0.165	103077000
0.166	103077000
0.167	103077000
0.168	103077000
0.169	103077000
0.17	103077000
0.171	103077000
0.172	103077000
0.173	103077000
0.174	103077000
0.175	103077000
0.176	103077000
0.177	103077000
0.178	103077000
0.179	103077000
0.18	103077000
0.181	103077000
0.182	103077000
0.183	103077000
0.184	103077000
0.185	103077000
0.186	103077000
0.187	103077000
0.188	103077000
0.189	103077000
0.19	103077000
0.191	97597966
0.192	97597966
0.193	97597966
0.194	97597966
0.195	97597966
0.196	97597966
0.197	97597966
0.198	97597966
0.199	97597966
0.2	97597966
0.201	97597966
0.202	97597966
0.203	97597966
0.204	97597966
0.205	97597966
0.206	97597966
0.207	97597966
0.208	97597966
0.209	97597966
0.21	97597966
0.211	97597966
0.212	97597966
0.213	97597966
0.214	97597966
0.215	97597966
