fraction	Nx_length
0.001	14782000
0.002	14782000
0.003	14782000
0.004	14782000
0.005	14782000
0.006	14782000
0.007	14782000
0.008	14782000
0.009	14782000
0.01	14569895
0.011	14569895
0.012	14569895
0.013	14569895
0.014	14569895
0.015	14569895
0.016	14569895
0.017	14569895
0.018	14146620
0.019	14146620
0.02	14146620
0.021	14146620
0.022	14146620
0.023	14146620
0.024	14146620
0.025	14146620
0.026	14146620
0.027	11337897
0.028	11337897
0.029	11337897
0.03	11337897
0.031	11337897
0.032	11337897
0.033	11337897
0.034	11104612
0.035	11104612
0.036	11104612
0.037	11104612
0.038	11104612
0.039	11104612
0.04	11104612
0.041	11075472
0.042	11075472
0.043	11075472
0.044	11075472
0.045	11075472
0.046	11075472
0.047	11075472
0.048	10731820
0.049	10731820
0.05	10731820
0.051	10731820
0.052	10731820
0.053	10731820
0.054	10448199
0.055	10448199
0.056	10448199
0.057	10448199
0.058	10448199
0.059	10448199
0.06	10448199
0.061	10291159
0.062	10291159
0.063	10291159
0.064	10291159
0.065	10291159
0.066	10291159
0.067	9992502
0.068	9992502
0.069	9992502
0.07	9992502
0.071	9992502
0.072	9992502
0.073	9770872
0.074	9770872
0.075	9770872
0.076	9770872
0.077	9770872
0.078	9770872
0.079	9458479
0.08	9458479
0.081	9458479
0.082	9458479
0.083	9458479
0.084	9458479
0.085	9036000
0.086	9036000
0.087	9036000
0.088	9036000
0.089	9036000
0.09	9033000
0.091	9033000
0.092	9033000
0.093	9033000
0.094	9033000
0.095	9033000
0.096	9032073
0.097	9032073
0.098	9032073
0.099	9032073
0.1	9032073
0.101	9030743
0.102	9030743
0.103	9030743
0.104	9030743
0.105	9030743
0.106	9030743
0.107	8980214
0.108	8980214
0.109	8980214
0.11	8980214
0.111	8980214
0.112	8932331
0.113	8932331
0.114	8932331
0.115	8932331
0.116	8932331
0.117	8932331
0.118	8891000
0.119	8891000
0.12	8891000
0.121	8891000
0.122	8891000
0.123	8780380
0.124	8780380
0.125	8780380
0.126	8780380
0.127	8780380
0.128	8780380
0.129	8619896
0.13	8619896
0.131	8619896
0.132	8619896
0.133	8619896
0.134	8512533
0.135	8512533
0.136	8512533
0.137	8512533
0.138	8512533
0.139	8394781
0.14	8394781
0.141	8394781
0.142	8394781
0.143	8394781
0.144	8361738
0.145	8361738
0.146	8361738
0.147	8361738
0.148	8361738
0.149	8310444
0.15	8310444
0.151	8310444
0.152	8310444
0.153	8310444
0.154	7857569
0.155	7857569
0.156	7857569
0.157	7857569
0.158	7857569
0.159	7826904
0.16	7826904
0.161	7826904
0.162	7826904
0.163	7826904
0.164	7624839
0.165	7624839
0.166	7624839
0.167	7624839
0.168	7624839
0.169	7594176
0.17	7594176
0.171	7594176
0.172	7594176
0.173	7506098
0.174	7506098
0.175	7506098
0.176	7506098
0.177	7506098
0.178	7472000
0.179	7472000
0.18	7472000
0.181	7472000
0.182	7416644
0.183	7416644
0.184	7416644
0.185	7416644
0.186	7416644
0.187	7366123
0.188	7366123
0.189	7366123
0.19	7366123
0.191	7270000
0.192	7270000
0.193	7270000
0.194	7270000
0.195	7270000
0.196	6611809
0.197	6611809
0.198	6611809
0.199	6611809
0.2	6594000
0.201	6594000
0.202	6594000
0.203	6594000
0.204	6528354
0.205	6528354
0.206	6528354
0.207	6528354
0.208	6449656
0.209	6449656
0.21	6449656
0.211	6449656
0.212	6409622
0.213	6409622
0.214	6409622
0.215	6409622
0.216	6310433
0.217	6310433
0.218	6310433
0.219	6310433
0.22	6291936
0.221	6291936
0.222	6291936
0.223	6291936
0.224	6209315
0.225	6209315
0.226	6209315
0.227	6170912
0.228	6170912
0.229	6170912
0.23	6170912
0.231	6098583
0.232	6098583
0.233	6098583
0.234	6098583
0.235	5994720
0.236	5994720
0.237	5994720
0.238	5994720
0.239	5981669
0.24	5981669
0.241	5981669
0.242	5926576
0.243	5926576
0.244	5926576
0.245	5926576
0.246	5868675
0.247	5868675
0.248	5868675
0.249	5847583
0.25	5847583
0.251	5847583
0.252	5847583
0.253	5795895
0.254	5795895
0.255	5795895
0.256	5795895
