fraction	Nx_length
0.001	134670162
0.002	134670162
0.003	134670162
0.004	134670162
0.005	134670162
0.006	134670162
0.007	134670162
0.008	134670162
0.009	134670162
0.01	134670162
0.011	134670162
0.012	134670162
0.013	134670162
0.014	134670162
0.015	134670162
0.016	134670162
0.017	134670162
0.018	134670162
0.019	134670162
0.02	134670162
0.021	134670162
0.022	134670162
0.023	134670162
0.024	134670162
0.025	134670162
0.026	134670162
0.027	134670162
0.028	134670162
0.029	134670162
0.03	134670162
0.031	134670162
0.032	134670162
0.033	134670162
0.034	134670162
0.035	134670162
0.036	134670162
0.037	134670162
0.038	134670162
0.039	134670162
0.04	134670162
0.041	134670162
0.042	134670162
0.043	134670162
0.044	134670162
0.045	134670162
0.046	134670162
0.047	134670162
0.048	134670162
0.049	134670162
0.05	134670162
0.051	134670162
0.052	134670162
0.053	134670162
0.054	134670162
0.055	134670162
0.056	134670162
0.057	134670162
0.058	134670162
0.059	134670162
0.06	134670162
0.061	134670162
0.062	134670162
0.063	134670162
0.064	134670162
0.065	134670162
0.066	134670162
0.067	134670162
0.068	134670162
0.069	134670162
0.07	134670162
0.071	134670162
0.072	134670162
0.073	134670162
0.074	134670162
0.075	134670162
0.076	134670162
0.077	134670162
0.078	134670162
0.079	134670162
0.08	134670162
0.081	134670162
0.082	134670162
0.083	134670162
0.084	134670162
0.085	134670162
0.086	134670162
0.087	134670162
0.088	134670162
0.089	134670162
0.09	134670162
0.091	134670162
0.092	134670162
0.093	134670162
0.094	134670162
0.095	122442746
0.096	122442746
0.097	122442746
0.098	122442746
0.099	122442746
0.1	122442746
0.101	122442746
0.102	122442746
0.103	122442746
0.104	122442746
0.105	122442746
0.106	122442746
0.107	122442746
0.108	122442746
0.109	122442746
0.11	122442746
0.111	122442746
0.112	122442746
0.113	122442746
0.114	122442746
0.115	122442746
0.116	122442746
0.117	122442746
0.118	122442746
0.119	122442746
0.12	122442746
0.121	122442746
0.122	122442746
0.123	122442746
0.124	122442746
0.125	122442746
0.126	122442746
0.127	122442746
0.128	122442746
0.129	122442746
0.13	122442746
0.131	122442746
0.132	122442746
0.133	122442746
0.134	122442746
0.135	122442746
0.136	122442746
0.137	122442746
0.138	122442746
0.139	122442746
0.14	122442746
0.141	122442746
0.142	122442746
0.143	122442746
0.144	122442746
0.145	122442746
0.146	122442746
0.147	122442746
0.148	122442746
0.149	122442746
0.15	122442746
0.151	122442746
0.152	122442746
0.153	122442746
0.154	122442746
0.155	122442746
0.156	122442746
0.157	122442746
0.158	122442746
0.159	122442746
0.16	122442746
0.161	122442746
0.162	122442746
0.163	122442746
0.164	122442746
0.165	122442746
0.166	122442746
0.167	122442746
0.168	122442746
0.169	122442746
0.17	122442746
0.171	122442746
0.172	122442746
0.173	122442746
0.174	122442746
0.175	122442746
0.176	122442746
0.177	122442746
0.178	122442746
0.179	122442746
0.18	122442746
0.181	119487508
0.182	119487508
0.183	119487508
0.184	119487508
0.185	119487508
0.186	119487508
0.187	119487508
0.188	119487508
0.189	119487508
0.19	119487508
0.191	119487508
0.192	119487508
0.193	119487508
0.194	119487508
0.195	119487508
0.196	119487508
0.197	119487508
0.198	119487508
0.199	119487508
0.2	119487508
0.201	119487508
0.202	119487508
0.203	119487508
0.204	119487508
0.205	119487508
0.206	119487508
0.207	119487508
0.208	119487508
0.209	119487508
0.21	119487508
0.211	119487508
0.212	119487508
0.213	119487508
0.214	119487508
0.215	119487508
0.216	119487508
0.217	119487508
0.218	119487508
0.219	119487508
0.22	119487508
0.221	119487508
0.222	119487508
0.223	119487508
