fraction	Nx_length
0.001	214724573
0.002	214724573
0.003	214724573
0.004	214724573
0.005	214724573
0.006	214724573
0.007	214724573
0.008	214724573
0.009	214724573
0.01	214724573
0.011	214724573
0.012	214724573
0.013	214724573
0.014	214724573
0.015	214724573
0.016	214724573
0.017	214724573
0.018	214724573
0.019	214724573
0.02	214724573
0.021	214724573
0.022	214724573
0.023	214724573
0.024	214724573
0.025	214724573
0.026	214724573
0.027	214724573
0.028	214724573
0.029	214724573
0.03	214724573
0.031	214724573
0.032	214724573
0.033	214724573
0.034	214724573
0.035	214724573
0.036	214724573
0.037	214724573
0.038	214724573
0.039	214724573
0.04	214724573
0.041	214724573
0.042	214724573
0.043	214724573
0.044	214724573
0.045	214724573
0.046	214724573
0.047	214724573
0.048	214724573
0.049	214724573
0.05	214724573
0.051	214724573
0.052	214724573
0.053	214724573
0.054	214724573
0.055	214724573
0.056	214724573
0.057	214724573
0.058	214724573
0.059	214724573
0.06	214724573
0.061	214724573
0.062	214724573
0.063	214724573
0.064	214724573
0.065	214724573
0.066	214724573
0.067	214724573
0.068	214724573
0.069	214724573
0.07	214724573
0.071	214724573
0.072	214724573
0.073	214724573
0.074	214724573
0.075	214724573
0.076	214724573
0.077	214724573
0.078	214724573
0.079	214724573
0.08	214724573
0.081	214724573
0.082	214724573
0.083	214724573
0.084	214724573
0.085	214724573
0.086	214724573
0.087	214724573
0.088	214724573
0.089	214724573
0.09	214724573
0.091	214724573
0.092	214724573
0.093	214724573
0.094	214724573
0.095	214724573
0.096	214724573
0.097	214724573
0.098	214724573
0.099	214724573
0.1	214724573
0.101	214724573
0.102	214724573
0.103	214724573
0.104	214724573
0.105	214724573
0.106	214724573
0.107	214724573
0.108	214724573
0.109	214724573
0.11	214724573
0.111	214724573
0.112	214724573
0.113	214724573
0.114	214724573
0.115	214724573
0.116	214724573
0.117	214724573
0.118	214724573
0.119	214724573
0.12	214724573
0.121	214724573
0.122	214724573
0.123	214724573
0.124	214724573
0.125	214724573
0.126	214724573
0.127	214724573
0.128	214724573
0.129	214724573
0.13	214724573
0.131	214724573
0.132	214724573
0.133	214724573
0.134	214724573
0.135	214724573
0.136	214724573
0.137	214724573
0.138	214724573
0.139	214724573
0.14	214724573
0.141	214724573
0.142	214724573
0.143	214724573
0.144	214724573
0.145	213561696
0.146	213561696
0.147	213561696
0.148	213561696
0.149	213561696
0.15	213561696
0.151	213561696
0.152	213561696
0.153	213561696
0.154	213561696
0.155	213561696
0.156	213561696
0.157	213561696
0.158	213561696
0.159	213561696
0.16	213561696
0.161	213561696
0.162	213561696
0.163	213561696
0.164	213561696
0.165	213561696
0.166	213561696
0.167	213561696
0.168	213561696
0.169	213561696
0.17	213561696
0.171	213561696
0.172	213561696
0.173	213561696
0.174	213561696
0.175	213561696
0.176	213561696
0.177	213561696
0.178	213561696
0.179	213561696
0.18	213561696
0.181	213561696
0.182	213561696
0.183	213561696
0.184	213561696
0.185	213561696
0.186	213561696
0.187	213561696
0.188	213561696
0.189	213561696
0.19	213561696
0.191	213561696
0.192	213561696
0.193	213561696
0.194	213561696
0.195	213561696
0.196	213561696
0.197	213561696
0.198	213561696
0.199	213561696
0.2	213561696
0.201	213561696
0.202	213561696
0.203	213561696
0.204	213561696
0.205	213561696
0.206	213561696
0.207	213561696
0.208	213561696
0.209	213561696
0.21	213561696
0.211	213561696
0.212	213561696
0.213	213561696
0.214	213561696
0.215	213561696
0.216	213561696
0.217	213561696
0.218	213561696
0.219	213561696
0.22	213561696
0.221	213561696
0.222	213561696
0.223	213561696
0.224	213561696
0.225	213561696
0.226	213561696
0.227	213561696
0.228	213561696
0.229	213561696
0.23	213561696
0.231	213561696
0.232	213561696
0.233	213561696
0.234	213561696
0.235	213561696
0.236	213561696
0.237	213561696
0.238	213561696
0.239	213561696
0.24	213561696
0.241	213561696
0.242	213561696
0.243	213561696
0.244	213561696
0.245	213561696
0.246	213561696
0.247	213561696
0.248	213561696
0.249	213561696
0.25	213561696
0.251	213561696
0.252	213561696
0.253	213561696
0.254	213561696
0.255	213561696
0.256	213561696
0.257	213561696
0.258	213561696
0.259	213561696
0.26	213561696
0.261	213561696
0.262	213561696
0.263	213561696
0.264	213561696
0.265	213561696
0.266	213561696
0.267	213561696
0.268	213561696
0.269	213561696
0.27	213561696
0.271	213561696
0.272	213561696
0.273	213561696
0.274	213561696
0.275	213561696
0.276	213561696
0.277	213561696
0.278	213561696
0.279	213561696
0.28	213561696
0.281	213561696
0.282	213561696
0.283	213561696
0.284	213561696
0.285	213561696
0.286	213561696
0.287	213561696
0.288	141066475
0.289	141066475
0.29	141066475
0.291	141066475
0.292	141066475
0.293	141066475
0.294	141066475
0.295	141066475
0.296	141066475
0.297	141066475
0.298	141066475
0.299	141066475
0.3	141066475
0.301	141066475
0.302	141066475
0.303	141066475
0.304	141066475
0.305	141066475
0.306	141066475
0.307	141066475
0.308	141066475
0.309	141066475
0.31	141066475
0.311	141066475
0.312	141066475
0.313	141066475
0.314	141066475
0.315	141066475
0.316	141066475
0.317	141066475
0.318	141066475
0.319	141066475
0.32	141066475
0.321	141066475
0.322	141066475
0.323	141066475
0.324	141066475
0.325	141066475
0.326	141066475
0.327	141066475
0.328	141066475
0.329	141066475
0.33	141066475
0.331	141066475
0.332	141066475
0.333	141066475
0.334	141066475
0.335	141066475
0.336	141066475
0.337	141066475
0.338	141066475
0.339	141066475
0.34	141066475
0.341	141066475
0.342	141066475
0.343	141066475
0.344	141066475
0.345	141066475
0.346	141066475
0.347	141066475
0.348	141066475
0.349	141066475
0.35	141066475
0.351	141066475
0.352	141066475
0.353	141066475
0.354	141066475
0.355	141066475
0.356	141066475
0.357	141066475
0.358	141066475
0.359	141066475
0.36	141066475
0.361	141066475
0.362	141066475
0.363	141066475
0.364	141066475
0.365	141066475
0.366	141066475
0.367	141066475
0.368	141066475
0.369	141066475
0.37	141066475
0.371	141066475
0.372	141066475
0.373	141066475
0.374	141066475
0.375	141066475
0.376	141066475
0.377	141066475
0.378	141066475
0.379	141066475
0.38	141066475
0.381	141066475
0.382	141066475
0.383	113379225
0.384	113379225
0.385	113379225
0.386	113379225
0.387	113379225
0.388	113379225
0.389	113379225
0.39	113379225
0.391	113379225
0.392	113379225
0.393	113379225
0.394	113379225
0.395	113379225
0.396	113379225
0.397	113379225
0.398	113379225
0.399	113379225
0.4	113379225
0.401	113379225
0.402	113379225
0.403	113379225
0.404	113379225
0.405	113379225
0.406	113379225
0.407	113379225
0.408	113379225
0.409	113379225
0.41	113379225
0.411	113379225
0.412	113379225
0.413	113379225
0.414	113379225
0.415	113379225
0.416	113379225
0.417	113379225
0.418	113379225
0.419	113379225
0.42	113379225
0.421	113379225
0.422	113379225
0.423	113379225
0.424	113379225
0.425	113379225
0.426	113379225
0.427	113379225
0.428	113379225
0.429	113379225
0.43	113379225
0.431	113379225
0.432	113379225
0.433	113379225
0.434	113379225
0.435	113379225
