fraction	Nx_length
0.001	596700
0.002	503599
0.003	459578
0.004	445249
0.005	428759
0.006	408295
0.007	374707
0.008	361394
0.009	351547
0.01	347751
0.011	330464
0.012	314741
0.013	308745
0.014	304362
0.015	299176
0.016	291287
0.017	283550
0.018	279984
0.019	275132
0.02	273861
0.021	268129
0.022	261411
0.023	260050
0.024	253323
0.025	250003
0.026	248417
0.027	246522
0.028	242752
0.029	239344
0.03	235115
0.031	234253
0.032	232136
0.033	230867
0.034	229045
0.035	228039
0.036	226621
0.037	225398
0.038	224542
0.039	223285
0.04	222360
0.041	219429
0.042	216846
0.043	214078
0.044	212535
0.045	210793
0.046	209469
0.047	208053
0.048	205914
0.049	203861
0.05	201671
0.051	198995
0.052	197562
0.053	196514
0.054	194703
0.055	194405
0.056	193298
0.057	191654
0.058	191105
0.059	190178
0.06	189449
0.061	186375
0.062	183984
0.063	183009
0.064	181164
0.065	179634
0.066	179235
0.067	178065
0.068	176821
0.069	175667
0.07	175128
0.071	173268
0.072	172396
0.073	171093
0.074	169904
0.075	169423
0.076	168899
0.077	167630
0.078	166599
0.079	165817
0.08	164521
0.081	164131
0.082	163511
0.083	162868
0.084	161703
0.085	161469
0.086	160383
0.087	159765
0.088	158999
0.089	158655
0.09	158006
0.091	157235
0.092	156019
0.093	155467
0.094	154905
0.095	153961
0.096	153173
0.097	152704
0.098	152355
0.099	151393
0.1	151247
0.101	150392
0.102	149714
0.103	149199
0.104	148439
0.105	147672
0.106	146860
0.107	146425
0.108	145590
0.109	144953
0.11	144708
0.111	144009
0.112	143435
0.113	143076
0.114	142275
0.115	141601
0.116	141024
0.117	140146
0.118	139368
0.119	139180
0.12	138463
0.121	137791
0.122	137190
0.123	136416
0.124	135965
0.125	135345
0.126	134921
0.127	134187
0.128	133922
0.129	133456
0.13	132848
0.131	132572
0.132	131964
0.133	131461
0.134	130780
0.135	130406
0.136	129582
0.137	129202
0.138	128580
0.139	127994
0.14	127750
0.141	127163
0.142	126864
0.143	126712
0.144	126113
0.145	125677
0.146	124877
0.147	124552
0.148	123729
0.149	123400
0.15	122752
0.151	122618
0.152	122081
0.153	121559
0.154	121230
0.155	120976
0.156	120546
0.157	119934
0.158	119444
0.159	119129
0.16	118641
0.161	118361
0.162	117798
0.163	117596
0.164	117294
0.165	116723
0.166	116457
0.167	116145
0.168	115719
0.169	115394
0.17	114980
0.171	114499
0.172	113780
0.173	113337
0.174	112951
0.175	112753
0.176	112561
0.177	112071
0.178	111677
0.179	111272
0.18	110970
0.181	110597
0.182	109999
0.183	109546
0.184	109164
0.185	108672
0.186	108424
0.187	108061
0.188	107588
0.189	107225
0.19	106774
0.191	106223
0.192	105973
0.193	105611
0.194	105473
0.195	105069
0.196	104799
0.197	104659
0.198	104545
0.199	104263
0.2	103944
0.201	103746
0.202	103311
0.203	102971
0.204	102697
0.205	102499
0.206	102174
0.207	101922
0.208	101687
0.209	101411
0.21	100765
0.211	100468
0.212	100286
0.213	99986
0.214	99764
0.215	99529
0.216	99217
0.217	98723
0.218	98360
0.219	97923
0.22	97595
0.221	97329
0.222	97098
0.223	96716
0.224	96533
0.225	96302
0.226	96132
0.227	95679
0.228	95335
0.229	95025
0.23	94777
0.231	94492
0.232	94198
0.233	93855
0.234	93536
0.235	93330
0.236	93100
0.237	92783
0.238	92600
0.239	92391
0.24	92099
0.241	91734
0.242	91535
0.243	91239
0.244	91063
0.245	90655
0.246	90475
0.247	90313
0.248	90006
0.249	89776
0.25	89519
0.251	89209
0.252	88969
0.253	88651
0.254	88496
0.255	88185
0.256	87974
0.257	87760
0.258	87607
0.259	87456
0.26	87203
0.261	86986
0.262	86824
0.263	86487
0.264	86206
0.265	85932
0.266	85699
0.267	85429
0.268	85187
0.269	84973
0.27	84810
0.271	84653
0.272	84409
0.273	84226
0.274	83971
0.275	83832
0.276	83547
0.277	83171
0.278	82951
0.279	82768
0.28	82583
0.281	82423
0.282	82141
0.283	81783
0.284	81585
0.285	81397
0.286	81203
0.287	80944
0.288	80787
0.289	80589
0.29	80484
0.291	80224
0.292	80062
0.293	79880
0.294	79610
0.295	79417
0.296	79072
0.297	78947
0.298	78776
0.299	78675
0.3	78454
0.301	78306
0.302	78187
0.303	77932
0.304	77635
0.305	77455
0.306	77219
0.307	76958
0.308	76790
0.309	76609
0.31	76447
0.311	76352
0.312	76158
0.313	75923
0.314	75547
0.315	75382
0.316	75197
0.317	74987
0.318	74783
0.319	74525
0.32	74268
0.321	74020
0.322	73812
0.323	73655
0.324	73528
0.325	73386
0.326	73246
0.327	73049
0.328	72855
0.329	72605
0.33	72439
0.331	72214
0.332	71890
0.333	71727
0.334	71537
0.335	71379
0.336	71172
0.337	70939
0.338	70756
0.339	70643
0.34	70527
0.341	70321
0.342	70235
0.343	69965
0.344	69821
0.345	69675
0.346	69480
0.347	69325
0.348	69144
0.349	68959
0.35	68764
0.351	68628
0.352	68443
0.353	68275
0.354	68090
0.355	67877
0.356	67706
0.357	67559
0.358	67365
0.359	67249
0.36	66957
0.361	66773
0.362	66623
0.363	66478
0.364	66373
0.365	66239
0.366	66069
0.367	65897
0.368	65786
0.369	65550
0.37	65397
0.371	65238
0.372	65057
0.373	64883
0.374	64737
0.375	64566
0.376	64432
0.377	64245
0.378	64118
0.379	63863
0.38	63722
0.381	63487
0.382	63366
0.383	63258
0.384	63079
0.385	62928
0.386	62720
0.387	62485
0.388	62322
0.389	62153
0.39	61958
0.391	61858
0.392	61707
0.393	61607
0.394	61437
0.395	61280
0.396	61200
0.397	61071
0.398	60892
0.399	60756
0.4	60612
0.401	60428
0.402	60321
0.403	60135
0.404	59970
0.405	59813
0.406	59669
0.407	59538
0.408	59357
0.409	59218
0.41	58958
0.411	58808
0.412	58656
0.413	58429
0.414	58210
0.415	58084
0.416	57935
0.417	57754
0.418	57593
0.419	57497
0.42	57359
0.421	57225
0.422	57041
0.423	56920
0.424	56763
0.425	56661
0.426	56490
0.427	56317
0.428	56109
0.429	55999
0.43	55846
0.431	55714
0.432	55566
0.433	55464
0.434	55285
0.435	55130
0.436	54973
0.437	54782
0.438	54603
0.439	54469
0.44	54359
0.441	54249
0.442	54132
0.443	54005
0.444	53849
0.445	53740
0.446	53575
0.447	53476
0.448	53345
0.449	53227
0.45	53094
0.451	52938
0.452	52774
0.453	52572
0.454	52428
0.455	52335
0.456	52231
0.457	52131
0.458	51994
0.459	51915
0.46	51787
0.461	51636
0.462	51444
0.463	51373
0.464	51175
0.465	51047
0.466	50956
0.467	50879
0.468	50790
0.469	50668
0.47	50559
0.471	50433
0.472	50344
0.473	50210
0.474	50094
0.475	49930
0.476	49823
0.477	49720
0.478	49585
0.479	49434
0.48	49272
0.481	49166
0.482	49030
0.483	48923
0.484	48813
0.485	48633
0.486	48560
0.487	48364
0.488	48233
0.489	48078
0.49	47881
0.491	47736
0.492	47611
0.493	47492
0.494	47416
0.495	47273
0.496	47108
0.497	46915
0.498	46792
0.499	46704
0.5	46577
0.501	46433
0.502	46292
0.503	46182
0.504	46102
0.505	45943
0.506	45843
0.507	45728
0.508	45604
0.509	45514
0.51	45372
0.511	45234
0.512	45182
0.513	45080
0.514	44953
0.515	44785
0.516	44648
0.517	44532
0.518	44401
0.519	44309
0.52	44176
0.521	44047
0.522	43928
0.523	43805
0.524	43687
0.525	43592
0.526	43407
0.527	43326
0.528	43238
0.529	43104
0.53	42975
0.531	42808
0.532	42708
0.533	42624
0.534	42505
0.535	42379
0.536	42264
0.537	42107
0.538	42005
0.539	41925
0.54	41794
0.541	41688
0.542	41545
0.543	41396
0.544	41274
0.545	41172
0.546	41041
0.547	40907
0.548	40770
0.549	40619
0.55	40488
0.551	40327
0.552	40237
0.553	40118
0.554	39949
0.555	39833
0.556	39718
0.557	39594
0.558	39471
0.559	39344
0.56	39237
0.561	39111
0.562	39000
0.563	38885
0.564	38789
0.565	38687
0.566	38567
0.567	38433
0.568	38313
0.569	38187
0.57	38069
0.571	37942
0.572	37816
0.573	37683
0.574	37561
0.575	37434
0.576	37321
0.577	37258
0.578	37149
0.579	36995
0.58	36925
0.581	36807
0.582	36677
0.583	36595
0.584	36458
0.585	36350
0.586	36248
0.587	36124
0.588	36025
0.589	35933
0.59	35819
0.591	35708
0.592	35548
0.593	35445
0.594	35322
0.595	35171
0.596	35076
0.597	34947
0.598	34847
0.599	34703
0.6	34579
0.601	34458
0.602	34364
0.603	34247
0.604	34142
0.605	34043
0.606	33938
0.607	33826
0.608	33721
0.609	33614
0.61	33504
0.611	33392
0.612	33297
0.613	33196
0.614	33057
0.615	32934
0.616	32822
0.617	32698
0.618	32579
0.619	32465
0.62	32320
0.621	32224
0.622	32049
0.623	31932
0.624	31812
0.625	31692
0.626	31580
0.627	31489
0.628	31405
0.629	31327
0.63	31252
0.631	31129
0.632	30989
0.633	30888
0.634	30766
0.635	30690
0.636	30592
0.637	30487
0.638	30405
0.639	30293
0.64	30151
0.641	30050
0.642	29954
0.643	29858
0.644	29751
0.645	29649
0.646	29560
0.647	29464
0.648	29324
0.649	29217
0.65	29098
0.651	28978
0.652	28899
0.653	28777
0.654	28660
0.655	28568
0.656	28497
0.657	28394
0.658	28287
0.659	28190
0.66	28083
0.661	27956
0.662	27865
0.663	27751
0.664	27668
0.665	27579
0.666	27457
0.667	27347
0.668	27256
0.669	27195
