fraction	Nx_length
0.001	18507834
0.002	18507834
0.003	18507834
0.004	18507834
0.005	18507834
0.006	18507834
0.007	18507834
0.008	18507834
0.009	18507834
0.01	18507834
0.011	18507834
0.012	18507834
0.013	18507834
0.014	18507834
0.015	18507834
0.016	18507834
0.017	18507834
0.018	18507834
0.019	17031706
0.02	17031706
0.021	17031706
0.022	17031706
0.023	17031706
0.024	17031706
0.025	17031706
0.026	17031706
0.027	17031706
0.028	17031706
0.029	17031706
0.03	17031706
0.031	17031706
0.032	17031706
0.033	17031706
0.034	17031706
0.035	17031706
0.036	17031706
0.037	16461339
0.038	16461339
0.039	16461339
0.04	16461339
0.041	16461339
0.042	16461339
0.043	16461339
0.044	16461339
0.045	16461339
0.046	16461339
0.047	16461339
0.048	16461339
0.049	16461339
0.05	16461339
0.051	16461339
0.052	16461339
0.053	16461339
0.054	16433419
0.055	16433419
0.056	16433419
0.057	16433419
0.058	16433419
0.059	16433419
0.06	16433419
0.061	16433419
0.062	16433419
0.063	16433419
0.064	16433419
0.065	16433419
0.066	16433419
0.067	16433419
0.068	16433419
0.069	16433419
0.07	16433419
0.071	15003573
0.072	15003573
0.073	15003573
0.074	15003573
0.075	15003573
0.076	15003573
0.077	15003573
0.078	15003573
0.079	15003573
0.08	15003573
0.081	15003573
0.082	15003573
0.083	15003573
0.084	15003573
0.085	15003573
0.086	13911802
0.087	13911802
0.088	13911802
0.089	13911802
0.09	13911802
0.091	13911802
0.092	13911802
0.093	13911802
0.094	13911802
0.095	13911802
0.096	13911802
0.097	13911802
0.098	13911802
0.099	13911802
0.1	13485325
0.101	13485325
0.102	13485325
0.103	13485325
0.104	13485325
0.105	13485325
0.106	13485325
0.107	13485325
0.108	13485325
0.109	13485325
0.11	13485325
0.111	13485325
0.112	13485325
0.113	13485325
0.114	12728579
0.115	12728579
0.116	12728579
0.117	12728579
0.118	12728579
0.119	12728579
0.12	12728579
0.121	12728579
0.122	12728579
0.123	12728579
0.124	12728579
0.125	12728579
0.126	12728579
0.127	12614711
0.128	12614711
0.129	12614711
0.13	12614711
0.131	12614711
0.132	12614711
0.133	12614711
0.134	12614711
0.135	12614711
0.136	12614711
0.137	12614711
0.138	12614711
0.139	12614711
0.14	11909161
0.141	11909161
0.142	11909161
0.143	11909161
0.144	11909161
0.145	11909161
0.146	11909161
0.147	11909161
0.148	11909161
0.149	11909161
0.15	11909161
0.151	11909161
0.152	11573033
0.153	11573033
0.154	11573033
0.155	11573033
0.156	11573033
0.157	11573033
0.158	11573033
0.159	11573033
0.16	11573033
0.161	11573033
0.162	11573033
0.163	11573033
0.164	11530728
0.165	11530728
0.166	11530728
0.167	11530728
0.168	11530728
0.169	11530728
0.17	11530728
0.171	11530728
0.172	11530728
0.173	11530728
0.174	11530728
0.175	11530728
0.176	10529718
0.177	10529718
0.178	10529718
0.179	10529718
0.18	10529718
0.181	10529718
0.182	10529718
0.183	10529718
0.184	10529718
0.185	10529718
0.186	10529718
0.187	9996151
0.188	9996151
0.189	9996151
0.19	9996151
0.191	9996151
0.192	9996151
0.193	9996151
0.194	9996151
0.195	9996151
0.196	9996151
0.197	9908685
0.198	9908685
0.199	9908685
0.2	9908685
0.201	9908685
0.202	9908685
0.203	9908685
0.204	9908685
0.205	9908685
0.206	9908685
0.207	9849519
0.208	9849519
0.209	9849519
0.21	9849519
0.211	9849519
0.212	9849519
0.213	9849519
0.214	9849519
0.215	9849519
0.216	9849519
0.217	9849519
0.218	9843783
0.219	9843783
0.22	9843783
0.221	9843783
0.222	9843783
0.223	9843783
0.224	9843783
0.225	9843783
0.226	9843783
0.227	9843783
0.228	9630976
0.229	9630976
0.23	9630976
0.231	9630976
0.232	9630976
0.233	9630976
0.234	9630976
0.235	9630976
0.236	9630976
0.237	9386079
0.238	9386079
0.239	9386079
0.24	9386079
0.241	9386079
0.242	9386079
0.243	9386079
0.244	9386079
0.245	9386079
0.246	9386079
0.247	9228010
0.248	9228010
0.249	9228010
0.25	9228010
0.251	9228010
0.252	9228010
0.253	9228010
0.254	9228010
0.255	9228010
0.256	9228010
0.257	9046933
0.258	9046933
0.259	9046933
0.26	9046933
0.261	9046933
0.262	9046933
0.263	9046933
0.264	9046933
0.265	9046933
0.266	8947343
0.267	8947343
0.268	8947343
0.269	8947343
0.27	8947343
0.271	8947343
0.272	8947343
0.273	8947343
0.274	8947343
0.275	8803159
0.276	8803159
0.277	8803159
0.278	8803159
0.279	8803159
0.28	8803159
0.281	8803159
0.282	8803159
0.283	8803159
0.284	8332076
0.285	8332076
0.286	8332076
0.287	8332076
0.288	8332076
0.289	8332076
0.29	8332076
0.291	8332076
0.292	8332076
0.293	8056818
0.294	8056818
0.295	8056818
0.296	8056818
0.297	8056818
0.298	8056818
0.299	8056818
0.3	8056818
0.301	7764900
0.302	7764900
0.303	7764900
0.304	7764900
0.305	7764900
0.306	7764900
0.307	7764900
0.308	7764900
0.309	7641004
0.31	7641004
0.311	7641004
0.312	7641004
0.313	7641004
0.314	7641004
0.315	7641004
0.316	7641004
0.317	7535631
0.318	7535631
0.319	7535631
0.32	7535631
0.321	7535631
0.322	7535631
0.323	7535631
0.324	7318916
0.325	7318916
0.326	7318916
0.327	7318916
0.328	7318916
0.329	7318916
0.33	7318916
0.331	7318916
0.332	6964137
0.333	6964137
0.334	6964137
0.335	6964137
0.336	6964137
0.337	6964137
0.338	6964137
0.339	6938060
0.34	6938060
0.341	6938060
0.342	6938060
0.343	6938060
0.344	6938060
0.345	6938060
0.346	6832876
0.347	6832876
0.348	6832876
0.349	6832876
0.35	6832876
0.351	6832876
0.352	6832876
0.353	6506902
0.354	6506902
0.355	6506902
0.356	6506902
0.357	6506902
0.358	6506902
0.359	6506902
0.36	6463314
0.361	6463314
0.362	6463314
0.363	6463314
0.364	6463314
0.365	6463314
0.366	6463314
0.367	6429418
0.368	6429418
0.369	6429418
0.37	6429418
0.371	6429418
0.372	6429418
0.373	6301995
0.374	6301995
0.375	6301995
0.376	6301995
0.377	6301995
0.378	6301995
0.379	6301995
0.38	5873764
0.381	5873764
0.382	5873764
0.383	5873764
0.384	5873764
0.385	5873764
0.386	5469490
0.387	5469490
0.388	5469490
0.389	5469490
0.39	5469490
0.391	5419759
0.392	5419759
0.393	5419759
0.394	5419759
0.395	5419759
0.396	5419759
0.397	5379800
0.398	5379800
0.399	5379800
0.4	5379800
0.401	5379800
0.402	5334932
0.403	5334932
0.404	5334932
0.405	5334932
0.406	5334932
0.407	5334932
0.408	5298526
0.409	5298526
0.41	5298526
0.411	5298526
0.412	5298526
0.413	5220276
0.414	5220276
0.415	5220276
0.416	5220276
0.417	5220276
0.418	5220276
0.419	5213970
0.42	5213970
0.421	5213970
0.422	5213970
0.423	5213970
0.424	5104675
0.425	5104675
0.426	5104675
0.427	5104675
0.428	5104675
0.429	5087354
0.43	5087354
0.431	5087354
0.432	5087354
0.433	5087354
0.434	5048387
0.435	5048387
0.436	5048387
0.437	5048387
0.438	5048387
0.439	5048387
0.44	4929752
0.441	4929752
0.442	4929752
0.443	4929752
0.444	4929752
0.445	4897056
0.446	4897056
0.447	4897056
0.448	4897056
0.449	4897056
0.45	4875586
0.451	4875586
0.452	4875586
0.453	4875586
0.454	4875586
0.455	4861936
0.456	4861936
0.457	4861936
0.458	4861936
0.459	4861936
0.46	4822577
0.461	4822577
0.462	4822577
0.463	4822577
0.464	4822577
0.465	4771929
0.466	4771929
0.467	4771929
0.468	4771929
0.469	4771929
0.47	4751830
0.471	4751830
0.472	4751830
0.473	4751830
0.474	4608585
0.475	4608585
0.476	4608585
0.477	4608585
0.478	4608585
0.479	4596003
0.48	4596003
0.481	4596003
0.482	4596003
0.483	4596003
0.484	4591479
0.485	4591479
0.486	4591479
0.487	4591479
0.488	4591479
0.489	4569021
0.49	4569021
0.491	4569021
0.492	4569021
0.493	4564766
0.494	4564766
0.495	4564766
0.496	4564766
0.497	4564766
0.498	4521921
0.499	4521921
0.5	4521921
0.501	4521921
0.502	4521921
0.503	4508736
0.504	4508736
0.505	4508736
0.506	4508736
0.507	4467497
0.508	4467497
0.509	4467497
0.51	4467497
0.511	4467497
0.512	4339253
0.513	4339253
0.514	4339253
0.515	4339253
0.516	4326226
0.517	4326226
0.518	4326226
0.519	4326226
0.52	4326226
0.521	4283084
0.522	4283084
0.523	4283084
0.524	4283084
0.525	4241200
0.526	4241200
0.527	4241200
0.528	4241200
0.529	4186129
0.53	4186129
0.531	4186129
0.532	4186129
0.533	4186129
0.534	4157550
0.535	4157550
0.536	4157550
0.537	4157550
0.538	4147603
0.539	4147603
0.54	4147603
0.541	4147603
0.542	4034929
0.543	4034929
0.544	4034929
0.545	4034929
0.546	3971419
0.547	3971419
0.548	3971419
0.549	3971419
0.55	3970103
0.551	3970103
0.552	3970103
0.553	3970103
0.554	3970103
0.555	3963364
0.556	3963364
0.557	3963364
0.558	3963364
0.559	3928819
0.56	3928819
0.561	3928819
0.562	3928819
0.563	3900531
0.564	3900531
0.565	3900531
0.566	3900531
0.567	3867380
0.568	3867380
0.569	3867380
0.57	3867380
0.571	3782739
0.572	3782739
0.573	3782739
0.574	3771931
0.575	3771931
0.576	3771931
0.577	3771931
0.578	3751688
0.579	3751688
0.58	3751688
0.581	3751688
0.582	3745465
0.583	3745465
0.584	3745465
