fraction	Nx_length
0.001	9595
0.002	8271
0.003	7637
0.004	7125
0.005	6770
0.006	6454
0.007	6215
0.008	6018
0.009	5832
0.01	5673
0.011	5525
0.012	5399
0.013	5275
0.014	5171
0.015	5064
0.016	4967
0.017	4886
0.018	4806
0.019	4734
0.02	4659
0.021	4588
0.022	4524
0.023	4465
0.024	4404
0.025	4350
0.026	4291
0.027	4242
0.028	4190
0.029	4141
0.03	4094
0.031	4045
0.032	4005
0.033	3964
0.034	3921
0.035	3880
0.036	3841
0.037	3804
0.038	3766
0.039	3729
0.04	3692
0.041	3658
0.042	3625
0.043	3594
0.044	3564
0.045	3536
0.046	3507
0.047	3478
0.048	3453
0.049	3426
0.05	3400
0.051	3373
0.052	3347
0.053	3323
0.054	3298
0.055	3275
0.056	3249
0.057	3229
0.058	3206
0.059	3185
0.06	3164
0.061	3142
0.062	3121
0.063	3100
0.064	3080
0.065	3060
0.066	3040
0.067	3022
0.068	3002
0.069	2982
0.07	2965
0.071	2947
0.072	2927
0.073	2909
0.074	2893
0.075	2876
0.076	2860
0.077	2843
0.078	2826
0.079	2810
0.08	2793
0.081	2777
0.082	2762
0.083	2746
0.084	2731
0.085	2717
0.086	2702
0.087	2687
0.088	2672
0.089	2658
0.09	2645
0.091	2631
0.092	2618
0.093	2603
0.094	2589
0.095	2576
0.096	2563
0.097	2550
0.098	2537
0.099	2525
0.1	2513
0.101	2500
0.102	2488
0.103	2476
0.104	2464
0.105	2452
0.106	2439
0.107	2428
0.108	2416
0.109	2404
0.11	2392
0.111	2381
0.112	2371
0.113	2360
0.114	2349
0.115	2338
0.116	2327
0.117	2317
0.118	2306
0.119	2296
0.12	2285
0.121	2275
0.122	2265
0.123	2255
0.124	2245
0.125	2235
0.126	2225
0.127	2216
0.128	2206
0.129	2196
0.13	2187
0.131	2178
0.132	2168
0.133	2160
0.134	2150
0.135	2141
0.136	2132
0.137	2123
0.138	2114
0.139	2105
0.14	2097
0.141	2089
0.142	2080
0.143	2072
0.144	2063
0.145	2055
0.146	2046
0.147	2038
0.148	2030
0.149	2022
0.15	2014
0.151	2006
0.152	1998
0.153	1990
0.154	1982
0.155	1974
0.156	1967
0.157	1959
0.158	1951
0.159	1944
0.16	1936
0.161	1929
0.162	1922
0.163	1914
0.164	1907
0.165	1900
0.166	1892
0.167	1886
0.168	1879
0.169	1872
0.17	1864
0.171	1857
0.172	1851
0.173	1843
0.174	1837
0.175	1830
0.176	1823
0.177	1816
0.178	1809
0.179	1803
0.18	1796
0.181	1790
0.182	1783
0.183	1777
0.184	1771
0.185	1765
0.186	1758
0.187	1752
0.188	1746
0.189	1739
0.19	1733
0.191	1727
0.192	1721
0.193	1715
0.194	1709
0.195	1703
0.196	1697
0.197	1691
0.198	1685
0.199	1679
0.2	1673
0.201	1667
0.202	1661
0.203	1655
0.204	1649
0.205	1644
0.206	1638
0.207	1632
0.208	1626
0.209	1621
0.21	1615
0.211	1610
0.212	1604
0.213	1598
0.214	1593
0.215	1587
0.216	1582
0.217	1576
0.218	1571
0.219	1565
0.22	1560
0.221	1555
0.222	1550
0.223	1544
0.224	1539
0.225	1534
0.226	1529
0.227	1524
0.228	1519
0.229	1514
0.23	1508
0.231	1503
0.232	1498
0.233	1493
0.234	1489
0.235	1483
0.236	1478
0.237	1473
0.238	1469
0.239	1464
0.24	1459
0.241	1454
0.242	1450
0.243	1445
0.244	1440
0.245	1436
0.246	1431
0.247	1426
0.248	1422
0.249	1417
0.25	1413
0.251	1408
0.252	1403
0.253	1399
0.254	1394
0.255	1390
0.256	1385
0.257	1381
0.258	1376
0.259	1372
0.26	1368
0.261	1363
0.262	1359
0.263	1355
0.264	1350
0.265	1346
0.266	1342
0.267	1337
0.268	1333
0.269	1329
0.27	1325
0.271	1320
0.272	1316
0.273	1312
0.274	1307
0.275	1303
0.276	1299
0.277	1295
0.278	1291
0.279	1287
0.28	1282
0.281	1278
0.282	1274
0.283	1270
0.284	1266
0.285	1262
0.286	1258
0.287	1254
0.288	1250
0.289	1247
0.29	1243
0.291	1239
0.292	1235
0.293	1231
0.294	1227
0.295	1223
0.296	1220
0.297	1216
0.298	1212
0.299	1208
0.3	1204
0.301	1200
0.302	1197
0.303	1193
0.304	1189
0.305	1186
0.306	1182
0.307	1178
0.308	1175
0.309	1171
0.31	1168
0.311	1164
0.312	1161
0.313	1157
0.314	1154
0.315	1150
0.316	1147
0.317	1143
0.318	1140
0.319	1136
0.32	1133
0.321	1129
0.322	1126
0.323	1122
0.324	1119
0.325	1116
0.326	1112
0.327	1109
0.328	1105
0.329	1102
0.33	1099
0.331	1095
0.332	1092
0.333	1089
0.334	1086
0.335	1082
0.336	1079
0.337	1075
0.338	1072
0.339	1069
0.34	1066
0.341	1062
0.342	1059
0.343	1056
0.344	1053
0.345	1050
0.346	1046
0.347	1043
0.348	1040
0.349	1037
0.35	1034
0.351	1031
0.352	1028
0.353	1024
0.354	1021
0.355	1018
0.356	1015
0.357	1012
0.358	1009
0.359	1006
0.36	1003
0.361	1000
0.362	997
0.363	994
0.364	991
0.365	988
0.366	985
0.367	982
0.368	979
0.369	976
0.37	973
0.371	971
0.372	968
0.373	965
0.374	962
0.375	959
0.376	956
0.377	953
0.378	950
0.379	948
0.38	945
0.381	942
0.382	939
0.383	936
0.384	934
0.385	931
0.386	928
0.387	925
0.388	922
0.389	920
0.39	917
0.391	914
0.392	911
0.393	909
0.394	906
0.395	903
0.396	901
0.397	898
0.398	895
0.399	892
0.4	890
0.401	887
0.402	885
0.403	882
0.404	880
0.405	877
0.406	874
0.407	872
0.408	869
0.409	866
0.41	864
0.411	861
0.412	859
0.413	856
0.414	854
0.415	851
0.416	849
0.417	846
0.418	844
0.419	841
0.42	839
0.421	836
0.422	834
0.423	831
0.424	829
0.425	826
0.426	824
0.427	822
0.428	819
0.429	817
0.43	814
0.431	812
0.432	810
0.433	807
0.434	805
0.435	803
0.436	800
0.437	798
0.438	795
0.439	793
0.44	791
0.441	789
0.442	786
0.443	784
0.444	782
0.445	779
0.446	777
0.447	775
0.448	773
0.449	770
0.45	768
0.451	766
0.452	764
0.453	761
0.454	759
0.455	757
0.456	755
0.457	752
0.458	750
0.459	748
0.46	746
0.461	744
0.462	742
0.463	740
0.464	737
0.465	735
0.466	733
0.467	731
0.468	729
0.469	727
0.47	725
0.471	722
0.472	720
0.473	718
0.474	716
0.475	714
0.476	712
0.477	710
0.478	708
0.479	706
0.48	704
0.481	702
0.482	700
0.483	698
0.484	696
0.485	694
0.486	692
0.487	690
0.488	688
0.489	686
0.49	684
0.491	682
0.492	680
0.493	678
0.494	676
0.495	674
0.496	672
0.497	670
0.498	668
0.499	666
0.5	665
0.501	663
0.502	661
0.503	659
0.504	657
0.505	655
0.506	653
0.507	651
0.508	650
0.509	648
0.51	646
0.511	644
0.512	642
0.513	640
0.514	639
0.515	637
0.516	635
0.517	633
0.518	631
0.519	630
0.52	628
0.521	626
0.522	624
0.523	622
0.524	621
0.525	619
0.526	617
0.527	615
0.528	614
0.529	612
0.53	610
0.531	608
0.532	607
0.533	605
0.534	603
0.535	602
0.536	600
0.537	598
0.538	597
0.539	595
0.54	593
0.541	592
0.542	590
0.543	588
0.544	587
0.545	585
0.546	583
0.547	582
0.548	580
0.549	579
0.55	577
0.551	575
0.552	574
0.553	572
0.554	571
0.555	569
0.556	567
0.557	566
0.558	564
0.559	563
0.56	561
0.561	559
0.562	558
0.563	556
0.564	555
0.565	553
0.566	552
0.567	550
0.568	549
0.569	547
0.57	546
0.571	544
0.572	543
0.573	541
0.574	540
0.575	538
0.576	537
0.577	535
0.578	534
0.579	532
0.58	531
0.581	529
0.582	528
0.583	527
0.584	525
0.585	524
0.586	522
0.587	521
0.588	519
0.589	518
0.59	517
0.591	515
0.592	514
0.593	512
0.594	511
0.595	510
0.596	508
0.597	507
0.598	505
0.599	504
0.6	503
0.601	501
0.602	500
0.603	499
0.604	497
0.605	496
0.606	495
0.607	493
0.608	492
0.609	491
0.61	489
0.611	488
0.612	487
0.613	485
0.614	484
0.615	483
0.616	482
0.617	480
0.618	479
0.619	478
0.62	476
0.621	475
0.622	474
0.623	473
0.624	471
0.625	470
0.626	469
0.627	468
0.628	466
0.629	465
0.63	464
0.631	463
0.632	461
0.633	460
0.634	459
0.635	458
0.636	456
0.637	455
0.638	454
0.639	453
0.64	452
0.641	450
0.642	449
0.643	448
0.644	447
0.645	446
0.646	444
0.647	443
0.648	442
0.649	441
0.65	440
0.651	439
0.652	438
0.653	436
0.654	435
0.655	434
0.656	433
0.657	432
0.658	431
0.659	429
0.66	428
0.661	427
0.662	426
0.663	425
0.664	424
0.665	423
0.666	422
0.667	421
0.668	419
0.669	418
0.67	417
0.671	416
0.672	415
0.673	414
0.674	413
0.675	412
0.676	411
0.677	410
0.678	409
0.679	408
0.68	407
0.681	405
0.682	404
0.683	403
0.684	402
0.685	401
0.686	400
0.687	399
0.688	398
0.689	397
0.69	396
0.691	395
0.692	394
0.693	393
0.694	392
0.695	391
0.696	390
0.697	389
0.698	388
0.699	387
0.7	386
0.701	385
0.702	384
0.703	383
0.704	382
0.705	381
0.706	380
0.707	379
0.708	378
0.709	377
0.71	376
0.711	375
0.712	374
0.713	373
0.714	372
0.715	371
0.716	370
0.717	369
0.718	368
0.719	367
0.72	367
0.721	366
0.722	365
0.723	364
0.724	363
0.725	362
0.726	361
0.727	360
0.728	359
0.729	358
0.73	357
0.731	357
0.732	356
0.733	355
0.734	354
0.735	353
0.736	352
0.737	351
0.738	350
0.739	349
0.74	348
0.741	348
0.742	347
0.743	346
0.744	345
0.745	344
0.746	343
0.747	342
0.748	341
0.749	341
0.75	340
0.751	339
0.752	338
0.753	337
0.754	336
0.755	335
0.756	335
0.757	334
0.758	333
0.759	332
0.76	331
0.761	330
0.762	330
0.763	329
0.764	328
0.765	327
0.766	326
0.767	326
0.768	325
0.769	324
0.77	323
0.771	322
0.772	322
0.773	321
0.774	320
0.775	319
0.776	318
0.777	318
0.778	317
0.779	316
0.78	315
0.781	314
0.782	314
0.783	313
0.784	312
0.785	311
0.786	310
0.787	310
0.788	309
0.789	308
0.79	307
0.791	307
0.792	306
0.793	305
0.794	304
0.795	304
0.796	303
0.797	302
0.798	301
0.799	301
0.8	300
0.801	299
0.802	299
0.803	298
0.804	297
0.805	296
0.806	296
0.807	295
0.808	294
0.809	293
0.81	293
0.811	292
0.812	291
0.813	291
0.814	290
0.815	289
0.816	289
0.817	288
0.818	287
0.819	287
0.82	286
0.821	285
0.822	284
0.823	284
0.824	283
0.825	282
0.826	282
0.827	281
0.828	280
0.829	280
0.83	279
0.831	278
0.832	278
0.833	277
0.834	277
0.835	276
0.836	275
0.837	275
0.838	274
0.839	273
0.84	273
0.841	272
0.842	272
0.843	271
0.844	270
0.845	270
0.846	269
0.847	269
0.848	268
0.849	267
0.85	267
0.851	266
0.852	266
0.853	265
0.854	264
0.855	264
0.856	263
0.857	263
0.858	262
0.859	262
0.86	261
0.861	261
0.862	260
0.863	260
0.864	259
0.865	258
0.866	258
0.867	257
0.868	257
0.869	256
0.87	256
0.871	255
0.872	255
0.873	254
0.874	254
0.875	253
0.876	253
0.877	252
0.878	252
0.879	251
0.88	251
0.881	250
0.882	250
0.883	249
0.884	249
0.885	248
0.886	248
0.887	247
0.888	247
0.889	246
0.89	246
0.891	245
0.892	245
0.893	245
0.894	244
0.895	244
0.896	243
0.897	243
0.898	242
0.899	242
0.9	241
0.901	241
0.902	240
0.903	240
0.904	239
0.905	239
0.906	238
0.907	238
0.908	238
0.909	237
0.91	237
0.911	236
0.912	236
0.913	235
0.914	235
0.915	234
0.916	234
0.917	234
0.918	233
0.919	233
0.92	232
0.921	232
0.922	231
0.923	231
0.924	230
0.925	230
0.926	230
0.927	229
0.928	229
0.929	228
0.93	228
0.931	227
0.932	227
0.933	227
0.934	226
0.935	226
0.936	225
0.937	225
0.938	224
0.939	224
0.94	224
0.941	223
0.942	223
0.943	222
0.944	222
0.945	221
0.946	221
0.947	221
0.948	220
0.949	220
0.95	219
0.951	219
0.952	218
0.953	218
0.954	218
0.955	217
0.956	217
0.957	216
0.958	216
0.959	216
0.96	215
0.961	215
0.962	214
0.963	214
0.964	214
0.965	213
0.966	213
0.967	212
0.968	212
0.969	212
0.97	211
0.971	211
0.972	210
0.973	210
0.974	210
0.975	209
0.976	209
0.977	208
0.978	208
0.979	208
0.98	207
0.981	207
0.982	206
0.983	206
0.984	206
0.985	205
0.986	205
0.987	204
0.988	204
0.989	204
0.99	203
0.991	203
0.992	203
0.993	202
0.994	202
0.995	201
0.996	201
0.997	201
0.998	200
0.999	200
1.0	1
