fraction	Nx_length
0.001	337536
0.002	297891
0.003	275405
0.004	268029
0.005	260413
0.006	255480
0.007	246240
0.008	242268
0.009	237811
0.01	230092
0.011	226464
0.012	223515
0.013	220381
0.014	217654
0.015	214727
0.016	211764
0.017	209359
0.018	207080
0.019	202953
0.02	200674
0.021	198881
0.022	196799
0.023	192238
0.024	189264
0.025	187513
0.026	186507
0.027	184564
0.028	183160
0.029	182121
0.03	180073
0.031	179397
0.032	177651
0.033	176606
0.034	175519
0.035	174110
0.036	172559
0.037	171478
0.038	170334
0.039	168552
0.04	167767
0.041	166879
0.042	165671
0.043	164320
0.044	162993
0.045	162130
0.046	160771
0.047	159413
0.048	158472
0.049	157609
0.05	157069
0.051	156410
0.052	155382
0.053	154471
0.054	153701
0.055	153293
0.056	152660
0.057	151885
0.058	151328
0.059	150626
0.06	149407
0.061	148218
0.062	147539
0.063	146764
0.064	146044
0.065	145375
0.066	144761
0.067	143998
0.068	143372
0.069	142504
0.07	141791
0.071	141177
0.072	140694
0.073	139989
0.074	139239
0.075	138697
0.076	138039
0.077	137528
0.078	136943
0.079	136408
0.08	135829
0.081	135236
0.082	134729
0.083	134416
0.084	133889
0.085	133337
0.086	132641
0.087	132027
0.088	131484
0.089	131059
0.09	130391
0.091	129889
0.092	129333
0.093	128742
0.094	128213
0.095	127710
0.096	127147
0.097	126553
0.098	125890
0.099	125483
0.1	124861
0.101	124418
0.102	123909
0.103	123442
0.104	122918
0.105	122592
0.106	122070
0.107	121737
0.108	121148
0.109	120751
0.11	120323
0.111	119896
0.112	119509
0.113	119030
0.114	118651
0.115	118211
0.116	117868
0.117	117512
0.118	116884
0.119	116513
0.12	116111
0.121	115625
0.122	115256
0.123	114933
0.124	114500
0.125	114034
0.126	113764
0.127	113487
0.128	113121
0.129	112792
0.13	112429
0.131	112089
0.132	111671
0.133	111326
0.134	111026
0.135	110677
0.136	110253
0.137	109915
0.138	109573
0.139	109390
0.14	109166
0.141	108877
0.142	108660
0.143	108315
0.144	107946
0.145	107658
0.146	107311
0.147	107051
0.148	106661
0.149	106368
0.15	106072
0.151	105767
0.152	105529
0.153	105285
0.154	105059
0.155	104853
0.156	104547
0.157	104193
0.158	104006
0.159	103799
0.16	103539
0.161	103221
0.162	102956
0.163	102607
0.164	102399
0.165	102096
0.166	101649
0.167	101464
0.168	101125
0.169	100792
0.17	100453
0.171	100196
0.172	99911
0.173	99580
0.174	99404
0.175	99057
0.176	98795
0.177	98496
0.178	98279
0.179	97981
0.18	97692
0.181	97412
0.182	97143
0.183	96844
0.184	96582
0.185	96316
0.186	96103
0.187	95802
0.188	95524
0.189	95232
0.19	94947
0.191	94683
0.192	94468
0.193	94209
0.194	93816
0.195	93587
0.196	93317
0.197	92987
0.198	92799
0.199	92518
0.2	92290
0.201	92063
0.202	91825
0.203	91517
0.204	91238
0.205	90942
0.206	90675
0.207	90458
0.208	90245
0.209	90058
0.21	89771
0.211	89486
0.212	89285
0.213	89096
0.214	88902
0.215	88659
0.216	88459
0.217	88306
0.218	88099
0.219	87898
0.22	87659
0.221	87427
0.222	87180
0.223	86987
0.224	86766
0.225	86519
0.226	86331
0.227	86101
0.228	85909
0.229	85656
0.23	85447
0.231	85203
0.232	85021
0.233	84712
0.234	84453
0.235	84223
0.236	84047
0.237	83884
0.238	83701
0.239	83401
0.24	83210
0.241	82976
0.242	82763
0.243	82570
0.244	82390
0.245	82150
0.246	81953
0.247	81801
0.248	81580
0.249	81394
0.25	81167
0.251	80999
0.252	80838
0.253	80677
0.254	80492
0.255	80270
0.256	80093
0.257	79944
0.258	79770
0.259	79538
0.26	79373
0.261	79174
0.262	79052
0.263	78878
0.264	78745
0.265	78560
0.266	78374
0.267	78206
0.268	78004
0.269	77788
0.27	77574
0.271	77418
0.272	77225
0.273	77060
0.274	76841
0.275	76664
0.276	76471
0.277	76302
0.278	76097
0.279	75947
0.28	75796
0.281	75633
0.282	75513
0.283	75353
0.284	75187
0.285	75039
0.286	74916
0.287	74717
0.288	74561
0.289	74326
0.29	74164
0.291	73984
0.292	73855
0.293	73681
0.294	73498
0.295	73348
0.296	73164
0.297	73041
0.298	72804
0.299	72607
0.3	72497
0.301	72334
0.302	72215
0.303	72042
0.304	71883
0.305	71758
0.306	71596
0.307	71429
0.308	71243
0.309	71070
0.31	70905
0.311	70784
0.312	70608
0.313	70479
0.314	70364
0.315	70222
0.316	70022
0.317	69815
0.318	69630
0.319	69484
0.32	69343
0.321	69208
0.322	69086
0.323	68956
0.324	68788
0.325	68672
0.326	68506
0.327	68383
0.328	68178
0.329	68006
0.33	67842
0.331	67694
0.332	67524
0.333	67346
0.334	67166
0.335	67043
0.336	66879
0.337	66727
0.338	66612
0.339	66497
0.34	66323
0.341	66183
0.342	66040
0.343	65906
0.344	65770
0.345	65646
0.346	65518
0.347	65375
0.348	65214
0.349	65051
0.35	64898
0.351	64768
0.352	64607
0.353	64422
0.354	64314
0.355	64189
0.356	64029
0.357	63841
0.358	63727
0.359	63577
0.36	63408
0.361	63259
0.362	63149
0.363	63008
0.364	62894
0.365	62772
0.366	62617
0.367	62516
0.368	62385
0.369	62251
0.37	62092
0.371	61950
0.372	61813
0.373	61702
0.374	61570
0.375	61439
0.376	61316
0.377	61160
0.378	61025
0.379	60907
0.38	60762
0.381	60593
0.382	60451
0.383	60338
0.384	60225
0.385	60074
0.386	59962
0.387	59820
0.388	59684
0.389	59568
0.39	59441
0.391	59290
0.392	59140
0.393	59011
0.394	58885
0.395	58748
0.396	58627
0.397	58508
0.398	58400
0.399	58269
0.4	58136
0.401	58021
0.402	57900
0.403	57764
0.404	57652
0.405	57526
0.406	57378
0.407	57254
0.408	57128
0.409	56981
0.41	56853
0.411	56741
0.412	56615
0.413	56474
0.414	56384
0.415	56265
0.416	56157
0.417	56015
0.418	55921
0.419	55824
0.42	55730
0.421	55604
0.422	55478
0.423	55364
0.424	55222
0.425	55099
0.426	54950
0.427	54823
0.428	54705
0.429	54568
0.43	54455
0.431	54345
0.432	54192
0.433	54081
0.434	53984
0.435	53884
0.436	53759
0.437	53655
0.438	53567
0.439	53432
0.44	53289
0.441	53129
0.442	53005
0.443	52889
0.444	52768
0.445	52626
0.446	52505
0.447	52377
0.448	52262
0.449	52161
0.45	52033
0.451	51901
0.452	51764
0.453	51609
0.454	51477
0.455	51363
0.456	51242
0.457	51119
0.458	51000
0.459	50903
0.46	50811
0.461	50685
0.462	50573
0.463	50449
0.464	50349
0.465	50210
0.466	50097
0.467	49971
0.468	49860
0.469	49772
0.47	49687
0.471	49563
0.472	49458
0.473	49358
0.474	49275
0.475	49164
0.476	49048
0.477	48947
0.478	48830
0.479	48725
0.48	48621
0.481	48533
0.482	48382
0.483	48271
0.484	48175
0.485	48067
0.486	47954
0.487	47842
0.488	47726
0.489	47588
0.49	47467
0.491	47352
0.492	47247
0.493	47156
0.494	47071
0.495	46983
0.496	46876
0.497	46772
0.498	46648
0.499	46550
0.5	46446
0.501	46351
0.502	46250
0.503	46134
0.504	46038
0.505	45938
0.506	45825
0.507	45721
0.508	45603
0.509	45521
0.51	45396
0.511	45279
0.512	45194
0.513	45075
0.514	44972
0.515	44848
0.516	44742
0.517	44632
0.518	44545
0.519	44452
0.52	44326
0.521	44212
0.522	44103
0.523	44002
0.524	43899
0.525	43791
0.526	43688
0.527	43586
0.528	43477
0.529	43375
0.53	43280
0.531	43179
0.532	43054
0.533	42957
0.534	42858
0.535	42749
0.536	42626
0.537	42499
0.538	42405
0.539	42285
0.54	42174
0.541	42068
0.542	41973
0.543	41878
0.544	41778
0.545	41688
0.546	41586
0.547	41485
0.548	41387
0.549	41272
0.55	41180
0.551	41063
0.552	40967
0.553	40882
0.554	40773
0.555	40677
0.556	40586
0.557	40517
0.558	40407
0.559	40336
0.56	40235
0.561	40132
0.562	40040
0.563	39962
0.564	39878
0.565	39788
0.566	39683
0.567	39585
0.568	39493
0.569	39399
0.57	39314
0.571	39203
0.572	39099
0.573	38992
0.574	38905
0.575	38796
0.576	38688
0.577	38591
0.578	38515
0.579	38422
0.58	38329
0.581	38226
0.582	38132
0.583	38036
0.584	37938
0.585	37855
0.586	37757
0.587	37643
0.588	37531
0.589	37431
0.59	37331
0.591	37223
0.592	37127
0.593	37023
0.594	36922
0.595	36829
0.596	36731
0.597	36618
0.598	36506
0.599	36433
0.6	36329
0.601	36235
0.602	36152
0.603	36061
0.604	35972
0.605	35873
0.606	35782
0.607	35686
0.608	35577
0.609	35472
0.61	35383
0.611	35301
0.612	35214
0.613	35114
0.614	35021
0.615	34932
0.616	34847
0.617	34749
0.618	34666
0.619	34581
0.62	34481
0.621	34398
0.622	34300
0.623	34214
0.624	34147
0.625	34054
0.626	33960
0.627	33871
0.628	33772
0.629	33690
0.63	33584
0.631	33474
0.632	33397
0.633	33296
0.634	33201
0.635	33101
0.636	33001
0.637	32888
0.638	32792
0.639	32705
0.64	32615
0.641	32530
0.642	32449
0.643	32338
0.644	32248
0.645	32146
0.646	32047
0.647	31942
0.648	31863
0.649	31778
0.65	31703
0.651	31593
0.652	31508
0.653	31438
0.654	31345
0.655	31229
0.656	31139
0.657	31042
0.658	30950
0.659	30855
0.66	30762
0.661	30670
0.662	30588
0.663	30499
0.664	30428
0.665	30350
0.666	30258
0.667	30169
0.668	30081
0.669	29992
0.67	29896
0.671	29802
0.672	29721
0.673	29642
0.674	29539
0.675	29458
0.676	29364
0.677	29285
0.678	29196
0.679	29092
0.68	29015
0.681	28924
0.682	28837
0.683	28752
0.684	28656
0.685	28572
0.686	28490
0.687	28388
0.688	28299
0.689	28217
0.69	28126
0.691	28038
0.692	27944
0.693	27852
0.694	27782
0.695	27686
0.696	27599
0.697	27504
0.698	27418
0.699	27305
0.7	27214
0.701	27126
0.702	27042
0.703	26965
0.704	26863
0.705	26767
0.706	26682
0.707	26595
0.708	26496
0.709	26406
0.71	26315
0.711	26232
0.712	26135
0.713	26041
0.714	25959
0.715	25873
0.716	25784
0.717	25687
0.718	25598
0.719	25509
0.72	25412
0.721	25327
0.722	25243
0.723	25151
0.724	25061
0.725	24984
0.726	24898
0.727	24809
0.728	24712
0.729	24619
0.73	24516
0.731	24423
0.732	24339
0.733	24250
0.734	24166
0.735	24071
0.736	23986
0.737	23906
0.738	23821
0.739	23725
0.74	23635
0.741	23542
0.742	23438
0.743	23335
0.744	23253
0.745	23164
0.746	23083
0.747	22997
0.748	22911
0.749	22831
0.75	22749
0.751	22668
0.752	22589
0.753	22502
0.754	22430
0.755	22351
0.756	22259
0.757	22164
0.758	22085
0.759	21995
0.76	21894
0.761	21814
0.762	21723
0.763	21657
0.764	21570
0.765	21473
0.766	21388
0.767	21303
0.768	21212
0.769	21124
0.77	21029
0.771	20956
0.772	20858
0.773	20772
0.774	20689
0.775	20601
0.776	20509
0.777	20438
0.778	20356
0.779	20278
0.78	20195
0.781	20115
0.782	20039
0.783	19959
0.784	19872
0.785	19785
0.786	19701
0.787	19619
0.788	19532
0.789	19448
0.79	19370
0.791	19270
0.792	19197
0.793	19120
0.794	19044
0.795	18955
0.796	18870
0.797	18782
0.798	18700
0.799	18609
0.8	18524
0.801	18435
0.802	18330
0.803	18228
0.804	18138
0.805	18045
0.806	17955
0.807	17864
0.808	17780
0.809	17683
0.81	17565
0.811	17482
0.812	17390
0.813	17303
0.814	17215
0.815	17121
0.816	17030
0.817	16932
0.818	16843
0.819	16751
0.82	16667
0.821	16576
0.822	16492
0.823	16407
0.824	16325
0.825	16242
0.826	16154
0.827	16059
0.828	15966
0.829	15874
0.83	15792
0.831	15703
0.832	15615
0.833	15520
0.834	15440
0.835	15345
0.836	15253
0.837	15171
0.838	15074
0.839	14982
0.84	14897
0.841	14799
0.842	14713
0.843	14626
0.844	14530
0.845	14439
0.846	14344
0.847	14248
0.848	14167
0.849	14065
0.85	13971
0.851	13882
0.852	13794
0.853	13707
0.854	13616
0.855	13521
0.856	13431
0.857	13344
0.858	13253
0.859	13168
0.86	13084
0.861	12996
0.862	12896
0.863	12786
0.864	12689
0.865	12598
0.866	12508
0.867	12414
0.868	12322
0.869	12217
0.87	12125
0.871	12026
0.872	11933
0.873	11846
0.874	11746
0.875	11659
0.876	11548
0.877	11457
0.878	11354
0.879	11259
0.88	11162
0.881	11067
0.882	10958
0.883	10862
0.884	10760
0.885	10664
0.886	10565
0.887	10468
0.888	10368
0.889	10269
0.89	10165
0.891	10066
0.892	9967
0.893	9868
0.894	9769
0.895	9672
0.896	9556
0.897	9458
0.898	9353
0.899	9250
0.9	9150
0.901	9044
0.902	8943
0.903	8834
0.904	8726
0.905	8628
0.906	8524
0.907	8427
0.908	8327
0.909	8234
0.91	8125
0.911	8013
0.912	7920
0.913	7806
0.914	7704
0.915	7603
0.916	7492
0.917	7384
0.918	7279
0.919	7178
0.92	7071
0.921	6962
0.922	6861
0.923	6761
0.924	6641
0.925	6533
0.926	6424
0.927	6315
0.928	6205
0.929	6097
0.93	5981
0.931	5871
0.932	5764
0.933	5646
0.934	5526
0.935	5409
0.936	5301
0.937	5185
0.938	5070
0.939	4950
0.94	4834
0.941	4712
0.942	4591
0.943	4474
0.944	4356
0.945	4238
0.946	4118
0.947	4007
0.948	3885
0.949	3766
0.95	3647
0.951	3529
0.952	3412
0.953	3296
0.954	3176
0.955	3064
0.956	2942
0.957	2823
0.958	2711
0.959	2600
0.96	2487
0.961	2382
0.962	2273
0.963	2164
0.964	2056
0.965	1964
0.966	1868
0.967	1775
0.968	1688
0.969	1601
0.97	1515
0.971	1436
0.972	1359
0.973	1287
0.974	1215
0.975	1148
0.976	1080
0.977	1016
0.978	956
0.979	898
0.98	842
0.981	789
0.982	739
0.983	688
0.984	639
0.985	590
0.986	546
0.987	502
0.988	460
0.989	420
0.99	380
0.991	345
0.992	313
0.993	286
0.994	264
0.995	244
0.996	228
0.997	214
0.998	206
0.999	188
1.0	1
