fraction	Nx_length
0.001	16092075
0.002	16092075
0.003	16092075
0.004	16092075
0.005	16092075
0.006	15485781
0.007	15485781
0.008	15485781
0.009	15485781
0.01	15485781
0.011	15485781
0.012	15389786
0.013	15389786
0.014	15389786
0.015	15389786
0.016	15389786
0.017	15131764
0.018	15131764
0.019	15131764
0.02	15131764
0.021	15131764
0.022	15131764
0.023	14343383
0.024	14343383
0.025	14343383
0.026	14343383
0.027	14343383
0.028	14313947
0.029	14313947
0.03	14313947
0.031	14313947
0.032	14313947
0.033	13501023
0.034	13501023
0.035	13501023
0.036	13501023
0.037	13160828
0.038	13160828
0.039	13160828
0.04	13160828
0.041	13160828
0.042	12279623
0.043	12279623
0.044	12279623
0.045	12279623
0.046	12114132
0.047	12114132
0.048	12114132
0.049	12114132
0.05	12114132
0.051	11975441
0.052	11975441
0.053	11975441
0.054	11975441
0.055	11957974
0.056	11957974
0.057	11957974
0.058	11957974
0.059	11826990
0.06	11826990
0.061	11826990
0.062	11826990
0.063	11796883
0.064	11796883
0.065	11796883
0.066	11796883
0.067	11796883
0.068	11403029
0.069	11403029
0.07	11403029
0.071	11403029
0.072	11046042
0.073	11046042
0.074	11046042
0.075	11046042
0.076	10976027
0.077	10976027
0.078	10976027
0.079	10781435
0.08	10781435
0.081	10781435
0.082	10781435
0.083	10714555
0.084	10714555
0.085	10714555
0.086	10714555
0.087	10534908
0.088	10534908
0.089	10534908
0.09	10534908
0.091	10413966
0.092	10413966
0.093	10413966
0.094	10413966
0.095	10284822
0.096	10284822
0.097	10284822
0.098	10252697
0.099	10252697
0.1	10252697
0.101	10252697
0.102	10028908
0.103	10028908
0.104	10028908
0.105	9514777
0.106	9514777
0.107	9514777
0.108	9514777
0.109	9236171
0.11	9236171
0.111	9236171
0.112	9101565
0.113	9101565
0.114	9101565
0.115	9057273
0.116	9057273
0.117	9057273
0.118	8751256
0.119	8751256
0.12	8751256
0.121	8751256
0.122	8735625
0.123	8735625
0.124	8735625
0.125	8676893
0.126	8676893
0.127	8676893
0.128	8593499
0.129	8593499
0.13	8593499
0.131	8541097
0.132	8541097
0.133	8541097
0.134	8487216
0.135	8487216
0.136	8487216
0.137	8436391
0.138	8436391
0.139	8436391
0.14	8292737
0.141	8292737
0.142	8292737
0.143	8227731
0.144	8227731
0.145	8227731
0.146	8041168
0.147	8041168
0.148	8041168
0.149	8005194
0.15	8005194
0.151	7898640
0.152	7898640
0.153	7898640
0.154	7809418
0.155	7809418
0.156	7809418
0.157	7790293
0.158	7790293
0.159	7790293
0.16	7789349
0.161	7789349
0.162	7750702
0.163	7750702
0.164	7750702
0.165	7652858
0.166	7652858
0.167	7652858
0.168	7573331
0.169	7573331
0.17	7573331
0.171	7560141
0.172	7560141
0.173	7558144
0.174	7558144
0.175	7558144
0.176	7447130
0.177	7447130
0.178	7447130
0.179	7438988
0.18	7438988
0.181	7437363
0.182	7437363
0.183	7437363
0.184	7367496
0.185	7367496
0.186	7366058
0.187	7366058
0.188	7366058
0.189	7289806
0.19	7289806
0.191	7289806
0.192	7270326
0.193	7270326
0.194	7256334
0.195	7256334
0.196	7256334
0.197	7248027
0.198	7248027
0.199	7147041
0.2	7147041
0.201	7147041
0.202	7107322
0.203	7107322
0.204	7060647
0.205	7060647
0.206	7060647
0.207	7024775
0.208	7024775
0.209	7020487
0.21	7020487
0.211	7020487
0.212	6991409
0.213	6991409
0.214	6974565
0.215	6974565
0.216	6974565
0.217	6911448
0.218	6911448
0.219	6833108
0.22	6833108
0.221	6833108
0.222	6733853
0.223	6733853
0.224	6672066
0.225	6672066
0.226	6672066
0.227	6666826
0.228	6666826
0.229	6630153
0.23	6630153
0.231	6610536
0.232	6610536
0.233	6610536
0.234	6607926
0.235	6607926
0.236	6494152
0.237	6494152
0.238	6493757
0.239	6493757
0.24	6493757
0.241	6439017
0.242	6439017
0.243	6430154
0.244	6430154
0.245	6420478
0.246	6420478
0.247	6361768
0.248	6361768
0.249	6361768
0.25	6316425
0.251	6316425
0.252	6154762
0.253	6154762
0.254	6141707
0.255	6141707
0.256	6109591
0.257	6109591
0.258	6089936
0.259	6089936
0.26	6089936
0.261	6083078
0.262	6083078
0.263	6075877
0.264	6075877
0.265	5979373
0.266	5979373
0.267	5947108
0.268	5947108
0.269	5929976
0.27	5929976
0.271	5929943
