fraction	Nx_length
0.001	139202109
0.002	139202109
0.003	139202109
0.004	139202109
0.005	139202109
0.006	139202109
0.007	139202109
0.008	139202109
0.009	139202109
0.01	139202109
0.011	139202109
0.012	139202109
0.013	139202109
0.014	139202109
0.015	139202109
0.016	139202109
0.017	139202109
0.018	139202109
0.019	139202109
0.02	139202109
0.021	139202109
0.022	139202109
0.023	139202109
0.024	139202109
0.025	139202109
0.026	139202109
0.027	139202109
0.028	139202109
0.029	139202109
0.03	139202109
0.031	139202109
0.032	139202109
0.033	139202109
0.034	139202109
0.035	139202109
0.036	139202109
0.037	139202109
0.038	139202109
0.039	139202109
0.04	139202109
0.041	139202109
0.042	139202109
0.043	139202109
0.044	139202109
0.045	139202109
0.046	139202109
0.047	139202109
0.048	139202109
0.049	139202109
0.05	139202109
0.051	139202109
0.052	139202109
0.053	139202109
0.054	139202109
0.055	139202109
0.056	139202109
0.057	139202109
0.058	139202109
0.059	139202109
0.06	139202109
0.061	139202109
0.062	139202109
0.063	139202109
0.064	139202109
0.065	139202109
0.066	139202109
0.067	139202109
0.068	139202109
0.069	139202109
0.07	139202109
0.071	139202109
0.072	139202109
0.073	139202109
0.074	139202109
0.075	139202109
0.076	139202109
0.077	139202109
0.078	139202109
0.079	139202109
0.08	139202109
0.081	139202109
0.082	139202109
0.083	139202109
0.084	139202109
0.085	139202109
0.086	139202109
0.087	139202109
0.088	139202109
0.089	139202109
0.09	139202109
0.091	139202109
0.092	139202109
0.093	139202109
0.094	139202109
0.095	139202109
0.096	139202109
0.097	139202109
0.098	139202109
0.099	139202109
0.1	139202109
0.101	139202109
0.102	139202109
0.103	139202109
0.104	139202109
0.105	139202109
0.106	139202109
0.107	139202109
0.108	139202109
0.109	139202109
0.11	139202109
0.111	139202109
0.112	139202109
0.113	139202109
0.114	139202109
0.115	139202109
0.116	139202109
0.117	139202109
0.118	139202109
0.119	139202109
0.12	139202109
0.121	139202109
0.122	139202109
0.123	139202109
0.124	139202109
0.125	139202109
0.126	139202109
0.127	139202109
0.128	139202109
0.129	139202109
0.13	139202109
0.131	139202109
0.132	139202109
0.133	139202109
0.134	139202109
0.135	139202109
0.136	139202109
0.137	139202109
0.138	139202109
0.139	139202109
0.14	139202109
0.141	125603275
0.142	125603275
0.143	125603275
0.144	125603275
0.145	125603275
0.146	125603275
0.147	125603275
0.148	125603275
0.149	125603275
0.15	125603275
0.151	125603275
0.152	125603275
0.153	125603275
0.154	125603275
0.155	125603275
0.156	125603275
0.157	125603275
0.158	125603275
0.159	125603275
0.16	125603275
0.161	125603275
0.162	125603275
0.163	125603275
0.164	125603275
0.165	125603275
0.166	125603275
0.167	125603275
0.168	125603275
0.169	125603275
0.17	125603275
0.171	125603275
0.172	125603275
0.173	125603275
0.174	125603275
0.175	125603275
0.176	125603275
0.177	125603275
0.178	125603275
0.179	125603275
0.18	125603275
0.181	125603275
0.182	125603275
0.183	125603275
0.184	125603275
0.185	125603275
0.186	125603275
0.187	125603275
0.188	125603275
0.189	125603275
0.19	125603275
0.191	125603275
