fraction	Nx_length
0.001	178270547
0.002	178270547
0.003	178270547
0.004	178270547
0.005	178270547
0.006	178270547
0.007	178270547
0.008	178270547
0.009	178270547
0.01	178270547
0.011	178270547
0.012	178270547
0.013	178270547
0.014	178270547
0.015	178270547
0.016	178270547
0.017	178270547
0.018	178270547
0.019	178270547
0.02	178270547
0.021	178270547
0.022	178270547
0.023	178270547
0.024	178270547
0.025	178270547
0.026	178270547
0.027	178270547
0.028	178270547
0.029	178270547
0.03	178270547
0.031	178270547
0.032	178270547
0.033	178270547
0.034	178270547
0.035	178270547
0.036	178270547
0.037	178270547
0.038	178270547
0.039	178270547
0.04	178270547
0.041	178270547
0.042	178270547
0.043	178270547
0.044	178270547
0.045	178270547
0.046	178270547
0.047	178270547
0.048	178270547
0.049	178270547
0.05	178270547
0.051	178270547
0.052	178270547
0.053	178270547
0.054	178270547
0.055	178270547
0.056	178270547
0.057	178270547
0.058	178270547
0.059	178270547
0.06	178270547
0.061	178270547
0.062	150996143
0.063	150996143
0.064	150996143
0.065	150996143
0.066	150996143
0.067	150996143
0.068	150996143
0.069	150996143
0.07	150996143
0.071	150996143
0.072	150996143
0.073	150996143
0.074	150996143
0.075	150996143
0.076	150996143
0.077	150996143
0.078	150996143
0.079	150996143
0.08	150996143
0.081	150996143
0.082	150996143
0.083	150996143
0.084	150996143
0.085	150996143
0.086	150996143
0.087	150996143
0.088	150996143
0.089	150996143
0.09	150996143
0.091	150996143
0.092	150996143
0.093	150996143
0.094	150996143
0.095	150996143
0.096	150996143
0.097	150996143
0.098	150996143
0.099	150996143
0.1	150996143
0.101	150996143
0.102	150996143
0.103	150996143
0.104	150996143
0.105	150996143
0.106	150996143
0.107	150996143
0.108	150996143
0.109	150996143
0.11	150996143
0.111	150996143
0.112	150996143
0.113	150996143
0.114	150996143
0.115	128789535
0.116	128789535
0.117	128789535
0.118	128789535
0.119	128789535
0.12	128789535
0.121	128789535
0.122	128789535
0.123	128789535
0.124	128789535
0.125	128789535
0.126	128789535
0.127	128789535
0.128	128789535
0.129	128789535
0.13	128789535
0.131	128789535
0.132	128789535
0.133	128789535
0.134	128789535
0.135	128789535
0.136	128789535
0.137	128789535
0.138	128789535
0.139	128789535
0.14	128789535
0.141	128789535
0.142	128789535
0.143	128789535
0.144	128789535
0.145	128789535
0.146	128789535
0.147	128789535
0.148	128789535
0.149	128789535
0.15	128789535
0.151	128789535
0.152	128789535
0.153	128789535
0.154	128789535
0.155	128789535
0.156	128789535
0.157	128789535
0.158	128789535
0.159	121396903
0.16	121396903
0.161	121396903
0.162	121396903
0.163	121396903
0.164	121396903
0.165	121396903
0.166	121396903
0.167	121396903
0.168	121396903
