fraction	Nx_length
0.001	370956
0.002	353657
0.003	337181
0.004	315899
0.005	307152
0.006	289353
0.007	281262
0.008	275489
0.009	268009
0.01	262283
0.011	258212
0.012	255673
0.013	252171
0.014	247846
0.015	245120
0.016	240440
0.017	237371
0.018	235856
0.019	232636
0.02	230804
0.021	229594
0.022	224973
0.023	221859
0.024	219858
0.025	216883
0.026	214516
0.027	212496
0.028	210872
0.029	209183
0.03	207687
0.031	206355
0.032	204499
0.033	202290
0.034	200583
0.035	199121
0.036	197591
0.037	194838
0.038	193792
0.039	192337
0.04	190956
0.041	189828
0.042	188910
0.043	187927
0.044	186359
0.045	185364
0.046	184393
0.047	182792
0.048	181623
0.049	180368
0.05	179054
0.051	178082
0.052	177219
0.053	176143
0.054	175194
0.055	174550
0.056	173836
0.057	173018
0.058	172317
0.059	171839
0.06	171237
0.061	170090
0.062	168735
0.063	167484
0.064	166916
0.065	166376
0.066	165420
0.067	164879
0.068	164360
0.069	163652
0.07	162769
0.071	162208
0.072	161501
0.073	160414
0.074	159723
0.075	158545
0.076	157852
0.077	157560
0.078	156807
0.079	155952
0.08	155412
0.081	154901
0.082	154124
0.083	153288
0.084	152645
0.085	151997
0.086	151496
0.087	150734
0.088	150374
0.089	149634
0.09	148919
0.091	148317
0.092	147650
0.093	147069
0.094	146627
0.095	146205
0.096	145449
0.097	144784
0.098	144015
0.099	143276
0.1	142645
0.101	142090
0.102	141707
0.103	141205
0.104	140870
0.105	140221
0.106	139737
0.107	139413
0.108	138932
0.109	138603
0.11	138197
0.111	137485
0.112	137002
0.113	136538
0.114	136091
0.115	135680
0.116	135276
0.117	134810
0.118	134467
0.119	133827
0.12	133349
0.121	132874
0.122	132571
0.123	132297
0.124	131938
0.125	131519
0.126	131258
0.127	131012
0.128	130617
0.129	130224
0.13	129664
0.131	129345
0.132	128861
0.133	128480
0.134	128236
0.135	127864
0.136	127417
0.137	127053
0.138	126717
0.139	126354
0.14	125948
0.141	125389
0.142	125123
0.143	124797
0.144	124337
0.145	124041
0.146	123727
0.147	123405
0.148	122903
0.149	122493
0.15	122172
0.151	121654
0.152	121199
0.153	120772
0.154	120400
0.155	120122
0.156	119767
0.157	119437
0.158	119007
0.159	118822
0.16	118498
0.161	118186
0.162	117876
0.163	117559
0.164	117231
0.165	116839
0.166	116606
0.167	116295
0.168	115936
0.169	115551
0.17	115257
0.171	114977
0.172	114682
0.173	114213
0.174	113962
0.175	113715
0.176	113341
0.177	112913
0.178	112678
0.179	112420
0.18	112083
0.181	111653
