fraction	Nx_length
0.001	187018787
0.002	187018787
0.003	187018787
0.004	187018787
0.005	187018787
0.006	187018787
0.007	187018787
0.008	187018787
0.009	187018787
0.01	187018787
0.011	187018787
0.012	187018787
0.013	187018787
0.014	187018787
0.015	187018787
0.016	187018787
0.017	187018787
0.018	187018787
0.019	187018787
0.02	187018787
0.021	187018787
0.022	187018787
0.023	187018787
0.024	187018787
0.025	187018787
0.026	187018787
0.027	187018787
0.028	187018787
0.029	187018787
0.03	187018787
0.031	187018787
0.032	187018787
0.033	187018787
0.034	187018787
0.035	187018787
0.036	187018787
0.037	187018787
0.038	187018787
0.039	187018787
0.04	187018787
0.041	187018787
0.042	187018787
0.043	187018787
0.044	187018787
0.045	187018787
0.046	187018787
0.047	187018787
0.048	187018787
0.049	187018787
0.05	187018787
0.051	187018787
0.052	187018787
0.053	187018787
0.054	187018787
0.055	187018787
0.056	187018787
0.057	187018787
0.058	187018787
0.059	187018787
0.06	187018787
0.061	187018787
0.062	187018787
0.063	187018787
0.064	187018787
0.065	187018787
0.066	187018787
0.067	187018787
0.068	158822865
0.069	158822865
0.07	158822865
0.071	158822865
0.072	158822865
0.073	158822865
0.074	158822865
0.075	158822865
0.076	158822865
0.077	158822865
0.078	158822865
0.079	158822865
0.08	158822865
0.081	158822865
0.082	158822865
0.083	158822865
0.084	158822865
0.085	158822865
0.086	158822865
0.087	158822865
0.088	158822865
0.089	158822865
0.09	158822865
0.091	158822865
0.092	158822865
0.093	158822865
0.094	158822865
0.095	158822865
0.096	158822865
0.097	158822865
0.098	158822865
0.099	158822865
0.1	158822865
0.101	158822865
0.102	158822865
0.103	158822865
0.104	158822865
0.105	158822865
0.106	158822865
0.107	158822865
0.108	158822865
0.109	158822865
0.11	158822865
0.111	158822865
0.112	158822865
0.113	158822865
0.114	158822865
0.115	158822865
0.116	158822865
0.117	158822865
0.118	158822865
0.119	158822865
0.12	158822865
0.121	158822865
0.122	158822865
0.123	158822865
0.124	158822865
0.125	134443407
0.126	134443407
0.127	134443407
0.128	134443407
0.129	134443407
0.13	134443407
0.131	134443407
0.132	134443407
0.133	134443407
0.134	134443407
0.135	134443407
0.136	134443407
0.137	134443407
0.138	134443407
0.139	134443407
0.14	134443407
0.141	134443407
0.142	134443407
0.143	134443407
0.144	134443407
0.145	134443407
0.146	134443407
0.147	134443407
0.148	134443407
0.149	134443407
0.15	134443407
0.151	134443407
0.152	134443407
0.153	134443407
0.154	134443407
0.155	134443407
0.156	134443407
0.157	134443407
0.158	134443407
0.159	134443407
0.16	134443407
0.161	134443407
0.162	134443407
0.163	134443407
0.164	134443407
0.165	134443407
0.166	134443407
0.167	134443407
0.168	134443407
0.169	134443407
0.17	134443407
0.171	134443407
0.172	134443407
0.173	134443407
0.174	125483849
0.175	125483849
0.176	125483849
0.177	125483849
0.178	125483849
0.179	125483849
0.18	125483849
0.181	125483849
0.182	125483849
0.183	125483849
0.184	125483849
0.185	125483849
0.186	125483849
0.187	125483849
0.188	125483849
0.189	125483849
0.19	125483849
0.191	125483849
0.192	125483849
0.193	125483849
0.194	125483849
0.195	125483849
0.196	125483849
0.197	125483849
0.198	125483849
0.199	125483849
0.2	125483849
0.201	125483849
0.202	125483849
0.203	125483849
0.204	125483849
0.205	125483849
0.206	125483849
0.207	125483849
0.208	125483849
0.209	125483849
0.21	125483849
0.211	125483849
0.212	125483849
0.213	125483849
0.214	125483849
0.215	125483849
0.216	125483849
0.217	125483849
0.218	125483849
0.219	124558973
0.22	124558973
0.221	124558973
0.222	124558973
0.223	124558973
0.224	124558973
0.225	124558973
0.226	124558973
0.227	124558973
0.228	124558973
0.229	124558973
0.23	124558973
0.231	124558973
0.232	124558973
0.233	124558973
0.234	124558973
0.235	124558973
0.236	124558973
0.237	124558973
0.238	124558973
0.239	124558973
0.24	124558973
0.241	124558973
0.242	124558973
0.243	124558973
0.244	124558973
0.245	124558973
0.246	124558973
0.247	124558973
0.248	124558973
0.249	124558973
0.25	124558973
0.251	124558973
0.252	124558973
0.253	124558973
0.254	124558973
0.255	124558973
0.256	124558973
0.257	124558973
0.258	124558973
0.259	124558973
0.26	124558973
0.261	124558973
0.262	124558973
0.263	124558973
0.264	111343680
0.265	111343680
0.266	111343680
0.267	111343680
0.268	111343680
0.269	111343680
0.27	111343680
0.271	111343680
0.272	111343680
0.273	111343680
0.274	111343680
0.275	111343680
0.276	111343680
0.277	111343680
0.278	111343680
0.279	111343680
0.28	111343680
0.281	111343680
0.282	111343680
0.283	111343680
0.284	111343680
0.285	111343680
0.286	111343680
0.287	111343680
0.288	111343680
0.289	111343680
0.29	111343680
0.291	111343680
