fraction	Nx_length
0.001	28565276
0.002	28565276
0.003	28565276
0.004	28565276
0.005	28565276
0.006	28565276
0.007	24855122
0.008	24855122
0.009	24855122
0.01	24855122
0.011	24855122
0.012	24428842
0.013	24428842
0.014	24428842
0.015	24428842
0.016	24428842
0.017	24380004
0.018	24380004
0.019	24380004
0.02	24380004
0.021	24380004
0.022	22471276
0.023	22471276
0.024	22471276
0.025	22471276
0.026	22471276
0.027	22144160
0.028	22144160
0.029	22144160
0.03	22144160
0.031	21289984
0.032	21289984
0.033	21289984
0.034	21289984
0.035	21289984
0.036	19859962
0.037	19859962
0.038	19859962
0.039	19859962
0.04	19785149
0.041	19785149
0.042	19785149
0.043	19785149
0.044	18990104
0.045	18990104
0.046	18990104
0.047	18990104
0.048	18230931
0.049	18230931
0.05	18230931
0.051	18230931
0.052	18141484
0.053	18141484
0.054	18141484
0.055	18141484
0.056	18131972
0.057	18131972
0.058	18131972
0.059	18131972
0.06	17785669
0.061	17785669
0.062	17785669
0.063	17374518
0.064	17374518
0.065	17374518
0.066	17374518
0.067	16750504
0.068	16750504
0.069	16750504
0.07	16750504
0.071	16503902
0.072	16503902
0.073	16503902
0.074	16177425
0.075	16177425
0.076	16177425
0.077	15350547
0.078	15350547
0.079	15350547
0.08	15350547
0.081	15226424
0.082	15226424
0.083	15226424
0.084	14350642
0.085	14350642
0.086	14350642
0.087	13622657
0.088	13622657
0.089	13622657
0.09	13288811
0.091	13288811
0.092	13288811
0.093	12880895
0.094	12880895
0.095	12651206
0.096	12651206
0.097	12651206
0.098	12498618
0.099	12498618
0.1	12498618
0.101	11017672
0.102	11017672
0.103	10855632
0.104	10855632
0.105	10712177
0.106	10712177
0.107	10470510
0.108	10470510
0.109	10470510
0.11	10257775
0.111	10257775
0.112	9848324
0.113	9848324
0.114	9393629
0.115	9393629
0.116	9070190
0.117	9070190
0.118	8910341
0.119	8910341
0.12	8901780
0.121	8818505
0.122	8818505
0.123	8796755
0.124	8796755
0.125	8725973
0.126	8725973
0.127	8674571
0.128	8674571
0.129	8604402
0.13	8604402
0.131	8245809
0.132	8107866
0.133	8107866
0.134	7985161
0.135	7985161
0.136	7882115
0.137	7775429
0.138	7775429
0.139	7556953
0.14	7556953
0.141	7447076
0.142	7345311
0.143	7345311
0.144	7147056
0.145	7106973
0.146	7106973
0.147	7100505
0.148	6999778
0.149	6999778
0.15	6852363
0.151	6812108
0.152	6812108
0.153	6799096
0.154	6772125
0.155	6562658
0.156	6562658
0.157	6541563
0.158	6486226
0.159	6486226
0.16	6456652
0.161	6261212
0.162	6260390
0.163	6048911
0.164	6048911
0.165	6030798
0.166	6028786
0.167	6016340
0.168	6016340
0.169	5914154
0.17	5899634
0.171	5852536
0.172	5821921
0.173	5821921
0.174	5811008
0.175	5804409
0.176	5800381
0.177	5737868
0.178	5721327
0.179	5721327
0.18	5700176
0.181	5660881
0.182	5633034
0.183	5564840
0.184	5541909
0.185	5469037
0.186	5469037
0.187	5403205
0.188	5384586
0.189	5327402
0.19	5259418
0.191	5206284
0.192	5155891
0.193	5135065
0.194	5100134
0.195	5099132
0.196	5099132
0.197	4969166
0.198	4962887
0.199	4922675
0.2	4866681
0.201	4846271
0.202	4825247
0.203	4760935
0.204	4760208
0.205	4706534
0.206	4675074
0.207	4660140
0.208	4643022
0.209	4636875
0.21	4575499
0.211	4573505
0.212	4477557
0.213	4466791
0.214	4460500
0.215	4385461
0.216	4374437
0.217	4343970
0.218	4338542
0.219	4335275
0.22	4320793
0.221	4316451
0.222	4312082
0.223	4299885
0.224	4251148
0.225	4234720
0.226	4231016
0.227	4221983
0.228	4201783
0.229	4180764
0.23	4158543
0.231	4082440
0.232	4081632
0.233	4046961
0.234	4035854
0.235	3987476
0.236	3956426
0.237	3760889
0.238	3735638
0.239	3731460
0.24	3719884
0.241	3713569
0.242	3710547
0.243	3674791
0.244	3663531
0.245	3639800
0.246	3615109
0.247	3607794
0.248	3596680
0.249	3592993
0.25	3569663
0.251	3511435
0.252	3501072
0.253	3472635
0.254	3458841
0.255	3449863
0.256	3426346
0.257	3426001
0.258	3403655
0.259	3392990
0.26	3360668
0.261	3312427
0.262	3308406
0.263	3303384
0.264	3275093
0.265	3252212
0.266	3243071
0.267	3237656
0.268	3218477
0.269	3202912
0.27	3182353
0.271	3179902
0.272	3141194
0.273	3137128
0.274	3047936
0.275	3041573
0.276	3038813
0.277	3009949
0.278	2994782
0.279	2972850
0.28	2961797
0.281	2958902
0.282	2919678
0.283	2915536
0.284	2888740
0.285	2869420
0.286	2866972
0.287	2864219
0.288	2845103
0.289	2842857
0.29	2824132
0.291	2822806
0.292	2803070
0.293	2788161
0.294	2777728
0.295	2767824
0.296	2758383
0.297	2744894
0.298	2742475
0.299	2739117
0.3	2733676
0.301	2719079
0.302	2680403
0.303	2664504
0.304	2624683
0.305	2600599
0.306	2593143
0.307	2563083
0.308	2548590
0.309	2543810
0.31	2514635
0.311	2496401
0.312	2481726
0.313	2467709
0.314	2440728
0.315	2416147
0.316	2406284
0.317	2401337
0.318	2388663
0.319	2365696
0.32	2351192
0.321	2337400
0.322	2324834
0.323	2323800
0.324	2313203
0.325	2301661
0.326	2288934
0.327	2271970
0.328	2270614
0.329	2264538
0.33	2248043
0.331	2226615
0.332	2216485
0.333	2205267
0.334	2200432
0.335	2193259
0.336	2174422
0.337	2145752
0.338	2138304
0.339	2131173
0.34	2108480
0.341	2096463
0.342	2082867
0.343	2075117
0.344	2041108
0.345	2036999
0.346	2034893
0.347	2021709
0.348	2013383
0.349	2007529
0.35	1994731
0.351	1986481
0.352	1973208
0.353	1952177
0.354	1949885
0.355	1941505
0.356	1931980
0.357	1906624
0.358	1897221
0.359	1881896
0.36	1864017
0.361	1846289
0.362	1837361
0.363	1827180
0.364	1810197
0.365	1803090
0.366	1782824
0.367	1766806
0.368	1759206
0.369	1745010
0.37	1737714
0.371	1732997
0.372	1725136
0.373	1711851
0.374	1692103
0.375	1676733
0.376	1673999
0.377	1671629
0.378	1638717
0.379	1634338
0.38	1624708
0.381	1606366
0.382	1593935
0.383	1584317
0.384	1572522
0.385	1569697
0.386	1562489
0.387	1536935
0.388	1519697
0.389	1514796
0.39	1498895
0.391	1486475
0.392	1474734
0.393	1463964
0.394	1456603
0.395	1449323
0.396	1436435
0.397	1426439
0.398	1404943
0.399	1391512
0.4	1387358
0.401	1364769
0.402	1359404
0.403	1350143
0.404	1336772
0.405	1330654
0.406	1324732
0.407	1320166
0.408	1313290
0.409	1303625
0.41	1297208
0.411	1279322
0.412	1275283
0.413	1273752
0.414	1270541
0.415	1262857
0.416	1254969
