fraction	Nx_length
0.001	2446277
0.002	2329866
0.003	2048683
0.004	2017023
0.005	1925496
0.006	1877095
0.007	1831778
0.008	1720820
0.009	1687891
0.01	1648929
0.011	1645510
0.012	1632145
0.013	1597027
0.014	1547357
0.015	1517293
0.016	1498215
0.017	1439118
0.018	1435000
0.019	1422364
0.02	1406285
0.021	1394273
0.022	1381408
0.023	1370794
0.024	1360616
0.025	1358797
0.026	1353574
0.027	1332625
0.028	1308657
0.029	1299060
0.03	1291123
0.031	1289142
0.032	1287596
0.033	1283327
0.034	1278677
0.035	1256544
0.036	1247346
0.037	1229085
0.038	1218474
0.039	1203520
0.04	1192190
0.041	1183896
0.042	1174737
0.043	1159133
0.044	1150786
0.045	1146980
0.046	1134514
0.047	1125408
0.048	1118792
0.049	1115698
0.05	1102604
0.051	1098550
0.052	1087901
0.053	1068137
0.054	1059200
0.055	1054960
0.056	1047584
0.057	1044904
0.058	1035894
0.059	1033636
0.06	1026053
0.061	1020050
0.062	1017161
0.063	1011364
0.064	1009313
0.065	1004756
0.066	996624
0.067	995052
0.068	985158
0.069	979768
0.07	968530
0.071	963705
0.072	961086
0.073	958525
0.074	948519
0.075	943325
0.076	938785
0.077	937368
0.078	935196
0.079	925275
0.08	919116
0.081	916845
0.082	911335
0.083	904513
0.084	901087
0.085	892038
0.086	888626
0.087	883563
0.088	880665
0.089	878761
0.09	875424
0.091	874762
0.092	871464
0.093	866861
0.094	865465
0.095	862491
0.096	859197
0.097	855622
0.098	851568
0.099	848600
0.1	844384
0.101	839578
0.102	836528
0.103	832099
0.104	830779
0.105	828040
0.106	826235
0.107	821891
0.108	818236
0.109	815965
0.11	813481
0.111	811253
0.112	809426
0.113	806257
0.114	804582
0.115	800920
0.116	794252
0.117	792128
0.118	791002
0.119	787949
0.12	782220
0.121	781256
0.122	778190
0.123	776463
0.124	774211
0.125	772400
0.126	768701
0.127	764811
0.128	763614
0.129	761036
0.13	758824
0.131	755392
0.132	748995
0.133	743937
0.134	740704
0.135	739102
0.136	737734
0.137	735118
0.138	732624
0.139	728457
0.14	725990
0.141	720014
0.142	718375
0.143	716250
0.144	715607
0.145	713185
0.146	711692
0.147	710054
0.148	707676
0.149	705985
0.15	701774
0.151	699624
0.152	697948
0.153	694324
0.154	693894
0.155	691219
0.156	689813
0.157	688874
0.158	687097
0.159	685744
0.16	683049
0.161	680072
0.162	677571
0.163	675713
0.164	674016
0.165	671964
0.166	669191
0.167	667492
0.168	666150
0.169	662640
0.17	661036
0.171	658763
0.172	656481
0.173	654666
0.174	653688
0.175	651918
0.176	650855
0.177	649787
0.178	648237
0.179	646513
0.18	645120
0.181	643209
0.182	641341
0.183	638231
0.184	636093
0.185	634074
0.186	632980
0.187	630421
0.188	629581
0.189	627976
0.19	626280
0.191	622292
0.192	621035
0.193	619016
0.194	618672
0.195	616788
0.196	615444
0.197	614872
0.198	613988
0.199	612370
0.2	609693
0.201	608157
0.202	605828
0.203	602318
0.204	601264
0.205	600589
0.206	599714
0.207	598658
0.208	597531
0.209	596648
0.21	595158
0.211	594087
0.212	593059
0.213	591566
0.214	591284
0.215	589915
0.216	588291
0.217	587740
0.218	586930
0.219	584966
0.22	583152
0.221	582500
0.222	581806
0.223	580192
0.224	577828
0.225	577140
0.226	576657
0.227	575730
0.228	573534
0.229	571406
0.23	569142
0.231	568243
0.232	566795
0.233	566293
0.234	564901
0.235	562099
0.236	560056
0.237	558678
0.238	556897
0.239	555215
0.24	554401
0.241	553318
0.242	552836
0.243	550505
0.244	549023
0.245	546666
0.246	545185
0.247	543689
0.248	541894
0.249	540407
0.25	539369
0.251	538460
0.252	537144
0.253	534893
0.254	533789
0.255	532041
0.256	529330
0.257	527730
0.258	526306
0.259	524920
0.26	523836
0.261	522607
0.262	521475
0.263	520411
0.264	518787
0.265	517777
0.266	515982
0.267	514911
0.268	512977
0.269	512297
0.27	511411
0.271	510581
0.272	509464
0.273	508017
0.274	507254
0.275	506414
0.276	505486
0.277	504896
0.278	504477
0.279	503465
0.28	502300
0.281	501611
0.282	500892
0.283	499735
0.284	498814
0.285	498034
0.286	496543
0.287	495579
0.288	494901
0.289	493849
0.29	492419
0.291	490522
0.292	489354
0.293	488371
0.294	486262
0.295	484707
0.296	483514
0.297	482047
0.298	481560
0.299	479859
0.3	479085
0.301	478354
0.302	477663
0.303	476461
0.304	474746
0.305	474019
0.306	472530
0.307	471389
0.308	470433
0.309	469218
0.31	468424
0.311	467574
0.312	466700
0.313	465448
0.314	464576
0.315	463700
0.316	463051
0.317	461857
0.318	461332
0.319	460318
0.32	459823
0.321	458182
0.322	457348
0.323	456071
0.324	455223
0.325	453381
0.326	452139
0.327	450993
0.328	450443
0.329	449686
0.33	448813
0.331	447644
0.332	446906
0.333	446107
0.334	445374
0.335	444199
0.336	443568
0.337	442733
0.338	441989
0.339	440911
0.34	439772
0.341	438134
0.342	436960
0.343	436296
0.344	434933
0.345	433723
0.346	433009
0.347	431988
0.348	431342
0.349	431117
0.35	430469
0.351	429704
0.352	428082
0.353	427424
0.354	426059
0.355	425548
0.356	425139
0.357	424150
0.358	423624
0.359	422844
0.36	422216
0.361	420817
0.362	419116
0.363	418217
0.364	416900
0.365	415891
0.366	414766
0.367	413891
0.368	412846
0.369	411802
0.37	411049
0.371	410165
0.372	409539
0.373	408659
0.374	407673
0.375	405921
0.376	404905
0.377	404340
0.378	403588
0.379	402330
0.38	401439
0.381	400927
0.382	400031
0.383	399241
0.384	398016
0.385	396939
0.386	396408
0.387	395879
0.388	394183
0.389	393641
0.39	392845
0.391	391920
0.392	390729
0.393	389768
0.394	389291
0.395	388547
0.396	387792
0.397	387134
0.398	386094
0.399	384688
0.4	383796
0.401	383082
0.402	382536
0.403	381650
0.404	380710
0.405	378930
0.406	378279
0.407	377358
0.408	376493
0.409	375685
0.41	374855
0.411	374101
0.412	373465
0.413	372787
0.414	371780
0.415	371236
0.416	370439
0.417	369240
0.418	368257
0.419	367360
0.42	366507
0.421	365672
0.422	364630
0.423	364136
0.424	363693
0.425	362863
0.426	361808
0.427	360683
0.428	359660
0.429	358881
0.43	357829
0.431	356785
0.432	356183
0.433	355483
