fraction	Nx_length
0.001	26720053
0.002	26720053
0.003	26720053
0.004	26720053
0.005	26720053
0.006	26720053
0.007	26720053
0.008	25497815
0.009	25497815
0.01	25497815
0.011	25497815
0.012	25497815
0.013	25497815
0.014	25497815
0.015	25497815
0.016	23627140
0.017	23627140
0.018	23627140
0.019	23627140
0.02	23627140
0.021	23627140
0.022	23627140
0.023	19801891
0.024	19801891
0.025	19801891
0.026	19801891
0.027	19801891
0.028	19745341
0.029	19745341
0.03	19745341
0.031	19745341
0.032	19745341
0.033	19745341
0.034	19547233
0.035	19547233
0.036	19547233
0.037	19547233
0.038	19547233
0.039	19547233
0.04	19125195
0.041	19125195
0.042	19125195
0.043	19125195
0.044	19125195
0.045	18083973
0.046	18083973
0.047	18083973
0.048	18083973
0.049	18083973
0.05	18083973
0.051	17078620
0.052	17078620
0.053	17078620
0.054	17078620
0.055	16800030
0.056	16800030
0.057	16800030
0.058	16800030
0.059	16800030
0.06	15849284
0.061	15849284
0.062	15849284
0.063	15849284
0.064	15849284
0.065	15122574
0.066	15122574
0.067	15122574
0.068	15122574
0.069	15082712
0.07	15082712
0.071	15082712
0.072	15082712
0.073	15082712
0.074	15034384
0.075	15034384
0.076	15034384
0.077	15034384
0.078	14984018
0.079	14984018
0.08	14984018
0.081	14984018
0.082	14458291
0.083	14458291
0.084	14458291
0.085	14458291
0.086	14458291
0.087	14433527
0.088	14433527
0.089	14433527
0.09	14433527
0.091	14269654
0.092	14269654
0.093	14269654
0.094	14269654
0.095	13313118
0.096	13313118
0.097	13313118
0.098	13313118
0.099	13290377
0.1	13290377
0.101	13290377
0.102	13290377
0.103	13271661
0.104	13271661
0.105	13271661
0.106	13271661
0.107	13244472
0.108	13244472
0.109	13244472
0.11	13207187
0.111	13207187
0.112	13207187
0.113	13207187
0.114	13200353
0.115	13200353
0.116	13200353
0.117	13200353
0.118	13034434
0.119	13034434
0.12	13034434
0.121	13034434
0.122	12590895
0.123	12590895
0.124	12590895
0.125	12590895
0.126	12423891
0.127	12423891
0.128	12423891
0.129	12183349
0.13	12183349
0.131	12183349
0.132	12183349
0.133	12098569
0.134	12098569
0.135	12098569
0.136	12078840
0.137	12078840
0.138	12078840
0.139	12078840
0.14	11942235
0.141	11942235
0.142	11942235
0.143	11924144
0.144	11924144
0.145	11924144
0.146	11924144
0.147	11869973
0.148	11869973
0.149	11869973
0.15	11776612
0.151	11776612
0.152	11776612
0.153	11776612
0.154	11754758
0.155	11754758
0.156	11754758
0.157	11377598
0.158	11377598
0.159	11377598
0.16	11166910
0.161	11166910
0.162	11166910
0.163	11101065
0.164	11101065
0.165	11101065
0.166	11101065
0.167	11093921
